# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-07-29 08:27:00
# API-Download für Covid19-Fälle in LK Aichach-Friedberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,1,,,,,,,,,,,
2020-KW11,,,,,,,,,,,2,1,,1,,,1,
2020-KW12,,,1,,1,2,2,4,5,3,2,3,,,1,1,,
2020-KW13,1,1,2,2,1,5,3,2,10,12,9,10,6,7,1,6,4,
2020-KW14,,1,2,3,3,1,2,2,2,5,6,7,7,2,2,5,10,
2020-KW15,1,,,,4,,3,1,4,3,6,6,6,3,4,3,13,
2020-KW16,,1,2,1,,,2,1,1,3,6,3,1,1,1,3,9,
2020-KW17,,,,1,,1,1,,1,1,1,1,2,1,1,1,1,
2020-KW18,,,,,,3,2,,,,,,,,,,,
2020-KW19,,,,,,,,1,,1,,2,,,,,1,
2020-KW20,,,,,,1,,,,,,,,,,,1,
2020-KW22,,,,,,,2,,,,,,,,,,,
2020-KW23,,,,1,3,6,2,3,2,,1,1,,,,,,
2020-KW24,,,,3,8,16,14,15,8,3,6,2,,,,,,
2020-KW26,,,,,,1,,,,,,,,,,,,
2020-KW27,,,,,,1,,,,,,,,,,,,
2020-KW28,,,,1,1,,,1,1,,,,,,,,,
2020-KW29,,,,,1,,,,,,,,,,,,,
2020-KW30,2,,,,,,1,1,,,,1,1,,,,,
2020-KW31,,,,,,1,,,,,,,,,1,,,
2020-KW32,,,1,,,,,,,,,,,,,,,
2020-KW33,,,,,2,,,,,,,,,,1,,1,
2020-KW34,,,1,1,1,3,2,1,1,,3,3,,,2,,,
2020-KW35,1,,1,3,2,3,2,1,1,1,1,,,,,,,
2020-KW36,,,3,,,3,,1,,,,1,,1,,,,
2020-KW37,,,,2,4,1,2,,,1,3,,1,,1,,,
2020-KW38,,1,,,2,1,2,,,1,3,,,1,,,,
2020-KW39,,1,,4,2,3,5,2,1,,1,2,1,,,,2,
2020-KW40,,,,,1,,,,2,1,,1,,,1,,,
2020-KW41,1,4,,3,1,3,2,2,3,4,3,4,4,2,4,1,,
2020-KW42,,6,6,5,4,5,4,5,7,3,7,3,,1,5,1,2,
2020-KW43,2,4,4,14,7,7,13,9,10,11,8,9,7,2,1,2,1,
2020-KW44,8,16,5,21,21,16,24,18,17,17,20,30,12,9,6,7,7,
2020-KW45,6,3,5,13,31,30,25,16,16,17,24,21,13,12,10,5,6,
