# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-01 07:55:29
# API-Download für Covid19-Fälle in LK Borken, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,2,1,1,,,,,,1,,,,,,,
2020-KW11,,,,2,1,2,4,4,2,8,10,11,7,3,1,,,
2020-KW12,,4,5,10,16,26,10,14,17,19,36,30,19,10,5,5,6,
2020-KW13,,1,1,3,17,18,4,7,12,11,19,20,8,12,1,6,10,
2020-KW14,,3,5,8,24,10,13,9,14,17,23,27,18,16,9,8,24,
2020-KW15,1,1,1,3,8,9,7,8,6,10,15,10,11,3,5,5,11,
2020-KW16,2,,,2,4,3,6,5,6,7,5,5,5,1,1,3,6,
2020-KW17,,,1,,3,5,2,1,1,3,3,3,1,,5,2,3,
2020-KW18,1,,1,,2,,1,1,3,1,3,1,,,1,,,
2020-KW19,,,,1,6,2,7,4,5,7,6,7,1,,1,,1,
2020-KW20,1,1,,2,6,7,8,7,6,8,9,4,1,1,2,,2,
2020-KW21,,,,4,7,9,4,5,6,3,3,1,,1,,1,,
2020-KW22,2,3,2,1,4,3,3,6,10,10,2,2,,1,,,1,
2020-KW23,2,,,,,4,3,,,,,,,,,,,
2020-KW24,,,,1,,,,2,,,,,,,,,,
2020-KW25,,,,1,,,,,,1,,,1,,,,,
2020-KW26,,,,1,,,1,,,,,,,,,,,
2020-KW27,,1,,,,,2,1,,1,,,,,,,,
2020-KW28,,,1,,,,1,2,,,,,,,,,,
2020-KW29,,1,,,1,2,,1,1,2,2,1,,,,1,,
2020-KW30,,,1,2,3,1,3,2,1,1,2,,,,,,,
2020-KW31,1,,1,3,3,,,1,1,1,1,1,,,,,1,
2020-KW32,,,,3,2,2,,1,2,5,1,,,,2,,,
2020-KW33,3,1,,7,13,3,3,1,5,3,2,2,1,,,,,
2020-KW34,,1,1,1,8,7,1,1,1,2,2,,,1,,,,
2020-KW35,,,,,1,1,1,,,1,,,,,,,,
2020-KW36,,1,1,3,2,5,2,2,1,,1,,1,,,,1,
2020-KW37,1,,,,2,2,1,2,3,1,3,2,1,,,1,,
2020-KW38,,1,,1,7,1,2,3,1,2,1,1,3,,,,1,
2020-KW39,1,2,1,1,6,,2,8,3,4,,4,1,2,1,,1,
2020-KW40,1,3,5,7,4,4,4,4,8,12,5,3,3,3,5,2,2,
2020-KW41,,4,10,8,3,5,7,7,2,10,13,4,3,1,4,1,4,
2020-KW42,4,2,4,15,23,20,16,15,11,15,11,11,4,5,4,4,7,
2020-KW43,6,6,4,23,39,28,34,25,20,29,31,31,23,7,8,4,18,
2020-KW44,4,20,21,47,48,36,40,30,35,42,45,43,28,13,11,14,36,
2020-KW45,10,24,20,47,44,44,31,31,37,27,51,43,23,19,11,14,29,
2020-KW46,28,26,42,70,48,56,39,36,33,49,62,48,28,20,13,16,48,
2020-KW47,9,26,18,57,47,40,38,31,30,37,50,46,19,7,4,9,30,
2020-KW48,10,34,22,26,32,32,23,31,30,28,39,26,24,9,8,7,14,
2020-KW49,16,23,17,20,25,25,23,19,19,21,30,27,21,7,3,5,24,
2020-KW50,16,26,31,24,42,33,34,31,43,47,50,54,32,13,21,12,36,
2020-KW51,18,28,26,62,49,39,42,40,50,46,70,74,42,27,19,19,45,
2020-KW52,2,8,8,15,30,46,34,25,37,43,42,56,33,34,17,13,55,
2020-KW53,2,3,4,17,26,20,14,11,14,26,27,23,11,12,5,13,34,
2021-KW01,3,8,7,21,41,35,27,21,24,39,37,30,20,17,10,7,32,
2021-KW02,7,4,6,18,26,23,29,20,24,23,22,24,13,13,5,11,17,
2021-KW03,10,5,8,11,15,19,22,20,22,24,34,19,17,6,7,11,11,
2021-KW04,4,5,7,10,12,17,21,12,7,16,27,19,21,10,7,5,11,
2021-KW05,5,3,10,13,10,17,11,21,9,19,20,23,15,7,11,4,18,
2021-KW06,2,5,4,7,19,16,12,11,17,13,12,17,19,6,3,6,22,
2021-KW07,3,6,5,9,21,35,25,19,12,14,20,15,12,5,6,7,19,
2021-KW08,13,12,3,13,20,30,22,24,15,20,22,27,20,9,6,14,4,
2021-KW09,11,12,9,19,31,23,20,19,17,11,23,19,13,7,4,4,7,
2021-KW10,27,21,13,24,30,34,26,27,20,25,27,24,17,8,3,8,4,
2021-KW11,36,28,22,34,40,17,41,33,29,23,43,34,31,9,7,2,16,
2021-KW12,32,42,45,41,32,38,41,42,25,38,40,40,33,23,12,10,16,
2021-KW13,23,19,24,41,25,43,40,28,33,28,44,40,29,14,12,6,9,
2021-KW14,18,16,21,38,49,26,31,44,20,28,31,32,18,15,9,8,9,
2021-KW15,17,17,28,57,38,42,50,40,36,44,37,38,21,17,13,7,12,
2021-KW16,20,31,46,38,45,43,55,44,39,38,44,34,19,24,14,8,8,
2021-KW17,24,40,33,33,32,32,39,41,25,31,38,30,23,13,12,7,9,
2021-KW18,13,21,26,24,38,32,26,24,16,22,33,36,17,13,7,9,3,
2021-KW19,11,16,22,17,18,22,13,11,12,16,16,30,4,6,2,3,4,
2021-KW20,5,5,9,7,19,9,9,11,19,10,12,10,7,4,2,2,2,
2021-KW21,7,6,3,5,5,17,12,8,8,11,7,2,3,4,,2,1,
2021-KW22,,,,,,,2,,,,,,,,,,,
