# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-28 08:40:35
# API-Download für Covid19-Fälle in LK Böblingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW08,,,,1,,,,,,,,,,,,,,
2020-KW09,,,,,,2,,,,,,,,,,,,
2020-KW10,,,,1,,,,,,,2,,,,,,,
2020-KW11,,,1,,2,6,1,4,3,4,4,8,3,1,2,2,1,
2020-KW12,,,5,2,17,15,18,13,16,31,31,32,25,17,14,8,8,
2020-KW13,4,2,4,6,18,34,29,19,27,28,37,44,37,16,8,13,22,
2020-KW14,5,2,4,9,11,19,17,28,29,25,31,41,25,14,8,27,91,
2020-KW15,,3,4,6,18,21,17,12,13,14,22,18,12,4,3,13,28,
2020-KW16,,1,2,5,5,5,10,5,11,3,8,15,4,5,2,3,19,
2020-KW17,,,1,3,1,2,1,2,2,4,5,4,3,1,3,,8,
2020-KW18,2,,,1,2,2,2,2,,3,3,2,1,,1,1,1,
2020-KW19,,,,,,2,1,,2,1,,,,,1,,1,
2020-KW20,,,1,,,1,,3,,,2,2,,,1,1,2,
2020-KW21,,,,,1,,,,2,2,,,2,,,,,
2020-KW22,,,,,,1,1,2,,1,1,,2,1,,,1,
2020-KW23,2,1,,,,1,1,1,1,1,,1,,,,,1,
2020-KW24,,,,1,1,2,1,,,,2,,1,,,,,
2020-KW25,,,2,,1,2,1,2,,1,,1,,,,,,
2020-KW26,1,1,,2,1,3,2,,2,1,5,2,,,2,,,
2020-KW27,2,,1,1,1,,1,4,,,1,,1,1,,,,
2020-KW28,2,2,1,2,1,1,4,2,1,,,,,,,,,
2020-KW29,,3,,1,4,2,2,2,4,2,4,2,,,,,,
2020-KW30,2,1,,2,2,3,4,2,,2,2,2,3,1,,,,
2020-KW31,,,1,1,3,4,2,3,6,3,3,3,1,1,,,1,
2020-KW32,,1,1,2,7,2,6,,,2,1,2,1,,1,,,
2020-KW33,1,,1,2,6,7,2,2,2,2,3,,,2,,,1,
2020-KW34,1,3,3,7,19,13,11,5,10,6,3,4,,1,1,1,,
2020-KW35,3,1,3,14,15,14,13,4,14,7,4,1,3,1,,,2,
2020-KW36,6,4,9,9,9,6,18,10,14,8,8,6,3,1,,,2,
