# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-09-01 08:31:21
# API-Download für Covid19-Fälle in LK Fürstenfeldbruck, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,,,,,,1,,,,,1,,,,,,,
2020-KW06,,,,,,,,,,1,,,,,,,,
2020-KW10,,,,1,,,,,,,,,,,,,,
2020-KW11,1,2,,,1,,2,4,1,1,1,1,1,2,,2,1,
2020-KW12,,2,1,5,5,7,5,9,7,10,16,11,3,2,3,3,2,
2020-KW13,4,,3,11,16,17,10,17,17,23,29,28,15,10,9,6,14,
2020-KW14,1,3,3,6,12,9,12,11,10,13,30,18,17,15,10,15,35,
2020-KW15,,,,3,9,12,6,6,5,5,8,17,7,3,8,3,15,
2020-KW16,1,1,1,3,4,8,4,5,4,6,5,6,3,2,2,6,6,
2020-KW17,3,2,,,6,7,7,6,4,3,5,4,3,2,2,4,3,
2020-KW18,3,1,,1,3,1,3,1,3,1,3,1,1,,1,2,2,
2020-KW19,4,3,6,3,6,4,3,5,4,1,2,,1,,1,1,2,
2020-KW20,1,,,,1,1,2,1,,1,1,2,,,,,,
2020-KW21,1,,2,1,5,,,2,,1,1,,2,,,1,1,
2020-KW22,,,,,,,,,,,,2,,,,,,
2020-KW23,,,,,,1,,,1,,,,,1,,,,
2020-KW24,,,,,,,1,1,,,,,,,,,,
2020-KW25,,,,,1,1,,,,,,,,,,,,
2020-KW26,,,,1,,1,,1,1,1,,1,,,,,,
2020-KW27,,,,,3,2,,1,1,,2,2,1,,,,,
2020-KW28,1,,,1,,2,,1,,1,,1,1,,3,,,
2020-KW29,,,,2,6,1,2,1,2,1,2,,,1,,,,
2020-KW30,,,1,1,1,1,,3,,,,,,,,,,
2020-KW31,,,,1,2,1,3,1,,2,,,,1,,,,
2020-KW32,1,,,1,4,2,2,1,,2,,,,,,,,
2020-KW33,1,,,4,1,3,2,3,2,,3,,,,,,,
2020-KW34,,2,3,8,8,8,3,5,1,4,1,3,1,1,,,,
2020-KW35,,3,,4,3,6,6,3,3,2,2,3,,1,,,,
2020-KW36,,1,3,2,2,5,10,5,8,2,1,4,,1,1,2,,
2020-KW37,2,1,2,3,6,3,1,3,5,1,2,1,1,,,,,
2020-KW38,3,1,3,7,2,8,4,4,6,3,5,6,5,3,2,1,,
2020-KW39,1,8,7,4,6,5,5,10,3,5,10,2,3,2,1,1,,
2020-KW40,2,4,3,4,9,8,8,3,3,6,6,6,4,1,1,2,,
2020-KW41,3,4,12,12,14,12,14,8,7,19,12,17,6,3,4,2,3,
2020-KW42,5,7,20,26,15,10,17,15,16,21,28,8,5,3,3,2,6,
2020-KW43,11,18,27,23,22,15,15,16,24,23,21,27,12,7,4,5,5,
2020-KW44,15,9,19,22,31,27,22,19,20,37,22,34,19,11,7,7,18,
2020-KW45,18,17,27,36,39,35,33,27,29,36,33,36,25,12,13,13,45,
2020-KW46,11,15,11,17,26,42,32,40,33,33,40,28,27,10,7,9,18,
2020-KW47,19,20,15,21,21,39,20,26,18,26,24,27,17,11,20,5,27,
2020-KW48,14,15,18,32,24,33,29,38,32,45,36,35,18,13,9,11,22,
2020-KW49,12,17,11,29,18,38,24,28,26,39,26,35,13,2,6,11,18,
2020-KW50,10,20,31,27,27,24,45,20,43,30,40,42,28,13,9,10,29,
2020-KW51,14,22,29,27,39,31,36,34,24,23,38,29,28,15,6,7,14,
2020-KW52,7,17,19,13,26,17,18,25,16,31,35,29,12,8,11,12,20,
2020-KW53,4,5,7,12,29,33,28,25,18,21,14,37,21,10,8,9,17,
2021-KW01,3,9,11,18,22,26,30,17,19,12,27,17,9,6,2,8,25,
2021-KW02,4,5,6,10,25,27,32,13,13,13,23,20,9,5,8,7,15,
2021-KW03,4,2,3,7,10,12,12,12,12,13,10,19,9,1,4,7,29,
2021-KW04,2,4,1,3,16,14,11,12,9,16,15,15,8,2,3,9,36,
2021-KW05,4,5,1,10,15,9,5,7,14,9,9,12,6,3,2,6,8,
2021-KW06,3,1,5,5,6,5,7,3,5,5,7,7,1,2,,1,4,
2021-KW07,6,1,1,10,7,7,8,8,9,4,6,7,1,,1,4,6,
2021-KW08,17,16,9,12,8,15,16,16,13,9,9,8,5,3,,3,2,
2021-KW09,3,1,2,13,12,7,7,7,9,11,14,11,4,5,2,2,3,
2021-KW10,3,3,9,12,12,12,10,9,13,7,13,8,5,2,,4,1,
2021-KW11,12,10,9,10,16,15,15,14,13,9,8,12,7,6,,2,,
2021-KW12,11,11,19,12,13,16,26,17,24,16,14,18,12,8,6,2,7,
2021-KW13,18,14,8,12,21,17,20,13,11,22,16,20,9,3,2,2,5,
2021-KW14,11,14,16,16,22,33,23,22,27,24,22,12,15,7,1,5,8,
2021-KW15,7,18,20,19,27,21,32,36,29,37,32,17,21,2,11,6,8,
2021-KW16,11,17,19,25,23,34,27,34,27,30,38,24,16,7,5,3,4,
2021-KW17,9,15,14,31,14,16,17,13,21,12,24,14,13,13,5,4,4,
2021-KW18,6,14,10,16,20,12,11,17,22,19,18,13,10,5,2,1,2,
2021-KW19,6,16,11,14,6,13,7,7,14,5,14,6,9,3,2,1,,
2021-KW20,2,7,7,8,7,7,5,4,3,3,1,6,6,1,2,,2,
2021-KW21,2,5,5,8,2,8,4,5,7,5,4,3,1,,,,,
2021-KW22,1,5,2,2,6,1,4,5,5,6,4,2,,,2,,,
2021-KW23,1,3,2,4,5,,4,1,4,2,,1,1,1,,,,
2021-KW24,,,4,3,,,,1,1,,,,,,,,,
2021-KW25,,,1,1,,,1,,2,1,2,1,,,,,,
2021-KW26,,,,,2,,,,,,,,,,,,,
2021-KW27,,,,3,8,,,,,,1,3,,,,,,
2021-KW28,,2,2,11,6,2,1,2,,6,3,3,,,,,1,
2021-KW29,2,,3,3,3,3,,4,1,1,2,3,1,,,,1,
2021-KW30,,1,1,6,3,6,2,,3,4,6,2,,,,,,
2021-KW31,2,4,4,3,4,7,3,2,3,3,1,2,,,1,,1,
2021-KW32,1,7,8,10,9,6,6,8,1,2,1,2,3,,1,,1,
2021-KW33,2,2,8,13,12,13,13,9,10,13,4,5,1,,,,,
2021-KW34,5,7,16,26,18,17,17,14,20,19,13,8,2,1,1,1,1,
2021-KW35,3,2,11,25,20,19,19,16,15,12,11,9,4,2,4,1,18,
2021-KW36,5,13,15,8,20,23,14,8,20,12,12,9,4,2,,3,10,
2021-KW37,5,10,25,23,19,8,15,13,11,8,6,8,7,2,1,3,4,
2021-KW38,7,8,9,6,10,14,11,14,8,12,8,7,4,1,2,2,9,
2021-KW39,7,12,9,14,11,12,15,8,17,13,8,12,6,7,2,3,5,
2021-KW40,7,6,6,9,8,11,19,5,9,6,8,8,2,3,2,1,2,
2021-KW41,2,10,8,13,17,10,15,7,12,9,12,9,4,3,2,3,2,
2021-KW42,4,26,22,18,19,17,20,14,23,14,19,18,7,7,3,1,1,
2021-KW43,9,27,35,20,21,20,29,16,22,22,33,29,24,13,9,6,7,
2021-KW44,18,57,43,29,63,59,47,50,63,60,56,47,37,13,10,9,17,
2021-KW45,23,105,114,90,113,70,73,72,83,87,90,66,53,29,26,21,27,
2021-KW46,29,82,89,55,72,80,88,71,94,73,76,62,53,37,27,27,42,
2021-KW47,37,93,79,37,75,67,88,86,100,72,90,60,51,23,10,19,40,
2021-KW48,32,81,72,38,51,50,62,54,63,51,76,51,35,30,8,13,31,
2021-KW49,16,43,43,38,33,48,51,55,36,43,58,35,22,15,9,13,23,
2021-KW50,14,51,38,11,20,28,23,33,33,22,31,29,12,11,13,5,5,
2021-KW51,17,28,18,23,38,31,25,32,25,17,24,20,11,8,4,2,5,
2021-KW52,10,15,28,29,32,43,26,35,24,33,19,29,18,9,5,6,8,
2022-KW01,18,39,49,60,83,82,53,59,50,42,50,53,26,15,13,4,19,
2022-KW02,35,113,136,234,150,140,144,113,110,115,109,92,45,25,16,8,31,
2022-KW03,105,226,216,162,159,165,146,173,169,146,120,96,41,28,16,10,12,
2022-KW04,151,297,240,196,188,161,188,215,237,154,152,118,79,39,17,19,25,
2022-KW05,498,1224,897,664,513,499,721,842,852,634,548,429,200,124,94,67,133,
2022-KW06,181,471,409,322,213,222,294,340,360,304,225,194,151,54,54,44,82,
2022-KW07,127,280,334,278,225,239,228,237,288,239,245,170,119,77,60,35,100,
2022-KW08,112,275,279,211,231,189,184,236,269,191,188,179,123,71,57,44,111,1
2022-KW09,118,201,184,214,192,200,250,248,232,198,205,151,104,57,48,34,70,
2022-KW10,137,288,313,431,346,275,280,268,332,296,293,229,177,78,73,54,108,
2022-KW11,165,368,368,408,357,353,334,351,365,329,360,337,228,130,98,74,160,
2022-KW12,170,387,405,384,341,328,333,431,422,376,400,338,272,148,113,83,187,2
2022-KW13,107,247,242,240,209,214,230,286,292,230,280,256,208,84,88,58,94,1
2022-KW14,95,157,169,147,144,130,152,182,200,153,169,195,110,52,37,38,54,
2022-KW15,73,139,108,98,144,141,137,154,170,134,153,157,111,78,55,40,49,
2022-KW16,41,81,115,97,131,135,136,176,158,170,179,148,103,62,46,31,55,
2022-KW17,35,113,173,140,134,96,107,119,144,133,157,108,96,42,41,34,48,
2022-KW18,48,90,100,147,147,119,130,131,155,130,146,151,91,55,39,28,58,
2022-KW19,32,64,92,68,81,78,99,110,112,96,112,128,80,35,31,23,28,
2022-KW20,19,48,80,80,66,46,69,70,107,88,82,95,55,39,32,29,39,
2022-KW21,8,18,39,41,38,32,41,53,52,42,54,42,29,19,24,17,23,
2022-KW22,11,27,43,54,48,37,56,57,74,67,70,77,34,26,14,21,31,
2022-KW23,6,6,11,24,35,39,46,28,38,42,63,70,33,15,19,10,27,
2022-KW24,11,18,25,51,90,66,83,63,86,73,87,94,51,36,24,16,32,
2022-KW25,24,45,57,71,77,107,117,101,115,114,147,125,92,51,30,26,33,
2022-KW26,32,49,115,102,97,106,102,131,137,151,149,160,85,58,47,32,41,
2022-KW27,25,91,172,143,114,123,159,142,177,166,198,193,120,68,65,30,44,
2022-KW28,42,79,139,136,124,148,166,172,176,169,201,196,128,75,60,56,79,
2022-KW29,31,57,132,110,94,127,150,163,183,180,219,198,146,74,37,47,69,
2022-KW30,21,31,92,69,70,95,141,111,132,139,173,159,124,69,44,42,49,
2022-KW31,11,18,39,33,51,72,83,73,76,92,104,83,89,43,43,35,52,
2022-KW32,11,14,20,19,41,62,67,52,54,49,74,74,62,33,17,18,58,
2022-KW33,9,6,7,17,25,36,37,40,33,45,37,60,37,14,20,14,23,
2022-KW34,7,8,10,20,24,33,57,42,35,25,43,56,34,25,17,12,29,
2022-KW35,12,11,8,17,34,55,51,42,41,44,57,66,38,25,17,8,36,
2022-KW36,11,17,5,16,32,27,39,37,37,38,45,38,33,28,22,15,19,
2022-KW37,17,22,21,22,36,30,51,38,59,59,43,47,34,26,14,22,23,
2022-KW38,14,36,34,36,43,43,53,71,74,62,79,68,62,33,33,17,45,
2022-KW39,24,45,100,99,118,160,195,205,204,208,255,241,155,64,50,39,75,
2022-KW40,30,56,84,109,179,239,257,229,281,265,358,340,222,113,84,77,147,
2022-KW41,32,36,67,78,121,153,177,167,162,187,266,292,218,142,101,84,175,
2022-KW42,19,18,42,30,50,49,72,83,89,85,136,155,129,68,68,63,135,
2022-KW43,10,17,22,16,22,30,51,43,44,45,68,45,55,51,33,39,66,
2022-KW44,5,4,12,10,19,16,25,22,27,22,48,56,29,22,17,19,32,
2022-KW45,8,4,12,14,19,18,32,21,28,33,36,40,22,16,9,10,28,
2022-KW46,1,3,13,12,6,10,19,17,17,24,25,28,22,10,11,14,26,
2022-KW47,4,2,5,8,13,13,17,14,14,8,20,27,15,10,6,19,24,
2022-KW48,4,3,11,7,13,16,20,16,24,22,30,26,24,8,9,7,19,
2022-KW49,4,6,1,7,10,14,20,24,12,19,33,38,17,17,9,14,34,
2022-KW50,6,2,2,16,16,18,19,21,28,17,28,42,27,14,17,17,46,
2022-KW51,4,6,5,6,16,19,22,29,20,16,37,49,20,20,12,17,29,
2022-KW52,2,5,2,9,9,18,14,18,25,24,27,43,33,12,13,19,35,
2023-KW01,1,1,1,4,7,7,6,10,9,14,13,25,17,4,6,14,23,
2023-KW02,4,8,3,5,8,8,17,18,23,17,18,19,14,11,4,11,33,
2023-KW03,4,8,2,5,6,22,11,12,9,10,16,23,13,7,4,5,13,
2023-KW04,3,6,7,10,9,7,12,16,19,20,15,11,11,9,11,9,26,
2023-KW05,3,7,10,9,12,14,16,24,24,20,24,28,13,7,5,4,28,
2023-KW06,5,9,11,10,16,10,14,12,17,25,23,18,15,12,12,5,28,
2023-KW07,1,5,7,14,23,12,20,21,17,24,24,25,20,16,9,10,19,
2023-KW08,2,2,3,9,6,15,16,20,21,20,36,21,11,8,14,10,29,
2023-KW09,1,2,3,6,14,12,4,10,10,13,19,17,13,4,4,9,32,
2023-KW10,6,1,,5,4,5,4,3,5,4,5,10,13,5,10,10,19,
2023-KW11,5,3,2,1,3,3,4,8,2,1,6,2,2,6,1,4,25,
2023-KW12,1,1,,1,,4,4,4,2,3,4,5,4,6,3,6,15,
2023-KW13,5,2,1,1,2,3,2,2,1,4,2,4,5,3,5,4,4,
2023-KW14,,,,,2,3,1,2,3,,1,1,3,2,2,8,13,
2023-KW15,,,,,5,1,,1,,,,,4,1,,1,9,
2023-KW16,,,1,,4,2,1,2,,1,2,1,4,2,1,3,3,
2023-KW17,,,,,,1,2,,1,2,1,2,2,2,,,3,
2023-KW18,,,,,1,,,,1,2,,,,,1,2,,
2023-KW19,,,,,1,,3,1,,1,,3,1,1,2,,1,
2023-KW20,,,,,,1,1,2,,,,1,,,,1,,
2023-KW21,,,,,,,1,,,,,,,,1,2,2,
2023-KW22,1,,,,,,,,1,,,2,,1,,,1,
