# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-15 08:41:00
# API-Download für Covid19-Fälle in LK Heinsberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,3,1,1,3,7,7,11,6,9,6,7,3,3,4,,,1,
2020-KW10,2,1,,8,34,28,19,14,20,18,31,19,8,1,3,6,2,
2020-KW11,3,2,2,8,28,31,22,23,25,30,40,44,28,26,18,17,23,
2020-KW12,1,3,,4,14,15,19,17,14,13,33,42,29,22,21,25,56,
2020-KW13,1,1,1,6,13,14,16,13,14,18,35,30,24,20,10,20,31,
2020-KW14,1,,,2,9,12,10,9,10,14,18,34,22,8,11,11,30,
2020-KW15,,,1,4,7,14,5,8,10,8,20,21,8,5,2,2,10,
2020-KW16,,,3,8,10,8,7,6,7,7,14,13,9,8,4,5,9,
2020-KW17,,,,3,3,1,,1,3,6,5,3,7,3,,1,3,
2020-KW18,,,,3,2,3,1,2,1,1,2,1,2,3,,1,2,
2020-KW19,,1,3,2,4,4,5,1,1,5,2,1,1,,1,,4,
2020-KW20,,,,,10,11,8,7,12,5,4,9,4,4,1,2,3,
2020-KW21,3,,1,2,1,4,,2,,1,3,,1,,,,,
2020-KW22,,3,3,2,,,3,,2,,1,1,5,1,,,1,
2020-KW23,1,,,1,1,1,,,1,,,2,,,,,,
2020-KW24,,2,1,,1,1,1,,,1,1,1,1,,1,,,
2020-KW25,2,,,1,1,2,3,1,4,3,2,,,1,2,,,
2020-KW26,3,3,3,3,1,1,2,,1,4,3,2,,,,,,
2020-KW27,,1,,5,1,,,,2,,,,,,,,,
2020-KW29,,,,,,1,,,1,1,1,,1,1,1,,,
2020-KW30,,,,,1,2,,1,1,1,,1,1,,1,,2,
2020-KW31,,,,,3,1,,,1,,,1,2,,1,,,
2020-KW32,,1,1,1,2,2,,2,2,,4,1,1,,1,,1,
2020-KW33,,2,,,1,,,1,3,2,1,,,1,,,,
2020-KW34,1,,,4,4,3,3,2,4,3,1,2,1,,,,,
2020-KW35,2,4,1,3,6,2,3,1,1,1,1,2,,1,,1,,
