# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-02-06 07:36:35
# API-Download für Covid19-Fälle in LK Ludwigslust-Parchim, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,1,,,,,,1,,,,,,,
2020-KW12,,,,,,1,1,1,3,3,2,2,5,2,1,1,,
2020-KW13,,,2,,1,3,3,,1,,,1,,2,,,,
2020-KW14,1,,1,2,,1,2,1,4,1,,,1,,,2,,
2020-KW15,,,,,,,1,,1,,,1,1,1,,,,
2020-KW16,,,,,,,,,,2,,,4,,,,1,
2020-KW17,,,,,,,,1,,,,1,,,,,,
2020-KW18,,,1,,1,,,,,,,,1,,,,,
2020-KW19,,,,1,1,,,,,,,1,1,2,,,,
2020-KW20,,,,,,,,1,,1,,1,1,,,,,
2020-KW24,,,,,1,,,,,,,1,1,,,,,
2020-KW25,,,,,,,1,,2,,2,2,,,,,,
2020-KW26,,,,,,1,1,,,,,,,,,,,
2020-KW27,,,,,,,,,1,,,,,,,,,
2020-KW29,,,,,,,,,,1,,,,,,,,
2020-KW30,,,,,1,,,1,,,,,,,,,,
2020-KW31,,1,2,,,4,1,,1,1,8,3,1,1,,1,1,
2020-KW32,1,2,,,,,2,2,1,2,1,3,,,1,,,
2020-KW33,1,,,,,,,,,,,1,,,,,,
2020-KW34,,,1,,1,,,,,,,,,,,,,
2020-KW35,,,,2,3,,,,,,,,,,,,,
2020-KW36,,,,,1,,,,,,,,,,,,,
2020-KW37,,,,,,2,,,,,1,,,,,,,
2020-KW38,,,,,3,1,2,1,,,,2,,,,,,
2020-KW39,,,,1,2,,,,,,,2,1,1,,,1,
2020-KW40,,,,2,,1,3,3,2,4,2,,,,,,,
2020-KW41,2,2,2,2,1,1,,2,6,1,1,2,2,1,,,1,
2020-KW42,3,1,3,1,7,2,8,10,9,6,3,1,1,3,1,,1,
2020-KW43,1,,1,,,5,7,5,6,7,6,2,2,1,1,1,2,
2020-KW44,2,3,5,,5,9,15,13,11,15,15,11,8,8,3,2,3,
2020-KW45,1,2,3,4,4,6,7,10,9,13,7,13,6,2,,1,,
2020-KW46,3,9,2,4,7,6,9,5,7,6,8,3,9,5,3,1,3,
2020-KW47,1,1,3,4,6,2,4,6,10,7,13,15,10,3,4,6,3,
2020-KW48,,10,19,2,6,2,11,7,6,8,12,15,5,2,3,3,8,
2020-KW49,2,1,9,16,8,3,7,10,8,9,8,19,12,8,5,5,10,
2020-KW50,3,11,21,16,11,7,23,25,19,13,13,18,25,16,7,10,26,
2020-KW51,2,7,8,4,12,17,19,11,16,13,25,32,14,13,8,4,28,
2020-KW52,,1,4,1,5,4,8,11,15,13,27,11,9,10,7,5,28,
2020-KW53,1,2,2,4,11,10,21,11,11,23,20,34,12,13,8,20,55,
2021-KW01,6,5,8,13,14,17,28,36,22,22,48,47,26,20,13,18,69,
2021-KW02,6,4,7,8,18,17,25,17,24,20,36,34,27,14,9,19,71,
2021-KW03,15,9,10,9,6,6,21,19,18,23,24,28,18,15,6,13,63,
2021-KW04,5,13,6,7,6,9,16,14,19,12,18,28,28,8,6,9,44,
2021-KW05,4,4,3,6,11,6,8,11,13,8,14,18,18,8,3,11,43,
2021-KW06,2,2,6,5,7,3,2,9,10,5,9,16,7,5,3,1,23,
2021-KW07,13,6,3,5,9,5,11,18,9,6,7,10,12,7,4,2,24,
2021-KW08,7,7,2,8,10,5,11,14,12,12,17,26,16,4,3,3,16,
2021-KW09,26,15,5,6,11,11,17,16,21,8,20,22,14,9,4,2,10,
2021-KW10,5,8,8,8,7,9,8,17,12,11,25,30,12,7,4,6,8,
