# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-24 05:37:13
# API-Download für Covid19-Fälle in LK Main-Tauber-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,1,,3,2,,,1,1,2,7,4,,,,1,,,
2020-KW11,,,1,2,,1,,,,2,5,,,,,,,
2020-KW12,,,,1,1,,2,2,1,3,3,3,5,,1,1,3,
2020-KW13,1,,,4,5,1,6,3,5,6,5,8,7,2,2,1,4,
2020-KW14,,1,,4,3,12,10,10,7,12,11,18,14,4,5,6,13,
2020-KW15,1,1,,3,1,3,3,3,3,3,8,6,1,2,,3,7,
2020-KW16,,,1,1,2,1,,3,1,,3,4,2,2,1,2,5,
2020-KW17,,1,,1,2,3,3,2,2,2,3,4,2,2,,1,1,
2020-KW18,,1,1,,3,,,2,3,2,2,,3,2,2,,1,
2020-KW19,1,,2,1,1,,,,1,1,2,,3,,,,1,
2020-KW20,,,,1,,,,1,1,,,1,,,,,,
2020-KW21,,,,,,,,1,,,,,,,,1,1,
2020-KW22,,,,,,,,,,,,,,,,,1,
2020-KW24,,,,,,,,,,,,,,,,1,,
2020-KW28,,,,,,,,,,1,,,,,,1,,
2020-KW29,2,4,3,7,4,4,4,4,1,1,3,3,3,,,,,
2020-KW30,1,1,,,1,2,1,1,,3,2,2,1,1,,2,,
2020-KW31,,,,2,,2,,1,,,1,1,,,,,,
2020-KW32,,,,1,1,2,1,,,,,,,,,1,,
2020-KW33,,,2,2,4,1,,,2,1,,2,,,1,,1,
2020-KW34,,,2,2,3,1,,1,,,1,,,,,,,
2020-KW35,,,,,,,,2,1,1,,,1,,,,,
2020-KW36,,,1,1,,1,4,1,1,2,1,,1,,,,,
2020-KW37,,,,1,2,,,1,1,2,1,,,,,,,
2020-KW38,1,1,,3,3,1,1,2,,1,1,,,,,,,
2020-KW39,1,,,2,1,,,1,1,,1,2,1,1,,,4,
2020-KW40,,,2,4,1,1,3,,1,,3,2,1,,,,2,
2020-KW41,1,5,5,4,2,3,4,4,3,3,1,3,,,1,2,3,
2020-KW42,1,2,7,4,4,7,7,5,6,1,1,1,8,5,4,1,1,
2020-KW43,3,12,4,15,4,16,9,8,3,13,6,7,8,3,5,2,2,
2020-KW44,1,1,1,4,14,10,1,7,4,9,7,13,6,3,,1,5,
2020-KW45,2,2,3,4,2,4,8,2,8,10,7,11,9,4,5,,8,
2020-KW46,5,2,5,3,12,10,11,6,5,9,12,9,7,5,4,2,9,
2020-KW47,2,1,10,7,11,6,9,10,10,11,11,6,9,7,3,1,7,
2020-KW48,6,11,11,11,19,19,12,7,9,9,12,12,12,4,4,7,15,
2020-KW49,10,9,5,12,15,15,12,9,5,5,10,17,13,11,3,6,7,
2020-KW50,6,7,3,12,5,7,15,19,14,9,6,14,8,4,6,4,14,
2020-KW51,5,19,14,11,11,24,15,22,21,7,19,8,17,9,6,7,15,
2020-KW52,3,11,13,11,16,20,10,10,17,16,14,14,8,5,7,1,11,
2020-KW53,2,5,11,12,16,7,7,12,12,11,11,23,15,8,2,4,47,
2021-KW01,1,1,7,5,9,13,1,10,12,15,15,14,9,5,12,9,43,
2021-KW02,,5,8,10,14,9,10,7,13,13,15,16,12,10,2,6,22,
2021-KW03,4,6,8,2,9,9,13,18,7,11,9,15,8,4,6,7,35,
2021-KW04,5,2,2,,9,5,4,5,6,4,6,9,10,5,7,1,9,
2021-KW05,3,1,2,7,2,9,5,7,3,4,3,8,5,4,2,2,19,
2021-KW06,1,1,5,2,2,3,5,6,4,3,5,6,4,1,1,3,7,
2021-KW07,,1,1,2,5,8,7,6,4,1,3,10,4,6,,1,3,
2021-KW08,3,,2,3,5,10,7,2,1,4,8,8,3,1,2,2,7,
2021-KW09,4,3,3,3,6,13,5,8,6,9,7,6,7,2,3,3,7,
2021-KW10,8,11,2,6,9,20,7,3,9,6,3,11,3,4,,1,9,
2021-KW11,12,10,8,9,18,25,13,23,14,22,13,31,22,4,7,2,5,
2021-KW12,10,14,8,11,17,13,20,15,18,20,21,14,12,7,8,2,9,
2021-KW13,10,11,12,16,12,15,16,15,14,17,16,17,17,16,2,1,5,
2021-KW14,12,10,17,18,19,18,12,15,21,12,7,9,11,5,8,4,4,
2021-KW15,15,20,7,6,10,19,22,13,14,6,9,22,10,4,5,2,6,
2021-KW16,6,8,8,6,9,16,12,11,9,14,9,8,10,4,4,2,3,
2021-KW17,5,6,14,9,10,9,12,10,8,4,12,16,7,1,3,,5,
2021-KW18,5,3,1,1,6,7,5,8,2,3,8,8,3,2,2,,1,
2021-KW19,5,4,2,4,4,2,6,5,4,7,8,4,7,2,,1,2,
2021-KW20,6,6,5,4,9,6,8,8,4,7,6,5,4,2,2,1,,
2021-KW21,15,9,3,5,3,3,5,4,5,3,1,3,4,,1,,,
2021-KW22,3,1,3,1,1,4,4,1,2,1,6,5,1,1,,1,3,
2021-KW23,3,,2,1,1,1,4,1,4,2,,3,,,,,2,
2021-KW24,5,3,,1,2,1,5,1,1,,,1,,,,,,
2021-KW25,,1,,,,1,1,,1,,,,,,,,,
2021-KW26,,1,,1,1,,,1,1,,,,,1,,,,
2021-KW28,,,,1,,2,4,,1,,,,1,1,,,1,
2021-KW29,,,2,4,7,6,3,6,1,3,,2,2,,,,,
2021-KW30,2,4,3,7,3,3,4,5,1,4,,1,,,,,1,
2021-KW31,2,4,3,13,4,3,6,1,3,4,2,,,,,,,
2021-KW32,2,2,2,23,3,3,3,7,,1,4,1,1,,,,1,
2021-KW33,5,3,7,3,7,3,9,6,4,3,4,4,2,,,,2,
