# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-17 08:42:03
# API-Download für Covid19-Fälle in LK Mayen-Koblenz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,1,,,,1,,2,,2,,3,11,1,5,3,4,3,
2020-KW12,,,,,3,6,7,10,11,7,16,10,13,6,1,2,5,1
2020-KW13,,,,2,,3,4,,6,5,9,10,10,5,7,3,3,1
2020-KW14,1,,1,,4,2,5,5,2,6,2,4,4,3,5,2,11,
2020-KW15,,,,1,3,2,,2,1,4,10,3,4,5,2,5,7,1
2020-KW16,,1,,,3,1,2,,,,2,1,1,2,1,1,1,
2020-KW17,,,1,,,1,,,1,,,1,1,2,,,,
2020-KW18,,,,1,,,,1,,,1,,2,1,,,,
2020-KW20,,,,,,,,,,,,,,,,,1,
2020-KW22,,,,,,,,,,,,,,1,,1,,
2020-KW25,,,,,1,1,1,,,,,2,1,1,,,,
2020-KW26,,,,,1,,,,,,,,,,,,,
2020-KW28,,,,,,,,1,,,,,1,,,,,
2020-KW29,1,1,,,,,2,,,,,,,,,,2,
2020-KW30,,,,,,,,,,,2,,,,,,,
2020-KW32,,1,2,6,1,,1,,,2,,,,,1,,,
2020-KW33,1,1,,,,,1,1,,,,,,,,1,1,
2020-KW34,1,3,1,,3,2,2,2,1,,,,,,,,,1
2020-KW35,,,,1,1,2,2,1,1,,1,,2,1,,,,
2020-KW36,,1,,,,1,1,1,,1,,,,,,,,
2020-KW37,,,,,1,1,,,,1,,,,,,,,
2020-KW38,,,,,1,,,1,,,,2,,2,,,2,
2020-KW39,,1,3,3,7,6,3,3,4,1,5,2,3,,,,1,1
2020-KW40,,2,1,1,3,2,2,3,4,3,4,2,,1,,,,
2020-KW41,,,1,1,7,7,2,2,5,6,3,4,1,,3,3,,
2020-KW42,1,1,2,8,6,9,5,2,3,6,9,9,4,1,3,,7,
2020-KW43,,1,2,3,5,3,12,9,9,5,6,10,9,3,4,3,5,4
2020-KW44,1,2,4,12,9,16,19,4,21,15,19,12,8,3,1,,17,4
2020-KW45,6,2,11,21,24,22,18,16,14,21,24,19,10,8,6,13,20,8
2020-KW46,2,8,11,22,19,20,23,37,16,19,26,25,17,11,10,10,37,11
2020-KW47,3,4,8,13,22,14,8,19,21,17,21,23,23,11,13,8,19,6
2020-KW48,1,6,9,7,19,22,21,10,17,20,21,10,20,6,1,3,9,3
2020-KW49,5,2,5,6,12,11,13,8,13,12,17,16,9,7,2,8,25,7
2020-KW50,9,9,5,13,21,30,22,16,18,20,21,14,22,12,6,10,30,6
2020-KW51,9,5,4,9,33,27,22,20,15,25,23,30,16,7,12,12,55,2
2020-KW52,3,,3,7,9,13,11,24,13,13,16,20,8,10,8,10,18,
2020-KW53,1,4,5,17,19,19,12,11,10,18,20,13,14,13,13,7,38,
2021-KW01,1,2,5,6,23,19,24,18,13,15,23,23,13,13,12,8,33,5
2021-KW02,3,,3,12,15,16,22,12,10,12,11,26,23,7,9,8,29,3
2021-KW03,1,5,8,15,20,24,14,16,21,22,20,28,11,9,10,12,57,4
2021-KW04,3,4,2,12,15,11,23,10,8,17,17,12,10,6,5,3,14,1
2021-KW05,1,3,2,3,6,6,9,14,7,3,16,9,6,4,6,1,7,1
2021-KW06,2,3,2,6,10,6,8,4,7,8,7,9,1,2,2,,13,1
2021-KW07,1,8,9,10,3,6,6,6,9,9,6,1,5,4,2,4,1,
2021-KW08,1,2,4,7,6,8,8,7,8,3,6,8,3,6,5,,2,1
2021-KW09,6,3,3,4,5,15,12,7,8,12,10,8,4,4,3,3,3,1
2021-KW10,5,5,7,3,8,11,4,9,11,10,6,6,5,1,1,1,2,1
2021-KW11,15,14,6,6,11,8,7,15,11,7,6,9,7,6,2,3,8,
2021-KW12,16,14,13,18,12,16,29,28,19,18,25,19,8,10,4,3,10,2
2021-KW13,17,19,22,23,32,31,31,20,27,30,23,21,17,11,8,6,15,5
2021-KW14,4,12,23,30,23,17,28,18,18,15,24,20,17,15,10,1,6,4
2021-KW15,17,14,34,19,18,18,38,26,28,21,35,28,15,12,9,4,9,1
2021-KW16,20,22,39,32,26,34,32,36,27,25,27,27,14,13,5,7,11,3
2021-KW17,14,16,26,23,25,23,23,21,19,25,28,21,22,12,6,2,11,
2021-KW18,3,7,8,10,10,15,12,5,9,12,14,16,14,5,8,3,5,
2021-KW19,6,8,15,22,14,8,10,11,12,9,11,7,5,5,6,2,3,
2021-KW20,8,7,6,4,6,8,8,8,6,8,3,7,1,5,1,1,4,
2021-KW21,5,,2,5,4,4,2,5,4,1,1,1,3,2,6,,,
2021-KW22,2,1,1,4,3,4,1,3,2,2,,1,2,,,,,
2021-KW23,2,2,1,2,5,1,1,1,1,2,1,7,,1,,1,,
2021-KW24,1,1,4,2,,2,4,1,3,,,2,,,,,,
2021-KW25,,1,,,,1,2,,1,,,1,2,,,,,
2021-KW26,,,2,,1,3,3,,,,3,,2,,,,2,
2021-KW27,,2,,2,1,3,1,2,,2,1,2,,,,,1,
2021-KW28,,,,3,2,2,1,,,,1,,,,,,,
2021-KW29,,1,9,1,8,2,1,2,2,5,4,5,,,,,1,
2021-KW30,9,4,3,8,6,8,5,4,7,4,5,4,6,2,1,,,
2021-KW31,,1,4,14,5,8,6,5,5,2,4,3,,,,1,,
2021-KW32,3,10,6,10,13,9,4,5,2,4,5,2,1,,1,,1,
2021-KW33,5,5,9,14,15,18,10,7,11,6,7,4,1,4,1,,1,
2021-KW34,5,7,20,15,13,16,14,15,17,13,4,2,5,3,2,2,1,
2021-KW35,12,25,30,28,20,15,12,18,18,14,11,3,5,4,2,1,,1
2021-KW36,8,18,16,10,10,11,18,8,19,16,6,5,3,6,2,,2,
2021-KW37,6,19,13,12,7,8,5,14,6,5,4,4,3,4,,1,3,
2021-KW38,4,8,7,6,3,2,6,9,6,2,,1,3,3,,,,
2021-KW39,1,5,12,7,4,9,5,7,3,10,5,5,1,2,3,2,1,
2021-KW40,1,6,7,6,6,8,10,9,11,6,4,9,2,,1,,4,
2021-KW41,4,7,5,3,4,8,10,1,4,4,4,2,3,1,3,4,3,
2021-KW42,2,5,7,4,7,9,7,10,9,4,6,6,5,,,,4,
2021-KW43,5,22,16,15,13,18,18,16,24,10,11,11,15,10,6,7,25,
2021-KW44,7,19,14,9,9,14,19,24,17,16,18,22,22,10,9,4,28,
2021-KW45,9,25,23,18,16,12,20,28,28,23,21,31,18,17,11,6,8,
2021-KW46,10,28,41,17,15,19,42,29,25,27,33,32,27,16,7,7,8,
2021-KW47,19,39,72,28,23,25,42,42,36,30,36,36,28,16,12,3,14,2
2021-KW48,24,27,49,33,34,47,47,54,42,29,29,41,23,15,9,7,6,1
2021-KW49,25,52,39,38,24,34,29,32,44,30,28,47,31,13,9,8,16,2
2021-KW50,13,40,36,31,12,27,35,39,27,24,34,18,20,14,13,5,9,1
2021-KW51,11,19,30,20,17,16,26,30,27,15,16,15,14,7,3,6,5,
2021-KW52,14,27,25,20,24,33,52,42,21,14,25,22,11,15,2,2,8,
2022-KW01,28,51,54,65,72,51,49,56,44,35,40,44,19,14,6,5,8,
2022-KW02,50,97,86,74,69,54,66,67,61,55,47,34,26,13,9,8,10,
2022-KW03,70,168,169,147,141,124,148,148,156,97,122,106,59,33,25,9,10,
2022-KW04,83,201,174,185,159,160,175,195,167,119,130,105,76,35,12,6,33,12
2022-KW05,82,229,264,219,195,182,217,273,194,174,152,141,112,50,32,15,58,4
2022-KW06,93,223,220,205,191,168,210,235,200,123,138,131,94,51,36,26,74,6
2022-KW07,104,221,205,189,160,169,231,214,205,166,147,149,97,54,32,23,78,2
2022-KW08,78,127,148,134,156,163,199,152,188,115,129,136,100,62,43,17,62,5
2022-KW09,105,214,214,286,341,294,279,265,263,223,256,224,145,78,69,29,58,3
2022-KW10,129,326,318,353,350,348,368,362,340,270,355,315,199,101,64,40,87,2
2022-KW11,223,485,406,359,341,344,443,463,409,304,390,356,243,154,113,60,232,5
2022-KW12,193,466,395,299,318,369,381,477,445,335,355,366,282,161,106,67,179,6
2022-KW13,137,294,249,263,288,255,327,350,313,277,320,290,200,141,98,62,104,3
2022-KW14,88,181,162,162,169,219,255,274,258,202,233,229,168,71,60,41,67,2
2022-KW15,69,99,88,88,161,172,208,210,176,129,184,185,125,74,46,23,42,4
2022-KW16,44,68,83,128,180,164,180,162,149,144,168,156,126,73,51,29,52,
2022-KW17,34,60,76,143,116,125,103,108,119,99,129,113,79,63,39,21,40,
2022-KW18,25,53,64,71,65,82,110,79,106,60,88,89,69,42,28,20,22,1
2022-KW19,30,57,84,60,46,59,82,72,102,63,73,62,49,26,19,12,24,3
2022-KW20,19,35,52,42,47,41,73,54,55,53,60,61,34,28,10,8,24,1
2022-KW21,9,12,36,29,41,47,50,34,48,42,60,46,37,9,12,17,13,
2022-KW22,7,19,30,43,51,76,72,69,48,49,72,69,51,31,20,11,11,2
2022-KW23,16,46,55,105,175,183,167,124,108,101,104,127,72,32,20,12,24,
2022-KW24,8,20,29,38,51,42,54,43,40,36,77,67,34,16,13,9,23,1
