# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-09-15 09:01:17
# API-Download für Covid19-Fälle in LK Merzig-Wadern, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,1,,,,,,,
2020-KW11,,,,,,,,,,1,,,,,,,,
2020-KW12,,,,,1,2,1,,1,4,6,2,1,,,,,
2020-KW13,,,2,,2,1,2,3,3,,8,5,2,,2,1,1,
2020-KW14,2,,,1,5,7,4,2,3,6,6,6,4,2,3,3,15,
2020-KW15,,1,,1,3,5,6,1,2,2,3,6,5,2,3,4,3,
2020-KW16,,,,2,1,,1,1,,,2,3,2,,1,1,1,
2020-KW17,,,1,,1,,2,1,,,,1,1,,,,1,
2020-KW18,,,,,,,2,,,,2,,,,,,,
2020-KW19,,,,,,,1,,,,1,,,1,1,,,
2020-KW20,,,,,,,,1,,,,1,,,,,1,
2020-KW21,,,,,,,,,,,,,,,,1,1,
2020-KW22,,,,,,,,,,,,1,,,,,,
2020-KW23,1,,,,,,,,,,1,,1,,,,1,
2020-KW24,1,,,,1,1,2,,,,,,,,,,1,
2020-KW25,,,,,,,,,,,,,,,,,1,
2020-KW26,,,,,,,,,,,,,1,,,,1,
2020-KW28,,,,,,,,,,,,,1,,,,,
2020-KW29,,,,,,,1,,,,,,,,,,,
2020-KW30,,,,2,,3,,,,,3,,,,,,,
2020-KW31,,,,,1,1,,,,,,,,,,,,
2020-KW32,,,,,,5,,,,,,1,,,,,,
2020-KW33,1,1,2,3,2,,,3,2,,,1,,1,,,,
2020-KW34,,,,,,1,,1,,,,,,1,,,,
2020-KW35,,1,,1,2,6,,,,,,1,1,,,,,
2020-KW36,,,,,,,,,,1,,,,,,,,
2020-KW37,,,1,,2,,,,,,,,,,,,1,
2020-KW38,,,,,,,,1,4,1,,,,1,,,,
2020-KW39,,,,,,,1,1,1,1,,,1,,,,1,
2020-KW40,1,1,1,2,,2,2,2,,,1,2,2,,2,,,
2020-KW41,,,1,1,1,4,5,5,4,6,4,4,8,2,2,,,
2020-KW42,,2,2,4,4,4,5,2,3,14,8,5,8,2,6,4,5,
2020-KW43,2,2,2,4,8,7,8,11,5,12,9,7,7,8,6,2,10,
2020-KW44,4,3,4,12,11,9,16,11,9,10,19,14,11,4,3,8,27,
2020-KW45,2,2,7,8,4,11,2,5,5,5,14,11,3,1,3,2,6,
2020-KW46,8,7,8,10,13,15,12,32,19,18,20,21,19,7,11,6,40,
2020-KW47,3,,4,6,12,4,4,4,5,14,15,15,9,8,4,6,12,
2020-KW48,,1,6,6,8,5,9,3,11,7,10,10,3,,3,3,7,
2020-KW49,4,1,7,4,5,11,8,11,6,9,8,15,2,8,3,1,2,
2020-KW50,3,3,5,11,5,6,7,9,12,7,19,16,4,6,,2,6,
2020-KW51,3,5,,11,8,10,9,11,9,14,12,14,8,6,5,8,7,
2020-KW52,2,5,2,2,8,9,5,5,3,7,12,10,5,3,2,5,20,
2020-KW53,7,2,3,7,7,9,11,4,5,10,8,9,7,6,6,3,14,
2021-KW01,4,7,6,5,10,15,15,7,5,19,10,13,6,6,2,1,5,
2021-KW02,3,5,4,5,5,11,5,9,6,7,6,5,4,4,3,,6,
2021-KW03,1,1,3,4,6,5,6,5,6,5,8,5,5,1,1,1,14,
2021-KW04,3,,1,19,8,2,9,5,3,8,19,9,2,5,6,2,11,
2021-KW05,2,3,2,4,3,2,2,6,2,5,2,8,2,3,3,2,13,
2021-KW06,3,,3,7,4,2,2,2,5,8,9,11,5,4,,6,16,
2021-KW07,3,2,2,3,4,2,10,5,3,5,5,1,,3,3,1,2,
2021-KW08,2,,2,1,3,1,6,4,4,1,6,7,6,1,,2,1,
2021-KW09,1,1,,2,3,3,3,5,4,6,5,4,5,1,,1,2,
2021-KW10,2,1,1,1,5,3,6,5,4,5,7,6,5,2,1,1,3,
2021-KW11,1,2,2,5,4,2,7,1,8,3,5,6,2,1,4,1,1,
2021-KW12,1,2,7,7,6,2,6,3,5,6,10,3,1,2,1,1,,
2021-KW13,3,1,3,10,3,3,2,3,3,5,8,6,7,,1,,3,
2021-KW14,3,1,2,3,6,4,8,7,3,3,6,4,7,4,2,4,,
2021-KW15,1,3,6,11,6,2,2,4,6,6,7,8,4,2,3,2,2,
2021-KW16,3,7,9,12,8,8,9,6,9,12,5,9,8,1,1,3,17,
2021-KW17,4,8,5,8,12,10,15,8,10,8,6,11,6,3,4,2,10,
2021-KW18,3,2,3,8,7,4,7,4,7,5,10,10,1,5,,1,2,
2021-KW19,,1,4,7,4,8,3,5,5,7,9,7,4,1,1,,2,
2021-KW20,,,6,9,4,1,5,4,2,3,5,6,3,2,,1,,
2021-KW21,,2,,,4,2,5,2,,,1,1,1,2,1,,,
2021-KW22,,,,1,1,2,,1,1,,,1,,,,,,
2021-KW23,,,,1,1,,,,,,2,2,,,,,,
2021-KW24,,,,1,1,,,1,,,1,1,,2,,,,
2021-KW25,,,,,,,,,,,,,,1,,,,
2021-KW26,,,,1,1,1,1,1,4,,,2,,,1,,,
2021-KW27,,1,1,1,2,1,1,,1,2,1,3,,,,1,,
2021-KW28,,,1,6,1,1,4,3,1,,,,,,,,,
2021-KW29,1,2,6,11,3,3,2,4,,1,1,,1,1,,,,
2021-KW30,,,2,4,5,3,1,,1,2,3,,,,,,,
