# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-09-02 05:37:04
# API-Download für Covid19-Fälle in LK Märkisch-Oderland, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW08,,,,,,,,,,,,,,,1,,,
2020-KW11,,,1,,,1,2,,3,4,2,3,2,,1,1,,
2020-KW12,1,1,,1,2,2,3,10,3,4,1,4,2,,,3,1,
2020-KW13,,,,2,1,2,3,4,3,2,3,2,3,1,,1,3,
2020-KW14,,,,3,2,1,2,1,2,3,4,6,4,2,1,2,1,
2020-KW15,,,,,5,2,,1,3,5,,7,1,,2,,5,
2020-KW16,,1,1,,,2,3,1,1,1,2,1,2,1,,,2,
2020-KW17,,,,1,3,,2,1,1,,,3,2,,,,2,
2020-KW18,,,,1,2,6,2,2,,1,2,1,2,1,,1,1,
2020-KW19,,,,,,,1,,,,1,,,,,1,,
2020-KW20,,,,,,1,,,,,,,,,,,,
2020-KW21,,,,,1,1,1,,,1,,,,,,,,
2020-KW24,,,1,,,,,,1,,1,,,,,1,,
2020-KW25,,,,1,1,,,,1,1,1,,,,,,,
2020-KW26,,,,,,1,1,,,,1,,,,,,,
2020-KW27,,,,1,,1,,,,,,,,,,,,
2020-KW29,,,,,1,,1,,,,,,,,,,,
2020-KW30,,,,,,,1,,,,,,,,,,,
2020-KW31,,,,,,1,,,,2,1,,,,,,,
2020-KW33,,,,,1,,1,,,,2,,,,,,,
2020-KW34,,,1,,1,,1,,1,,1,1,,,,,,
2020-KW35,,,,,,1,1,,,,,,,,,,,
2020-KW36,,,,3,,,1,2,,,1,2,,,,,1,
2020-KW37,1,3,4,1,1,1,1,2,,1,1,,,,,,,
2020-KW38,,,,2,1,1,,1,1,1,1,3,,,,,,
2020-KW39,,,,,,2,,,1,2,2,,,,,1,1,
2020-KW40,,,2,3,,1,,1,3,1,2,1,2,1,,,2,
2020-KW41,,,1,1,2,2,2,2,3,4,2,2,2,1,1,,3,
2020-KW42,,,,4,1,6,2,3,4,7,8,5,4,2,1,,5,
2020-KW43,,1,,2,2,2,9,5,11,8,6,9,4,3,1,,2,
2020-KW44,1,1,1,7,8,6,9,10,9,10,15,20,18,8,8,6,10,
2020-KW45,,1,1,4,10,4,6,8,6,7,26,15,16,3,1,4,5,
2020-KW46,6,6,3,1,7,4,15,22,17,22,19,18,9,4,2,13,37,
2020-KW47,4,1,4,7,6,7,21,25,20,16,23,29,15,11,5,10,41,
2020-KW48,1,3,6,9,9,5,17,16,23,16,21,28,18,7,8,8,40,
2020-KW49,,3,11,13,5,10,21,22,24,23,29,29,18,13,5,10,56,
2020-KW50,,5,13,22,25,12,36,37,34,30,42,36,35,15,11,12,88,
2020-KW51,7,8,10,21,20,15,49,46,38,32,44,61,33,18,14,10,94,
2020-KW52,6,1,5,8,13,12,32,26,29,35,34,52,28,30,11,11,48,
2020-KW53,1,3,3,6,16,8,41,42,28,24,28,42,33,13,11,15,46,
2021-KW01,4,3,3,11,25,15,26,45,30,33,37,50,29,25,14,10,37,
2021-KW02,1,1,1,9,13,7,13,16,21,12,19,28,21,14,10,11,33,
2021-KW03,3,4,4,6,11,5,12,7,5,14,24,15,14,7,4,3,21,
2021-KW04,2,3,2,4,7,4,8,9,13,8,16,11,15,7,6,7,40,
2021-KW05,2,,,6,4,4,5,4,8,8,16,9,8,6,7,11,25,
2021-KW06,,2,6,2,6,6,13,12,10,5,4,9,11,5,5,9,10,
2021-KW07,,,,3,3,5,11,5,7,8,8,10,8,,2,4,4,
2021-KW08,4,1,2,2,,5,10,6,6,3,7,5,9,2,1,2,7,
2021-KW09,5,5,7,1,4,3,9,13,10,5,5,7,7,3,2,1,1,
2021-KW10,2,8,3,7,4,4,8,11,17,14,11,11,12,8,8,3,10,
2021-KW11,15,11,5,8,7,13,19,18,15,15,20,20,10,7,4,11,14,
2021-KW12,4,7,7,4,7,9,19,22,27,27,17,31,21,12,7,12,21,
2021-KW13,5,8,8,5,9,11,19,13,21,25,24,35,21,11,9,4,24,
2021-KW14,5,3,3,10,9,7,18,16,27,13,22,26,15,9,6,5,16,
2021-KW15,10,6,5,9,16,13,26,21,27,21,24,21,25,20,9,11,25,
2021-KW16,4,15,9,12,17,7,17,16,16,15,14,32,33,12,2,8,21,
2021-KW17,,3,12,6,6,4,10,8,10,12,15,28,14,8,5,4,9,
2021-KW18,1,2,6,7,5,2,8,15,8,8,7,22,14,8,2,2,1,
2021-KW19,2,4,6,5,7,4,3,9,5,8,9,9,10,4,3,3,12,
2021-KW20,,,2,6,5,4,6,6,6,2,4,10,6,3,1,1,4,
