# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-29 08:44:07
# API-Download für Covid19-Fälle in LK Nienburg (Weser), letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,1,,,,2,1,,,,,,,
2020-KW12,,,,,,1,,2,1,2,2,3,1,1,,,,
2020-KW13,,,,,,,2,1,2,1,1,2,1,,1,,,
2020-KW14,,,1,1,4,2,2,2,,2,3,2,2,1,1,1,,
2020-KW15,,,,,,,,1,3,1,1,,,1,,1,,
2020-KW16,,,,,,1,,,,,,,,,1,,1,
2020-KW17,,,,,,,,,,,,,,,1,,,
2020-KW18,,,1,,,2,,,,,,,,1,,1,1,
2020-KW19,,,,,,,,,,,,,,,,,1,
2020-KW21,,,,,,,,,,,,,1,,,,1,
2020-KW22,,,,,,,,,,,,1,,,,,,
2020-KW23,,,,,,,,,,1,,,,,,,,
2020-KW25,,,,,,,,,,,1,,,,,,,
2020-KW26,,,,,,2,,,,,,,,,,,2,
2020-KW27,,,,,,,,,,,1,,1,,,,,
2020-KW30,1,,,,,2,1,,,2,,,,,,,,
2020-KW31,,,,,1,3,1,1,1,,1,,,,,,,
2020-KW33,1,,2,1,,,,,1,1,,,,,,,,
2020-KW34,,,,,1,,,1,,,,,,,,,,
2020-KW35,,1,,,,,,,,,,,,,,,,
2020-KW37,,,,,,1,,,,,,,,,,,,
2020-KW38,,,,,1,3,1,1,,,,,,,,,,
2020-KW39,,,,,2,1,,,,,,3,,,,,,
2020-KW40,,,,,,,1,1,1,1,,2,,,,,,
2020-KW41,1,,1,1,,4,3,2,1,6,3,6,2,1,2,,,
2020-KW42,4,,1,,4,7,2,4,3,2,2,9,3,2,1,3,1,
2020-KW43,1,,,2,9,6,2,4,4,4,4,9,7,3,2,,1,
2020-KW44,,,2,3,8,5,6,4,1,10,8,4,1,,,,2,
2020-KW45,,,3,3,8,13,9,11,7,4,4,5,2,4,1,2,2,
2020-KW46,1,1,6,4,12,10,7,6,7,6,4,8,4,1,1,3,2,
2020-KW47,2,1,4,7,16,12,17,9,5,7,9,8,13,8,1,3,6,
2020-KW48,2,1,7,5,8,6,15,10,8,11,10,11,7,7,2,3,11,
2020-KW49,1,5,2,8,8,11,3,12,2,4,4,12,4,2,2,1,4,
2020-KW50,2,1,3,7,11,9,5,5,6,5,10,13,2,3,3,2,10,
2020-KW51,2,4,2,7,12,17,12,11,14,10,22,15,7,8,3,7,12,
2020-KW52,4,5,4,14,14,13,13,14,14,11,18,15,12,4,6,8,9,
2020-KW53,,,2,6,5,4,7,14,4,1,8,5,8,,,2,14,
2021-KW01,1,1,3,6,7,9,11,10,5,5,12,9,10,2,5,2,39,
2021-KW02,4,1,,7,11,6,8,3,2,14,10,12,6,10,11,8,46,
2021-KW03,3,2,4,8,7,14,10,11,12,13,22,17,17,4,5,19,72,
2021-KW04,1,4,2,12,15,23,12,18,11,11,18,19,15,6,13,8,63,
2021-KW05,1,,3,10,12,13,6,7,12,12,15,14,8,8,12,8,51,
2021-KW06,2,2,1,4,6,9,7,10,9,14,13,17,7,3,3,7,28,
2021-KW07,1,,1,8,7,9,11,8,7,6,13,7,7,6,1,5,17,
2021-KW08,3,4,2,6,2,9,5,2,7,8,7,5,6,8,6,1,12,
2021-KW09,,1,4,3,5,2,3,3,4,4,2,10,8,4,2,1,9,
2021-KW10,1,,2,5,9,2,,1,2,3,6,7,3,2,1,2,1,
2021-KW11,2,2,1,1,3,5,10,4,3,2,3,5,4,2,2,1,3,
2021-KW12,,,,4,5,8,3,5,3,2,10,5,5,4,,,2,
2021-KW13,,3,6,10,6,7,4,7,4,11,10,12,6,5,1,,,
2021-KW14,6,7,6,7,10,9,7,8,1,4,6,6,3,6,,1,1,
2021-KW15,7,9,17,12,8,10,10,8,14,5,8,11,5,5,4,2,,
2021-KW16,6,4,4,6,10,2,6,12,11,7,8,17,9,8,3,3,3,
2021-KW17,6,11,8,9,6,6,17,7,9,11,10,13,4,7,,1,3,
2021-KW18,3,5,5,13,10,7,8,14,7,8,8,11,5,2,1,3,2,
2021-KW19,,,4,6,10,2,3,3,1,6,6,9,2,,1,1,1,
2021-KW20,1,2,2,4,5,6,3,3,8,4,5,8,,,2,,1,
2021-KW21,,1,,1,8,1,1,3,2,2,1,,2,,2,,,
2021-KW22,,2,,2,2,2,,1,,1,3,4,,,,,,
2021-KW23,,,,,,1,,1,1,1,,2,2,,,1,1,
2021-KW24,,,,1,,,,,,,,,,,,,,
2021-KW25,,,,,,,,,,1,,,,,,,,
2021-KW26,,,,1,,,,,,,,,,,,,,
2021-KW27,,,,,1,1,,,,,,,,,,,,
2021-KW28,,2,1,1,1,4,2,6,,2,,,,,,,,
2021-KW29,1,2,,3,5,3,2,,1,1,,2,1,,,,,
2021-KW30,3,4,4,3,1,2,1,,1,2,2,,,,,,,
2021-KW31,,,,3,5,4,2,2,1,1,3,,,1,,,1,
2021-KW32,,4,2,4,,4,7,,2,3,,1,1,1,,,,
2021-KW33,1,1,4,3,1,3,6,2,3,1,,2,1,,1,,,
2021-KW34,,,2,5,5,,5,4,1,2,2,4,2,1,2,,2,
2021-KW35,1,2,9,13,5,3,1,4,3,,3,5,3,1,,,1,
2021-KW36,3,5,7,4,6,5,3,9,8,2,2,2,2,1,1,1,,
2021-KW37,3,4,3,7,4,5,9,3,9,9,6,5,6,3,2,3,20,
2021-KW38,,3,8,6,10,3,8,8,7,6,4,2,3,2,2,1,4,
2021-KW39,7,8,14,9,16,12,11,7,3,11,10,5,3,,1,,1,
2021-KW40,5,7,12,7,7,7,8,5,2,5,7,3,5,2,3,1,1,
2021-KW41,3,7,8,10,3,4,6,9,11,6,5,2,,2,1,,1,
2021-KW42,2,3,5,2,2,5,7,5,8,2,6,6,3,3,1,2,1,
2021-KW43,1,5,11,4,1,2,4,10,9,3,4,6,8,,2,3,3,
2021-KW44,4,7,1,3,8,8,1,7,5,7,2,1,7,1,1,2,1,
2021-KW45,,4,8,10,6,7,6,7,8,8,8,9,4,,1,3,4,
2021-KW46,2,6,6,6,4,10,12,11,9,10,10,3,5,2,5,,1,
2021-KW47,3,21,17,9,10,7,8,16,12,11,16,12,7,1,,1,1,
2021-KW48,4,7,4,8,12,13,8,6,6,8,13,12,16,5,3,6,4,
2021-KW49,4,5,12,12,18,16,3,10,16,9,3,10,7,8,7,3,4,
2021-KW50,2,7,22,19,17,5,10,6,18,16,13,14,7,10,6,1,2,
2021-KW51,4,11,17,9,16,11,9,9,6,6,8,15,6,4,1,2,4,
2021-KW52,2,12,15,14,15,12,8,17,10,11,10,12,11,8,2,,,
2022-KW01,8,9,18,25,27,38,29,17,18,11,21,18,13,4,2,3,1,
2022-KW02,19,25,33,42,50,40,43,27,39,16,27,11,20,9,1,1,2,
2022-KW03,25,84,100,59,53,48,62,54,38,41,27,21,14,10,2,3,4,
2022-KW04,43,149,209,140,81,72,116,114,98,66,59,52,33,16,7,6,9,
2022-KW05,57,188,191,105,102,96,137,137,131,86,95,62,41,35,20,15,44,
2022-KW06,64,230,181,165,118,122,142,170,161,120,97,100,62,28,24,14,43,1
2022-KW07,59,175,134,128,106,131,142,136,124,93,108,63,56,35,31,11,46,1
2022-KW08,54,152,116,112,138,107,125,120,136,84,91,95,60,32,28,14,38,1
2022-KW09,61,132,121,83,99,115,120,121,101,71,99,75,51,34,25,9,21,
2022-KW10,48,129,139,155,152,135,149,147,114,97,118,103,91,45,35,12,39,
2022-KW11,56,135,139,202,205,181,185,161,159,162,197,174,102,84,55,25,57,
2022-KW12,90,163,178,200,186,155,168,212,170,153,190,193,129,74,54,33,67,1
2022-KW13,58,123,144,149,170,153,135,154,150,131,173,147,98,66,61,25,47,1
2022-KW14,46,102,107,141,139,134,124,136,125,131,155,144,119,58,60,34,64,1
2022-KW15,71,118,123,136,177,154,160,169,159,156,179,178,134,69,35,31,42,
2022-KW16,42,87,73,114,146,135,147,123,148,117,166,160,136,81,55,29,41,
2022-KW17,31,62,69,121,130,116,101,95,85,94,131,128,94,52,34,23,62,
