# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-10-02 08:55:35
# API-Download für Covid19-Fälle in LK Pfaffenhofen a.d.Ilm, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,1,,,,,,,,
2020-KW11,,,1,,,2,,,,1,,1,2,1,,,,
2020-KW12,1,,,,2,1,1,2,,1,3,4,2,2,2,1,,
2020-KW13,2,,3,4,3,5,4,3,2,9,9,11,2,4,4,5,5,
2020-KW14,1,2,,2,7,7,6,7,8,5,13,14,10,5,4,2,13,
2020-KW15,1,,,3,3,5,1,1,6,4,12,6,3,7,1,2,16,
2020-KW16,,,2,,1,1,2,1,,1,6,1,1,2,2,,1,
2020-KW17,,,,1,1,,,3,,,3,4,2,1,1,2,,
2020-KW18,,,,1,,2,1,3,1,,1,2,1,,,,2,
2020-KW19,,,,1,1,2,,1,1,2,,,1,,1,,,
2020-KW20,1,,,,,,,1,3,3,2,1,,,,1,,
2020-KW21,,,1,2,,,,,,1,,,2,2,,1,,
2020-KW22,,,,,2,,,,1,,,,,,,,,
2020-KW23,,,,,,,,,,,1,,,,,,1,
2020-KW24,,,,,,1,,,1,,,,,,,,,
2020-KW25,,,,,,,,,,,,,1,,,,,
2020-KW26,,,,,,,,,,,,,1,,2,1,2,
2020-KW28,,,,,,,,2,,,,,,,,,,
2020-KW29,,,,,1,1,,1,,,,,,,,,,
2020-KW30,,,,,,,,,,,,1,,,,,,
2020-KW31,,,,,,1,,,1,1,,,,,,,,
2020-KW32,,,,,,,1,1,,,,,,,,,,
2020-KW33,,,2,,1,,,,1,2,,,,,,,1,
2020-KW34,,2,1,1,5,1,3,1,,1,,,,,,,,
2020-KW35,1,1,1,3,1,,2,,3,1,2,3,,,,1,,
2020-KW36,1,2,2,2,1,3,2,1,4,2,1,2,,,,,,
2020-KW37,,2,,2,2,3,3,2,2,,,,2,,,,,
2020-KW38,,,1,1,1,2,,1,,,2,1,1,,,,,
2020-KW39,,,,1,,1,1,2,3,,4,3,1,,,,,
2020-KW40,2,1,,1,4,3,1,1,2,2,2,1,,,1,,1,
2020-KW41,,2,,4,,2,4,,1,3,1,2,1,,2,1,,
2020-KW42,2,1,3,3,3,2,5,6,6,5,12,8,5,5,1,1,,
2020-KW43,2,5,1,15,6,7,10,6,10,9,19,14,6,2,6,1,3,
2020-KW44,7,3,9,9,16,19,15,17,16,19,32,13,10,5,7,7,12,
2020-KW45,2,3,2,11,14,17,16,19,6,7,19,9,9,3,,1,5,
2020-KW46,7,8,18,25,22,27,30,24,23,15,18,26,13,10,4,7,28,
2020-KW47,11,8,5,12,13,7,10,16,19,13,14,21,13,7,6,6,31,
