# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-09-30 08:32:10
# API-Download für Covid19-Fälle in LK Ravensburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,1,,,,,,,
2020-KW10,,,,,,,,,,,1,1,1,,,,,
2020-KW11,,,3,2,3,4,2,6,11,5,5,3,,1,1,1,,
2020-KW12,,2,1,1,5,11,9,6,6,10,11,17,9,2,1,1,2,
2020-KW13,4,2,1,5,15,9,15,12,10,14,34,20,21,12,11,3,8,
2020-KW14,,,1,2,2,5,4,5,5,6,15,10,5,3,4,6,11,
2020-KW15,1,,,1,2,6,3,3,3,6,9,6,4,3,1,3,8,
2020-KW16,,,1,1,1,3,,1,1,1,5,4,1,2,2,2,9,
2020-KW17,,,,1,5,1,,3,1,2,,3,1,1,,,2,
2020-KW18,,,,,1,,,1,2,,,,,,,1,1,
2020-KW19,7,,,,,3,,,1,,,,,1,,,,
2020-KW20,,,,,,,,2,,,,,,,,,,
2020-KW21,,,,2,1,,,,,,,,,,,,,
2020-KW22,,,,,,,,,,,1,,,,,,1,
2020-KW24,,,,,,,,,,,1,1,,,,,,
2020-KW26,,,,,,1,,,,,,1,,,,,,
2020-KW27,,,,,,2,2,,,2,,,1,,,,,
2020-KW28,2,2,,,,,,2,,,,1,,1,,,,
2020-KW29,1,,1,2,3,2,2,,,,,,,,,,,
2020-KW30,,1,,,1,3,,2,1,,1,1,,,,,,
2020-KW31,,,1,3,2,1,,,3,2,3,2,,,,,2,
2020-KW32,1,2,1,2,3,1,1,2,,6,,,,,,,,
2020-KW33,1,,,4,3,4,4,2,,3,1,,,,,,,
2020-KW34,1,,3,1,15,9,5,2,3,2,6,2,,,,,,
2020-KW35,,3,,4,8,4,5,3,1,2,4,,,2,,,,
2020-KW36,,1,3,,12,9,4,4,3,3,6,5,,,1,1,,
2020-KW37,2,1,1,2,8,5,6,,1,1,1,4,1,1,,1,,
2020-KW38,1,1,2,3,8,3,1,,2,5,2,3,1,,,,,
2020-KW39,,,,1,2,5,2,1,,1,3,1,3,1,1,,,
2020-KW40,1,,,3,1,2,2,2,2,,2,2,3,1,1,1,,
2020-KW41,1,1,1,4,6,3,2,3,3,6,4,3,1,5,2,2,,
2020-KW42,1,1,2,2,6,6,6,1,2,8,7,10,7,5,2,,4,
2020-KW43,,2,4,7,10,8,12,10,10,7,10,6,11,8,2,5,5,
2020-KW44,6,5,3,5,25,25,27,16,8,14,26,11,11,1,7,4,5,
2020-KW45,,3,6,12,28,35,24,8,16,22,32,16,8,7,4,4,8,
2020-KW46,5,5,6,19,26,23,11,20,19,22,18,33,20,5,5,8,40,
2020-KW47,3,6,6,17,26,16,21,18,17,23,27,29,14,11,7,8,22,
2020-KW48,2,4,3,8,21,17,19,10,24,18,24,19,12,10,4,16,55,
2020-KW49,2,4,11,14,14,18,18,11,9,20,26,26,17,7,7,13,48,
2020-KW50,3,10,11,22,27,29,28,29,28,47,31,29,40,16,8,10,23,
2020-KW51,5,12,13,26,42,40,46,46,49,34,55,53,42,22,17,5,30,
2020-KW52,4,4,6,13,25,31,33,34,44,34,31,30,34,9,12,7,22,
2020-KW53,2,5,11,24,31,27,25,26,36,33,36,31,27,23,12,12,26,
2021-KW01,2,6,14,27,49,43,30,43,39,54,47,52,38,20,14,16,79,
2021-KW02,7,6,12,17,57,27,50,59,23,47,46,51,38,22,15,24,94,
2021-KW03,5,8,11,23,33,24,17,21,32,29,38,40,19,15,10,8,44,
2021-KW04,2,1,6,11,15,22,17,16,18,20,30,21,20,6,8,4,21,
2021-KW05,3,2,8,10,10,17,13,12,10,9,23,21,12,6,,6,18,
2021-KW06,7,7,2,16,7,8,12,9,14,6,18,15,10,5,3,1,7,
2021-KW07,2,2,3,5,7,10,10,8,8,8,12,18,7,1,5,3,9,
2021-KW08,3,2,2,3,18,11,9,20,11,6,13,12,17,6,5,3,5,
2021-KW09,6,8,5,10,13,10,15,9,13,9,16,10,9,4,3,6,5,
2021-KW10,2,9,4,11,20,20,10,18,13,17,15,15,12,7,5,4,5,
2021-KW11,8,10,15,18,26,22,13,19,16,16,18,19,11,11,7,5,7,
2021-KW12,22,21,14,14,21,26,37,23,26,28,23,30,21,8,8,10,9,
2021-KW13,12,10,17,14,23,29,24,28,18,24,21,30,14,7,9,5,7,
2021-KW14,11,7,12,28,26,33,32,34,26,23,33,26,18,11,7,6,7,
2021-KW15,12,17,19,26,45,44,40,34,40,46,34,24,25,20,13,8,14,
2021-KW16,13,27,31,43,34,36,31,32,39,32,49,33,25,14,6,5,17,
2021-KW17,18,24,25,29,43,39,42,39,39,52,52,46,32,19,12,12,15,
2021-KW18,10,15,17,38,33,39,33,26,43,45,31,37,26,11,12,5,6,
2021-KW19,8,5,17,17,30,31,15,27,16,22,22,30,22,19,4,3,,
2021-KW20,8,11,10,21,19,22,22,17,22,18,21,18,9,9,3,1,5,
2021-KW21,5,5,8,13,14,6,17,10,10,11,14,8,6,5,,1,9,
2021-KW22,3,3,3,4,13,7,9,5,6,8,4,13,6,7,2,3,8,
2021-KW23,3,7,7,9,12,3,6,7,9,9,1,5,6,1,2,1,2,
2021-KW24,1,,2,4,3,4,1,1,4,,4,,,,1,,,
2021-KW25,,1,1,1,,1,1,2,,1,,,,,,,,
2021-KW26,,1,,,,,,,,,,2,,,,,1,
2021-KW27,1,,,1,1,5,,,,,,1,,,,,,
2021-KW28,,,1,5,3,4,,,,,2,1,1,,,,,
2021-KW29,1,,,2,10,5,,,2,1,2,,,,,,1,
2021-KW30,1,1,,6,5,5,1,2,1,2,,2,1,1,1,1,1,
2021-KW31,1,3,2,6,6,6,3,2,,1,2,1,1,,,,,
2021-KW32,2,,3,7,19,20,8,8,7,9,6,3,4,2,1,,2,
2021-KW33,5,4,5,15,14,16,8,10,8,5,9,3,5,3,,2,5,
2021-KW34,15,12,19,23,32,41,28,19,23,17,14,18,7,5,2,3,8,
2021-KW35,10,6,12,34,26,16,20,20,12,11,12,14,4,10,3,2,2,
2021-KW36,11,14,23,31,23,35,46,30,18,17,14,15,11,6,5,1,11,
2021-KW37,10,20,22,30,17,16,19,18,19,17,19,18,4,3,2,2,4,
2021-KW38,8,18,17,22,18,16,21,7,19,6,5,6,6,6,,,2,
2021-KW39,2,21,22,10,29,11,14,12,19,11,19,6,6,7,,1,2,
2021-KW40,7,12,15,7,14,10,13,8,14,12,22,17,4,4,1,3,4,
2021-KW41,6,17,28,16,16,23,21,18,20,16,17,14,12,5,2,2,4,
2021-KW42,10,55,41,23,24,28,23,16,25,23,27,23,22,11,11,9,24,
2021-KW43,10,81,81,74,62,44,47,36,61,71,56,45,30,18,15,15,10,
2021-KW44,17,60,62,68,67,59,57,52,71,72,77,83,31,18,22,18,21,
2021-KW45,29,92,167,141,108,103,100,84,91,109,103,80,56,33,32,30,60,
2021-KW46,48,144,202,128,88,84,101,109,112,116,121,108,79,40,33,20,46,
2021-KW47,44,133,200,132,120,103,125,128,147,132,161,124,82,46,32,27,73,
2021-KW48,37,113,202,130,134,114,125,137,134,125,137,123,93,45,31,22,46,
2021-KW49,37,131,143,91,86,105,94,107,123,92,97,82,63,36,29,20,44,
2021-KW50,47,107,105,49,65,58,71,72,94,64,85,73,45,24,13,17,41,
2021-KW51,24,52,78,28,54,50,45,53,54,34,43,36,28,17,9,7,20,
2021-KW52,24,54,42,47,78,70,97,53,50,44,58,40,32,14,14,7,16,
2022-KW01,29,63,97,153,172,126,104,79,68,88,73,61,36,31,12,11,10,
2022-KW02,62,129,173,249,174,193,156,123,109,129,127,95,57,34,12,6,13,
2022-KW03,133,332,379,269,229,206,221,226,224,202,181,139,90,39,27,17,40,
2022-KW04,195,505,575,312,255,236,249,306,263,226,189,155,85,38,18,20,40,
2022-KW05,172,557,516,302,208,215,298,333,350,252,229,172,115,44,41,10,28,
2022-KW06,220,597,631,583,419,451,513,549,534,371,364,321,206,105,54,54,64,
2022-KW07,235,597,574,573,527,485,518,500,496,411,428,334,248,133,62,59,111,
