# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-26 07:40:38
# API-Download für Covid19-Fälle in LK Saale-Holzland-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,1,,,1,,,1,,,,,
2020-KW12,1,,,,1,,2,1,2,,3,1,,,1,2,,
2020-KW13,,,,1,2,,1,1,,1,1,,1,,2,,,
2020-KW14,,,,,,,3,4,3,2,2,1,1,2,,,,
2020-KW15,,,,1,1,,1,,1,,,,,,,,1,
2020-KW17,,,,1,,,,1,,,1,1,,,,1,,
2020-KW18,,,,,,,,,,1,,1,,,,,2,
2020-KW19,,,2,,,,,,,1,,,,,1,,3,
2020-KW20,,,,,,,,,,,,,,,1,,1,
2020-KW21,,,,,,,,,,,,,,,,1,,
2020-KW22,,,,,,,,,,,1,,1,,,,,
2020-KW23,,,,,,,,,,,,,,1,,,,
2020-KW24,,,,,,,,,,,,,,1,,,,
2020-KW33,,,,2,,,,,,,,,,,,,,
2020-KW34,,,,2,,,,,,,,,,,,,,
2020-KW35,,,,1,1,,,,,,,,,,,,,
2020-KW36,,,,1,,1,3,,,,,2,2,,,,1,
2020-KW37,,,,,,1,,,1,,,,1,,,,,
2020-KW38,,,,,,,1,,,,,,,,,1,1,
2020-KW39,,,,,1,,,1,,,,1,,,1,,1,
2020-KW40,,,,,,,,,1,,,2,2,,,,2,
2020-KW41,,,,,,,1,,1,2,2,,3,4,,2,2,
2020-KW42,,,,1,1,,,,3,,5,2,3,4,,5,4,
2020-KW43,7,6,3,2,3,3,6,7,3,7,8,7,6,6,2,2,5,
2020-KW44,1,4,3,2,1,2,2,10,9,2,,7,6,8,3,3,5,
2020-KW45,,1,5,3,8,2,3,4,2,4,5,8,2,5,2,,3,
2020-KW46,1,3,,4,12,4,6,1,3,3,13,13,7,9,3,2,13,
2020-KW47,4,,6,12,5,5,6,3,11,9,13,9,13,3,,1,6,
2020-KW48,3,4,3,2,2,,6,5,7,9,7,9,7,8,2,,3,
2020-KW49,1,2,2,1,4,10,6,6,5,9,10,8,8,6,3,4,4,
2020-KW50,6,7,2,3,9,10,18,20,9,13,15,16,15,9,8,4,6,
2020-KW51,5,7,2,5,19,5,11,12,17,20,17,31,21,18,10,10,21,
2020-KW52,3,8,3,6,16,7,18,25,19,23,22,30,20,14,12,6,11,
2020-KW53,4,1,,7,15,10,17,12,12,20,41,42,20,9,12,13,59,
2021-KW01,3,2,5,13,19,16,20,15,19,20,14,28,30,15,6,5,39,
2021-KW02,6,4,5,4,9,6,12,9,26,11,28,29,22,11,7,15,50,
2021-KW03,1,3,3,2,5,7,9,15,13,18,14,21,13,12,7,10,30,
2021-KW04,1,2,6,4,6,3,6,9,6,9,12,19,15,2,1,5,9,
2021-KW05,3,,,,4,,7,8,6,6,9,10,6,2,8,2,4,
2021-KW06,1,3,3,3,8,,7,6,4,5,14,11,5,3,4,3,5,
2021-KW07,1,3,5,6,6,7,5,13,6,12,8,20,14,3,5,9,16,
2021-KW08,3,3,4,6,3,1,4,15,7,10,7,12,10,4,3,4,4,
2021-KW09,4,16,3,1,2,,3,7,7,6,14,3,7,3,3,8,8,
2021-KW10,6,11,6,1,3,2,8,12,9,6,9,14,2,3,4,3,9,
2021-KW11,4,9,19,3,4,4,6,14,11,3,7,19,15,2,5,3,5,
2021-KW12,6,10,18,10,8,4,11,19,13,7,13,12,16,4,4,3,2,
2021-KW13,9,18,10,12,8,7,17,31,26,12,14,16,17,9,9,3,4,1
2021-KW14,4,7,8,8,11,4,14,8,25,20,19,20,20,15,9,6,16,
2021-KW15,7,6,9,7,6,4,9,14,10,12,19,17,8,10,2,6,13,
2021-KW16,5,10,14,10,7,3,13,15,12,15,14,24,13,7,3,5,14,
2021-KW17,11,8,5,14,5,6,24,19,9,10,25,23,15,6,7,4,9,
2021-KW18,2,5,4,7,10,7,11,20,11,11,20,13,16,12,8,3,4,
2021-KW19,3,4,4,4,8,3,6,6,9,9,12,14,14,9,5,3,5,
2021-KW20,2,4,5,4,1,5,4,5,1,4,5,2,9,3,3,,1,
2021-KW21,,,1,1,1,,,2,1,3,2,1,2,,,,1,
2021-KW22,1,1,3,,,,1,,,,1,2,2,,,,2,
2021-KW23,,1,,,,,,,1,,,,,,,,,
2021-KW24,,,,,,,,,,,1,,,,,,,
2021-KW25,,,,,,,,,,,,1,,,,,,
2021-KW28,,,,,1,,,1,,,1,,,,,,,
2021-KW29,1,1,,1,,1,1,1,,,2,,1,,,,2,
2021-KW30,2,1,,,3,,2,2,1,1,1,,1,,,,,
2021-KW31,,,1,2,,,,1,,,,,1,,,,,
2021-KW32,1,,,,,,,,,1,1,1,,1,,,,
2021-KW33,,,,2,,,1,,1,,1,1,,,,,,
2021-KW34,1,1,1,1,3,,3,1,,,,,,1,,,,
2021-KW35,4,2,1,,1,1,1,1,2,1,,1,1,1,,,1,
2021-KW36,,4,3,3,2,2,6,4,1,3,,1,1,2,2,,,
2021-KW37,2,2,6,2,1,4,3,3,3,2,5,1,2,1,2,2,2,
2021-KW38,1,9,3,2,1,2,5,4,2,2,,2,7,,,,3,
2021-KW39,2,4,5,5,5,2,7,5,,3,4,4,2,3,2,1,1,
2021-KW40,4,6,16,4,4,1,5,5,4,5,2,5,1,1,2,,4,
2021-KW41,5,5,15,20,7,6,6,8,7,8,7,10,8,5,4,6,11,
2021-KW42,3,7,21,20,11,2,6,18,17,3,5,17,7,5,4,4,26,
2021-KW43,8,19,31,21,13,11,16,24,20,16,22,27,10,14,7,3,24,1
2021-KW44,13,22,26,19,11,8,32,28,19,20,32,26,23,12,8,9,24,
2021-KW45,17,49,34,35,18,9,33,47,44,30,25,48,36,19,10,9,16,3
2021-KW46,19,52,73,49,38,22,50,54,45,40,54,52,44,27,18,9,26,9
2021-KW47,22,86,73,60,53,37,67,110,108,63,71,73,60,38,28,19,38,8
2021-KW48,37,128,117,64,50,24,74,96,99,69,75,68,60,40,19,16,30,4
2021-KW49,34,105,86,46,35,29,77,92,99,83,65,63,43,48,27,21,41,7
2021-KW50,26,69,65,45,27,22,58,65,72,60,56,50,38,23,17,13,24,5
2021-KW51,23,49,45,26,10,8,45,54,50,22,27,33,26,22,13,8,19,3
2021-KW52,11,26,23,15,16,15,24,51,38,18,19,27,24,16,8,4,17,
2022-KW01,3,15,15,21,18,10,23,16,23,17,28,26,17,13,8,10,8,1
2022-KW02,9,12,8,12,7,9,8,14,10,9,16,10,11,6,8,3,5,
2022-KW03,10,22,24,16,12,11,15,28,21,16,14,14,10,7,5,,7,
2022-KW04,14,35,86,20,13,14,28,39,36,23,29,15,14,11,6,1,2,1
2022-KW05,30,117,113,59,45,29,81,87,72,60,61,66,29,9,11,7,6,4
2022-KW06,42,81,90,98,75,38,100,118,108,76,61,68,48,30,14,12,39,4
2022-KW07,70,121,109,108,59,66,121,148,128,83,99,81,74,19,25,8,45,7
2022-KW08,52,83,69,77,50,35,104,112,102,81,75,67,54,30,26,11,24,3
