# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-18 06:55:27
# API-Download für Covid19-Fälle in LK Saale-Orla-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,1,,,,,,
2020-KW11,,,,1,,,,,1,,,,,,,,,
2020-KW12,,,,1,,,,,,1,,1,1,,,,,
2020-KW13,,,,,,,1,,1,1,2,1,2,1,1,1,9,
2020-KW14,,1,1,2,,2,2,4,2,4,5,2,3,3,1,,9,
2020-KW15,,,,,,1,3,1,1,1,1,4,4,4,,,6,
2020-KW16,,,1,,1,,,,2,,,,1,1,1,1,5,
2020-KW17,,,,,,,1,1,1,,1,1,,2,,1,5,
2020-KW18,,,,,,,,2,1,2,,,,,,1,,
2020-KW19,,,,1,1,,,1,1,,1,,2,,,,,
2020-KW20,,,,,2,,,,,1,,2,,,,,2,
2020-KW21,,,,1,,,,1,,2,,,,,,,,
2020-KW22,,,,,1,,,,,,,,,,,2,,
2020-KW23,,,,,,,,,,,1,,,,,,1,
2020-KW27,,,,,,,1,,,,,,,,,,,
2020-KW31,,,,,1,,,,,,,,,,,,,
2020-KW32,1,,,3,,,,1,,,,,,,,,,
2020-KW33,,,,3,,,,,,,,,,,,,,
2020-KW35,,,,1,2,,,,,,,,,,,,,
2020-KW36,,,1,,,,,,,,1,,,,,,,
2020-KW37,,,,1,1,,3,,1,,,,,,,,,
2020-KW38,,,,,,1,,,1,,,,,,,,1,
2020-KW39,,,1,,,,,,,,,1,,,,,1,
2020-KW40,,,1,,2,,,2,2,3,4,2,2,1,2,,6,
2020-KW41,,,2,,2,,2,2,,,1,1,,,,,1,
2020-KW42,,,,2,3,1,,4,,1,1,,,,,,3,
2020-KW43,,,,1,2,2,2,1,1,3,2,5,1,,2,1,1,
2020-KW44,,,1,,,,1,3,,1,2,6,2,,2,1,2,
2020-KW45,,,,6,4,,,3,7,3,8,4,1,2,2,3,2,
2020-KW46,,1,1,1,3,2,5,2,1,2,6,4,3,,,3,3,
2020-KW47,1,2,3,5,6,5,10,11,4,10,15,18,11,3,3,1,9,
2020-KW48,,4,5,8,4,8,13,8,9,12,21,17,19,7,3,1,13,
2020-KW49,2,6,7,15,10,14,16,17,23,30,33,46,26,21,9,11,28,
2020-KW50,3,7,12,18,17,6,26,27,23,20,37,44,29,10,12,7,28,
2020-KW51,3,10,8,13,17,8,11,20,19,33,30,41,34,14,9,6,24,
2020-KW52,3,7,8,6,16,11,22,27,23,31,21,46,38,18,16,11,26,
2020-KW53,1,4,4,10,16,6,16,21,15,25,26,33,20,18,11,8,29,
2021-KW01,5,4,3,12,25,12,18,20,26,20,34,25,28,9,17,13,42,
2021-KW02,2,1,7,5,14,8,5,14,17,13,25,30,17,13,8,3,32,
2021-KW03,5,3,3,6,5,2,7,11,15,14,26,23,16,3,2,5,33,
2021-KW04,1,1,1,6,4,5,8,10,6,8,16,22,16,3,5,5,16,
2021-KW05,1,3,4,4,6,5,3,7,7,7,8,15,10,7,4,6,14,
2021-KW06,2,6,4,7,3,8,7,10,4,12,13,12,8,3,8,4,17,
2021-KW07,4,4,2,4,9,5,11,9,10,12,14,11,11,5,4,5,20,
2021-KW08,2,4,5,4,10,3,9,6,15,16,15,31,22,5,9,2,24,
2021-KW09,4,6,3,3,4,3,11,14,9,10,12,17,16,12,12,8,14,
2021-KW10,5,13,1,6,6,9,18,19,18,11,14,19,22,9,12,7,16,
2021-KW11,16,8,8,21,11,16,27,26,21,24,29,43,26,27,16,16,28,
2021-KW12,5,6,4,17,15,26,20,32,13,24,34,26,28,14,24,10,26,
2021-KW13,5,2,1,7,14,11,25,11,14,19,17,33,26,13,13,4,12,
2021-KW14,2,2,2,7,6,3,13,10,11,12,23,28,18,11,11,8,25,
2021-KW15,2,5,9,26,19,14,23,25,30,23,45,36,47,24,17,10,30,
2021-KW16,4,8,2,8,11,12,18,16,14,16,15,26,18,14,13,5,17,
2021-KW17,15,17,12,27,19,9,43,33,36,35,46,47,37,34,19,15,20,
2021-KW18,5,2,3,9,8,2,21,21,13,14,15,28,17,5,11,6,10,
2021-KW19,3,5,3,8,3,6,6,4,7,7,16,12,5,7,4,2,7,
2021-KW20,,,,,,,,,1,,,,1,,1,,,
