# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-19 05:40:54
# API-Download für Covid19-Fälle in LK Saar-Pfalz-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,1,,,,,,,,,,,,,,
2020-KW11,,,,,,1,1,,2,,2,4,1,1,,,,
2020-KW12,,,,2,5,6,2,1,4,7,5,8,1,,1,5,1,
2020-KW13,,,1,,6,4,5,3,4,5,7,10,3,4,,3,2,
2020-KW14,,,1,5,6,8,7,7,4,3,6,4,7,3,1,2,8,
2020-KW15,2,,,2,6,3,3,3,6,2,11,6,2,1,,5,3,
2020-KW16,,,,2,5,,,2,1,1,3,4,,1,,1,2,
2020-KW17,,,,,,,,,1,1,1,3,,,1,1,6,
2020-KW18,,,,1,1,1,,1,,,1,1,,1,2,1,4,
2020-KW19,,,,,,2,2,,,1,,,1,,,,1,
2020-KW20,1,,,,,,,,,,,,1,,,1,,
2020-KW21,,,,,,,,,,,,1,,,,,,
2020-KW22,,,,1,,,,1,,,,1,,1,,,2,
2020-KW23,,,,,,,,,,,,,,1,,,,
2020-KW24,,,,,1,,,,,,,,,,,1,,
2020-KW28,1,,,,3,,1,,,,1,,,1,,1,,
2020-KW29,1,2,,1,,,1,,1,,,,,,,,,
2020-KW30,1,,,,,,,,,,,,,,,,,
2020-KW31,,,,,,,2,,,,,,,,,,,
2020-KW32,,,1,1,1,1,,1,1,2,,,,,,,,
2020-KW33,1,1,,5,1,3,4,1,1,1,,3,1,1,,,,
2020-KW34,,,2,1,,,,1,2,2,1,,,,,,,
2020-KW35,,,1,2,,1,2,,1,1,2,,,,,,,
2020-KW36,,,1,2,,,,,2,,2,1,,,,,,
2020-KW37,2,,1,,,1,3,,4,,,,1,,,,,
2020-KW38,,1,1,,1,2,,,,2,,,1,,,,,
2020-KW39,,1,1,3,1,,1,2,3,2,,1,1,,,,,
2020-KW40,1,1,1,4,1,2,4,1,,2,2,,,2,,,,
2020-KW41,7,3,3,6,6,3,,1,7,4,8,2,1,1,,,1,
2020-KW42,,2,4,3,5,7,5,5,8,5,5,4,5,2,,2,4,
2020-KW43,1,3,6,9,7,6,5,6,2,4,13,9,12,6,7,1,5,
2020-KW44,3,5,8,16,14,16,18,16,13,7,15,17,8,8,9,8,10,
2020-KW45,3,7,5,8,14,20,12,15,12,12,12,14,8,6,2,4,12,
2020-KW46,3,9,11,9,14,11,12,18,11,11,11,11,10,9,6,7,11,
2020-KW47,3,8,11,8,12,10,18,14,13,11,8,11,12,6,7,6,12,
2020-KW48,6,8,6,13,17,8,7,12,15,6,16,18,18,7,7,9,39,
2020-KW49,1,7,10,15,11,21,18,10,14,10,16,20,18,11,6,8,34,
2020-KW50,8,3,7,6,17,11,20,12,12,13,16,22,15,9,4,6,28,
2020-KW51,7,8,8,7,14,12,23,12,7,9,19,14,20,6,11,8,39,
2020-KW52,4,5,2,4,6,12,10,7,8,5,7,11,8,4,4,4,11,
2020-KW53,2,4,4,3,4,12,10,10,1,5,6,8,5,6,4,2,18,
2021-KW01,4,2,2,5,12,15,15,14,8,8,15,11,7,5,3,6,22,
2021-KW02,3,2,2,1,7,4,11,8,6,5,14,7,5,3,4,4,18,
2021-KW03,2,1,,6,7,5,8,5,6,7,6,8,9,6,9,3,16,
2021-KW04,4,5,2,8,11,16,12,9,5,4,14,13,5,9,3,3,19,
2021-KW05,4,6,5,6,12,9,3,8,10,8,9,2,7,3,2,5,10,
2021-KW06,7,5,2,1,4,5,2,4,3,7,2,6,3,2,2,1,3,
2021-KW07,4,1,2,1,3,5,7,2,2,6,3,4,6,2,1,2,1,
2021-KW08,2,2,,4,3,3,5,7,1,4,7,6,7,3,3,2,6,
2021-KW09,2,1,3,1,5,5,4,4,6,3,7,8,8,3,2,1,6,
2021-KW10,3,1,5,,5,6,13,4,6,4,5,6,2,,1,1,3,
2021-KW11,7,4,7,4,7,2,8,5,8,8,7,4,6,7,1,1,2,
2021-KW12,7,7,11,8,4,5,2,11,9,11,11,6,3,2,3,3,2,
2021-KW13,4,5,11,2,9,9,7,9,10,8,6,5,6,4,2,4,6,
2021-KW14,8,15,16,15,21,11,5,7,8,14,8,13,6,5,6,4,10,
2021-KW15,3,1,1,16,9,10,8,8,9,7,10,9,8,5,2,2,8,
2021-KW16,15,2,14,10,13,8,13,13,10,7,14,8,9,8,5,4,12,
2021-KW17,4,2,8,9,12,16,10,23,13,13,11,16,6,7,2,4,3,
2021-KW18,14,15,12,13,16,11,14,15,13,11,14,12,7,7,3,4,5,
2021-KW19,9,6,10,14,8,11,8,7,8,8,9,8,11,4,2,3,2,
2021-KW20,3,3,4,6,16,10,6,6,3,4,5,9,6,2,3,1,4,
2021-KW21,5,3,1,8,5,6,9,8,6,3,3,2,1,4,1,1,1,
2021-KW22,3,2,7,6,3,8,5,6,7,2,2,4,5,,2,1,,
2021-KW23,1,2,2,4,3,1,1,1,3,2,2,1,2,1,,,,
2021-KW24,,1,2,5,1,,,1,2,,3,,1,1,,,1,
2021-KW25,2,,,4,2,2,4,1,1,,2,1,,,,,,
2021-KW26,,1,1,,4,,1,1,1,,1,,,,,,,
2021-KW27,,1,,,,,1,,1,1,1,,,,,,,
2021-KW28,,,,,,,3,1,2,1,1,1,1,,,,,
2021-KW29,,,1,2,2,4,4,1,1,,4,3,1,1,,,,
2021-KW30,,,3,3,3,2,3,5,3,3,1,2,,,1,,,
2021-KW31,2,2,2,3,4,5,4,6,2,1,,3,1,,,,,
2021-KW32,1,3,2,7,6,2,3,3,1,1,2,4,,,1,,2,
2021-KW33,1,,4,6,2,1,,3,1,1,,1,1,,,,,
