# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-08 07:48:06
# API-Download für Covid19-Fälle in LK Sigmaringen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,1,,,,,,,,
2020-KW11,,1,,,,2,1,2,2,3,5,7,1,,,,,
2020-KW12,1,1,,1,3,7,4,5,2,4,11,16,3,1,3,1,3,
2020-KW13,2,3,1,6,16,14,14,17,10,22,27,37,11,7,9,10,16,
2020-KW14,1,1,1,13,12,18,13,4,12,17,38,18,19,13,8,5,10,
2020-KW15,,1,3,3,1,6,3,4,11,8,13,6,9,14,5,3,19,
2020-KW16,,,2,1,9,5,4,5,9,8,5,12,9,3,1,2,3,
2020-KW17,1,2,,3,7,,3,4,2,1,3,8,6,3,1,1,7,
2020-KW18,,,,1,,,1,1,,,1,2,2,,,,,
2020-KW19,,,,2,,,,,1,,,,,,1,1,,
2020-KW20,,,,,,,,,,,,,,,,,1,
2020-KW21,,,,,,,,,,,,1,,,,1,,
2020-KW25,,,,,,,,,1,,,,,,,,,
2020-KW28,,,,,1,,,,,,,,,,,,,
2020-KW30,,,,,1,1,,,,1,2,,,,,,,
2020-KW31,,,,,,,2,1,1,,1,,,,,,,
2020-KW32,1,1,,1,,1,2,,2,,,,,,,,,
2020-KW33,,1,2,,3,,,,,,,1,,,,,,
2020-KW34,,1,,3,1,2,1,3,2,4,1,2,1,2,1,,,
2020-KW35,1,1,,2,5,2,1,3,,1,,,,1,1,,,
2020-KW36,,1,,,,2,,,1,,2,,,,,1,,
2020-KW37,,1,3,,1,,1,1,,,2,1,,,,,1,
2020-KW38,1,1,1,1,3,2,1,1,,,,,1,,,,,
2020-KW39,1,2,1,,,1,2,1,2,,2,1,1,,,,,
2020-KW40,,,1,,,3,,1,1,,1,2,2,,,,1,
2020-KW41,,,1,1,4,1,1,,1,2,2,4,,1,,,2,
2020-KW42,,,,4,3,6,4,2,,4,5,,1,2,,,1,
2020-KW43,,,2,4,3,9,2,1,2,5,1,7,2,4,2,1,,
2020-KW44,,2,4,6,8,17,8,4,6,7,15,9,9,2,,3,3,
2020-KW45,5,1,1,,13,22,13,6,5,9,10,11,5,4,2,1,5,
2020-KW46,2,1,2,13,7,9,7,8,3,2,8,7,11,1,5,5,5,
2020-KW47,2,4,7,7,16,4,9,11,6,14,8,10,4,2,2,1,3,
2020-KW48,4,3,3,4,5,11,9,5,6,4,6,12,6,3,2,,1,
2020-KW49,,,3,9,13,9,7,2,8,11,14,7,7,5,5,4,4,
2020-KW50,3,8,6,6,8,6,8,6,9,14,16,14,11,9,9,6,4,
2020-KW51,3,12,7,7,10,18,21,8,13,10,17,15,23,6,6,7,35,
2020-KW52,3,1,4,5,10,8,9,9,4,8,12,14,15,9,1,1,11,
2020-KW53,2,,6,8,15,7,6,10,14,11,9,12,7,3,4,1,2,
2021-KW01,2,1,3,11,12,20,18,14,13,10,12,19,12,12,7,5,10,
2021-KW02,1,2,6,9,15,18,6,9,13,8,9,14,8,2,7,5,15,
2021-KW03,1,1,2,3,11,16,14,9,5,8,6,8,4,2,3,4,14,
2021-KW04,6,5,5,6,8,14,9,9,8,10,11,15,12,,1,3,2,
