# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-05-10 08:35:25
# API-Download für Covid19-Fälle in LK Waldeck-Frankenberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,,,1,,,
2020-KW11,,,,,,,,1,,2,,2,,,,,,
2020-KW12,,,,,1,1,,1,1,2,6,6,4,1,1,,2,
2020-KW13,,,1,2,2,2,1,2,4,3,2,2,,4,,,,
2020-KW14,,,1,1,5,,2,1,2,6,6,2,4,1,2,1,2,
2020-KW15,,,,,1,,1,1,3,,3,1,2,1,2,1,3,
2020-KW16,,1,,,3,1,1,2,1,1,2,4,,3,,,2,
2020-KW17,,,,,,,,,,1,,3,1,2,,1,1,
2020-KW18,,1,1,,,,,,1,,1,,,,,,,
2020-KW19,,,,,3,,,,2,,1,,,,,,,
2020-KW20,,,,,1,1,1,,,,,,1,,,,2,
2020-KW21,1,,,,1,,,,,,,,,,,,,
2020-KW22,2,,1,,,,,,1,,2,1,1,,,,,
2020-KW23,,,,,,,1,1,1,1,,,,,,,,
2020-KW25,,,,,1,,,,,,,,,,,,,
2020-KW26,,,,,,,,1,,,,,,,,,,
2020-KW28,,1,1,,,,2,1,2,3,,,,1,,,,
2020-KW29,1,1,3,2,,,1,3,1,,,,,,,,,
2020-KW30,,,,,,,,,1,,,,,,,,,
2020-KW31,,,,1,1,,,,1,,,,,,,,,
2020-KW32,,1,,,1,,,1,,1,,,,,,,1,
2020-KW33,,,,,1,1,,1,1,,,,,,,,,
2020-KW34,,1,,,1,5,2,,,1,1,1,,,,,,
2020-KW35,,,2,,1,1,,,,,,,1,,,1,1,
2020-KW36,,,,,1,,1,,,,1,,1,,,,,
2020-KW37,,,1,,,,,,,1,2,1,1,,,,,
2020-KW38,,,,,2,1,,,2,1,,2,,,,,,
2020-KW39,,,,2,,1,1,,,2,1,,1,,,,,
2020-KW40,,,,,,2,1,3,,1,1,3,,,,,,
2020-KW41,,1,,2,3,4,,2,3,1,3,2,3,,,,,
2020-KW42,,1,2,8,3,2,3,2,2,6,2,5,4,2,,1,2,1
2020-KW43,1,2,1,9,7,5,5,6,7,12,6,8,5,3,5,2,1,
2020-KW44,3,3,5,14,20,14,12,13,7,6,11,14,12,8,7,2,20,4
2020-KW45,2,3,3,9,17,15,16,12,11,10,15,20,7,10,3,5,31,3
2020-KW46,1,4,7,15,15,12,11,13,19,7,16,18,7,3,3,5,17,3
2020-KW47,4,10,7,12,19,15,18,17,11,9,11,19,9,5,2,1,5,7
2020-KW48,2,,1,10,12,18,16,6,6,8,10,14,11,6,2,1,8,1
2020-KW49,,5,1,11,14,16,19,21,5,11,14,22,12,9,4,4,13,
2020-KW50,2,9,7,19,16,15,19,18,15,22,27,26,15,9,7,8,25,1
2020-KW51,5,6,8,13,37,36,29,37,33,31,40,40,36,17,12,23,62,11
2020-KW52,5,3,6,18,15,20,27,24,21,21,47,40,22,19,23,16,108,6
2020-KW53,3,3,4,13,28,16,19,17,14,13,35,26,32,8,5,8,40,4
2021-KW01,3,2,9,16,25,19,13,17,16,31,14,19,17,13,12,9,52,
2021-KW02,3,5,3,8,14,22,14,13,14,11,19,18,20,4,11,8,40,3
2021-KW03,1,2,9,9,12,11,16,15,14,13,20,22,18,7,13,8,37,2
2021-KW04,,3,5,6,5,11,8,12,14,6,10,18,13,8,2,2,14,1
2021-KW05,,1,2,4,8,4,4,3,10,4,8,16,7,8,4,5,12,
2021-KW06,1,3,5,5,13,6,6,8,10,10,6,7,5,2,6,4,12,
2021-KW07,1,,1,3,5,6,4,8,2,5,9,6,6,7,1,7,19,
2021-KW08,2,3,4,9,8,7,7,6,4,4,1,12,4,2,6,2,5,
2021-KW09,3,4,1,2,10,12,7,8,4,10,5,8,3,8,4,1,4,1
2021-KW10,7,5,1,2,4,13,7,13,9,5,7,11,11,6,4,2,5,
2021-KW11,2,10,2,9,17,4,8,5,11,9,10,15,3,6,5,5,7,
2021-KW12,3,2,12,15,10,7,16,13,10,18,14,17,14,4,11,4,5,2
2021-KW13,,2,6,14,8,9,10,20,8,15,16,12,8,7,3,,,4
2021-KW14,4,6,6,17,11,10,17,13,14,12,20,17,11,10,4,3,1,2
2021-KW15,6,2,13,11,18,8,7,6,9,13,12,12,16,9,13,5,4,
2021-KW16,,6,17,13,21,18,13,9,15,16,14,19,12,9,6,4,4,2
2021-KW17,4,17,8,15,17,9,10,14,13,14,14,18,2,3,2,4,8,1
2021-KW18,5,5,9,16,15,10,18,7,19,11,17,28,8,4,3,5,8,2
2021-KW19,3,12,13,25,17,11,9,13,20,10,12,10,9,8,2,2,1,2
2021-KW20,5,10,23,20,20,15,11,14,19,14,12,20,17,8,6,4,4,
2021-KW21,,5,7,3,11,10,8,9,4,4,7,4,6,4,3,1,2,2
2021-KW22,5,4,7,4,6,1,6,8,5,1,2,4,,4,,1,2,1
2021-KW23,3,6,2,5,1,1,1,1,8,4,1,1,1,,,,1,
2021-KW24,,1,2,2,1,,1,,1,,,2,1,2,,,1,
2021-KW25,,,1,1,1,2,,,,,1,,,,,,,
2021-KW26,1,,,,1,,1,,,1,1,,,,,,,
2021-KW27,,,,1,,1,,,,,2,,,,,,,
2021-KW28,,,,3,1,1,,,,,,,,,,,,
2021-KW29,2,,,3,3,3,3,2,,,1,1,,,,,,
2021-KW30,,,1,1,2,3,,,3,,,1,,,,,,
2021-KW31,,2,2,1,4,1,1,3,4,2,1,,,1,,,,
2021-KW32,1,2,2,1,5,4,6,1,1,3,2,1,,,,,,1
2021-KW33,1,2,5,4,8,9,4,2,10,3,8,1,2,,,,,2
2021-KW34,1,4,4,10,12,9,8,9,7,4,7,1,1,1,,,,1
2021-KW35,9,21,33,18,8,4,17,8,12,13,15,9,3,3,1,1,,1
2021-KW36,1,16,27,11,7,5,7,5,11,3,3,4,5,4,,1,,
2021-KW37,3,9,9,6,5,5,8,3,6,4,6,2,1,1,1,,3,
2021-KW38,,4,6,3,4,3,5,2,3,4,3,2,,,,1,3,
2021-KW39,,4,3,6,1,4,5,2,4,4,6,4,3,1,,,4,
2021-KW40,1,1,4,6,4,4,2,4,2,2,2,4,3,2,,1,,2
2021-KW41,,2,6,5,3,4,10,4,5,2,5,5,4,,1,3,4,3
2021-KW42,2,1,4,5,6,5,6,6,4,4,7,6,8,4,,,2,
2021-KW43,2,8,15,12,7,10,8,7,8,10,6,9,7,2,1,,2,3
2021-KW44,5,12,19,13,11,13,12,13,11,18,14,14,9,5,5,2,9,2
2021-KW45,8,26,18,13,14,14,18,11,18,8,18,7,10,5,4,3,13,6
2021-KW46,7,48,59,30,18,16,20,21,31,16,24,15,13,8,7,4,13,3
2021-KW47,6,42,52,21,17,31,32,33,31,21,26,29,22,10,9,5,22,10
2021-KW48,10,36,38,31,20,24,23,31,31,34,25,20,29,19,8,5,20,2
