# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-06 06:45:01
# API-Download für Covid19-Fälle in LK Werra-Meißner-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,,,1,,,,,1,,3,,,,
2020-KW13,,1,,,2,3,,1,1,,1,4,2,,,1,,
2020-KW14,,,,1,,,,,1,,1,1,1,,1,2,1,
2020-KW15,,,,,1,1,3,1,3,2,3,2,,2,3,5,25,
2020-KW16,,,2,1,3,,3,2,4,4,5,,5,1,2,1,9,
2020-KW17,,,,2,,4,,,,2,,3,2,1,4,3,16,
2020-KW18,,,,1,1,2,1,2,1,,2,3,2,,,,2,
2020-KW19,,,,,2,,,,2,2,2,3,2,1,,1,3,
2020-KW20,,,,1,1,,,1,1,,1,1,,,,,3,
2020-KW21,,,,,,,,,,,,,,,,,3,
2020-KW22,,,,,,1,1,,,1,,,1,,,,2,
2020-KW23,,,,1,,,,,,,,,,,,,,
2020-KW24,,,,,1,,,,,1,,,1,,,,1,
2020-KW25,,,1,1,2,2,1,1,2,,,,,,,,,
2020-KW26,,,,,1,1,,1,1,,,,,,,,,
2020-KW27,1,,,,,,,,,,,,,,,,,
2020-KW28,,,,,,,,,1,,,,,,,,,
2020-KW32,,,,,,,1,1,,,,,,,,,,
2020-KW33,1,,1,,1,1,,,,,,,1,,,,,
2020-KW34,1,,,,1,1,,,,,,,,,,,,
2020-KW35,,,,,1,2,,,,1,,,,,,,,
2020-KW36,1,,,,,2,,,,,,,,,,,,
2020-KW37,,,,,,,,,,,1,,,,,,,
2020-KW38,,,1,,,,,1,,,,,,,,,,
2020-KW39,,,,1,1,,1,,,,,,,,,,,
2020-KW40,,,,,,1,1,1,1,,1,1,1,4,1,1,,
2020-KW41,,,,,2,3,3,1,1,3,6,8,6,2,5,2,1,
2020-KW42,,,,2,2,,2,1,2,2,,2,2,,1,,,
2020-KW43,,2,3,5,2,1,1,3,7,1,3,,,2,,1,,
2020-KW44,2,,3,6,5,5,7,2,3,4,3,2,5,4,1,1,,
2020-KW45,2,1,3,4,6,3,8,8,2,5,6,3,2,1,2,2,14,
2020-KW46,,7,2,5,6,3,4,5,4,5,5,9,6,4,,2,4,
2020-KW47,1,,,3,6,9,8,2,3,8,7,10,11,3,1,2,19,
2020-KW48,,1,4,5,6,8,12,8,6,6,10,14,6,3,8,14,49,
2020-KW49,,,,3,3,5,11,5,4,5,8,7,7,5,2,2,17,
2020-KW50,2,2,2,6,6,6,5,7,6,10,12,11,3,5,2,2,7,
2020-KW51,5,1,4,3,7,5,8,6,4,11,11,14,8,1,5,9,12,
2020-KW52,2,3,3,7,1,9,8,9,4,9,12,10,6,6,6,4,31,
2020-KW53,,1,4,5,14,9,11,4,7,8,8,9,5,5,5,4,33,
2021-KW01,3,1,4,9,7,13,19,13,14,10,6,16,11,7,4,3,38,
2021-KW02,4,3,1,13,13,8,6,4,2,12,10,14,13,1,7,5,14,
2021-KW03,,2,1,7,7,7,15,8,8,17,15,15,12,7,6,12,56,
2021-KW04,1,3,3,4,11,12,13,9,16,15,11,9,13,4,2,5,24,
2021-KW05,2,2,7,7,2,3,8,6,4,5,3,7,5,5,3,1,11,
2021-KW06,3,,1,2,4,7,4,4,5,6,7,10,2,3,3,2,16,
2021-KW07,,,,2,2,2,1,1,1,9,4,8,11,6,1,1,1,
2021-KW08,,2,,,4,5,3,2,5,1,4,9,9,1,1,2,11,
2021-KW09,2,2,2,2,3,3,6,2,3,5,4,3,5,3,1,,8,
2021-KW10,3,4,3,7,4,5,1,3,11,1,8,10,7,6,7,2,2,
2021-KW11,8,3,4,3,2,2,8,5,5,5,7,10,7,4,7,4,6,
2021-KW12,6,1,7,3,7,10,10,14,11,10,11,16,8,10,3,5,5,
2021-KW13,4,5,4,,8,4,12,16,6,4,13,14,15,11,6,2,7,
2021-KW14,1,5,4,2,9,13,5,5,3,8,9,6,4,4,1,2,4,
2021-KW15,3,3,6,2,11,13,12,7,7,10,15,19,9,7,5,2,9,
2021-KW16,6,8,11,6,15,7,9,15,5,16,6,6,9,2,1,3,1,
2021-KW17,12,4,9,9,15,14,12,14,11,16,15,15,8,4,1,3,,
2021-KW18,2,5,7,5,7,7,8,7,6,9,12,6,6,5,6,8,7,
2021-KW19,3,3,3,3,4,10,4,6,4,4,11,7,5,3,1,2,2,
2021-KW20,5,3,3,9,6,8,8,8,10,6,4,9,6,1,2,1,2,
2021-KW21,,2,3,5,1,6,1,3,3,2,,2,,3,2,1,,
2021-KW22,,4,4,11,4,2,3,,1,,3,,,2,3,2,2,
