# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-12 05:44:04
# API-Download für Covid19-Fälle in LK Wittmund, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,1,,1,1,,,,,,,,
2020-KW12,,,,,,,,,,,,,1,,,,,
2020-KW13,,,,,1,2,,1,,,3,1,1,1,,,,
2020-KW14,,,,,,,1,,,,,,1,,,,,
2020-KW15,1,,,,,,1,1,,,,,1,,,,,
2020-KW16,,,,,1,,,,,,,,,,,,3,
2020-KW18,,,,,,,1,,1,,,,,,,,,
2020-KW19,,,,,,,,1,,,,,,,,,,
2020-KW20,,,,,,,,,1,,,,,,,,,
2020-KW21,2,,1,1,2,1,,,,,1,2,,,,,,
2020-KW22,,1,,,,,,,,,,1,,,,,,
2020-KW23,,,,,1,,,,,,,,,,,,,
2020-KW33,,,,,,,,,1,,,,,1,,,,
2020-KW34,,,1,,,,,2,,,,,,,,,,
2020-KW35,,,1,,,,,,,,,,1,1,,,,
2020-KW37,,,,,1,,,,1,,,1,,,,,,
2020-KW38,,,1,1,,,,,1,,,,,,,,,
2020-KW39,1,1,,1,3,1,1,,,,1,,1,1,,,1,
2020-KW40,,,4,2,3,2,1,,,,,,,,,,,
2020-KW41,1,,,,,,,,,,,1,1,,,,,
2020-KW42,,,,1,,,,,,,,,,,,,,
2020-KW43,,,1,1,,,1,3,,,,1,,,1,,3,
2020-KW44,,,4,6,8,3,,,1,5,5,3,3,1,,,2,
2020-KW45,,1,1,5,4,1,1,1,4,1,4,6,8,6,2,,,
2020-KW46,1,2,4,6,3,1,,5,7,,1,3,3,2,1,1,4,
2020-KW47,1,,,4,3,2,1,,1,1,,1,4,5,3,1,,
2020-KW48,1,4,2,4,4,4,2,4,2,1,2,4,2,3,2,5,3,
2020-KW49,2,2,2,2,6,2,4,3,1,4,2,3,4,1,,,,
2020-KW50,,,1,4,7,,2,2,1,2,3,2,,2,1,,5,
2020-KW51,,,,1,,3,1,,2,1,1,2,5,1,,1,,
2020-KW52,,,,,1,4,5,2,,,1,1,5,1,6,1,1,
2020-KW53,,,2,3,2,5,1,1,2,4,3,3,5,3,4,3,4,
2021-KW01,2,7,2,2,3,5,5,5,6,5,13,7,3,5,6,3,18,
2021-KW02,5,4,5,3,2,7,2,6,3,4,7,10,4,,1,2,17,
2021-KW03,1,2,4,2,4,4,1,1,2,3,7,7,3,,1,1,6,
2021-KW04,,2,4,4,2,2,2,2,3,4,7,7,3,1,3,5,10,
2021-KW05,,,,2,2,1,3,1,3,2,5,4,3,1,,3,1,
2021-KW06,,1,1,2,1,,3,,2,,1,,2,1,,,1,
2021-KW07,,2,,2,3,1,1,3,1,1,,2,2,,1,,,
2021-KW08,,2,1,4,1,,,3,2,,1,3,1,,,,1,
2021-KW09,,1,1,,,,,,1,2,1,,,1,2,1,1,
2021-KW10,,,,,1,2,4,,1,,1,,,,3,,,
2021-KW11,1,,,1,,4,1,3,1,,3,4,2,,1,,3,
2021-KW12,1,3,4,7,4,3,7,3,2,6,4,1,7,1,3,2,,
2021-KW13,,,3,,1,3,3,5,3,6,2,7,4,2,3,4,,
2021-KW14,2,4,4,4,6,1,5,4,1,4,,5,4,,2,1,,
2021-KW15,3,5,8,8,8,4,1,7,4,,2,5,1,3,5,,4,
2021-KW16,2,2,2,,1,4,2,2,3,2,1,2,1,1,,,,
2021-KW17,2,,2,3,3,2,1,2,3,1,1,1,1,1,3,,2,
2021-KW18,,,2,,4,3,1,1,1,1,1,1,,,,,1,
2021-KW19,2,,1,1,1,,4,2,1,1,3,7,2,6,3,,,
2021-KW20,,,2,,,2,,,1,,,3,3,2,,1,,
2021-KW21,1,,,1,,2,,,1,,3,1,1,,1,,1,
2021-KW22,,,,,,,1,,,,1,1,,,,,1,
2021-KW23,,,1,1,1,,,,,1,,,,,,,,
2021-KW24,,,,,,,,,,,,,,1,,,,
2021-KW25,,,,1,,,,,,,,1,,,,,,
2021-KW26,,,,,1,2,,,,,,,,,,,,
2021-KW27,,,,,1,,,,,,,,,,,,,
2021-KW29,1,,2,4,2,1,2,1,,,,2,,,,,,
2021-KW30,,,,2,,,,,,,,1,,,,,,
2021-KW31,,,,,2,,,,,,,,,,,,,
2021-KW32,,,,,1,,,,,,,,1,,,,,
