# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-01-08 07:39:04
# API-Download für Covid19-Fälle in SK Berlin Mitte, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,1,,,,1,1,2,,,1,2,,,,,,1,
2020-KW11,2,,,,2,7,12,3,4,4,3,3,,,,,,
2020-KW12,3,2,2,2,10,22,24,18,17,12,11,8,5,4,2,,1,
2020-KW13,3,,1,1,23,48,29,24,19,11,19,14,3,6,3,2,4,
2020-KW14,2,,1,3,12,21,23,17,23,8,9,6,6,6,3,5,3,
2020-KW15,5,1,1,12,17,19,23,12,15,12,17,13,4,5,8,5,6,
2020-KW16,2,3,1,1,5,15,10,7,2,3,8,3,6,4,1,5,4,
2020-KW17,1,,1,1,3,3,5,2,,,2,7,3,1,4,1,8,
2020-KW18,,,2,1,4,4,2,3,3,3,5,7,3,3,3,1,3,
2020-KW19,1,,,1,1,1,7,2,6,2,,3,,1,2,1,4,
2020-KW20,,,,,1,7,1,1,4,2,1,,,,2,,1,
2020-KW21,2,,1,2,3,3,2,2,,1,1,3,,2,1,,,
2020-KW22,2,2,2,1,2,3,5,3,2,,1,1,2,,1,,3,
2020-KW23,1,,1,2,3,4,2,2,1,1,2,,,,,,,
2020-KW24,4,5,7,2,5,3,8,5,1,2,2,5,1,,1,1,4,
2020-KW25,9,3,4,6,4,2,6,4,7,4,3,7,4,1,1,2,5,
2020-KW26,1,4,3,,1,3,3,3,6,1,4,3,3,1,1,,3,
2020-KW27,3,4,1,2,3,10,8,7,4,3,2,6,2,2,1,,2,
2020-KW28,1,2,2,2,1,,7,3,4,3,1,,2,2,,1,2,
2020-KW29,,,3,1,3,,1,2,,1,2,3,,,,,,
2020-KW30,3,,1,3,10,8,4,2,3,1,5,,,1,,,,
2020-KW31,3,2,2,4,9,9,4,5,7,4,4,4,,,,1,,
2020-KW32,5,10,8,4,9,7,8,8,3,4,6,1,2,1,,,,
2020-KW33,2,5,14,12,11,7,17,8,9,12,11,2,2,,,,,
2020-KW34,2,1,6,,8,16,16,6,7,4,4,5,2,2,,1,1,
2020-KW35,1,1,2,8,14,15,14,11,2,,1,1,1,,,1,,1
2020-KW36,1,,,4,19,14,19,8,9,7,2,1,1,,1,1,,1
2020-KW37,1,5,1,5,24,13,14,7,6,7,9,1,1,1,,1,1,
2020-KW38,1,1,1,11,16,27,20,14,12,10,9,5,4,,1,,1,1
2020-KW39,,3,4,15,36,32,29,15,14,16,13,16,8,4,1,1,2,2
2020-KW40,3,3,5,17,28,31,34,26,15,11,12,9,9,5,3,3,6,1
2020-KW41,6,17,23,33,56,68,49,19,24,36,19,15,11,3,6,2,13,4
2020-KW42,10,17,38,34,70,65,68,44,42,44,29,22,19,11,7,3,6,8
2020-KW43,14,14,44,44,81,82,100,64,53,65,68,37,20,21,11,2,18,36
2020-KW44,14,25,31,41,92,92,81,84,54,55,34,36,29,13,16,14,19,36
2020-KW45,13,16,26,52,85,117,107,91,66,56,57,47,25,15,10,15,14,11
2020-KW46,11,25,67,68,138,178,175,105,98,78,79,66,53,31,15,24,21,162
2020-KW47,21,33,39,92,100,122,133,85,77,86,67,68,46,29,21,26,26,33
2020-KW48,17,29,32,35,64,81,89,67,75,52,46,56,42,29,25,19,54,18
2020-KW49,16,27,45,51,67,66,89,80,74,69,59,38,30,19,35,31,88,21
2020-KW50,11,27,54,57,85,101,94,74,64,58,56,57,39,32,30,29,73,9
2020-KW51,8,16,31,43,75,131,115,79,74,64,58,68,54,43,36,37,82,10
2020-KW52,5,7,20,28,51,89,81,58,51,48,56,40,47,15,20,23,78,2
2020-KW53,8,9,10,25,37,59,70,64,48,39,31,44,31,23,10,8,56,1
2021-KW01,2,9,9,18,49,81,100,61,40,31,48,35,24,18,18,17,24,2
2021-KW02,5,6,6,24,50,69,61,44,36,31,29,31,16,17,23,24,61,12
2021-KW03,8,3,13,20,35,43,53,33,36,37,40,36,40,17,19,19,51,1
2021-KW04,5,7,6,16,28,53,36,46,20,19,36,26,25,15,13,19,33,
2021-KW05,4,2,7,9,29,48,38,33,24,31,20,25,22,15,14,15,39,
2021-KW06,1,2,4,10,22,25,26,14,21,16,11,18,11,9,9,3,23,1
2021-KW07,7,4,1,9,23,34,27,24,22,18,20,22,9,5,9,5,17,
2021-KW08,13,11,6,15,24,35,28,16,30,21,30,29,16,6,3,5,17,3
2021-KW09,9,9,7,9,22,23,26,28,16,17,19,12,7,11,8,9,19,
2021-KW10,10,15,13,18,21,31,29,26,27,20,22,24,14,13,6,4,9,
2021-KW11,19,16,11,15,45,47,66,56,41,40,40,28,23,12,10,7,15,1
2021-KW12,32,46,22,31,39,59,65,58,48,35,44,26,23,16,15,6,4,
2021-KW13,25,27,18,20,58,58,58,59,51,44,45,41,23,13,11,7,5,
2021-KW14,12,11,9,14,28,50,44,41,44,38,40,41,22,23,11,10,12,
2021-KW15,14,27,47,47,58,73,71,69,45,40,47,33,18,15,10,10,5,
2021-KW16,13,36,62,44,43,56,64,41,46,47,45,45,22,21,18,16,9,1
2021-KW17,8,34,43,36,50,39,47,36,35,42,39,32,21,8,11,6,8,
2021-KW18,15,31,45,43,34,44,44,28,34,35,32,18,13,12,7,4,3,
2021-KW19,9,14,23,24,44,54,28,29,25,25,22,18,13,4,6,6,4,
2021-KW20,11,17,31,15,42,39,43,41,22,29,11,15,10,6,2,2,3,
2021-KW21,3,8,12,13,22,21,21,16,20,14,11,8,3,1,2,1,1,
2021-KW22,5,11,10,10,17,15,11,12,16,8,6,6,5,,1,1,2,
2021-KW23,2,7,7,2,7,9,12,2,9,5,3,4,5,2,1,,1,
2021-KW24,1,2,2,4,1,7,10,3,3,3,,3,1,2,,,1,
2021-KW25,1,1,3,1,8,6,8,3,3,1,,1,6,,,1,,
2021-KW26,1,1,1,2,2,7,4,1,3,3,4,3,2,,,,,
2021-KW27,1,,1,2,7,15,11,7,2,3,3,1,1,1,1,,,
2021-KW28,,,1,8,22,23,15,10,1,4,3,3,1,,,,,
2021-KW29,3,,2,10,29,44,19,7,10,6,3,4,2,,,1,,
2021-KW30,1,2,3,10,26,31,27,7,6,6,3,3,2,,,1,,
2021-KW31,3,8,9,14,20,33,34,15,16,15,4,3,1,1,,2,2,1
2021-KW32,5,11,29,28,32,25,32,30,14,16,12,13,5,1,2,,3,
2021-KW33,8,39,44,45,36,38,33,36,22,21,11,17,5,3,2,2,1,1
2021-KW34,14,27,38,42,36,43,45,28,27,20,18,8,6,3,3,3,5,1
2021-KW35,15,35,41,42,57,42,53,33,21,29,21,12,13,8,2,4,5,
2021-KW36,11,37,57,59,41,42,44,43,28,25,17,10,10,11,3,5,7,
2021-KW37,16,42,58,39,42,39,45,41,37,18,17,10,7,3,5,,4,
2021-KW38,9,24,35,36,28,43,46,40,25,26,22,15,4,4,4,1,2,
2021-KW39,2,12,50,30,33,37,48,31,24,22,18,13,2,9,8,4,2,
2021-KW40,6,30,39,29,28,35,45,44,39,27,26,23,17,4,5,4,9,
2021-KW41,11,37,54,23,43,54,69,38,32,33,21,15,5,9,8,7,13,1
2021-KW42,15,30,42,32,41,85,76,51,54,42,31,31,19,12,9,11,15,
2021-KW43,9,40,49,45,59,91,89,81,54,26,29,27,19,16,15,12,22,
2021-KW44,22,78,87,52,66,106,80,79,59,48,39,37,24,14,13,8,13,
