# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-28 07:08:14
# API-Download für Covid19-Fälle in SK Berlin Neukölln, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW03,,,,,,1,,,,,,,,,,,,
2020-KW10,,,,,,,,,,,,,1,,,,,
2020-KW11,2,,,1,,3,1,2,2,2,1,1,2,,1,1,1,
2020-KW12,,1,,,6,6,15,11,10,5,7,5,4,,4,3,,
2020-KW13,3,3,4,10,8,19,29,24,7,10,6,11,6,3,6,4,7,
2020-KW14,2,2,6,5,8,14,20,9,10,13,14,11,4,5,4,5,10,
2020-KW15,2,2,2,5,4,7,15,13,8,8,5,3,2,,2,2,11,
2020-KW16,,2,2,2,3,7,7,3,2,9,8,3,2,3,3,1,3,
2020-KW17,,,,2,6,9,2,1,3,6,5,12,2,2,7,2,9,
2020-KW18,,2,,,3,4,2,3,1,4,3,4,4,4,6,2,5,
2020-KW19,,,,1,,1,1,1,2,4,2,1,2,1,,2,4,
2020-KW20,1,2,2,5,5,1,5,2,5,1,,1,1,1,,2,,
2020-KW21,,,1,2,,2,3,3,,3,2,1,2,1,,1,1,
2020-KW22,1,,,,1,2,2,,,2,2,4,2,,,2,1,
2020-KW23,,1,6,2,3,2,2,2,,4,1,4,,,,,,
2020-KW24,7,10,9,7,1,7,9,2,4,5,3,4,3,3,,1,3,
2020-KW25,6,12,12,10,7,6,11,6,9,1,2,,3,,,1,2,
2020-KW26,3,2,5,5,4,7,5,12,,2,3,6,1,2,,,2,
2020-KW27,3,,,,6,2,5,2,2,1,1,2,,3,,4,4,
2020-KW28,,,,1,4,1,5,3,1,,1,2,,,,,3,
2020-KW29,,,3,1,2,,,1,1,3,,,,,,,,
2020-KW30,,,,3,2,4,2,4,2,2,1,,,,,,,
2020-KW31,1,1,2,2,7,15,6,1,3,7,5,1,1,,2,,,
2020-KW32,,2,7,7,2,4,8,6,3,8,3,,1,1,,,,
2020-KW33,1,12,12,7,7,8,8,8,7,3,7,5,,1,,2,,
2020-KW34,3,2,3,3,7,5,8,7,1,4,3,2,2,,,,2,
2020-KW35,5,3,3,4,9,18,10,10,2,5,4,1,2,,2,1,,
2020-KW36,2,1,1,3,7,9,6,4,3,2,1,2,2,,1,1,,1
2020-KW37,1,1,2,4,14,17,20,11,5,8,4,5,6,1,,,1,
2020-KW38,3,2,3,9,13,19,23,8,9,1,4,2,2,1,1,1,5,1
2020-KW39,2,4,6,13,7,16,18,14,8,6,4,12,7,2,,2,1,1
2020-KW40,4,14,21,38,36,45,17,21,10,19,22,17,11,5,4,2,1,
2020-KW41,10,8,30,41,67,63,48,40,27,28,32,27,17,7,4,10,5,1
2020-KW42,12,15,18,44,63,92,70,53,69,47,50,32,18,12,7,11,9,1
2020-KW43,15,17,32,76,88,130,111,88,52,71,66,84,51,21,14,18,22,1
2020-KW44,12,11,38,45,73,91,103,82,40,69,60,62,42,34,18,36,32,
2020-KW45,21,23,49,84,93,108,91,91,81,67,70,78,32,28,24,19,31,2
2020-KW46,12,24,53,63,110,117,147,96,86,65,56,78,49,30,22,23,44,5
2020-KW47,9,29,56,60,79,115,121,97,71,65,55,57,29,21,18,16,57,6
2020-KW48,5,17,40,59,73,83,97,64,80,69,51,60,35,22,18,29,63,6
2020-KW49,10,17,20,52,57,52,68,50,52,59,66,47,32,26,20,22,71,2
2020-KW50,17,17,21,43,67,78,99,71,62,37,59,71,47,23,16,26,86,2
2020-KW51,12,19,16,39,56,82,79,71,62,50,57,50,29,23,26,28,96,2
2020-KW52,15,6,13,18,43,65,62,59,64,37,45,42,25,23,25,34,78,1
2020-KW53,3,4,2,8,23,38,44,26,28,20,23,26,28,12,11,17,49,2
2021-KW01,8,10,12,23,52,65,60,48,34,43,46,53,42,25,13,29,68,1
2021-KW02,7,8,9,28,43,62,55,38,29,39,43,48,25,28,22,35,94,1
2021-KW03,6,7,15,10,38,26,39,32,26,31,33,34,25,12,14,17,55,
2021-KW04,3,5,7,16,14,37,29,27,28,26,21,22,16,9,12,18,25,
2021-KW05,5,5,5,14,19,23,28,20,19,22,13,19,13,13,7,15,20,2
2021-KW06,6,4,11,11,13,13,21,23,9,13,19,21,12,4,7,5,15,
2021-KW07,8,8,4,12,14,13,25,22,16,18,19,18,10,12,5,7,13,1
2021-KW08,4,11,15,15,24,17,20,29,18,23,29,17,14,8,7,9,17,2
2021-KW09,17,22,19,17,21,20,27,37,35,21,26,19,16,16,7,6,15,1
2021-KW10,7,5,11,17,16,28,21,21,22,15,19,15,14,7,8,7,11,5
2021-KW11,12,16,19,22,32,34,44,38,35,17,28,29,16,11,4,7,14,2
2021-KW12,31,54,33,47,45,63,82,78,55,44,33,46,24,18,9,10,18,3
2021-KW13,31,27,25,36,43,54,58,68,59,36,33,44,26,23,17,12,7,3
2021-KW14,8,13,9,23,33,37,42,42,37,42,29,29,25,10,12,9,11,11
2021-KW15,21,28,42,59,41,72,76,64,55,41,36,42,20,26,15,6,10,6
2021-KW16,10,34,56,43,53,57,68,53,34,42,41,39,24,11,12,7,3,2
2021-KW17,28,38,53,38,39,45,51,54,43,41,37,32,27,11,13,3,6,2
2021-KW18,17,36,40,27,32,40,45,31,40,26,21,25,19,12,9,5,7,1
2021-KW19,10,25,27,18,33,30,37,25,13,18,21,23,4,3,2,3,1,2
2021-KW20,11,12,23,16,11,36,27,19,17,10,12,12,6,4,1,3,5,
2021-KW21,5,10,15,19,8,10,14,11,5,13,6,7,5,1,3,1,,1
