# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-10-18 05:42:21
# API-Download für Covid19-Fälle in SK Berlin Pankow, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,1,,2,,,1,,,,,,
2020-KW11,,,,,2,5,5,2,4,3,3,,,,,,,
2020-KW12,,1,1,1,7,20,12,10,7,8,7,7,4,1,1,,,
2020-KW13,1,,1,,8,17,24,16,17,11,14,13,5,2,3,1,8,
2020-KW14,3,1,,,6,5,18,11,14,13,9,9,8,2,4,6,12,
2020-KW15,,,1,,5,8,13,7,11,9,6,4,1,3,2,7,18,
2020-KW16,1,2,,,2,5,8,4,3,7,4,8,2,,3,3,25,
2020-KW17,1,1,2,2,3,1,2,6,5,,6,8,,,1,,5,
2020-KW18,1,,,,2,1,1,2,3,1,3,2,3,2,,5,7,
2020-KW19,1,,,1,1,3,4,3,,2,,1,,1,1,1,5,
2020-KW20,1,,1,2,2,2,1,3,,1,,,,,,,2,
2020-KW21,1,2,3,2,3,1,2,3,4,2,1,2,1,,,3,10,
2020-KW22,,,,,1,1,1,,1,,,1,,,1,,,
2020-KW23,,,1,1,,,1,,2,1,1,1,1,,,1,3,
2020-KW24,1,1,2,,1,1,2,1,3,1,,1,,,,,2,
2020-KW25,1,3,,1,2,1,1,2,2,,1,1,1,,,1,2,
2020-KW26,3,1,,,1,2,2,1,1,1,1,1,,,,,,
2020-KW27,,1,1,,2,4,2,1,,,1,2,,,,1,,
2020-KW28,2,3,,,,1,,1,3,2,,1,,,,,,
2020-KW29,,,,,,3,2,,1,,,2,,,,,,
2020-KW30,,1,,2,3,2,2,2,,4,2,1,,,1,,,
2020-KW31,,1,1,3,4,1,2,2,,5,1,1,,,,,,
2020-KW32,1,3,,,4,3,4,2,1,2,1,1,,,,,1,
2020-KW33,1,1,,,2,5,10,2,,5,,2,,,,,,
2020-KW34,1,1,,,2,5,8,6,3,3,1,,1,,,,,
2020-KW35,2,3,3,,5,8,9,3,4,5,2,1,,,,,,
2020-KW36,,1,1,4,6,19,13,4,3,3,2,1,,,,,,1
2020-KW37,,,,2,2,14,13,6,4,2,1,1,,,,,,
2020-KW38,,,2,,10,10,8,8,6,3,1,2,2,1,,,,
2020-KW39,1,,6,,7,15,16,12,14,7,7,5,1,2,,,,1
2020-KW40,1,2,3,3,10,16,16,18,3,6,4,6,1,1,,,1,
2020-KW41,2,3,5,8,11,25,22,8,10,9,16,6,5,2,2,2,5,
2020-KW42,3,5,3,16,23,27,37,26,16,22,18,15,3,2,3,2,5,1
2020-KW43,5,3,6,15,34,46,35,27,24,28,17,15,10,7,3,5,8,1
2020-KW44,4,8,16,20,48,76,49,54,40,41,38,23,14,8,6,7,11,
2020-KW45,13,17,15,36,62,74,97,57,48,62,54,40,25,14,10,8,19,
2020-KW46,4,12,21,34,47,83,75,57,53,41,50,48,23,14,9,17,46,
2020-KW47,13,14,25,32,34,65,87,59,66,43,55,36,20,18,3,7,26,2
2020-KW48,20,34,48,23,37,32,62,61,78,50,52,39,26,15,12,21,68,
2020-KW49,6,23,24,27,40,34,57,52,59,47,47,32,17,23,12,26,46,
2020-KW50,18,21,39,26,27,38,57,45,55,39,65,35,29,11,15,16,47,
2020-KW51,17,16,25,31,27,62,69,79,62,63,62,72,31,18,12,18,83,1
2020-KW52,7,21,17,16,18,35,44,42,40,33,51,34,13,10,7,8,29,
2020-KW53,2,6,3,12,9,26,26,41,27,30,25,28,21,17,7,9,36,3
2021-KW01,6,12,22,38,42,55,83,76,53,45,71,82,48,35,25,31,101,
2021-KW02,10,22,28,28,46,69,89,80,64,67,88,70,28,26,10,20,78,
2021-KW03,8,7,11,14,22,37,51,47,37,31,35,45,24,15,7,17,65,
2021-KW04,6,9,7,8,17,23,33,28,22,21,23,23,17,14,8,21,75,
2021-KW05,5,5,7,10,13,16,42,26,30,22,26,30,16,6,4,20,41,
2021-KW06,8,4,5,7,12,19,27,19,13,18,18,24,14,4,3,13,24,
2021-KW07,2,8,5,13,17,9,9,14,13,8,20,16,11,2,2,6,30,
2021-KW08,5,5,13,8,14,19,11,15,17,16,25,20,10,8,7,8,21,
2021-KW09,3,8,4,5,6,13,23,9,17,20,20,12,5,,4,4,8,
