# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-15 07:43:47
# API-Download für Covid19-Fälle in SK Coburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,1,,1,3,,,2,,1,1,1,,,,,1,
2020-KW13,,,,1,,1,,1,3,3,,2,,,1,,,
2020-KW14,,,,1,3,,,1,,,,,1,,,1,1,
2020-KW15,,,1,1,,,1,,,1,1,2,,,,,,
2020-KW16,,,1,,5,,1,1,,,,1,2,2,,1,,
2020-KW17,,,,,1,,,,,,2,1,,,,,1,
2020-KW18,,,,,1,,1,,1,,1,,,,,1,2,
2020-KW19,,,,,1,,,,,,,,,,,1,,
2020-KW20,,,,,1,,,,,,,1,,,,,1,
2020-KW21,,,1,,1,1,1,,1,1,1,1,2,2,,,,
2020-KW22,,,,,1,,,1,,,1,,1,1,1,1,1,
2020-KW23,,,,1,,1,2,2,1,,,,,,,,1,
2020-KW24,,,,,,,,1,1,,1,,,,,,,
2020-KW25,,,1,,,,,,1,1,,,1,,,,1,
2020-KW26,,,,,,,,,1,,,2,3,1,,1,3,
2020-KW27,,,,,1,,,,,,,,,,,,,
2020-KW29,,1,,1,,,,1,,,,,,,,,,
2020-KW31,,,,,2,,,,,,,1,,,,,,
2020-KW32,,,,1,,,,,,,,,,,,,,
2020-KW33,,,,,,,,1,,,,,,,,,,
2020-KW34,,,,,2,2,,,,1,,1,,,,,,
2020-KW35,,,,,,,1,,,,,,,,,,,
2020-KW36,1,,,1,1,,,,1,,,,,,,,,
2020-KW37,,,,,1,,,1,,,,,,,,,,
2020-KW38,,,1,,,1,,1,2,1,,,,,,,,
2020-KW39,,,,,,,2,,,,,,,,,,,
2020-KW40,,,,,1,,,1,,,,,,,,,,
2020-KW41,,,,,1,1,,,,,,,,,,,1,
2020-KW42,1,,,1,2,,,,,,2,,,2,,,,
2020-KW43,,1,1,1,3,3,4,3,1,1,1,1,2,,2,1,,
2020-KW44,1,1,,3,1,3,4,2,2,1,5,3,1,2,1,2,1,
2020-KW45,,,,1,9,7,2,1,1,4,3,5,3,3,1,1,3,
2020-KW46,1,,,2,1,4,4,2,1,1,6,4,1,1,2,1,3,
2020-KW47,,1,1,2,7,9,8,6,4,5,5,9,2,2,,1,1,
2020-KW48,,2,2,4,7,4,5,7,3,4,5,4,5,1,1,1,5,
2020-KW49,2,2,5,7,5,12,8,7,5,4,8,6,9,2,,6,3,
2020-KW50,2,5,1,5,9,8,11,3,6,5,8,7,7,4,1,4,8,
2020-KW51,11,8,2,5,10,11,17,14,12,13,10,10,9,6,2,4,17,
2020-KW52,4,4,2,10,4,11,13,11,12,16,9,21,7,10,13,6,66,
2020-KW53,1,7,3,4,14,11,8,13,8,9,11,15,13,4,6,6,44,
2021-KW01,7,1,2,3,13,6,9,4,5,13,11,8,3,3,1,5,41,
2021-KW02,,3,1,2,5,5,1,4,3,3,4,6,4,1,1,3,16,
