# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-08-07 08:45:05
# API-Download für Covid19-Fälle in SK Pforzheim, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,2,,,,1,,,,1,,,,
2020-KW12,,,,,,1,1,2,1,1,4,,1,3,,,1,
2020-KW13,,,,,1,1,2,2,2,2,2,3,2,1,,1,1,
2020-KW14,,1,1,3,2,1,1,3,3,4,4,4,7,,1,3,4,
2020-KW15,,2,1,1,3,2,4,1,3,3,4,3,1,1,4,1,1,
2020-KW16,,1,,5,22,13,8,10,9,7,2,3,5,1,,1,,
2020-KW17,,,,4,12,12,9,3,3,12,5,9,1,1,1,1,2,
2020-KW18,,,,,5,3,2,2,2,5,1,1,,2,,1,2,
2020-KW19,1,,,1,6,5,2,2,6,2,7,3,,1,,,,
2020-KW20,,,,2,6,2,1,3,2,3,4,2,1,,,,7,
2020-KW21,1,,,1,5,,,1,1,1,1,,3,,,1,6,
2020-KW22,,,,2,5,2,2,1,2,,,4,1,1,1,,2,
2020-KW23,1,1,,,,,1,,1,,,1,,,,1,,
2020-KW24,,,,,,1,,,,,,,,1,,,,
2020-KW25,,,,,,,,1,,,,,,,,,,
2020-KW26,,,,,,,,,,,,,,,,,1,
2020-KW27,1,,,,,3,,1,1,,,,,,,,,
2020-KW28,1,,1,2,1,2,1,,1,1,1,,,,,,,
2020-KW29,,1,,,3,1,2,,,1,2,,,1,,1,,
2020-KW30,,1,1,3,3,1,,,3,3,1,4,,,,1,,
2020-KW31,,,,,,3,1,,,1,2,,,,1,1,1,
2020-KW32,,,,1,,,2,,,,,,,,,,,
2020-KW33,1,,,,5,4,2,3,,1,1,,,,,,,
2020-KW34,,,1,,1,2,5,4,,4,,,,,1,,1,
2020-KW35,,1,1,1,3,3,1,3,2,3,2,,,,,,,
2020-KW36,,4,,3,2,3,5,2,1,,,3,,,,,2,
2020-KW37,1,1,3,,6,3,1,1,2,,1,,2,,1,1,,
2020-KW38,,1,,2,1,3,3,,3,1,2,,,,,,,
2020-KW39,2,,1,1,,1,2,2,1,,2,1,1,1,3,,1,
2020-KW40,1,,,,,1,1,1,,,1,3,1,1,,,1,
2020-KW41,1,1,5,5,6,3,3,2,3,5,3,5,4,1,1,,4,
2020-KW42,,,,3,4,2,4,6,3,2,2,,2,1,1,,1,
2020-KW43,3,5,12,12,25,14,13,10,8,13,8,3,4,2,6,4,2,
2020-KW44,3,9,5,12,26,25,18,9,19,23,26,14,13,8,6,10,14,
2020-KW45,4,4,6,21,27,19,24,18,19,19,38,29,16,12,8,9,46,
2020-KW46,3,6,8,9,14,34,17,13,28,27,23,15,18,7,4,3,13,
2020-KW47,,5,6,21,36,25,22,20,18,20,25,13,10,12,5,11,22,
2020-KW48,6,10,11,13,17,21,21,19,28,19,29,16,9,10,11,10,45,
2020-KW49,3,7,6,16,26,37,44,22,23,31,25,30,25,12,14,13,72,
