# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-12-04 05:55:37
# API-Download für Covid19-Fälle in SK Potsdam, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,1,2,5,4,1,6,5,2,3,1,,1,1,
2020-KW13,,,,2,3,6,10,3,3,3,2,1,1,3,2,2,7,
2020-KW14,,3,1,4,11,11,15,7,4,10,6,11,6,,4,9,29,
2020-KW15,5,1,4,5,9,20,23,17,14,21,19,10,7,7,1,19,46,
2020-KW16,,,3,5,5,4,16,3,5,6,9,10,3,2,,3,13,
2020-KW17,2,1,3,2,6,4,7,4,4,3,2,1,1,1,,1,12,
2020-KW18,1,1,,,2,4,3,1,4,4,1,1,2,2,,,2,
2020-KW19,,,1,,3,,2,4,1,1,,1,,,,1,1,
2020-KW20,,,,,,,,,1,,,,,,,,,
2020-KW21,,,,,,,1,2,,,,,1,,,,,
2020-KW22,,,,,,,,,,,,,,,1,,,
2020-KW23,,,,,,,1,,,1,,,1,,,,,
2020-KW24,,1,,,,,,,,,,,,,,,,
2020-KW25,,,,,1,,,,,2,,,,,,,,
2020-KW26,,,,,,,1,1,,1,,,,,,,,
2020-KW27,,1,,,,1,,,1,,,,,,,,,
2020-KW28,,,,,,2,,,,,,1,,,,,,
2020-KW29,,,,,,1,,,,,,,,,,,,
2020-KW30,,,,,,,,1,1,,,1,,,,,1,
2020-KW31,1,1,,,2,,1,,2,1,,,,,,,,
2020-KW32,1,1,,,,,1,,1,,,,,,,,,
2020-KW33,,,,1,1,1,2,1,1,,,,,,,,,
2020-KW34,,,,,1,2,1,1,,,1,,,,,,,
2020-KW35,,,1,,2,2,1,1,3,,,,1,,,,,
2020-KW36,,,1,1,1,2,1,1,1,2,,,,,,,,
2020-KW37,,,2,,5,4,1,2,3,,,,1,,,,,
2020-KW38,,,,,,1,1,2,1,1,,1,,,,,,
2020-KW39,2,,,4,,7,4,,,,1,,,,,,,
2020-KW40,,1,,,,,4,,1,1,2,,,,,1,1,
2020-KW41,2,1,,2,,3,4,3,,1,2,3,2,1,,,2,
2020-KW42,,,1,1,7,6,9,2,4,4,4,5,7,2,3,3,2,
2020-KW43,1,1,2,7,7,5,7,7,9,6,3,9,6,3,6,4,1,
2020-KW44,3,1,6,6,8,8,8,10,11,7,8,4,1,3,2,5,1,
2020-KW45,4,,3,3,10,15,18,7,5,7,11,9,8,5,7,5,27,
2020-KW46,5,7,8,9,9,18,17,14,17,20,10,9,9,3,4,2,11,
2020-KW47,17,12,12,11,12,10,20,17,14,17,10,7,7,5,7,6,11,
2020-KW48,4,12,9,10,8,19,24,15,9,12,15,14,13,1,1,5,20,
2020-KW49,1,5,9,8,12,20,24,17,19,6,10,11,8,6,5,9,32,
2020-KW50,6,6,9,8,16,13,10,9,17,13,16,13,8,6,1,7,47,
2020-KW51,1,3,6,5,9,6,15,11,7,9,6,4,7,,2,1,4,
2020-KW52,9,7,12,12,18,19,21,20,24,15,18,13,14,6,4,9,30,
2020-KW53,14,10,15,17,29,22,37,31,24,27,25,36,19,14,16,31,152,
2021-KW01,12,14,17,21,32,32,48,42,35,32,36,41,28,10,15,17,98,
2021-KW02,17,16,13,38,53,65,89,56,56,38,62,73,57,23,20,21,87,
2021-KW03,6,7,11,12,18,32,20,27,19,29,29,16,17,6,3,15,76,
2021-KW04,8,6,1,3,13,17,12,15,18,4,17,14,10,10,6,11,32,
2021-KW05,,2,4,5,6,6,13,8,5,3,2,10,3,3,2,4,9,
2021-KW06,,,,1,8,5,5,8,7,6,6,3,3,,1,2,3,
2021-KW07,1,1,2,1,2,2,11,5,1,5,3,4,8,,,3,2,
2021-KW08,1,1,,2,5,2,6,8,4,6,8,9,6,4,3,,7,
2021-KW09,4,,4,1,4,3,9,5,8,4,4,9,2,,1,1,3,
2021-KW10,5,9,7,5,10,4,5,15,10,7,5,8,8,8,3,2,11,
2021-KW11,3,9,10,14,14,15,17,18,17,11,8,11,7,2,1,3,4,
2021-KW12,6,16,16,18,23,8,17,20,14,18,17,14,10,5,7,5,3,
2021-KW13,11,8,10,6,19,18,16,13,16,9,11,11,7,6,3,6,3,
2021-KW14,8,2,4,7,17,7,15,8,11,10,7,12,6,3,9,3,5,
2021-KW15,21,9,13,7,24,14,24,23,9,10,9,14,5,8,4,3,7,
2021-KW16,19,15,10,14,18,26,14,32,13,14,19,8,11,2,1,3,4,
2021-KW17,14,20,21,11,14,13,22,27,20,9,13,7,9,2,5,1,2,
2021-KW18,16,27,16,18,18,11,16,23,24,15,8,15,1,7,7,3,5,
2021-KW19,8,13,13,6,8,8,12,11,15,7,6,4,2,2,2,1,7,
2021-KW20,8,8,9,4,2,6,7,10,11,4,2,5,2,2,,5,,
2021-KW21,2,2,2,3,4,3,3,1,5,2,1,1,3,1,,,1,
2021-KW22,1,4,5,3,,,3,3,5,2,,4,,,,,,
2021-KW23,,,,1,2,1,,,,,,1,,,,,,
2021-KW24,,1,,1,,2,,,,1,,,,,,,,
2021-KW25,,,,,,,,,2,,,,,,,,,
2021-KW26,,,,,,,,1,,,1,,,,,,,
2021-KW27,,1,,,2,1,,3,,,,,,,,,,
2021-KW28,,1,1,,3,1,,2,1,1,,,1,,,,,
2021-KW29,2,1,1,4,6,2,2,1,,1,,,1,,,,,
2021-KW30,,,1,,1,3,3,2,1,,1,3,,,,,1,
2021-KW31,3,4,3,2,5,3,2,2,2,1,1,2,1,,,,1,
2021-KW32,1,4,11,7,6,8,4,3,4,6,3,3,,1,1,,,
2021-KW33,3,1,8,9,7,2,10,7,1,2,7,,1,1,1,,,
2021-KW34,9,5,9,6,3,4,3,10,1,2,3,1,1,,,,2,
2021-KW35,3,6,12,5,6,6,5,4,7,8,1,5,2,1,,,5,
2021-KW36,6,7,10,8,10,8,10,8,9,1,6,1,1,,,,3,
2021-KW37,6,13,15,9,4,9,9,14,13,9,2,4,2,1,1,2,2,
2021-KW38,6,16,11,5,6,6,9,13,12,3,2,3,1,3,5,1,3,
2021-KW39,4,17,21,7,6,7,13,12,10,4,9,6,1,3,3,,2,
2021-KW40,4,13,21,8,7,7,13,15,10,8,2,3,5,2,1,1,1,
2021-KW41,7,11,19,6,3,8,10,10,11,8,2,3,,1,1,1,1,
2021-KW42,13,16,31,10,12,10,21,19,18,17,8,9,3,2,3,1,1,
