# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-05-04 08:49:56
# API-Download für Covid19-Fälle in SK Speyer, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,1,,1,,,,,,
2020-KW12,,,,,,2,,,1,,,1,1,,,,,
2020-KW13,,,,1,,5,,1,1,1,1,2,2,2,,1,,
2020-KW14,,,,1,,,3,2,3,1,,3,1,,,,,
2020-KW15,,,,,,2,,,3,2,,,,1,3,,,
2020-KW16,,,,,2,,,1,1,1,2,,,,,,,
2020-KW17,,,,1,,1,2,2,1,1,2,2,,,,1,,
2020-KW18,,,3,,2,2,1,,1,2,,1,,,,,1,
2020-KW19,,,,,,,,,,,1,,,,1,,,
2020-KW20,,,,,1,,,,,,,,,,,,1,
2020-KW22,,,,,,,,,,1,,,,,,,,
2020-KW23,,,,,,,1,,,1,,,,,,,,
2020-KW24,,,,,1,1,,,1,1,,,,,,,,
2020-KW25,,,,,,,,,,,1,1,,,1,,,
2020-KW26,,,,2,,,1,,,1,,1,1,,,,,
2020-KW27,,,,2,1,1,,,,,1,,,,,,,
2020-KW28,,,,,,,1,,1,,,,,,2,,,
2020-KW29,,,,,,,,,,,,,,1,,,,
2020-KW30,,,,,2,1,,,,,,,,,1,,,
2020-KW32,,,,,1,2,1,1,1,,,,,,,,,
2020-KW33,1,,1,3,1,,,2,1,,,,,,,,,
2020-KW34,1,,,1,1,,2,1,1,1,,1,,,,,,
2020-KW35,,1,,,,,,1,1,,,,,,,,,
2020-KW36,,,,,2,,,,,,1,,,,,,,
2020-KW37,,,1,,,2,,,,1,,,,,,,1,
2020-KW38,,,,,1,1,1,,1,,3,,,,,,,
2020-KW39,,,,3,,1,1,,1,,,1,,,,,,
2020-KW40,,,,,2,,2,,,1,,2,1,,,,,
2020-KW41,,,,,1,,,1,,,,1,,,,,,1
2020-KW42,,,,1,,1,,,1,,1,1,3,,2,,1,
2020-KW43,,,,,5,3,3,,1,3,5,3,,,,1,1,
2020-KW44,4,3,2,6,5,5,5,6,6,2,5,5,4,2,1,2,,
2020-KW45,4,2,2,5,6,3,5,6,1,4,2,5,3,3,2,,,
2020-KW46,6,7,14,14,22,18,7,18,15,13,16,8,5,6,1,7,5,1
2020-KW47,3,3,6,12,14,9,13,14,11,8,20,16,8,4,3,3,9,
2020-KW48,2,3,4,7,11,11,6,9,6,6,18,7,12,9,7,9,34,
2020-KW49,2,2,2,7,14,16,16,13,12,13,16,18,17,7,5,2,24,
2020-KW50,1,4,7,9,23,16,23,20,9,12,14,10,11,11,6,7,17,1
2020-KW51,5,6,1,16,22,14,14,8,12,6,8,19,12,12,12,19,72,
2020-KW52,2,4,4,5,8,10,17,12,6,3,10,12,3,4,2,4,12,1
2020-KW53,1,4,5,5,12,7,11,9,6,12,16,3,7,6,1,4,17,
2021-KW01,,,2,4,2,3,9,4,6,3,4,6,7,3,1,1,6,
2021-KW02,3,1,,3,5,6,8,3,3,2,9,4,6,,,3,2,
2021-KW03,1,2,,3,2,3,3,6,2,2,2,2,1,1,,,2,
2021-KW04,5,2,,2,6,4,4,4,2,1,1,2,1,,1,2,3,
2021-KW05,,,1,1,2,1,,,2,2,1,3,,2,,,,
2021-KW06,,,,1,5,,2,1,1,4,4,,4,2,,1,1,
2021-KW07,2,2,,1,2,,6,5,1,2,1,1,,2,,2,,
2021-KW08,,,,1,3,2,3,1,2,2,,3,,1,,,1,
2021-KW09,1,1,1,,,1,6,2,,2,1,2,1,1,1,,,
2021-KW10,,,,,2,,1,,1,1,3,2,2,,2,1,1,
2021-KW11,4,8,3,4,6,11,5,2,3,5,4,,2,3,,,1,
2021-KW12,6,5,5,4,3,9,6,15,7,3,7,4,8,4,2,2,,
2021-KW13,7,8,9,3,5,9,3,2,8,4,5,4,4,7,4,3,2,
2021-KW14,6,6,4,7,11,6,11,2,2,2,3,5,2,1,3,4,2,1
2021-KW15,5,8,4,8,2,6,13,6,7,5,10,4,5,1,1,1,5,1
2021-KW16,5,9,10,10,3,5,9,11,4,10,7,7,7,1,2,1,3,
2021-KW17,2,5,7,9,6,5,7,7,6,6,9,4,5,2,1,1,2,
2021-KW18,2,4,6,5,9,9,5,4,4,6,9,3,2,1,,,,
2021-KW19,,4,2,5,15,1,5,6,4,3,2,1,4,1,1,2,,
2021-KW20,1,2,2,3,2,1,1,2,3,,1,,,1,1,,,
2021-KW21,2,1,,1,,1,2,3,1,,3,1,1,1,,,,
2021-KW22,,3,,3,1,1,3,3,1,3,2,1,1,2,,,,
2021-KW23,1,1,1,,1,3,,,,,2,1,1,,,,,
2021-KW24,2,,,1,,1,1,2,1,,,,,,,,,
2021-KW25,,,,,,2,,,,,,,,,,,,
2021-KW27,,,,,2,1,,,2,2,,,,1,1,,,
2021-KW28,2,1,2,2,1,,,3,2,,,1,,,,,,
2021-KW29,1,,,,1,1,,3,1,1,,,,,,,,
2021-KW30,,1,,1,3,,2,,,1,,,,,,,,
2021-KW31,,,,,3,,1,,1,,,,,,,,,
2021-KW32,,,1,2,4,5,2,2,1,3,2,1,1,,1,,1,
2021-KW33,1,1,4,4,4,2,3,2,5,3,,,1,,,,6,
2021-KW34,,1,6,5,3,5,5,3,6,4,1,1,1,,,,,
2021-KW35,5,7,7,12,4,8,6,8,10,7,4,3,2,2,2,2,4,
2021-KW36,7,10,11,5,11,10,4,6,5,2,5,4,2,1,,5,7,
2021-KW37,1,8,4,5,9,6,9,7,6,4,2,,2,,,,1,
2021-KW38,4,3,7,5,7,4,7,2,2,8,4,3,1,,,,2,
2021-KW39,,7,3,4,6,4,3,2,4,5,5,1,2,2,2,1,,
2021-KW40,,3,3,3,5,3,2,6,2,5,2,2,,1,1,2,2,
2021-KW41,3,2,5,3,4,4,5,7,9,6,3,8,3,4,2,2,1,
2021-KW42,6,4,2,7,9,6,13,5,8,7,10,4,4,2,3,,3,
2021-KW43,1,13,9,8,7,7,7,9,8,12,7,4,5,1,2,1,3,
2021-KW44,,6,7,7,10,9,8,7,1,3,12,8,8,1,2,2,5,
2021-KW45,5,12,10,9,16,10,12,10,5,7,13,6,10,7,6,3,3,
2021-KW46,9,32,30,11,9,10,17,12,19,17,20,20,14,8,5,10,9,
2021-KW47,4,35,37,18,16,16,22,24,29,31,22,28,21,13,6,8,14,
2021-KW48,5,25,46,35,25,17,16,35,32,30,24,30,26,17,9,7,11,
2021-KW49,13,26,28,28,14,14,20,18,31,34,24,11,6,11,7,6,6,
2021-KW50,15,28,20,19,7,14,7,14,17,17,13,10,5,1,9,7,7,
2021-KW51,3,11,7,6,6,6,7,7,11,7,8,7,9,1,2,2,3,
2021-KW52,5,5,7,17,16,7,8,4,5,6,8,7,7,8,2,,2,
2022-KW01,4,19,12,32,34,26,12,5,13,13,12,15,5,7,4,1,3,
2022-KW02,18,41,34,25,24,38,37,23,30,18,12,15,26,12,5,4,4,
2022-KW03,15,46,51,33,38,54,51,47,33,36,20,42,37,21,9,3,5,
2022-KW04,30,62,65,59,50,72,76,80,45,50,44,35,15,13,9,3,7,1
2022-KW05,36,81,69,44,75,63,68,73,81,44,48,29,32,17,10,4,14,
2022-KW06,30,70,66,54,46,52,67,89,60,47,53,46,34,16,13,10,18,
2022-KW07,35,43,71,46,40,48,57,58,60,46,49,55,36,18,7,5,16,1
2022-KW08,17,17,31,37,41,39,52,36,39,26,28,39,26,21,12,12,28,
2022-KW09,22,36,45,42,43,39,48,41,56,40,51,51,26,29,11,10,19,
2022-KW10,25,45,42,72,52,55,66,55,60,65,46,50,32,22,27,14,37,
2022-KW11,19,47,40,48,36,65,82,72,62,44,65,63,55,37,28,17,41,
2022-KW12,17,38,52,44,52,60,51,54,78,51,74,61,48,34,12,20,23,
2022-KW13,7,23,39,47,30,45,45,44,63,52,57,52,40,20,20,13,38,
2022-KW14,10,11,16,32,34,36,42,48,40,35,41,41,17,21,16,7,14,
2022-KW15,13,9,15,32,22,31,33,21,32,26,37,36,27,17,8,12,16,
2022-KW16,7,5,11,13,9,24,28,22,28,21,26,23,31,9,12,8,13,
2022-KW17,4,9,10,14,14,6,19,18,18,15,14,19,20,12,7,2,14,
