# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-07 05:47:04
# API-Download für Covid19-Fälle in SK Zweibrücken, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,1,,,,1,,1,,,,,,,
2020-KW13,,,,,,1,1,,2,,,,,2,,,,
2020-KW14,,,,1,1,3,1,1,,,3,4,1,1,1,,,
2020-KW15,,1,1,,1,,1,,,1,,,,,,,1,
2020-KW16,,,,,,2,,1,,,,1,,,,1,,
2020-KW20,,,,,,,,,,,,,,,1,,,
2020-KW25,,,,1,1,,,,,2,1,,,,,,,
2020-KW26,,,,,2,,,,1,,,,,,,,,
2020-KW33,,,,,,1,,,,,,,,,,,,
2020-KW34,,,,,,,,,,,,,,1,,,,
2020-KW35,,,,1,,,,,,,,,,,,,,
2020-KW36,,,,,,,,1,1,,,,,,,,,
2020-KW37,,,,,,,,1,,1,,,1,,,1,,
2020-KW38,,,,,1,,,,2,,,1,,,,,,
2020-KW39,,,,4,,,,,,1,,,,,,,1,
2020-KW40,,,,,,,,1,,,,,,,,,,
2020-KW41,,,,,,,3,,,,,,,,,,,
2020-KW42,,,,,2,8,3,,1,1,,1,6,1,,,1,
2020-KW43,,,,2,2,2,,3,,2,,1,2,1,1,,1,
2020-KW44,1,1,1,1,1,1,6,3,2,1,4,1,1,,,1,1,
2020-KW45,,,,1,2,1,1,2,2,1,,2,1,,1,,,
2020-KW46,,,2,3,1,4,3,3,4,4,2,4,3,1,,,1,
2020-KW47,,1,3,2,,4,,,4,5,,1,,,,1,3,
2020-KW48,1,2,1,3,5,6,2,1,2,,5,1,,,2,1,1,
2020-KW49,1,,1,5,3,3,,3,3,4,3,5,1,1,1,1,1,
2020-KW50,,1,1,2,3,2,2,3,1,5,1,3,1,1,,2,,
2020-KW51,,1,1,1,3,1,1,2,2,2,3,1,1,1,2,,3,
2020-KW52,,2,,,,,,1,1,,1,1,3,,1,,2,
2020-KW53,,,,1,3,5,3,,1,1,2,5,3,1,2,,1,
2021-KW01,,,2,,2,3,,3,3,1,1,1,1,1,,,,
2021-KW02,,,,1,1,2,2,,1,,1,3,3,,,,,
2021-KW03,,,2,1,,1,3,2,4,2,3,1,,,,,1,
2021-KW04,,1,,2,,,1,,,1,2,1,1,,,,,
2021-KW05,,,,1,,1,,1,,1,,1,,,,,,
2021-KW06,,,,,1,1,,,,,,,1,,,,,
2021-KW07,1,,,,1,,1,,,,1,1,1,,,,,
2021-KW08,,3,1,3,2,1,2,,2,3,2,2,2,1,,1,1,
2021-KW09,,,,,2,1,1,1,2,2,,,1,,,,,
2021-KW10,,1,1,,1,1,,,4,2,,,3,1,,,,
2021-KW11,1,,,,,1,2,1,2,,4,2,1,,,,,
2021-KW12,,,,1,2,1,1,1,,,1,3,1,,,2,1,
2021-KW13,1,,,,2,2,2,,,1,2,3,1,1,,1,1,
2021-KW14,1,1,,2,2,,,,,1,2,1,4,1,3,3,,
2021-KW15,3,4,2,4,2,3,5,1,1,3,3,4,,,,,2,
2021-KW16,7,2,5,1,3,3,2,5,4,2,3,3,3,,3,1,1,
2021-KW17,4,4,3,2,,3,5,5,3,4,5,5,3,,,1,1,
2021-KW18,1,1,1,1,2,1,1,4,1,6,1,1,2,1,,2,1,
2021-KW19,7,5,3,1,1,2,1,1,4,2,3,,1,,,1,1,
2021-KW20,4,3,2,,,2,3,1,1,1,,,,,,,,
2021-KW21,,,2,4,1,,4,2,2,,,,1,1,,,,
2021-KW22,2,3,1,1,1,2,4,3,1,3,1,,2,,,,1,
2021-KW23,1,1,4,1,1,3,5,,1,2,1,1,3,,,,,
2021-KW24,2,1,2,2,,1,,1,1,2,1,,1,,,,1,
2021-KW25,,,1,,,,3,,,,,1,,,,,,
2021-KW27,,,,,1,2,,,,,,,,,,,,
2021-KW28,,,,,2,,,,,,2,,,,,,,
2021-KW29,,,,,,,1,,,,,,,,1,1,,
2021-KW30,,,,,,,1,,,,,,,,,,,
2021-KW31,,,,1,,1,,1,,,,,,,,,,
