# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-09-02 05:43:43
# API-Download für Covid19-Inzidenzen in LK Altmarkkreis Salzwedel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,39.11,,,,,,,,,,,,
2020-KW12,,,,,,,,19.58,,21.29,,,13.21,,,,,
2020-KW13,,,,,69.32,,20.51,,,42.58,,,,,24.18,27.12,14.62,
2020-KW14,,,,,,39.11,41.03,,,,14.98,24.16,13.21,,,27.12,,
2020-KW15,,,26.91,,,39.11,,,20.67,,29.95,12.08,26.43,,,,,
2020-KW16,,,,,,,,,20.67,,,,,,,,,
2020-KW17,,,,,,,,19.58,,,,,,,,,,
2020-KW18,,,,,,,,,,,,,,15.78,,,,
2020-KW21,,,,,,,,,,,,,,,,,14.62,
2020-KW24,,,,,34.66,,,,,,,,,,,,,
2020-KW26,,,,,,39.11,,,,,,,,,,,,
2020-KW30,,,,29.2,,,,,,,,12.08,,,,,,
2020-KW33,,,,,,,,,20.67,,,,,,,,,
2020-KW34,,,,,,,20.51,,41.34,21.29,,12.08,,,,,,
2020-KW35,,,26.91,58.39,,,,,,,,,,,,,,
2020-KW36,,,,,,39.11,,,,,,,,,,,14.62,
2020-KW37,59.74,,,29.2,,39.11,,,,,,,,,,,,
2020-KW38,29.87,,,,,,,,,21.29,14.98,,,,,,,
2020-KW39,,,,,,,,,,,,,,15.78,48.37,,,
2020-KW40,,,,,34.66,,,,,,,,,,,,,
2020-KW41,,,,,,,,,20.67,,,,,,24.18,,,
2020-KW42,,,,,,,,19.58,,21.29,,,,,,,14.62,
2020-KW43,,,,,,39.11,20.51,19.58,82.68,21.29,14.98,,,31.55,,,,
2020-KW44,,,26.91,,103.99,78.22,,,41.34,42.58,,12.08,13.21,63.1,24.18,54.24,73.09,
2020-KW45,29.87,134.59,134.55,29.2,103.99,39.11,61.54,58.74,62.01,149.03,74.88,60.41,132.14,47.33,120.92,81.37,160.8,
2020-KW46,,,80.73,116.79,,,41.03,78.32,41.34,63.87,29.95,72.49,52.85,15.78,24.18,27.12,102.32,
2020-KW47,,26.92,53.82,29.2,103.99,78.22,102.56,117.49,124.02,21.29,44.93,48.33,52.85,47.33,96.74,,204.65,
2020-KW48,,,53.82,87.59,103.99,117.32,20.51,19.58,20.67,42.58,104.84,120.82,52.85,63.1,48.37,81.37,190.03,
2020-KW49,,,80.73,29.2,242.63,117.32,61.54,58.74,41.34,63.87,29.95,108.74,39.64,15.78,72.55,54.24,87.71,
2020-KW50,89.61,26.92,26.91,58.39,173.31,117.32,102.56,58.74,41.34,149.03,179.72,84.57,145.35,47.33,96.74,54.24,248.5,
2020-KW51,29.87,26.92,,29.2,34.66,156.43,102.56,215.39,103.35,63.87,134.79,132.9,158.56,63.1,145.1,135.61,277.74,
2020-KW52,,53.84,53.82,29.2,103.99,78.22,82.05,117.49,82.68,,59.91,120.82,92.49,78.88,24.18,108.49,263.12,
2020-KW53,,,,58.39,34.66,78.22,123.08,117.49,20.67,127.74,119.81,181.23,158.56,126.2,145.1,27.12,116.94,
2021-KW01,,80.75,26.91,58.39,173.31,156.43,369.23,156.65,268.71,170.32,284.56,253.72,211.42,110.43,169.29,325.47,336.21,
2021-KW02,59.74,53.84,107.64,204.38,173.31,234.65,164.1,195.81,144.69,170.32,269.58,181.23,303.91,157.75,96.74,108.49,526.24,
2021-KW03,,,,58.39,207.97,195.54,61.54,58.74,124.02,191.61,209.68,205.39,171.78,173.53,241.84,,292.35,
2021-KW04,,,,116.79,103.99,78.22,184.62,97.9,144.69,127.74,239.63,157.06,92.49,47.33,72.55,162.73,219.27,
2021-KW05,,26.92,53.82,58.39,138.65,78.22,184.62,78.32,20.67,106.45,149.77,120.82,184.99,78.88,,54.24,73.09,
2021-KW06,,26.92,,29.2,138.65,,,97.9,20.67,85.16,44.93,48.33,13.21,15.78,,27.12,43.85,
2021-KW07,29.87,53.84,26.91,29.2,103.99,117.32,143.59,97.9,103.35,106.45,119.81,48.33,13.21,78.88,24.18,27.12,29.24,
2021-KW08,,53.84,80.73,58.39,34.66,117.32,123.08,137.07,82.68,21.29,74.88,72.49,26.43,31.55,48.37,135.61,14.62,
2021-KW09,29.87,,53.82,58.39,34.66,39.11,41.03,58.74,124.02,85.16,59.91,24.16,79.28,63.1,72.55,,43.85,
2021-KW10,29.87,161.51,53.82,29.2,34.66,39.11,143.59,19.58,62.01,106.45,59.91,48.33,,,48.37,54.24,29.24,
2021-KW11,29.87,53.84,,145.99,69.32,39.11,102.56,39.16,144.69,21.29,134.79,48.33,66.07,110.43,48.37,,43.85,
2021-KW12,29.87,26.92,53.82,58.39,34.66,78.22,123.08,78.32,62.01,42.58,29.95,96.65,92.49,31.55,24.18,135.61,73.09,
2021-KW13,29.87,107.67,53.82,58.39,69.32,117.32,41.03,,103.35,106.45,89.86,72.49,52.85,110.43,24.18,27.12,116.94,
2021-KW14,89.61,134.59,26.91,175.18,103.99,156.43,102.56,176.23,124.02,63.87,104.84,169.14,105.71,47.33,72.55,54.24,146.18,
2021-KW15,,242.26,296.02,437.96,173.31,312.87,123.08,176.23,268.71,191.61,119.81,108.74,105.71,110.43,72.55,54.24,29.24,
2021-KW16,298.69,376.85,269.11,321.17,207.97,351.97,225.64,234.97,103.35,106.45,149.77,253.72,171.78,63.1,48.37,,,
2021-KW17,29.87,188.43,107.64,116.79,34.66,78.22,184.62,156.65,186.03,234.19,164.74,181.23,66.07,141.98,120.92,81.37,29.24,
2021-KW18,119.47,134.59,188.37,204.38,103.99,234.65,164.1,176.23,82.68,85.16,104.84,132.9,79.28,157.75,72.55,27.12,29.24,
2021-KW19,29.87,161.51,26.91,29.2,173.31,39.11,164.1,58.74,103.35,42.58,44.93,132.9,79.28,63.1,,,14.62,
2021-KW20,,,,29.2,311.96,39.11,143.59,39.16,41.34,21.29,14.98,60.41,39.64,110.43,24.18,54.24,14.62,
2021-KW21,,53.84,,87.59,103.99,39.11,20.51,39.16,,42.58,29.95,,13.21,,48.37,,,
2021-KW22,,26.92,,29.2,34.66,,41.03,19.58,103.35,,,12.08,26.43,47.33,,27.12,,
2021-KW23,,134.59,53.82,29.2,,39.11,20.51,19.58,,,,,,,,,,
2021-KW24,29.87,53.84,26.91,,,39.11,41.03,19.58,,,44.93,,,,,,,
2021-KW25,,,26.91,,,,,19.58,20.67,21.29,,,,,,,,
2021-KW26,,,,,34.66,,,,,,,,,,,,,
2021-KW28,,,,,,,20.51,19.58,,,,,,,,,,
2021-KW30,59.74,80.75,80.73,204.38,34.66,156.43,,117.49,20.67,42.58,29.95,12.08,13.21,15.78,,,,
2021-KW31,29.87,,53.82,87.59,34.66,39.11,41.03,39.16,,85.16,,24.16,,,24.18,27.12,,
2021-KW32,,26.92,53.82,29.2,,,20.51,39.16,20.67,,29.95,24.16,13.21,31.55,,,14.62,
2021-KW33,59.74,,,,34.66,39.11,,,,,14.98,,13.21,,,,,
2021-KW34,29.87,,,29.2,34.66,,41.03,,,21.29,29.95,,,,,,14.62,
2021-KW35,,,,,,,20.51,,,,,,,,24.18,,,
