# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-02-01 07:40:46
# API-Download für Covid19-Inzidenzen in LK Altötting, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,36.95,,15.78,29.6,42.91,14.98,44.72,69.71,32.17,60.28,29.88,34.8,23.2,36.84,
2020-KW13,17.61,,39.23,18.48,16.96,47.35,88.81,28.6,119.86,89.45,139.42,53.61,108.5,164.36,69.6,46.41,147.36,
2020-KW14,,,39.23,166.28,67.83,142.05,148.02,100.11,59.93,178.9,290.45,182.28,144.67,104.59,86.99,208.83,282.44,
2020-KW15,17.61,37.56,39.23,36.95,84.78,110.48,118.41,128.72,89.89,178.9,232.36,171.56,132.61,179.3,104.39,116.02,233.32,
2020-KW16,17.61,,,18.48,67.83,126.27,44.4,128.72,44.95,89.45,139.42,117.95,48.22,14.94,52.2,185.63,392.96,
2020-KW17,,,19.61,,118.69,31.57,,,29.96,44.72,81.33,10.72,12.06,14.94,34.8,,135.08,
2020-KW18,,18.78,19.61,18.48,33.91,,,,29.96,59.63,,,,,17.4,,,
2020-KW19,,,,,16.96,15.78,14.8,14.3,,14.91,,,,,,,,
2020-KW20,,,,,,,,,14.98,29.82,,10.72,24.11,,,,,
2020-KW21,,,,,,,,,,,11.62,10.72,,,,,,
2020-KW22,,,,,33.91,,,28.6,14.98,,,,,,,,,
2020-KW26,,,,,,,,,14.98,,,,,,,,,
2020-KW28,,,,18.48,,,,,,,,,,,,,,
2020-KW29,,,,,,,,14.3,,,,,,,,,,
2020-KW30,,,,36.95,84.78,,14.8,28.6,59.93,14.91,11.62,,,,,,,
2020-KW31,,,,18.48,,15.78,,,,,,,,,,,,
2020-KW32,52.83,,,18.48,84.78,15.78,14.8,,,14.91,,,,,,,,
2020-KW33,17.61,37.56,19.61,55.43,169.56,47.35,44.4,,44.95,,11.62,,12.06,,,,,
2020-KW34,35.22,18.78,,36.95,50.87,15.78,29.6,14.3,,14.91,,,,14.94,,23.2,,
2020-KW35,52.83,75.11,78.45,55.43,,47.35,44.4,71.51,29.96,,11.62,21.44,,,,,,
2020-KW36,,18.78,19.61,36.95,33.91,78.92,14.8,28.6,44.95,29.82,,10.72,,14.94,,,,
2020-KW37,17.61,,,,,31.57,14.8,28.6,,14.91,11.62,10.72,,14.94,,,,
2020-KW38,,37.56,19.61,,,31.57,29.6,14.3,,14.91,11.62,10.72,12.06,,,,,
2020-KW39,,18.78,,,,15.78,14.8,14.3,,,11.62,21.44,12.06,,17.4,,,
2020-KW40,17.61,,,18.48,16.96,15.78,,14.3,,,,,,,,,,
2020-KW41,,,,,,,14.8,,,,,10.72,,14.94,,,,
2020-KW42,,,,,,31.57,14.8,57.21,,59.63,34.85,10.72,,29.88,17.4,,12.28,
2020-KW43,,,39.23,36.95,67.83,63.13,29.6,28.6,44.95,44.72,81.33,75.06,60.28,59.77,34.8,23.2,24.56,
2020-KW44,35.22,37.56,39.23,55.43,186.52,252.54,177.62,85.81,164.81,134.17,162.65,171.56,132.61,44.82,243.58,69.61,61.4,
2020-KW45,105.66,56.34,117.68,277.14,440.86,505.07,399.64,257.44,194.77,193.81,243.98,246.62,289.33,194.24,173.99,92.81,135.08,
2020-KW46,158.49,93.89,78.45,258.66,322.17,394.59,310.83,243.14,329.61,208.71,232.36,235.89,168.78,119.53,121.79,232.03,208.76,
2020-KW47,140.88,93.89,196.13,314.09,373.04,299.89,222.02,257.44,269.68,342.89,220.74,214.45,217.0,149.42,121.79,92.81,835.05,
