# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-17 08:29:09
# API-Download für Covid19-Inzidenzen in LK Ammerland, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,16.22,,,,,,,,,,,,,
2020-KW11,,,,,,15.89,,14.19,,,27.64,,11.88,,,,,
2020-KW12,,17.39,,,16.22,31.79,14.43,28.39,14.31,48.26,18.43,57.58,11.88,,,,,
2020-KW13,33.99,,16.93,29.56,81.09,31.79,28.87,56.78,28.62,120.64,92.13,38.39,,38.74,,31.56,22.96,
2020-KW14,,,,14.78,,15.89,28.87,,,48.26,18.43,38.39,47.53,25.83,31.44,,80.35,
2020-KW15,,,,,48.65,63.57,72.17,28.39,28.62,,18.43,9.6,71.29,25.83,,,,
2020-KW16,17.0,17.39,,,48.65,15.89,28.87,,,24.13,27.64,19.19,47.53,,,,22.96,
2020-KW17,,,16.93,,16.22,15.89,,14.19,,,,9.6,,,,,,
2020-KW19,,,,14.78,,,14.43,,,,,,,,,,,
2020-KW20,,,,,,,14.43,14.19,,,,9.6,11.88,,,,,
2020-KW21,17.0,,,,16.22,15.89,,,14.31,,,,,,,,,
2020-KW22,,,,29.56,16.22,15.89,,,,,55.28,9.6,23.76,,,,,
2020-KW23,,,,,,31.79,14.43,,14.31,,,9.6,,,,,11.48,
2020-KW26,,,,,,,,,,,9.21,,,,,,,
2020-KW27,,,,,,,,,14.31,,,,,,,,,
2020-KW28,,,,,,,,,,,9.21,,,,,,,
2020-KW30,,,,14.78,,15.89,,,,,,9.6,23.76,,,,,
2020-KW31,,,,,,15.89,,,14.31,,,19.19,,,,,,
2020-KW32,,,,14.78,,,14.43,28.39,,,,,,,,,,
2020-KW34,,,16.93,14.78,32.44,,,14.19,,,,,,,,,,
2020-KW35,,,,,,15.89,,,,12.06,,,,,,,,
2020-KW36,,,,,16.22,,,,,,,,,,,,,
2020-KW37,,,,,,,,28.39,,,,,,,,,,
2020-KW38,17.0,,,,,,,28.39,,,,,,,,,,
2020-KW39,,,,14.78,16.22,15.89,,,,,,,,,,,,
2020-KW40,,,,59.13,32.44,31.79,,42.58,14.31,,,,,,,,,
2020-KW41,,,,29.56,32.44,31.79,14.43,,14.31,,18.43,19.19,,,,,,
2020-KW42,17.0,,,14.78,16.22,,,,14.31,,9.21,,,,,31.56,11.48,
2020-KW43,,,33.86,,32.44,63.57,14.43,14.19,,12.06,55.28,38.39,23.76,12.91,15.72,15.78,11.48,
2020-KW44,50.99,86.96,50.79,118.26,145.96,206.61,101.04,99.36,57.24,84.45,110.56,86.37,47.53,38.74,15.72,,68.87,
2020-KW45,50.99,52.17,84.65,44.35,243.27,95.36,115.47,56.78,57.24,96.51,110.56,76.78,59.41,38.74,110.03,15.78,22.96,
2020-KW46,84.98,34.78,67.72,147.82,97.31,79.47,173.21,70.97,157.41,84.45,101.35,38.39,59.41,64.57,78.59,63.11,,
2020-KW47,17.0,86.96,33.86,162.6,113.53,127.15,57.74,113.56,100.17,72.39,46.07,95.97,118.82,51.66,62.87,15.78,57.39,
2020-KW48,,121.74,16.93,103.47,81.09,111.25,57.74,85.17,71.55,36.19,119.77,67.18,59.41,25.83,15.72,63.11,80.35,
