# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-08-22 08:39:00
# API-Download für Covid19-Inzidenzen in LK Anhalt-Bitterfeld, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,16.73,,,11.72,,,,,,,,,,,
2020-KW12,,,15.77,16.73,18.23,,,10.76,,22.85,8.26,,,,,,,
2020-KW13,,,15.77,33.47,18.23,22.7,35.16,10.76,32.28,22.85,16.52,13.82,7.14,15.36,10.42,,6.77,
2020-KW14,,,,,,,11.72,10.76,,45.71,16.52,13.82,14.29,7.68,,25.0,6.77,
2020-KW15,,,,,,,,10.76,,,8.26,,,,,,,
2020-KW16,,,,,18.23,22.7,11.72,10.76,10.76,,8.26,,,,,,6.77,
2020-KW17,,31.39,,,,22.7,,,10.76,,8.26,,14.29,15.36,,,13.55,
2020-KW18,,,,,,,,,,,,,,,,12.5,,
2020-KW20,,,,,,,,,,,,,,7.68,,,,
2020-KW21,,,,,,,,,,,8.26,,,,,,,
2020-KW22,,,,,,,,,,,,13.82,,,,,,
2020-KW29,,,,,,,11.72,,,11.43,,,,,,,,
2020-KW30,17.22,,,,,,,10.76,,,8.26,,7.14,,,,,
2020-KW31,17.22,,,,,,,10.76,10.76,,,,,7.68,,,,
2020-KW33,,,,,18.23,,,,,,,,7.14,,,,,
2020-KW34,,,,16.73,,,,,,11.43,,,,,,,,
2020-KW35,,,,33.47,,,,,10.76,,8.26,,,,,,,
2020-KW36,,,,,,22.7,,,10.76,,,,,,,,,
2020-KW37,,,,,,,,,10.76,,,,,,,,,
2020-KW38,,,,,,,,10.76,,22.85,,6.91,,,,,6.77,
2020-KW39,,,,16.73,,,11.72,,,11.43,24.78,,,,,12.5,,
2020-KW40,,,,,18.23,,,,,,8.26,6.91,,7.68,,12.5,,
2020-KW41,,,,,18.23,,,21.52,,,,,,,,,13.55,
2020-KW42,17.22,,,,,22.7,11.72,21.52,10.76,11.43,16.52,20.73,14.29,,,,20.32,
2020-KW43,17.22,,,16.73,36.46,,23.44,,10.76,68.56,24.78,41.45,7.14,15.36,10.42,,20.32,
2020-KW44,17.22,,,16.73,,68.11,46.88,10.76,10.76,45.71,33.04,34.54,35.71,15.36,10.42,49.99,60.96,
2020-KW45,,62.77,94.63,33.47,145.83,113.51,140.64,86.09,53.79,45.71,49.56,69.08,57.14,30.71,10.42,37.5,47.41,
2020-KW46,86.09,219.71,78.86,66.93,72.91,90.81,93.76,86.09,107.59,68.56,132.16,55.27,14.29,7.68,20.83,12.5,20.32,
2020-KW47,137.75,109.86,63.08,66.93,72.91,113.51,70.32,32.28,64.55,68.56,107.38,89.81,57.14,30.71,10.42,25.0,20.32,
2020-KW48,34.44,94.16,31.54,100.4,127.6,22.7,82.04,64.57,75.31,57.13,24.78,110.53,100.0,38.39,41.66,37.5,27.09,
