# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-04-24 08:45:30
# API-Download für Covid19-Inzidenzen in LK Aschaffenburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,12.85,12.25,,11.03,,,,19.49,43.22,12.41,,,,,,
2020-KW12,,,,,72.18,77.23,9.49,27.55,28.13,,64.83,55.84,21.23,35.66,,15.22,16.03,
2020-KW13,11.8,12.34,12.85,,48.12,11.03,37.95,18.36,18.75,126.7,100.84,55.84,35.39,62.41,119.17,60.89,72.13,
2020-KW14,,37.01,12.85,24.5,48.12,22.07,37.95,128.55,65.64,107.21,115.25,68.25,113.23,71.33,65.0,121.78,192.33,
2020-KW15,23.6,,,24.5,36.09,66.2,37.95,36.73,56.26,87.72,43.22,49.64,35.39,35.66,65.0,91.33,240.42,
2020-KW16,23.6,,12.85,24.5,24.06,33.1,18.98,18.36,65.64,48.73,14.41,,,8.92,32.5,91.33,200.35,
2020-KW17,11.8,,,24.5,24.06,,18.98,27.55,28.13,29.24,7.2,,35.39,,,15.22,40.07,
2020-KW18,,,12.85,,12.03,,,,,9.75,7.2,31.02,7.08,,10.83,,8.01,
2020-KW19,,,,,36.09,22.07,18.98,9.18,,9.75,,6.2,,8.92,,,24.04,
2020-KW20,,,,,,11.03,28.46,,,,7.2,24.82,,,,,48.08,
2020-KW21,,,12.85,,,,,,,9.75,14.41,12.41,,,,,8.01,
2020-KW22,,,,12.25,,,,9.18,18.75,,,,,,,15.22,,
2020-KW23,,,,,,,,,,,7.2,6.2,,,,,,
2020-KW25,,,,,,,,,,,7.2,,,,,,,
2020-KW26,,,,,,,,,9.38,,,,,,,,,
2020-KW27,,,,,,,,,,,,,,,10.83,,8.01,
2020-KW28,,,,24.5,,,,,9.38,,7.2,6.2,7.08,,,,,
2020-KW29,11.8,,,12.25,,11.03,,,,,7.2,12.41,7.08,8.92,,,,
2020-KW30,,,,,,,,,9.38,,,6.2,,,,,,
2020-KW31,,,25.69,24.5,24.06,11.03,,9.18,,19.49,7.2,6.2,,,,,8.01,
2020-KW32,,,,12.25,24.06,11.03,,,9.38,,14.41,6.2,,,,,,
2020-KW33,,,,24.5,,,9.49,,,19.49,,,7.08,,,,,
2020-KW34,,,,12.25,24.06,22.07,,18.36,,,14.41,6.2,,,,,,
2020-KW35,,12.34,25.69,12.25,,33.1,9.49,18.36,,9.75,7.2,18.61,,,21.67,,8.01,
2020-KW36,,37.01,,12.25,36.09,22.07,,18.36,28.13,9.75,,,,,10.83,,,
2020-KW37,11.8,24.67,12.85,,24.06,33.1,18.98,9.18,18.75,38.99,7.2,,,,,,,
2020-KW38,11.8,24.67,,12.25,12.03,11.03,28.46,18.36,,9.75,14.41,12.41,,26.75,10.83,,,
2020-KW39,,,,,,11.03,18.98,27.55,,29.24,14.41,12.41,,8.92,10.83,,16.03,
2020-KW40,11.8,24.67,,12.25,36.09,,9.49,,9.38,19.49,,6.2,7.08,,10.83,15.22,,
2020-KW41,11.8,,25.69,12.25,48.12,44.13,28.46,27.55,37.51,9.75,50.42,12.41,14.15,,,,,
2020-KW42,,,51.39,49.0,60.15,66.2,9.49,82.64,18.75,77.97,57.63,18.61,42.46,17.83,10.83,,,
2020-KW43,35.39,49.35,64.23,208.24,144.37,231.7,132.83,156.09,65.64,136.45,136.86,86.86,70.77,35.66,21.67,30.44,72.13,
2020-KW44,23.6,49.35,89.93,195.99,324.82,198.6,161.29,174.46,159.41,282.64,165.67,142.71,92.0,71.33,54.17,76.11,48.08,
2020-KW45,23.6,185.05,244.09,159.24,336.85,187.57,275.15,211.18,178.17,292.39,216.1,111.68,127.39,17.83,65.0,45.67,40.07,
2020-KW46,35.39,148.04,244.09,379.73,360.91,308.93,151.81,183.64,281.31,311.88,244.91,223.37,127.39,142.65,65.0,76.11,104.18,
2020-KW47,35.39,135.7,167.01,379.73,240.61,253.77,151.81,275.46,243.81,243.66,180.08,179.93,84.93,80.24,65.0,45.67,48.08,
2020-KW48,35.39,135.7,64.23,257.23,324.82,231.7,161.29,119.36,187.54,214.42,237.71,155.12,99.08,178.31,97.5,106.56,144.25,
2020-KW49,35.39,86.36,115.62,269.48,180.46,143.43,227.71,192.82,187.54,224.17,187.28,99.27,120.31,44.58,54.17,91.33,216.38,
2020-KW50,70.79,74.02,102.77,281.73,216.55,209.63,265.66,192.82,140.66,204.67,266.52,204.75,120.31,196.14,195.01,289.23,416.73,
2020-KW51,58.99,123.37,64.23,171.49,312.79,331.0,275.15,257.09,234.43,311.88,295.33,217.16,191.08,89.16,65.0,228.34,320.56,
2020-KW52,35.39,24.67,115.62,208.24,204.52,353.06,151.81,293.82,243.81,282.64,194.49,136.5,106.16,169.4,130.0,350.12,488.85,
2020-KW53,11.8,37.01,38.54,208.24,336.85,253.77,227.71,146.91,196.92,214.42,288.13,186.14,141.54,187.23,140.84,76.11,256.45,
2021-KW01,117.98,123.37,179.86,208.24,252.64,297.9,218.22,211.18,168.79,185.18,216.1,248.19,198.16,133.73,130.0,197.89,232.4,
2021-KW02,70.79,86.36,115.62,208.24,168.43,231.7,208.73,211.18,150.03,214.42,194.49,130.3,205.24,133.73,43.33,228.34,264.46,
2021-KW03,106.18,61.68,77.08,183.74,216.55,286.86,142.32,110.18,159.41,243.66,216.1,167.52,191.08,71.33,151.67,167.45,216.38,
2021-KW04,11.8,24.67,25.69,61.25,204.52,187.57,142.32,91.82,112.53,155.94,172.88,210.96,113.23,89.16,140.84,228.34,136.24,
2021-KW05,23.6,37.01,12.85,36.75,204.52,121.37,66.42,119.36,84.39,77.97,86.44,93.07,49.54,62.41,,30.44,136.24,
2021-KW06,,37.01,38.54,61.25,60.15,66.2,56.93,64.27,46.89,87.72,64.83,68.25,63.69,26.75,10.83,45.67,48.08,
2021-KW07,23.6,74.02,38.54,36.75,84.21,22.07,94.88,64.27,28.13,77.97,50.42,31.02,14.15,8.92,86.67,137.0,8.01,
2021-KW08,23.6,12.34,38.54,36.75,24.06,,66.42,82.64,37.51,68.22,57.63,55.84,42.46,17.83,,76.11,24.04,
2021-KW09,11.8,24.67,12.85,97.99,60.15,110.33,66.42,137.73,140.66,68.22,86.44,62.05,77.85,35.66,54.17,45.67,8.01,
2021-KW10,47.19,12.34,51.39,146.99,120.3,110.33,94.88,82.64,168.79,146.2,93.64,74.46,35.39,44.58,54.17,45.67,16.03,
2021-KW11,82.59,49.35,128.47,134.74,132.33,165.5,104.37,91.82,121.9,107.21,187.28,80.66,35.39,62.41,75.84,45.67,56.1,
2021-KW12,47.19,61.68,89.93,195.99,216.55,176.53,94.88,137.73,75.02,165.69,223.3,99.27,99.08,71.33,75.84,91.33,40.07,
2021-KW13,82.59,74.02,64.23,195.99,180.46,143.43,132.83,165.27,196.92,155.94,187.28,105.48,99.08,80.24,21.67,30.44,40.07,
2021-KW14,58.99,86.36,231.24,171.49,168.43,375.13,208.73,119.36,187.54,107.21,158.47,130.3,92.0,71.33,162.5,91.33,32.06,
2021-KW15,106.18,98.69,154.16,342.98,192.49,209.63,142.32,202.0,215.67,282.64,122.45,80.66,141.54,71.33,21.67,15.22,56.1,
2021-KW16,47.19,160.38,128.47,257.23,192.49,198.6,189.76,128.55,140.66,204.67,194.49,117.89,134.47,44.58,54.17,76.11,72.13,
2021-KW17,117.98,148.04,141.32,306.23,216.55,264.8,123.34,146.91,140.66,136.45,115.25,136.5,120.31,35.66,75.84,121.78,56.1,
2021-KW18,94.38,135.7,51.39,122.49,180.46,209.63,132.83,137.73,93.77,116.96,100.84,124.09,77.85,17.83,32.5,60.89,64.11,
2021-KW19,70.79,123.37,128.47,85.74,156.4,110.33,104.37,119.36,75.02,58.48,129.66,99.27,77.85,71.33,32.5,30.44,24.04,
2021-KW20,47.19,61.68,38.54,49.0,60.15,55.17,85.39,91.82,37.51,87.72,21.61,37.23,56.62,26.75,32.5,60.89,8.01,
2021-KW21,11.8,61.68,,36.75,60.15,33.1,18.98,73.46,9.38,38.99,36.02,18.61,28.31,44.58,21.67,,,
2021-KW22,23.6,12.34,38.54,49.0,36.09,11.03,37.95,36.73,37.51,29.24,7.2,12.41,21.23,8.92,,,24.04,
2021-KW23,35.39,,,,24.06,33.1,,18.36,18.75,19.49,,6.2,,,,,,
2021-KW24,11.8,,12.85,36.75,24.06,11.03,37.95,,18.75,,,,,,,,,
2021-KW25,,,12.85,12.25,12.03,,18.98,9.18,,,,24.82,,8.92,,,,
2021-KW26,,,,,36.09,,18.98,9.18,9.38,9.75,7.2,6.2,7.08,,,,8.01,
2021-KW27,,,,24.5,24.06,22.07,,,9.38,,7.2,,,,,,,
2021-KW28,,,,24.5,,44.13,18.98,,,,,6.2,,8.92,,,,
2021-KW29,,,,97.99,24.06,22.07,18.98,,,9.75,14.41,24.82,,,,,,
2021-KW30,11.8,,,49.0,24.06,33.1,28.46,,18.75,38.99,14.41,6.2,,8.92,,,8.01,
2021-KW31,23.6,,12.85,24.5,36.09,22.07,18.98,9.18,46.89,29.24,21.61,6.2,,17.83,,15.22,,
2021-KW32,23.6,37.01,25.69,12.25,60.15,77.23,18.98,55.09,28.13,38.99,14.41,,7.08,,10.83,,16.03,
2021-KW33,47.19,24.67,38.54,73.5,60.15,33.1,9.49,27.55,28.13,19.49,50.42,31.02,35.39,17.83,21.67,,,
2021-KW34,47.19,24.67,154.16,159.24,156.4,77.23,66.42,82.64,65.64,68.22,50.42,43.43,,53.49,32.5,,8.01,
2021-KW35,70.79,98.69,218.4,195.99,72.18,88.27,132.83,119.36,112.53,68.22,43.22,31.02,14.15,8.92,21.67,,,
2021-KW36,82.59,98.69,218.4,85.74,120.3,121.37,113.85,101.0,103.15,126.7,50.42,37.23,35.39,53.49,21.67,,24.04,
2021-KW37,117.98,123.37,141.32,232.74,240.61,110.33,47.44,91.82,93.77,126.7,72.03,49.64,42.46,8.92,,15.22,8.01,
2021-KW38,23.6,111.03,141.32,159.24,36.09,55.17,104.37,45.91,65.64,29.24,50.42,6.2,14.15,17.83,21.67,,16.03,
2021-KW39,82.59,222.06,102.77,85.74,84.21,77.23,85.39,55.09,84.39,77.97,50.42,37.23,35.39,26.75,32.5,30.44,8.01,
2021-KW40,23.6,197.38,179.86,146.99,60.15,77.23,75.9,73.46,46.89,38.99,21.61,37.23,14.15,,21.67,15.22,16.03,
2021-KW41,11.8,148.04,102.77,171.49,60.15,88.27,75.9,73.46,65.64,116.96,79.24,43.43,35.39,35.66,10.83,,24.04,
2021-KW42,35.39,333.09,244.09,146.99,84.21,88.27,142.32,174.46,112.53,116.96,57.63,93.07,35.39,35.66,,15.22,16.03,
