# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-12-17 07:39:54
# API-Download für Covid19-Inzidenzen in LK Augsburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,22.83,,16.2,,7.33,,6.07,12.32,12.56,34.15,18.33,21.87,,8.08,,,
2020-KW12,,7.61,8.3,8.1,22.82,7.33,25.07,18.2,36.97,50.24,29.27,41.25,27.33,20.64,24.25,,11.8,
2020-KW13,14.55,15.22,8.3,16.2,91.29,36.64,37.6,54.59,30.81,56.52,29.27,45.83,10.93,75.67,48.49,19.94,11.8,
2020-KW14,7.28,7.61,,16.2,30.43,36.64,25.07,42.46,18.49,62.8,58.55,32.08,60.13,13.76,40.41,39.88,47.2,
2020-KW15,14.55,,8.3,32.4,22.82,14.66,18.8,12.13,36.97,18.84,48.79,22.92,32.8,13.76,24.25,39.88,53.1,
2020-KW16,14.55,,,,,7.33,6.27,6.07,12.32,6.28,14.64,4.58,5.47,13.76,8.08,19.94,5.9,
2020-KW17,,,,,,7.33,6.27,,,6.28,4.88,9.17,10.93,34.39,,9.97,17.7,
2020-KW18,,,,,,7.33,,,,,4.88,,5.47,,8.08,,,
2020-KW19,,,,,,,,12.13,,,4.88,4.58,5.47,6.88,,,,
2020-KW20,,,,,,7.33,,,6.16,6.28,,9.17,5.47,,,,11.8,
2020-KW21,,,,,,,,,,,4.88,,5.47,,8.08,9.97,5.9,
2020-KW22,,,,8.1,,,6.27,,,6.28,,,,,,,,
2020-KW23,,,,,,,,,,,,4.58,,,,,,
2020-KW24,,,,,,,,,,,,,,,,9.97,,
2020-KW25,,,,,,,,,,,,,,6.88,,,,
2020-KW26,,,,,,,,,,,,,,,,,5.9,
2020-KW27,,,,16.2,15.22,14.66,6.27,,,,,,,,,,,
2020-KW28,7.28,,16.6,,,,,6.07,6.16,12.56,4.88,4.58,,,,,5.9,
2020-KW29,,7.61,,,,14.66,,,,6.28,4.88,9.17,10.93,6.88,,,5.9,
2020-KW30,,,,,15.22,14.66,,,,12.56,,,10.93,6.88,,,5.9,
2020-KW31,,,,,7.61,7.33,6.27,,6.16,25.12,4.88,4.58,,,,,,
2020-KW32,7.28,7.61,24.9,24.3,15.22,43.97,25.07,6.07,12.32,6.28,4.88,13.75,,,,,,
2020-KW33,7.28,7.61,8.3,24.3,45.65,21.98,12.53,6.07,12.32,12.56,4.88,9.17,,6.88,8.08,,,
2020-KW34,7.28,7.61,8.3,48.61,22.82,36.64,31.34,18.2,30.81,12.56,14.64,,5.47,13.76,8.08,,,
2020-KW35,14.55,38.05,58.09,72.91,53.25,36.64,18.8,30.33,30.81,6.28,4.88,13.75,5.47,6.88,,,,
2020-KW36,,7.61,,24.3,30.43,14.66,6.27,6.07,6.16,25.12,4.88,4.58,,,,,,
2020-KW37,,15.22,16.6,24.3,30.43,21.98,,6.07,18.49,6.28,9.76,9.17,10.93,6.88,,19.94,11.8,
2020-KW38,14.55,7.61,,24.3,83.69,43.97,25.07,6.07,18.49,31.4,14.64,41.25,16.4,13.76,,,5.9,
2020-KW39,29.11,,16.6,16.2,22.82,36.64,25.07,18.2,24.65,6.28,9.76,36.67,16.4,13.76,,9.97,17.7,
2020-KW40,36.38,7.61,16.6,24.3,30.43,29.31,31.34,12.13,18.49,6.28,19.52,4.58,,13.76,8.08,,,
2020-KW41,,7.61,33.19,24.3,53.25,43.97,18.8,36.39,24.65,50.24,14.64,4.58,5.47,,,,17.7,
2020-KW42,43.66,22.83,82.99,56.71,91.29,109.91,43.87,60.65,49.29,75.36,58.55,55.0,32.8,13.76,24.25,19.94,35.4,
2020-KW43,50.94,22.83,124.48,202.53,159.76,131.9,112.81,115.24,104.75,200.97,97.58,114.58,54.67,27.52,48.49,29.91,29.5,
2020-KW44,29.11,53.27,91.28,194.43,258.67,263.79,175.49,151.63,197.17,131.89,102.46,192.5,114.8,82.55,64.66,69.79,64.9,
2020-KW45,123.71,98.93,224.06,299.74,426.04,381.04,307.1,272.94,425.16,213.53,302.49,325.41,164.0,110.06,113.15,149.55,159.3,
2020-KW46,87.32,159.81,265.55,445.56,349.96,388.36,313.37,266.87,295.76,288.9,273.22,192.5,158.54,96.31,161.64,69.79,100.3,
2020-KW47,72.77,167.42,174.27,243.03,311.92,293.1,244.43,188.02,184.85,219.81,268.34,187.92,114.8,123.82,161.64,99.7,112.1,
2020-KW48,116.43,182.64,174.27,259.24,319.53,227.16,181.75,206.22,209.5,194.69,214.67,105.42,164.0,137.58,121.23,169.49,194.7,
2020-KW49,101.88,205.47,190.87,307.84,365.18,249.14,188.02,200.15,264.95,282.62,214.67,210.83,207.74,89.43,105.06,89.73,300.9,
2020-KW50,94.6,167.42,157.67,283.54,273.88,219.83,188.02,224.41,178.69,200.97,297.61,220.0,158.54,116.94,105.06,219.33,383.5,
2020-KW51,36.38,114.15,99.58,218.73,319.53,249.14,219.36,248.68,277.28,232.37,239.07,187.92,174.94,110.06,105.06,319.03,424.8,
2020-KW52,94.6,136.98,141.07,178.22,258.67,263.79,213.09,175.89,184.85,213.53,248.82,165.0,125.74,82.55,210.13,189.43,289.1,
2020-KW53,36.38,38.05,49.79,113.42,182.59,153.88,119.08,127.37,110.91,113.05,126.85,87.08,120.27,103.18,64.66,159.52,483.79,
2021-KW01,58.22,53.27,41.49,97.21,106.51,219.83,125.35,133.44,117.07,100.49,180.52,142.08,98.4,110.06,80.82,129.61,283.2,
2021-KW02,7.28,98.93,107.88,178.22,182.59,197.85,181.75,133.44,184.85,188.41,161.0,119.17,125.74,27.52,105.06,159.52,289.1,
2021-KW03,29.11,53.27,66.39,56.71,121.73,131.9,43.87,121.31,67.78,100.49,102.46,55.0,114.8,41.27,88.9,79.76,182.9,
2021-KW04,21.83,22.83,49.79,32.4,83.69,58.62,81.48,54.59,49.29,31.4,78.06,50.42,76.53,20.64,40.41,39.88,76.7,
2021-KW05,14.55,22.83,58.09,48.61,83.69,102.59,37.6,78.85,12.32,75.36,58.55,41.25,43.73,20.64,24.25,39.88,53.1,
2021-KW06,7.28,22.83,8.3,32.4,22.82,14.66,18.8,12.13,24.65,18.84,39.03,45.83,16.4,27.52,16.16,99.7,53.1,
2021-KW07,7.28,15.22,16.6,48.61,45.65,51.29,37.6,18.2,30.81,43.96,29.27,13.75,49.2,55.03,40.41,49.85,53.1,
2021-KW08,21.83,15.22,33.19,48.61,53.25,73.28,37.6,60.65,36.97,69.08,58.55,55.0,43.73,41.27,32.33,69.79,41.3,
2021-KW09,50.94,53.27,24.9,32.4,76.08,109.91,68.94,54.59,80.1,50.24,53.67,41.25,49.2,55.03,56.57,,29.5,
2021-KW10,80.05,121.76,74.69,56.71,106.51,95.26,94.01,84.91,73.94,100.49,63.43,41.25,54.67,89.43,32.33,19.94,53.1,
2021-KW11,80.05,76.1,58.09,170.12,106.51,146.55,137.88,90.98,117.07,106.77,68.3,41.25,103.87,13.76,56.57,9.97,17.7,
2021-KW12,94.6,76.1,224.06,145.82,144.55,183.19,162.95,103.11,110.91,119.33,92.7,77.92,82.0,75.67,56.57,79.76,64.9,
2021-KW13,65.49,83.71,107.88,162.02,182.59,153.88,100.28,139.5,98.59,188.41,170.76,165.0,65.6,27.52,80.82,29.91,41.3,
2021-KW14,80.05,98.93,141.07,194.43,159.76,168.54,112.81,194.09,203.34,194.69,200.04,151.25,98.4,27.52,129.31,49.85,53.1,
2021-KW15,123.71,304.41,265.55,291.64,357.57,227.16,244.43,230.48,252.63,276.34,195.16,119.17,153.07,68.79,129.31,59.82,70.8,
2021-KW16,130.99,167.42,248.96,332.15,273.88,227.16,181.75,224.41,240.31,219.81,239.07,128.33,164.0,110.06,113.15,109.67,88.5,
2021-KW17,87.32,220.69,199.16,218.73,205.41,219.83,162.95,175.89,191.01,257.49,190.28,155.83,136.67,82.55,88.9,79.76,94.4,
2021-KW18,130.99,190.25,215.76,97.21,197.8,117.24,181.75,133.44,154.04,157.01,151.25,119.17,92.94,75.67,32.33,19.94,41.3,
2021-KW19,43.66,91.32,66.39,97.21,182.59,131.9,68.94,133.44,92.43,163.29,92.7,64.17,32.8,34.39,40.41,29.91,94.4,
2021-KW20,29.11,38.05,49.79,89.11,68.47,73.28,68.94,90.98,36.97,69.08,43.91,32.08,54.67,48.15,48.49,19.94,59.0,
2021-KW21,21.83,30.44,74.69,48.61,45.65,36.64,56.41,24.26,49.29,56.52,43.91,27.5,10.93,,,9.97,17.7,
2021-KW22,29.11,,8.3,16.2,45.65,58.62,50.14,24.26,12.32,12.56,19.52,13.75,5.47,6.88,,,23.6,
2021-KW23,14.55,45.66,16.6,32.4,38.04,14.66,12.53,24.26,24.65,18.84,9.76,9.17,,6.88,,,,
2021-KW24,21.83,15.22,,16.2,15.22,29.31,6.27,,18.49,6.28,9.76,,5.47,,,,,
2021-KW25,14.55,53.27,49.79,8.1,7.61,7.33,6.27,12.13,18.49,,4.88,,,,,,,
2021-KW26,14.55,,16.6,,7.61,,6.27,18.2,6.16,6.28,9.76,,,,,,,
2021-KW27,7.28,15.22,8.3,32.4,30.43,29.31,18.8,24.26,6.16,6.28,19.52,4.58,5.47,6.88,,,,
2021-KW28,,,16.6,32.4,15.22,21.98,6.27,18.2,6.16,6.28,9.76,22.92,,,,9.97,,
2021-KW29,14.55,7.61,8.3,32.4,15.22,43.97,6.27,12.13,18.49,6.28,,27.5,16.4,,,,,
2021-KW30,,7.61,,56.71,,21.98,6.27,,,12.56,,4.58,27.33,,,,,
2021-KW31,,30.44,16.6,89.11,22.82,14.66,6.27,24.26,,6.28,19.52,9.17,5.47,6.88,,,11.8,
2021-KW32,14.55,22.83,16.6,72.91,83.69,29.31,18.8,18.2,12.32,25.12,24.39,9.17,5.47,6.88,8.08,,5.9,
2021-KW33,14.55,22.83,49.79,113.42,91.29,95.26,62.67,36.39,36.97,50.24,9.76,18.33,5.47,6.88,,,23.6,
2021-KW34,65.49,152.2,116.18,194.43,167.37,58.62,137.88,90.98,117.07,69.08,29.27,18.33,21.87,13.76,8.08,19.94,,
2021-KW35,87.32,152.2,149.37,226.83,197.8,161.21,87.74,115.24,86.26,113.05,43.91,55.0,16.4,13.76,16.16,39.88,11.8,
2021-KW36,101.88,106.54,240.66,218.73,152.16,139.22,112.81,133.44,123.23,138.17,97.58,50.42,32.8,20.64,16.16,19.94,23.6,
2021-KW37,87.32,159.81,174.27,105.31,174.98,102.59,81.48,121.31,61.62,56.52,43.91,45.83,49.2,13.76,16.16,9.97,29.5,
2021-KW38,101.88,182.64,174.27,153.92,167.37,87.93,100.28,103.11,117.07,81.64,58.55,22.92,32.8,20.64,8.08,9.97,41.3,
2021-KW39,43.66,175.03,157.67,89.11,98.9,95.26,119.08,133.44,80.1,56.52,73.18,73.33,60.13,27.52,32.33,19.94,70.8,
2021-KW40,72.77,91.32,124.48,81.01,68.47,102.59,94.01,90.98,110.91,125.61,78.06,64.17,49.2,41.27,64.66,19.94,11.8,
2021-KW41,72.77,213.08,149.37,72.91,76.08,102.59,112.81,139.5,117.07,106.77,48.79,64.17,27.33,61.91,64.66,49.85,59.0,
2021-KW42,72.77,312.02,597.49,275.44,220.63,263.79,225.63,157.7,227.98,200.97,156.13,123.75,60.13,96.31,88.9,89.73,123.9,
2021-KW43,160.09,426.17,730.27,453.66,380.39,315.09,338.44,467.03,437.48,301.46,209.79,201.67,136.67,61.91,105.06,79.76,159.3,
2021-KW44,211.03,426.17,813.26,583.28,456.47,381.04,451.25,460.96,536.07,427.06,400.07,288.75,278.81,82.55,137.39,239.27,224.2,
2021-KW45,291.08,859.95,1277.97,923.53,631.45,622.85,463.79,630.79,603.84,621.76,478.13,380.41,360.81,316.43,202.05,299.09,471.99,
2021-KW46,465.73,1065.42,1385.85,972.13,829.25,893.97,908.77,879.46,1059.81,1017.42,712.32,577.5,420.94,343.95,331.36,259.21,348.1,
2021-KW47,349.29,1080.64,995.82,761.5,737.96,681.47,658.07,697.51,757.89,634.32,604.99,540.83,399.07,316.43,226.29,279.15,277.3,
2021-KW48,363.85,814.29,788.36,648.09,486.9,564.23,557.8,594.4,492.93,558.95,483.01,485.83,306.14,192.61,185.88,109.67,259.6,
2021-KW49,211.03,677.3,688.78,332.15,289.1,351.73,444.98,485.22,345.05,307.74,292.74,302.5,174.94,185.73,113.15,99.7,123.9,
2021-KW50,240.14,646.86,605.79,332.15,311.92,337.07,382.31,400.31,326.57,276.34,234.19,206.25,169.47,123.82,153.56,49.85,94.4,
2021-KW51,189.2,547.93,315.34,332.15,296.71,183.19,231.89,291.13,283.44,200.97,185.4,123.75,114.8,82.55,72.74,59.82,29.5,
2021-KW52,167.37,289.19,282.15,332.15,197.8,285.78,238.16,279.0,191.01,226.09,146.37,132.92,131.2,82.55,56.57,29.91,53.1,
