# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-06 07:47:52
# API-Download für Covid19-Inzidenzen in LK Bad Kreuznach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,13.52,,,10.69,21.83,11.03,43.57,32.27,,7.96,,,,,
2020-KW12,,,,13.52,12.83,24.5,10.69,10.92,11.03,10.89,64.54,28.69,15.92,18.63,10.99,,,
2020-KW13,,,13.79,13.52,25.66,,,43.66,66.2,32.68,,35.87,23.88,18.63,21.98,,41.52,
2020-KW14,,,,13.52,89.8,171.53,21.38,10.92,22.07,21.78,40.33,35.87,23.88,,21.98,46.93,41.52,
2020-KW15,,,,,12.83,24.5,,,11.03,10.89,16.13,21.52,,9.32,,,24.91,
2020-KW16,,,,,51.31,12.25,,21.83,,10.89,16.13,21.52,15.92,9.32,,,41.52,
2020-KW17,,13.92,,13.52,,,,,11.03,21.78,8.07,14.35,15.92,18.63,21.98,15.64,33.22,
2020-KW18,,,,,,,,,,,,,,,,,8.3,
2020-KW19,,,,,12.83,,,,,,,,7.96,,10.99,,24.91,
2020-KW20,,,,,,,10.69,,,,,,,9.32,,15.64,,
2020-KW23,,,,,,,,,,10.89,,,,,,,8.3,
2020-KW24,,,,,,,,,,,8.07,,,,,,,
2020-KW25,,,,,,12.25,,10.92,,,,,,,,,,
2020-KW26,,,,,,,,,,10.89,,,,,,,,
2020-KW27,,,,,,,,,,,8.07,,,,,,,
2020-KW29,13.39,,,,,,,,,,,,,,,,,
2020-KW30,,,,,,,,,,10.89,8.07,,,,,,,
2020-KW31,,,,,,,,,,,,,,,,15.64,,
2020-KW32,,,13.79,,,,21.38,10.92,,,,,,,,,,
2020-KW33,26.79,13.92,13.79,27.04,12.83,24.5,32.07,21.83,33.1,,8.07,21.52,7.96,,,,,
2020-KW34,13.39,27.84,55.15,13.52,12.83,24.5,21.38,32.75,22.07,32.68,16.13,7.17,,37.26,,15.64,,
2020-KW35,,27.84,41.37,40.56,25.66,24.5,21.38,10.92,,10.89,8.07,7.17,,,,,,
2020-KW36,13.39,,27.58,40.56,12.83,,,,,21.78,,,,,,15.64,,
2020-KW37,,,,67.6,12.83,12.25,,,11.03,21.78,24.2,7.17,,,10.99,,,
