# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-05-29 08:44:14
# API-Download für Covid19-Inzidenzen in LK Berchtesgadener Land, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,22.41,21.08,,,,14.5,,16.35,,,,,,,,
2020-KW12,,,,,,,,14.5,15.49,16.35,12.76,,13.38,,,,11.47,
2020-KW13,41.27,,44.83,84.31,17.47,15.33,42.63,87.0,92.96,98.12,165.93,57.96,53.53,98.76,70.04,60.06,45.86,
2020-KW14,41.27,,,105.39,34.93,,113.68,58.0,46.48,65.42,63.82,115.92,53.53,65.84,140.08,240.23,91.73,
2020-KW15,,20.95,,42.16,,61.31,42.63,29.0,30.99,32.71,140.4,81.15,40.15,,52.53,40.04,126.13,
2020-KW16,,,,,17.47,15.33,14.21,,30.99,65.42,51.05,46.37,40.15,16.46,17.51,60.06,160.52,
2020-KW17,,,,21.08,34.93,15.33,28.42,14.5,61.97,32.71,25.53,,13.38,,35.02,40.04,22.93,
2020-KW18,,,,,,,14.21,,15.49,,,11.59,,,,20.02,22.93,
2020-KW19,,,,21.08,17.47,15.33,,14.5,,,,,13.38,,,20.02,68.8,
2020-KW20,,,,,17.47,,14.21,,,16.35,,11.59,13.38,,17.51,,11.47,
2020-KW21,,,,,17.47,,,,,,12.76,11.59,,,,,11.47,
2020-KW22,,,,,,,14.21,14.5,,,,,,,,,,
2020-KW25,,,44.83,21.08,,,,,,,,,,,,,,
2020-KW26,20.64,,22.41,21.08,,,,29.0,15.49,,,,,,,20.02,,
2020-KW27,,,44.83,21.08,,15.33,,,,,,11.59,,,17.51,20.02,11.47,
2020-KW28,,,,,17.47,15.33,,,,,,,13.38,,,,,
2020-KW29,,20.95,,21.08,52.4,,42.63,14.5,,16.35,,23.18,13.38,,,,,
2020-KW30,20.64,20.95,,,,15.33,14.21,29.0,,16.35,12.76,11.59,,,,,11.47,
2020-KW31,,41.9,,21.08,,15.33,14.21,,15.49,,,,,,,,,
2020-KW32,,,,,,15.33,,14.5,15.49,,,,,,,,,
2020-KW33,,,,42.16,17.47,45.98,42.63,14.5,,32.71,,,13.38,,,,,
2020-KW34,,,,63.23,17.47,,,14.5,15.49,32.71,,,,,,,,
2020-KW35,20.64,20.95,,42.16,34.93,30.66,28.42,,,32.71,,,,,,,,
2020-KW36,,,22.41,,,,,,,16.35,12.76,,,,,,,
2020-KW37,20.64,,,,34.93,30.66,28.42,,15.49,,12.76,11.59,26.77,16.46,,,,
2020-KW38,,,,63.23,52.4,91.97,,29.0,,49.06,25.53,11.59,13.38,,,,11.47,
2020-KW39,41.27,20.95,22.41,,34.93,15.33,,14.5,15.49,32.71,12.76,,,32.92,35.02,20.02,11.47,
2020-KW40,41.27,,,21.08,,,28.42,,,,,,,,,,,
2020-KW41,,41.9,22.41,63.23,17.47,,,29.0,46.48,49.06,102.11,57.96,13.38,32.92,,,,
2020-KW42,103.18,,156.9,358.33,489.08,413.86,170.53,174.01,263.38,457.91,536.07,301.4,173.98,181.06,140.08,100.1,91.73,
2020-KW43,165.09,62.85,112.07,274.02,436.68,505.82,341.05,203.01,216.9,310.72,357.38,255.03,133.83,82.3,210.12,140.13,126.13,
2020-KW44,82.55,167.6,134.48,442.64,454.15,459.84,227.37,174.01,263.38,343.43,382.91,394.13,267.67,263.36,175.1,140.13,286.65,
2020-KW45,103.18,125.7,44.83,105.39,331.88,291.23,213.16,116.01,201.41,114.48,178.69,185.47,107.07,115.22,157.59,120.11,217.85,
2020-KW46,41.27,41.9,112.07,147.55,192.14,214.59,142.11,246.51,185.92,196.25,165.93,92.74,160.6,65.84,70.04,100.1,91.73,
2020-KW47,103.18,83.8,179.31,674.5,192.14,107.3,341.05,159.51,139.44,261.66,216.98,150.7,147.22,32.92,35.02,80.08,263.72,
2020-KW48,123.82,125.7,67.24,358.33,122.27,199.26,71.05,174.01,278.88,147.19,216.98,81.15,80.3,98.76,17.51,180.17,206.39,
2020-KW49,123.82,83.8,134.48,210.78,209.61,183.94,170.53,145.01,139.44,147.19,191.45,92.74,120.45,32.92,52.53,60.06,217.85,
2020-KW50,82.55,20.95,179.31,379.41,349.34,214.59,213.16,188.51,201.41,212.6,204.22,139.11,133.83,65.84,140.08,80.08,103.19,
2020-KW51,41.27,62.85,112.07,210.78,227.07,229.92,127.9,232.01,170.42,212.6,140.4,208.66,53.53,82.3,52.53,80.08,194.92,
2020-KW52,20.64,62.85,44.83,210.78,314.41,107.3,142.11,130.51,61.97,147.19,76.58,139.11,40.15,98.76,52.53,80.08,240.78,
2020-KW53,144.46,146.65,246.55,316.17,489.08,475.17,341.05,246.51,170.42,392.49,280.8,359.36,120.45,98.76,175.1,260.25,343.98,
2021-KW01,103.18,125.7,134.48,358.33,593.89,321.89,397.9,391.52,263.38,425.2,331.85,394.13,240.9,213.98,210.12,240.23,630.63,
2021-KW02,41.27,188.55,224.14,295.09,384.28,214.59,184.74,232.01,232.4,441.56,268.04,173.88,240.9,131.68,192.61,200.19,321.05,
2021-KW03,123.82,167.6,358.62,147.55,296.94,199.26,156.32,319.01,170.42,261.66,242.51,231.84,187.37,148.14,70.04,140.13,252.25,
2021-KW04,41.27,146.65,156.9,358.33,366.81,321.89,298.42,217.51,139.44,343.43,280.8,197.07,133.83,65.84,35.02,20.02,91.73,
2021-KW05,61.91,83.8,112.07,189.7,122.27,153.28,113.68,145.01,92.96,179.89,165.93,162.29,80.3,16.46,87.55,40.04,57.33,
2021-KW06,123.82,62.85,112.07,210.78,104.8,153.28,184.74,145.01,170.42,65.42,165.93,185.47,107.07,,17.51,20.02,91.73,
