# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-05-08 08:49:47
# API-Download für Covid19-Inzidenzen in LK Bitburg-Prüm, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,13.18,,,,,
2020-KW11,,,,,,,32.04,16.24,35.0,49.92,49.3,10.99,,,21.2,,,
2020-KW12,,21.68,,,58.59,49.98,48.05,16.24,157.48,49.92,49.3,10.99,13.18,,21.2,,,
2020-KW13,,43.37,44.36,41.8,58.59,16.66,16.02,81.2,87.49,49.92,73.95,32.98,39.54,31.45,63.59,121.03,29.36,
2020-KW14,,21.68,,,39.06,,48.05,16.24,52.49,33.28,,32.98,13.18,15.72,21.2,90.77,132.12,
2020-KW15,20.37,,,,,16.66,16.02,,,33.28,49.3,,13.18,15.72,,60.51,29.36,
2020-KW16,,,,,19.53,33.32,32.04,,,33.28,49.3,32.98,26.36,,42.39,60.51,,
2020-KW17,20.37,,,20.9,19.53,,,16.24,17.5,,,21.99,26.36,,21.2,,14.68,
2020-KW18,,,,,19.53,,,16.24,,16.64,,10.99,13.18,,,,14.68,
2020-KW19,,,,,,16.66,,,,,,10.99,,,21.2,,14.68,
2020-KW20,,,44.36,,,,,,,,24.65,,13.18,,,,,
2020-KW21,,,,,,16.66,,,,,,,,,,,,
2020-KW25,,,22.18,,19.53,,,,,,,,13.18,,,,,
2020-KW26,,65.05,,20.9,,16.66,,48.72,,16.64,,,13.18,,,,,
2020-KW28,,43.37,,,,,16.02,16.24,,,,10.99,,,,,,
2020-KW29,20.37,43.37,44.36,20.9,19.53,16.66,,48.72,52.49,16.64,24.65,21.99,,,,30.26,,
2020-KW30,20.37,,,62.7,,,16.02,,17.5,,12.32,21.99,13.18,,,30.26,,
2020-KW31,40.75,,,,19.53,33.32,32.04,64.96,17.5,16.64,24.65,10.99,,,,,,
2020-KW32,,,,20.9,39.06,66.64,32.04,32.48,35.0,,24.65,10.99,26.36,,,,,
2020-KW33,,,,41.8,19.53,,,16.24,17.5,16.64,12.32,,,,,,,
2020-KW34,,,22.18,20.9,,16.66,16.02,16.24,,,,,,,,,,
2020-KW35,,,,,,33.32,,,,,,10.99,,,,,,
2020-KW36,,,,20.9,,16.66,16.02,,,33.28,12.32,10.99,,,,,14.68,
2020-KW37,,,,41.8,58.59,,16.02,,,,,10.99,,,,,,
2020-KW38,,,,,19.53,,,,,,,,,,,,,
2020-KW39,,,,,78.13,,16.02,,,,,,,15.72,,,,
2020-KW40,,,22.18,,19.53,33.32,16.02,,,,,21.99,13.18,,,,29.36,
2020-KW41,,43.37,,250.78,351.56,233.26,144.16,48.72,122.48,33.28,86.27,32.98,65.9,31.45,42.39,,,
2020-KW42,61.12,43.37,22.18,167.19,390.63,333.22,208.23,48.72,87.49,133.11,197.19,142.9,39.54,15.72,21.2,30.26,,
2020-KW43,183.37,238.51,133.07,229.89,371.09,366.54,304.34,194.87,122.48,116.47,184.87,208.86,92.26,94.34,21.2,90.77,44.04,
2020-KW44,40.75,151.78,110.89,146.29,136.72,199.93,144.16,194.87,87.49,133.11,172.54,175.88,92.26,31.45,21.2,30.26,44.04,
2020-KW45,101.87,108.41,66.53,104.49,175.78,233.26,128.14,146.15,52.49,116.47,98.6,54.96,65.9,94.34,63.59,151.29,73.4,
2020-KW46,61.12,108.41,44.36,125.39,195.31,199.93,80.09,129.91,69.99,232.95,147.89,76.95,65.9,62.89,,30.26,14.68,
2020-KW47,81.5,108.41,66.53,125.39,97.66,216.59,176.2,259.82,87.49,116.47,209.51,98.93,144.98,62.89,127.17,30.26,44.04,
2020-KW48,101.87,86.73,110.89,62.7,195.31,49.98,96.11,146.15,87.49,133.11,73.95,98.93,13.18,78.62,21.2,30.26,73.4,
2020-KW49,81.5,65.05,155.25,229.89,214.84,199.93,128.14,162.39,192.48,99.83,209.51,142.9,144.98,31.45,84.78,90.77,587.2,
2020-KW50,20.37,21.68,199.6,188.09,156.25,133.29,80.09,113.67,157.48,99.83,73.95,164.89,65.9,31.45,63.59,60.51,102.76,
2020-KW51,81.5,130.1,88.71,250.78,156.25,166.61,144.16,129.91,69.99,183.03,197.19,87.94,158.17,47.17,21.2,90.77,88.08,
