# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-03-13 07:45:16
# API-Download für Covid19-Inzidenzen in LK Bodenseekreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,7.76,11.84,,6.39,,,,,
2020-KW11,,,,9.41,8.85,24.37,14.7,30.26,15.31,23.29,41.45,16.73,6.39,7.79,,,,
2020-KW12,,,,9.41,17.69,40.61,73.51,22.7,30.62,15.52,65.14,33.45,44.7,7.79,17.56,10.17,,
2020-KW13,,,,9.41,53.08,81.23,66.16,45.39,45.93,85.38,76.99,100.35,44.7,38.97,17.56,40.69,29.88,
2020-KW14,,,,9.41,8.85,24.37,7.35,15.13,30.62,23.29,29.61,16.73,25.55,46.77,17.56,30.52,23.9,
2020-KW15,,,,,8.85,40.61,29.4,22.7,15.31,31.05,29.61,11.15,,,8.78,30.52,17.93,
2020-KW16,,,,,17.69,8.12,7.35,15.13,7.66,,5.92,,,,8.78,10.17,5.98,
2020-KW17,,,,,,,,7.57,,,,,,,17.56,,,
2020-KW18,,,,,,8.12,,,7.66,,,,6.39,,,,,
2020-KW19,9.56,,,,,8.12,7.35,,,7.76,5.92,,6.39,,,,,
2020-KW20,,,,,,,,,,,,,6.39,,,,5.98,
2020-KW22,,,,,,,,,,7.76,,,,,,,,
2020-KW23,,,,9.41,,,,,7.66,,,,,,,,,
2020-KW24,,,,,,8.12,,,,,,,,,,,,
2020-KW26,,,,,,,7.35,,,,,,,,8.78,,,
2020-KW27,,,,,,8.12,,,,,,,,,,,,
2020-KW28,,,,,,,,,,,,,,7.79,,,,
2020-KW29,,,30.11,84.66,,8.12,,15.13,22.97,,5.92,,,,,,,
2020-KW30,,20.28,10.04,,17.69,,22.05,,,7.76,,16.73,6.39,7.79,17.56,,,
2020-KW31,,,,9.41,,,,,15.31,7.76,,,,,,,,
2020-KW32,,,,,,16.25,7.35,,,,,,,,,,,
2020-KW33,,,,,8.85,16.25,22.05,7.57,,7.76,,,,,,,,
2020-KW34,9.56,10.14,,18.81,44.23,56.86,7.35,52.96,15.31,15.52,11.84,11.15,,,,,,
2020-KW35,,10.14,10.04,9.41,53.08,48.74,14.7,22.7,15.31,15.52,17.77,5.58,6.39,,,,,
2020-KW36,,30.42,,18.81,17.69,32.49,36.75,15.13,45.93,15.52,5.92,5.58,,,,,,
2020-KW37,9.56,20.28,20.07,56.44,70.77,,44.11,7.57,22.97,,,5.58,,7.79,,,,
2020-KW38,9.56,10.14,70.26,37.63,17.69,73.11,29.4,30.26,22.97,23.29,17.77,5.58,19.16,7.79,,10.17,5.98,
2020-KW39,,,10.04,9.41,35.39,16.25,22.05,,,15.52,35.53,16.73,,,26.35,,,
2020-KW40,9.56,,10.04,28.22,,24.37,36.75,7.57,7.66,15.52,11.84,,,,17.56,10.17,,
2020-KW41,,10.14,,28.22,17.69,16.25,,7.57,7.66,7.76,23.69,16.73,12.77,,8.78,,5.98,
