# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-01-17 07:51:27
# API-Download für Covid19-Inzidenzen in LK Böblingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,4.27,,,,,,,,,,,,
2020-KW10,,,,5.24,,,,,,,3.24,,,,,,,
2020-KW11,,,,,9.67,25.62,3.68,15.32,11.88,12.02,12.96,26.07,7.82,4.98,11.84,12.26,3.79,
2020-KW12,,,26.64,10.49,77.39,64.06,62.55,53.63,63.35,120.2,97.16,104.27,97.72,84.64,82.85,49.04,30.34,
2020-KW13,18.98,10.22,21.31,31.46,87.06,145.2,114.07,72.78,118.79,116.19,116.6,146.63,148.53,84.64,47.34,79.69,79.63,
2020-KW14,23.73,10.22,21.31,47.19,58.04,81.14,66.23,107.25,114.83,104.17,100.4,133.6,97.72,69.7,47.34,165.5,348.87,
2020-KW15,,15.32,21.31,31.46,87.06,89.68,62.55,45.96,51.47,56.09,77.73,55.39,46.9,19.91,17.75,85.82,106.18,
2020-KW16,,5.11,10.65,26.22,19.35,21.35,36.8,19.15,47.52,12.02,25.91,45.62,15.63,24.89,11.84,18.39,68.26,
2020-KW17,,,5.33,10.49,4.84,8.54,3.68,7.66,7.92,16.03,16.19,9.78,11.73,4.98,17.75,,30.34,
2020-KW18,9.49,,,5.24,9.67,4.27,3.68,3.83,,4.01,6.48,6.52,3.91,,5.92,6.13,3.79,
2020-KW19,,,,,,8.54,3.68,,7.92,4.01,,,,,5.92,,3.79,
2020-KW20,,,5.33,,,8.54,,7.66,,,3.24,6.52,,,11.84,6.13,7.58,
2020-KW21,,,,,4.84,,,,3.96,4.01,,,7.82,,,,,
2020-KW22,,,,,,4.27,3.68,3.83,,,3.24,,7.82,4.98,,,3.79,
2020-KW23,9.49,5.11,,,,4.27,3.68,3.83,3.96,4.01,,3.26,,,,,3.79,
2020-KW24,,,,5.24,4.84,4.27,,,,,6.48,,3.91,,,,,
2020-KW25,,,10.65,,4.84,8.54,3.68,7.66,,4.01,,,,,,,,
2020-KW26,4.75,5.11,,5.24,4.84,12.81,7.36,,7.92,,12.96,3.26,,,5.92,,,
2020-KW27,,,5.33,5.24,4.84,,,11.49,,,3.24,,3.91,4.98,,,,
2020-KW28,9.49,10.22,5.33,5.24,4.84,4.27,14.72,7.66,3.96,,,,,,,,,
2020-KW29,,,,5.24,14.51,4.27,3.68,,11.88,8.01,12.96,6.52,,,,,,
2020-KW30,9.49,5.11,,10.49,4.84,8.54,14.72,7.66,,8.01,,6.52,11.73,,,,,
2020-KW31,,,5.33,5.24,9.67,12.81,7.36,,19.8,12.02,9.72,9.78,3.91,4.98,,,3.79,
2020-KW32,,5.11,5.33,10.49,29.02,8.54,14.72,,,4.01,3.24,6.52,,,5.92,,,
2020-KW33,4.75,,5.33,10.49,29.02,29.89,7.36,3.83,3.96,8.01,9.72,,,9.96,,,3.79,
2020-KW34,4.75,15.32,15.98,36.7,87.06,55.52,40.48,19.15,39.6,24.04,9.72,13.03,,4.98,5.92,6.13,,
2020-KW35,18.98,5.11,10.65,73.41,67.71,59.79,47.83,15.32,47.52,28.05,12.96,3.26,11.73,4.98,,,7.58,
2020-KW36,28.48,20.43,53.27,36.7,38.69,25.62,66.23,34.47,51.47,28.05,22.67,19.55,11.73,4.98,,,7.58,
2020-KW37,18.98,15.32,21.31,20.97,58.04,34.16,40.48,19.15,31.68,20.03,25.91,19.55,19.54,,5.92,,3.79,
2020-KW38,4.75,10.22,37.29,47.19,43.53,25.62,40.48,34.47,35.64,24.04,19.43,22.81,15.63,4.98,,,3.79,
2020-KW39,4.75,10.22,10.65,31.46,87.06,38.44,25.76,26.81,31.68,32.05,22.67,13.03,23.45,14.94,,6.13,3.79,
2020-KW40,9.49,15.32,31.96,26.22,48.37,42.71,14.72,15.32,31.68,16.03,19.43,32.58,7.82,9.96,,,11.38,
2020-KW41,14.24,25.54,10.65,47.19,87.06,55.52,84.63,34.47,39.6,40.07,74.49,71.69,39.09,9.96,11.84,18.39,3.79,
2020-KW42,18.98,51.08,63.92,94.38,96.74,76.87,88.31,88.1,79.19,88.14,77.73,26.07,31.27,24.89,29.59,36.78,3.79,
2020-KW43,47.46,81.73,90.56,178.28,164.45,209.26,187.66,141.72,138.59,176.29,132.79,94.5,101.63,59.74,53.26,42.91,106.18,
2020-KW44,42.71,56.19,85.23,157.31,212.82,290.4,246.53,191.52,229.66,232.38,217.0,188.99,171.98,89.61,76.93,67.43,185.81,
