# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-09-08 05:45:48
# API-Download für Covid19-Inzidenzen in LK Börde, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,8.9,,,,,,,,,,
2020-KW12,,,,,54.66,59.14,56.5,35.6,,38.52,28.82,18.59,13.27,7.53,11.2,,,
2020-KW13,,,,,,19.71,28.25,8.9,9.28,19.26,14.41,6.2,6.63,,11.2,,7.88,
2020-KW14,,,,,,,28.25,17.8,18.55,28.89,21.61,12.39,,,22.4,13.47,23.65,
2020-KW15,,,,14.59,18.22,19.71,,8.9,18.55,,14.41,,26.54,,11.2,,47.3,
2020-KW16,,,,,,39.42,,8.9,,,14.41,18.59,,,,13.47,47.3,
2020-KW17,,,,,,19.71,9.42,,,,14.41,24.79,,,11.2,40.4,126.13,
2020-KW18,,,,,18.22,39.42,9.42,,9.28,,7.2,,6.63,,,13.47,23.65,
2020-KW19,,,,14.59,,19.71,18.83,8.9,9.28,9.63,,12.39,,7.53,,13.47,23.65,
2020-KW20,,,,,,,,,,,,,,7.53,,,,
2020-KW21,,,,,,,,,,,,,,,,,7.88,
2020-KW22,,,,,,,9.42,,,,,,,,,,,
2020-KW23,14.06,,,,,,9.42,,,,7.2,,,,,,,
2020-KW25,,,,,,,,,,,7.2,,,,,,,
2020-KW26,,,,,,,,,,,7.2,,,,,,,
2020-KW27,,,,,18.22,,,,,,,,,,,,,
2020-KW28,,,,,,,,,,,,,,7.53,,,,
2020-KW29,,,13.02,,,,9.42,,,,7.2,6.2,19.9,,,,,
2020-KW30,,,,,,,,,,9.63,,6.2,6.63,7.53,,,,
2020-KW31,,,13.02,,,19.71,,8.9,9.28,,,6.2,,,11.2,,,
2020-KW32,,,,,,,,,,9.63,,,,,,,,
2020-KW33,,,,14.59,,,9.42,,,,14.41,,,,,,7.88,
2020-KW34,,,,,18.22,,9.42,8.9,,,,,6.63,,,,,
2020-KW35,,,26.04,,,,9.42,,,,,,,,,,,
2020-KW36,14.06,,,,18.22,,18.83,,,,,,,,,,,
2020-KW38,,,,,,,,8.9,,,7.2,,13.27,,,,,
2020-KW39,,,,,,,,,,,7.2,,,,,,,
2020-KW40,,,,,,,9.42,,,,,,,7.53,,13.47,,
2020-KW41,,12.63,,,36.44,,9.42,,,9.63,,6.2,6.63,,,,15.77,
2020-KW42,,,13.02,,36.44,,28.25,,18.55,,7.2,6.2,,,,,,
2020-KW43,28.13,12.63,13.02,29.17,91.11,118.27,112.99,,46.38,28.89,57.64,55.77,33.17,15.05,11.2,67.33,23.65,
