# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-09-02 05:44:38
# API-Download für Covid19-Inzidenzen in LK Cloppenburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,17.56,8.62,,,,,,,,,,,
2020-KW12,,,,18.94,17.59,,8.62,9.35,,9.26,7.37,14.82,,,,,,
2020-KW13,,,10.67,,17.59,,17.24,28.05,38.88,37.06,7.37,14.82,17.64,34.32,,,11.07,
2020-KW14,,,10.67,9.47,26.38,,17.24,9.35,9.72,27.79,14.75,7.41,17.64,22.88,15.52,21.24,11.07,
2020-KW15,29.97,10.83,,,26.38,43.91,34.48,18.7,,27.79,29.5,29.64,26.46,,15.52,21.24,22.13,
2020-KW16,,,,,,,,9.35,,9.26,,14.82,,,,,11.07,
2020-KW17,,,,,8.79,8.78,,9.35,,18.53,,7.41,,,,,11.07,
2020-KW18,,,,,,,,,,9.26,,,8.82,,,,,
2020-KW19,,,,,8.79,8.78,,,,,7.37,,8.82,,,,,
2020-KW20,,,,,,,,,,,7.37,,,,,,,
2020-KW22,,,,9.47,,,8.62,,,,,,,,,,,
2020-KW23,,,,,,8.78,,9.35,,9.26,,,,,,,,
2020-KW24,,,,,,,8.62,,,,,,,,,,,
2020-KW26,,,10.67,9.47,,,,,,18.53,,,,,,,,
2020-KW28,,,,,,8.78,,,,,7.37,,,,,,,
2020-KW29,19.98,,,9.47,17.59,17.56,25.86,9.35,,,7.37,,,,,,,
2020-KW30,9.99,,10.67,,35.17,52.69,8.62,18.7,29.16,27.79,14.75,,,,,,,
2020-KW31,,,10.67,18.94,,52.69,,18.7,38.88,9.26,29.5,22.23,8.82,,,,,
2020-KW32,9.99,,,18.94,52.76,26.35,43.1,46.74,19.44,27.79,14.75,7.41,17.64,22.88,,,,
2020-KW33,9.99,,,18.94,79.13,61.47,43.1,28.05,29.16,18.53,29.5,29.64,17.64,,31.03,,,
2020-KW34,,,,9.47,26.38,8.78,34.48,18.7,29.16,27.79,7.37,22.23,8.82,,,,,
2020-KW35,,,,18.94,17.59,8.78,34.48,9.35,29.16,,7.37,7.41,,11.44,15.52,,,
2020-KW36,,,,9.47,35.17,43.91,8.62,,,18.53,7.37,,,,,,,
2020-KW37,,,10.67,123.11,123.1,35.13,,37.39,,18.53,22.12,29.64,35.27,,15.52,,11.07,
2020-KW38,9.99,43.34,53.37,397.73,184.65,114.17,43.1,56.09,87.48,111.17,95.87,66.7,44.09,,62.06,21.24,22.13,
2020-KW39,,21.67,128.1,142.05,167.06,35.13,77.58,46.74,19.44,111.17,66.37,59.29,17.64,68.64,,,11.07,
2020-KW40,19.98,32.5,64.05,170.45,184.65,79.04,34.48,28.05,77.76,64.85,73.75,44.46,52.91,22.88,15.52,42.48,44.26,
2020-KW41,49.96,54.17,117.42,179.92,263.78,245.89,172.4,252.41,213.84,148.23,125.37,148.21,105.82,68.64,,84.96,121.72,
2020-KW42,49.96,151.68,106.75,274.62,404.47,254.68,198.26,215.01,243.0,222.35,258.11,200.09,114.64,102.96,77.58,63.72,55.33,
2020-KW43,9.99,54.17,74.72,208.33,457.22,456.66,215.5,308.5,204.12,407.63,250.74,163.04,238.1,183.05,93.1,84.96,287.71,
2020-KW44,19.98,97.51,170.79,388.26,501.19,403.97,336.18,280.45,194.4,407.63,346.61,259.37,282.19,148.72,217.22,148.68,398.36,
2020-KW45,79.93,151.68,330.91,596.59,527.57,474.22,344.8,364.59,379.08,277.93,376.11,348.3,167.55,217.37,170.67,148.68,254.51,
2020-KW46,29.97,119.18,224.17,142.05,316.54,263.46,284.46,327.19,252.72,231.61,280.24,229.73,185.19,160.16,170.67,127.44,298.77,
2020-KW47,59.95,65.01,170.79,208.33,422.05,342.5,344.8,158.92,340.2,287.2,272.86,326.07,282.19,160.16,232.74,191.16,984.84,
2020-KW48,79.93,162.51,181.47,274.62,281.37,272.24,258.6,224.36,223.56,333.52,280.24,125.98,194.0,194.49,139.64,191.16,398.36,
2020-KW49,39.96,32.5,149.44,227.27,246.2,289.8,172.4,130.88,213.84,194.55,228.61,237.14,132.28,148.72,124.13,84.96,309.84,
2020-KW50,59.95,151.68,181.47,189.39,211.03,307.37,215.5,186.97,194.4,129.7,169.62,170.45,141.09,91.52,62.06,148.68,177.05,
2020-KW51,39.96,119.18,149.44,189.39,351.71,131.73,155.16,177.62,165.24,250.14,228.61,192.68,238.1,34.32,77.58,148.68,199.18,
2020-KW52,69.94,32.5,32.02,56.82,131.89,122.95,189.64,149.57,77.76,92.64,103.24,125.98,88.18,45.76,139.64,254.89,276.64,
2020-KW53,29.97,54.17,106.75,132.58,158.27,184.42,129.3,112.18,126.36,203.82,162.24,207.5,167.55,102.96,46.55,84.96,143.85,
2021-KW01,149.87,75.84,192.14,236.74,325.33,149.29,241.36,224.36,272.16,287.2,176.99,200.09,158.73,148.72,248.25,276.13,298.77,
2021-KW02,39.96,108.34,128.1,151.52,184.65,210.77,163.78,112.18,126.36,222.35,184.37,177.86,123.46,57.2,108.61,127.44,143.85,
2021-KW03,39.96,43.34,106.75,179.92,149.48,254.68,181.02,196.32,116.64,148.23,147.49,170.45,79.37,68.64,139.64,84.96,298.77,
