# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-02-21 07:40:54
# API-Download für Covid19-Inzidenzen in LK Coesfeld, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,39.16,8.99,,8.84,,7.72,,30.73,11.11,4.98,,,,,6.56,
2020-KW11,,,,,,26.51,23.85,7.72,31.51,7.68,22.22,44.81,22.77,,,12.64,,
2020-KW12,8.98,,,8.99,97.0,17.67,47.7,30.9,31.51,46.09,66.67,39.83,51.24,7.05,,12.64,19.67,
2020-KW13,,,,,52.91,70.68,159.0,100.41,133.91,92.18,155.56,99.58,85.4,35.24,44.73,63.18,78.69,
2020-KW14,,9.4,19.58,35.94,35.27,53.01,63.6,,47.26,46.09,116.67,54.77,56.93,49.34,17.89,25.27,59.01,
2020-KW15,,,9.79,26.96,26.45,44.18,7.95,38.62,55.14,23.05,61.11,54.77,22.77,21.14,26.84,25.27,72.13,
2020-KW16,,,,8.99,17.64,17.67,,,7.88,23.05,11.11,14.94,,7.05,,12.64,45.9,
2020-KW17,,,9.79,8.99,8.82,8.84,,,23.63,7.68,11.11,4.98,,,8.95,,45.9,
2020-KW18,,,,,8.82,53.01,47.7,23.17,55.14,38.41,38.89,14.94,11.39,7.05,,,32.79,
2020-KW19,,,,53.92,141.09,220.89,182.84,139.03,259.93,268.87,133.34,84.64,39.85,7.05,,,,
2020-KW20,,9.4,,8.99,105.82,70.68,71.55,61.79,63.01,99.87,50.0,24.89,22.77,7.05,,,6.56,
2020-KW21,,9.4,,17.97,26.45,44.18,79.5,7.72,15.75,23.05,27.78,,5.69,,,,,
2020-KW22,8.98,,9.79,,8.82,,,,,,,,,,,,,
2020-KW24,,,,8.99,8.82,8.84,,,7.88,,,,,,,,,
2020-KW25,,,,,8.82,,,7.72,,,,4.98,,,,,6.56,
2020-KW27,,,,,,17.67,,,,,,,5.69,,,,19.67,
2020-KW28,8.98,,,,,8.84,,,7.88,,,,,,,12.64,,
2020-KW29,,,,,,,,7.72,,,,,,,,,,
2020-KW30,,,9.79,,,,,,,,,,,,,,,
2020-KW31,,,,,8.82,8.84,7.95,,7.88,7.68,,,,,,,6.56,
2020-KW32,,,,,,,7.95,7.72,,,,,,,,,,
2020-KW33,,9.4,,,8.82,8.84,,7.72,,7.68,5.56,4.98,5.69,7.05,,,,
2020-KW34,,,,,,8.84,15.9,,,,,4.98,,,,,,
2020-KW35,,,,,,8.84,15.9,7.72,7.88,,5.56,4.98,,,,,,
2020-KW36,,,,,8.82,8.84,,,,15.36,,,5.69,,,,,
2020-KW37,8.98,9.4,,,8.82,8.84,7.95,15.45,7.88,,,,,,,,,
2020-KW38,17.97,,,,,17.67,15.9,,,15.36,5.56,,5.69,,,,,
2020-KW39,,,,26.96,8.82,8.84,7.95,,7.88,7.68,11.11,4.98,17.08,,8.95,,,
2020-KW40,8.98,9.4,9.79,26.96,26.45,44.18,15.9,15.45,,38.41,16.67,19.92,5.69,7.05,8.95,25.27,6.56,
2020-KW41,8.98,9.4,,35.94,44.09,88.35,71.55,54.07,7.88,23.05,11.11,34.85,34.16,14.1,17.89,12.64,19.67,
2020-KW42,,,19.58,80.88,97.0,35.34,15.9,,23.63,61.46,27.78,14.94,11.39,14.1,17.89,,6.56,
2020-KW43,,37.59,29.37,89.86,114.63,88.35,31.8,61.79,63.01,53.77,144.45,54.77,62.62,35.24,35.78,25.27,19.67,
2020-KW44,44.92,18.8,58.74,98.85,132.27,106.03,87.45,92.69,141.78,161.32,61.11,84.64,45.54,28.19,53.68,25.27,19.67,
2020-KW45,8.98,28.19,58.74,89.86,202.81,167.87,87.45,61.79,94.52,84.5,88.89,84.64,74.01,21.14,26.84,75.81,65.57,
2020-KW46,17.97,84.58,146.84,197.7,141.09,97.19,87.45,115.86,157.54,92.18,100.01,79.66,45.54,14.1,35.78,12.64,39.34,
2020-KW47,26.95,28.19,29.37,62.9,61.73,79.52,79.5,92.69,94.52,76.82,83.34,69.71,62.62,,35.78,25.27,39.34,
2020-KW48,17.97,18.8,58.74,89.86,105.82,114.86,87.45,123.58,102.4,76.82,94.45,44.81,108.17,56.39,,12.64,150.81,
2020-KW49,,37.59,58.74,71.89,97.0,88.35,55.65,54.07,78.77,115.23,105.56,39.83,85.4,21.14,26.84,50.54,104.91,
2020-KW50,17.97,37.59,97.89,98.85,141.09,159.04,87.45,77.24,94.52,92.18,72.23,69.71,62.62,28.19,35.78,88.45,52.46,
2020-KW51,53.91,,9.79,152.76,185.18,167.87,111.3,169.92,94.52,169.0,138.9,99.58,91.09,42.29,80.52,37.91,144.26,
2020-KW52,71.87,65.78,48.95,134.79,141.09,159.04,159.0,100.41,212.67,92.18,161.12,154.35,119.55,112.77,116.3,75.81,98.36,
2020-KW53,8.98,9.4,19.58,62.9,220.45,150.2,103.35,46.34,126.03,122.91,55.56,99.58,62.62,42.29,71.57,126.35,163.93,
2021-KW01,17.97,46.99,29.37,80.88,220.45,88.35,95.4,38.62,102.4,107.55,100.01,64.73,22.77,35.24,35.78,88.45,124.59,
2021-KW02,26.95,18.8,19.58,71.89,97.0,70.68,71.55,77.24,78.77,38.41,50.0,44.81,51.24,42.29,17.89,37.91,98.36,
2021-KW03,,18.8,29.37,53.92,79.36,79.52,119.25,84.96,55.14,46.09,38.89,49.79,39.85,28.19,26.84,25.27,131.14,
