# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-08-03 08:41:06
# API-Download für Covid19-Inzidenzen in LK Cuxhaven, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,18.69,,,,,,13.0,,,,,
2020-KW11,,,,,,,,9.33,9.32,,,,,,,,,
2020-KW12,,,32.87,,11.01,,9.34,18.65,55.9,17.35,,,13.0,7.3,,10.64,6.12,
2020-KW13,,,21.91,,11.01,32.2,9.34,9.33,,8.67,18.46,5.71,6.5,,16.19,42.55,18.36,
2020-KW14,,,,,11.01,,,,,8.67,12.3,22.83,6.5,7.3,16.19,10.64,,
2020-KW15,,,,,,,9.34,18.65,,,6.15,5.71,19.5,7.3,16.19,,12.24,
2020-KW16,,,,,,,,,,,6.15,,6.5,,,21.28,,
2020-KW17,11.16,,10.96,10.63,33.03,,,18.65,,,6.15,5.71,6.5,14.59,8.1,10.64,18.36,
2020-KW18,,,,,,,,9.33,,8.67,,5.71,6.5,,16.19,42.55,12.24,
2020-KW19,11.16,,,21.25,11.01,53.67,,9.33,9.32,17.35,12.3,11.41,13.0,14.59,40.48,42.55,116.28,
2020-KW20,11.16,,21.91,21.25,,10.73,18.69,9.33,18.63,17.35,18.46,11.41,,7.3,,,48.96,
2020-KW21,,11.28,,,,32.2,28.03,18.65,,8.67,6.15,,,,,,30.6,
2020-KW22,11.16,33.84,76.7,53.13,55.05,53.67,37.37,18.65,18.63,8.67,18.46,11.41,6.5,,,10.64,6.12,
2020-KW23,55.8,67.68,65.74,85.02,99.09,75.14,18.69,18.65,37.27,,18.46,22.83,13.0,7.3,,,,
2020-KW24,89.28,45.12,54.79,53.13,33.03,64.41,9.34,9.33,37.27,26.02,24.61,17.12,6.5,,8.1,,,
2020-KW25,,,10.96,,,,,9.33,,,18.46,5.71,,7.3,,10.64,,
2020-KW26,,,,10.63,,,9.34,9.33,,,,,,14.59,,,,
2020-KW27,,11.28,10.96,10.63,,,,27.98,,,,,,,,,6.12,
2020-KW28,,,10.96,,,,,,,,,,,,,,,
2020-KW32,,,,,,,,18.65,,,,,,,,,,
2020-KW33,,,,,,10.73,9.34,9.33,,,,,,,,,,
2020-KW34,,33.84,,,11.01,,9.34,18.65,,,,11.41,,,,,,
2020-KW35,,22.56,10.96,21.25,11.01,21.47,9.34,,37.27,,6.15,5.71,6.5,7.3,8.1,,,
2020-KW36,,11.28,,,11.01,42.94,18.69,,,,6.15,,,,,,,
2020-KW37,,,,,,10.73,9.34,,,,6.15,,,,,,,
2020-KW38,,,,21.25,55.05,,,,,8.67,,,6.5,,,,,
2020-KW39,,,10.96,10.63,11.01,,,,9.32,26.02,,5.71,6.5,,,,,
2020-KW40,,,,,22.02,,,,,8.67,,5.71,,,,,,
2020-KW41,,,,10.63,,32.2,,,,,6.15,5.71,6.5,14.59,8.1,,,
2020-KW42,,22.56,,21.25,33.03,21.47,37.37,9.33,9.32,,24.61,11.41,6.5,7.3,16.19,,18.36,
2020-KW43,,22.56,32.87,63.76,99.09,42.94,37.37,27.98,83.86,8.67,30.76,22.83,38.99,21.89,32.39,31.91,55.08,
2020-KW44,33.48,33.84,65.74,85.02,187.18,161.02,112.12,102.6,46.59,121.43,61.52,51.37,58.49,43.78,24.29,85.11,73.44,
2020-KW45,66.96,67.68,153.4,127.52,187.18,96.61,149.49,65.29,93.17,104.09,104.58,62.78,58.49,21.89,8.1,10.64,55.08,
2020-KW46,33.48,45.12,131.49,138.15,132.13,128.82,84.09,130.58,102.49,156.13,55.37,85.61,32.49,43.78,24.29,31.91,73.44,
2020-KW47,22.32,33.84,21.91,95.64,132.13,85.88,46.72,46.63,121.12,78.06,92.28,45.66,71.48,43.78,16.19,42.55,24.48,
2020-KW48,,11.28,21.91,21.25,88.08,64.41,46.72,102.6,46.59,78.06,24.61,62.78,25.99,58.37,24.29,21.28,61.2,
2020-KW49,,,54.79,42.51,11.01,42.94,37.37,65.29,102.49,52.04,98.43,68.49,25.99,7.3,32.39,21.28,73.44,
2020-KW50,33.48,11.28,21.91,42.51,44.04,96.61,84.09,93.27,27.95,60.72,86.13,51.37,45.49,36.48,40.48,53.19,104.04,
2020-KW51,11.16,22.56,,74.39,44.04,107.35,102.78,65.29,46.59,69.39,24.61,39.95,77.98,43.78,8.1,53.19,30.6,
2020-KW52,,11.28,21.91,74.39,132.13,161.02,56.06,93.27,93.17,78.06,67.67,79.9,51.99,43.78,24.29,,12.24,
2020-KW53,,,,31.88,77.07,96.61,56.06,55.96,65.22,69.39,55.37,119.86,58.49,7.3,40.48,42.55,165.24,
2021-KW01,22.32,22.56,,106.27,209.2,171.76,158.84,102.6,102.49,104.09,172.25,79.9,51.99,51.07,40.48,85.11,128.52,
2021-KW02,,22.56,32.87,63.76,121.12,118.08,93.43,65.29,139.76,112.76,123.04,57.07,97.48,58.37,56.68,106.38,434.51,
2021-KW03,11.16,11.28,32.87,21.25,66.06,118.08,84.09,93.27,130.44,69.39,86.13,74.2,64.98,58.37,8.1,42.55,165.24,
2021-KW04,11.16,11.28,10.96,31.88,66.06,53.67,56.06,83.94,93.17,78.06,86.13,102.73,64.98,7.3,32.39,63.83,153.0,
2021-KW05,11.16,11.28,10.96,10.63,132.13,96.61,46.72,83.94,111.81,86.74,116.89,85.61,64.98,29.18,48.58,117.02,263.15,
2021-KW06,,11.28,21.91,31.88,88.08,53.67,93.43,93.27,46.59,52.04,79.97,51.37,25.99,14.59,40.48,95.74,104.04,
2021-KW07,,11.28,21.91,31.88,99.09,128.82,65.4,74.61,65.22,95.41,73.82,45.66,38.99,7.3,16.19,117.02,36.72,
2021-KW08,22.32,11.28,65.74,85.02,143.14,85.88,121.46,121.25,102.49,95.41,104.58,74.2,71.48,58.37,,42.55,48.96,
2021-KW09,11.16,11.28,32.87,53.13,110.1,150.29,102.78,74.61,102.49,69.39,43.06,91.32,64.98,43.78,72.87,31.91,36.72,
2021-KW10,44.64,33.84,76.7,42.51,121.12,193.23,65.4,46.63,74.54,86.74,43.06,51.37,77.98,43.78,72.87,117.02,55.08,
2021-KW11,55.8,78.96,131.49,106.27,99.09,139.55,130.81,83.94,46.59,104.09,129.19,79.9,71.48,51.07,56.68,63.83,30.6,
2021-KW12,78.12,124.07,54.79,63.76,209.2,150.29,112.12,167.88,65.22,69.39,73.82,74.2,51.99,51.07,32.39,21.28,116.28,
2021-KW13,33.48,45.12,43.83,85.02,99.09,96.61,102.78,93.27,121.12,95.41,98.43,51.37,51.99,43.78,32.39,63.83,36.72,
2021-KW14,44.64,45.12,43.83,255.05,297.28,128.82,168.18,83.94,83.86,156.13,86.13,108.44,97.48,36.48,56.68,53.19,42.84,
2021-KW15,55.8,90.23,120.53,127.52,165.16,85.88,149.49,167.88,74.54,78.06,79.97,62.78,45.49,80.26,32.39,21.28,42.84,
2021-KW16,33.48,90.23,87.66,95.64,176.17,161.02,121.46,46.63,130.44,86.74,67.67,62.78,45.49,21.89,24.29,42.55,30.6,
2021-KW17,22.32,67.68,87.66,95.64,110.1,53.67,56.06,111.92,74.54,78.06,73.82,74.2,58.49,36.48,32.39,42.55,24.48,
2021-KW18,44.64,56.4,54.79,95.64,55.05,64.41,18.69,65.29,37.27,43.37,86.13,45.66,25.99,14.59,,42.55,12.24,
2021-KW19,11.16,22.56,32.87,63.76,55.05,42.94,18.69,18.65,65.22,26.02,43.06,22.83,32.49,14.59,24.29,21.28,12.24,
2021-KW20,,11.28,32.87,,22.02,32.2,9.34,9.33,37.27,,6.15,11.41,,7.3,,,12.24,
2021-KW21,11.16,,,,11.01,21.47,,9.33,18.63,,,5.71,19.5,,8.1,,,
2021-KW22,,,54.79,,,,9.34,18.65,18.63,17.35,6.15,,6.5,,,,,
2021-KW23,,,,10.63,,10.73,,9.33,,,,5.71,6.5,,,,,
2021-KW24,,,,10.63,,,,,,,,,,,,,,
2021-KW26,,,,,,,9.34,,,,,,13.0,,,,,
2021-KW28,11.16,11.28,,,11.01,21.47,,,27.95,,6.15,,,,,,,
2021-KW29,,,10.96,,,,18.69,27.98,9.32,8.67,,,,,,10.64,,
2021-KW30,11.16,22.56,,31.88,55.05,64.41,37.37,65.29,46.59,26.02,12.3,,6.5,,,,,
2021-KW31,22.32,67.68,10.96,138.15,33.03,128.82,37.37,,27.95,26.02,12.3,11.41,6.5,7.3,,,,
2021-KW32,11.16,,,63.76,33.03,,28.03,18.65,,26.02,6.15,,6.5,,8.1,,,
2021-KW33,22.32,22.56,54.79,21.25,99.09,96.61,28.03,9.33,46.59,52.04,6.15,,6.5,7.3,,10.64,12.24,
2021-KW34,33.48,56.4,76.7,148.78,110.1,85.88,102.78,65.29,37.27,34.7,43.06,17.12,6.5,14.59,8.1,,6.12,
2021-KW35,89.28,304.54,109.57,106.27,77.07,118.08,93.43,139.9,102.49,43.37,55.37,11.41,13.0,14.59,,,,
2021-KW36,145.07,180.47,131.49,191.29,88.08,,74.75,55.96,83.86,60.72,18.46,17.12,19.5,,24.29,,6.12,
2021-KW37,111.59,101.51,131.49,116.9,99.09,64.41,56.06,74.61,55.9,43.37,36.91,17.12,,7.3,16.19,10.64,,
2021-KW38,133.91,124.07,109.57,74.39,44.04,96.61,112.12,55.96,74.54,78.06,73.82,51.37,51.99,,,,,
2021-KW39,111.59,203.03,87.66,74.39,121.12,96.61,65.4,102.6,74.54,34.7,24.61,28.54,51.99,21.89,16.19,31.91,30.6,
2021-KW40,33.48,157.91,54.79,106.27,33.03,32.2,74.75,37.31,102.49,34.7,61.52,34.24,38.99,21.89,16.19,10.64,67.32,
2021-KW41,22.32,135.35,98.62,63.76,55.05,53.67,46.72,102.6,27.95,26.02,12.3,28.54,45.49,7.3,8.1,10.64,,
2021-KW42,22.32,56.4,87.66,31.88,55.05,64.41,28.03,65.29,27.95,17.35,49.21,28.54,13.0,,,,12.24,
2021-KW43,11.16,22.56,54.79,106.27,110.1,96.61,46.72,55.96,74.54,52.04,55.37,28.54,6.5,29.18,16.19,,12.24,
2021-KW44,22.32,135.35,131.49,63.76,66.06,75.14,102.78,93.27,83.86,43.37,30.76,11.41,6.5,7.3,,10.64,18.36,
2021-KW45,44.64,124.07,219.15,74.39,55.05,85.88,84.09,111.92,186.35,147.45,73.82,62.78,38.99,29.18,16.19,53.19,18.36,
2021-KW46,78.12,259.43,208.19,148.78,88.08,107.35,102.78,121.25,149.08,156.13,92.28,97.03,116.97,51.07,48.58,42.55,42.84,
2021-KW47,78.12,338.38,230.11,170.03,143.14,171.76,224.24,177.21,242.25,147.45,123.04,108.44,77.98,94.85,80.97,42.55,30.6,
2021-KW48,33.48,214.31,394.47,116.9,121.12,193.23,112.12,102.6,195.66,190.82,104.58,97.03,38.99,51.07,89.06,63.83,67.32,
2021-KW49,78.12,214.31,284.89,127.52,154.15,118.08,149.49,242.5,223.61,130.11,43.06,91.32,51.99,21.89,48.58,74.47,85.68,
2021-KW50,122.75,406.06,350.64,74.39,88.08,161.02,177.52,242.5,149.08,121.43,86.13,85.61,58.49,87.55,48.58,53.19,30.6,
2021-KW51,100.44,248.15,164.36,53.13,143.14,118.08,102.78,214.52,102.49,95.41,86.13,57.07,25.99,51.07,24.29,53.19,18.36,
2021-KW52,33.48,169.19,153.4,201.91,231.22,268.37,242.93,130.58,167.71,138.78,123.04,91.32,110.47,72.96,24.29,21.28,24.48,
2022-KW01,256.67,349.66,525.96,701.38,858.82,697.76,710.1,485.0,437.91,312.26,276.83,234.0,207.95,131.33,145.74,31.91,134.64,
2022-KW02,379.42,631.64,986.17,1179.6,946.9,762.17,635.35,690.19,568.35,555.12,319.9,296.79,149.46,94.85,80.97,117.02,134.64,
2022-KW03,970.87,1421.2,1325.85,1530.29,1596.52,1374.05,1149.24,1193.83,913.09,789.31,541.36,450.89,272.94,116.74,105.26,117.02,171.36,
2022-KW04,1026.67,2718.33,2640.73,1955.37,1629.55,1406.26,1803.27,1762.77,1388.27,1040.85,787.44,684.89,409.4,240.77,178.13,117.02,122.4,
2022-KW05,736.52,2233.31,1994.25,1339.0,1266.21,1159.36,1476.26,1454.99,1537.35,884.73,541.36,502.25,415.9,262.65,251.0,265.96,495.71,
2022-KW06,1071.31,2571.69,2531.16,1657.81,1398.33,1384.79,1448.23,1613.54,1835.5,1127.59,725.92,485.13,402.9,321.02,267.19,297.87,410.03,
2022-KW07,1216.38,2628.09,1786.06,1487.78,1409.34,1481.4,1765.9,1716.14,1444.18,1231.68,713.62,576.45,565.37,386.68,291.48,276.6,336.59,
2022-KW08,1350.3,3214.62,2147.65,1339.0,1574.5,1223.77,1569.69,1902.67,1723.7,1110.24,935.08,736.26,682.34,437.76,242.9,382.98,373.31,
2022-KW09,836.96,2052.84,1720.31,1275.24,1255.2,1610.22,1494.94,1725.46,1351.01,980.14,812.05,707.72,474.39,328.32,275.29,297.87,605.87,
2022-KW10,803.48,1646.79,1786.06,1710.95,1717.64,1739.04,1494.94,1548.25,1444.18,1118.92,965.84,878.95,597.86,342.91,323.87,329.79,648.7,
2022-KW11,892.76,2639.37,2662.65,2571.73,2334.22,2007.41,2092.92,2238.44,2012.53,1578.63,1519.51,1329.83,877.29,700.41,518.19,542.55,642.59,
2022-KW12,1975.23,4590.7,4459.66,4399.57,4095.9,3166.77,3569.18,3581.5,3270.36,3027.15,2466.9,2100.34,1650.61,1262.2,1149.73,776.6,1217.85,
2022-KW13,1439.57,3507.88,3155.73,4399.57,3391.23,2651.49,2877.77,3003.24,2674.06,2550.09,1913.23,1763.6,1455.66,1101.69,1084.95,829.79,1346.37,
2022-KW14,1093.63,2064.12,2016.16,2869.29,2488.37,2758.84,2410.6,2322.38,2627.47,2229.16,1710.22,1381.2,1312.69,795.26,931.12,776.6,826.18,
2022-KW15,892.76,1432.48,1216.27,1870.35,2323.21,2286.51,2111.61,1995.94,1816.87,1622.0,1408.78,1135.78,922.78,678.52,558.67,680.85,881.26,
2022-KW16,680.73,1421.2,1939.46,2582.36,2829.7,2404.59,2177.01,2098.54,1928.68,1934.25,1802.49,1472.52,1072.25,693.11,615.35,563.83,593.63,
2022-KW17,624.93,1567.83,1873.72,2401.7,2532.41,2093.29,2158.32,1772.1,1919.36,1778.12,1667.15,1706.52,1182.72,715.0,469.61,606.38,667.06,
2022-KW18,256.67,1173.05,1610.74,1147.72,1200.14,944.66,1177.27,1193.83,1108.76,1006.16,812.05,787.63,571.86,437.76,356.25,382.98,471.23,
2022-KW19,379.42,1082.82,1369.68,892.67,935.89,1073.48,1214.64,1053.93,1257.83,1006.16,768.98,730.55,545.87,321.02,372.45,255.32,336.59,
2022-KW20,167.39,597.81,756.06,998.94,770.73,622.62,663.38,764.8,717.43,685.23,670.55,496.55,435.4,262.65,251.0,202.13,208.08,
2022-KW21,66.96,383.5,449.25,531.35,341.33,515.27,308.33,317.11,298.15,346.95,276.83,228.3,220.95,189.69,137.64,170.21,67.32,
2022-KW22,33.48,360.94,460.21,850.16,847.81,880.25,467.17,466.34,717.43,555.12,492.15,359.57,396.41,269.95,234.8,202.13,146.88,
2022-KW23,89.28,338.38,515.0,913.92,693.66,837.31,738.13,578.26,549.72,641.86,738.22,656.36,565.37,240.77,242.9,244.68,189.72,
2022-KW24,178.55,586.53,854.68,903.29,1001.95,1030.54,1083.83,811.43,717.43,780.64,855.11,667.77,591.36,393.98,259.09,255.32,318.23,
2022-KW25,245.51,654.2,1095.74,1222.1,1255.2,1502.87,1233.33,1147.2,1155.34,1084.22,1187.31,981.68,896.79,510.72,299.58,361.7,263.15,
