# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-14 05:48:48
# API-Download für Covid19-Inzidenzen in LK Dachau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,,,,,,10.68,,,,,,,,,,,,
2020-KW11,,,,52.84,11.51,,9.71,9.19,,18.73,15.1,,21.11,,,,11.47,
2020-KW12,,13.2,,13.21,34.53,10.68,48.53,27.56,47.22,56.19,83.06,56.87,63.34,40.1,78.32,,22.94,
2020-KW13,36.99,39.61,41.44,184.94,115.11,245.62,135.9,73.48,141.67,159.19,143.46,178.75,126.68,53.47,78.32,158.96,137.65,
2020-KW14,12.33,26.41,82.88,105.68,184.18,170.87,77.65,146.96,37.78,140.46,143.46,211.24,285.02,93.57,140.98,143.06,183.53,
2020-KW15,,13.2,13.81,26.42,92.09,106.79,116.48,137.78,103.89,131.1,120.81,89.37,137.23,53.47,140.98,143.06,217.94,
2020-KW16,73.98,26.41,13.81,39.63,138.14,160.19,135.9,110.22,75.56,56.19,90.61,81.25,84.45,53.47,93.98,31.79,80.29,
2020-KW17,24.66,13.2,13.81,52.84,80.58,96.11,38.83,55.11,47.22,46.82,60.4,56.87,31.67,40.1,46.99,31.79,34.41,
2020-KW18,,,,,57.56,42.72,29.12,9.19,28.33,28.09,15.1,16.25,21.11,26.73,,,91.76,
2020-KW19,,,,13.21,23.02,53.4,19.41,18.37,,46.82,7.55,8.12,10.56,26.73,,,,
2020-KW20,,13.2,,,23.02,21.36,9.71,18.37,18.89,,7.55,24.37,21.11,13.37,,15.9,57.35,
2020-KW21,,,,,,,,,,,,,10.56,,,31.79,11.47,
2020-KW22,,,,,,,,,,,,8.12,10.56,,,,,
2020-KW23,,,,,11.51,,,,,,,,,,,,,
2020-KW24,,,,,,,,9.19,,,,,,13.37,,,,
2020-KW25,,,,,11.51,10.68,,,,,15.1,,,,,,,
2020-KW26,,,,,11.51,,9.71,9.19,,,7.55,8.12,,,,,11.47,
2020-KW27,,,,,11.51,,,,,9.36,7.55,8.12,,,,,,
2020-KW28,,13.2,,,,,9.71,,9.44,9.36,7.55,,,,,,,
2020-KW29,,,,13.21,57.56,32.04,,,9.44,,7.55,,,40.1,15.66,,11.47,
2020-KW30,,13.2,,,34.53,,,18.37,9.44,37.46,22.65,,,13.37,,15.9,,
2020-KW31,12.33,13.2,,13.21,11.51,10.68,9.71,,,9.36,,8.12,,,,,,
2020-KW32,,,,13.21,23.02,32.04,9.71,,9.44,9.36,7.55,,,,15.66,,,
2020-KW33,61.65,26.41,,39.63,69.07,106.79,38.83,9.19,9.44,,15.1,8.12,,,,,,
2020-KW34,24.66,39.61,55.26,145.31,149.65,32.04,19.41,18.37,9.44,28.09,,,,,,,,
2020-KW35,,,41.44,92.47,69.07,32.04,,9.19,47.22,28.09,15.1,8.12,10.56,13.37,,,149.12,
2020-KW36,,13.2,13.81,39.63,,53.4,29.12,18.37,18.89,28.09,,8.12,21.11,,15.66,,91.76,
2020-KW37,,,13.81,13.21,,21.36,38.83,45.93,18.89,18.73,15.1,40.62,10.56,,,,22.94,
2020-KW38,12.33,39.61,41.44,79.26,57.56,42.72,29.12,27.56,28.33,37.46,15.1,,10.56,,15.66,,11.47,
