# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-08-14 08:40:42
# API-Download für Covid19-Inzidenzen in LK Darmstadt-Dieburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,5.6,,,,4.17,,,,6.38,,,
2020-KW12,,6.84,,7.01,38.93,43.7,16.8,44.88,31.86,38.37,58.42,15.42,32.44,5.77,6.38,8.64,5.15,
2020-KW13,,,,14.02,25.96,56.19,16.8,16.83,21.24,49.33,62.59,34.7,23.17,28.85,19.15,25.92,15.44,
2020-KW14,,,7.1,,6.49,31.22,22.4,22.44,26.55,27.41,8.35,57.84,37.08,23.08,19.15,43.19,41.17,
2020-KW15,,,,14.02,12.98,18.73,16.8,22.44,10.62,5.48,20.86,15.42,9.27,5.77,25.54,34.55,46.31,
2020-KW16,,,,7.01,12.98,24.97,,22.44,21.24,10.96,12.52,38.56,18.54,,6.38,25.92,,
2020-KW17,,,,,,6.24,,5.61,5.31,5.48,12.52,11.57,,5.77,6.38,8.64,15.44,
2020-KW18,,,7.1,7.01,12.98,,5.6,5.61,,5.48,8.35,3.86,4.63,,19.15,8.64,15.44,
2020-KW19,,,14.19,,,6.24,5.6,5.61,5.31,,8.35,3.86,,,,,,
2020-KW20,,,,7.01,19.47,12.49,16.8,,15.93,5.48,4.17,,,,,17.28,5.15,
2020-KW21,27.67,,,7.01,19.47,6.24,11.2,11.22,5.31,5.48,4.17,,4.63,,,,,
2020-KW22,20.75,6.84,,,,6.24,,11.22,5.31,5.48,8.35,3.86,,,,,,
2020-KW23,,6.84,14.19,,12.98,,5.6,,,5.48,,,,,,,,
2020-KW24,,,,,,,,,,,,,,,6.38,,,
2020-KW25,,,,7.01,,,,,,,,,,,,8.64,,
2020-KW26,,,,,12.98,,11.2,,,,,,,,,,,
2020-KW27,,6.84,,,,,,,,,,3.86,,,,,,
2020-KW28,,,,,19.47,,,,,,,,,,6.38,,,
