# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-09-07 09:21:18
# API-Download für Covid19-Inzidenzen in LK Deggendorf, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,13.51,13.67,27.68,13.13,10.61,,,,,,13.46,
2020-KW12,19.09,,,17.12,54.63,78.71,54.05,54.7,13.84,118.19,74.25,29.43,44.65,,16.8,113.38,40.37,
2020-KW13,19.09,,39.49,68.48,54.63,26.24,54.05,68.37,13.84,65.66,148.51,29.43,55.81,40.91,50.41,22.68,26.91,
2020-KW14,,,,,95.6,39.35,,41.02,41.52,13.13,21.22,19.62,44.65,95.46,33.61,45.35,13.46,
2020-KW15,,19.49,,51.36,54.63,65.59,40.54,27.35,69.19,13.13,63.65,29.43,33.49,27.27,16.8,,13.46,
2020-KW16,,,19.74,51.36,27.31,13.12,13.51,27.35,41.52,65.66,21.22,19.62,22.32,40.91,16.8,22.68,53.82,
2020-KW17,19.09,19.49,39.49,,54.63,,13.51,27.35,41.52,39.4,,19.62,22.32,13.64,33.61,22.68,40.37,
2020-KW18,,,,17.12,27.31,13.12,,13.67,13.84,13.13,21.22,19.62,,27.27,,22.68,53.82,
2020-KW19,19.09,,,,13.66,,,,13.84,26.26,10.61,19.62,11.16,,16.8,,,
2020-KW20,19.09,,,17.12,13.66,13.12,13.51,27.35,13.84,,21.22,19.62,33.49,13.64,50.41,22.68,26.91,
2020-KW21,,,,,,,13.51,27.35,,,,19.62,22.32,,33.61,,13.46,
2020-KW22,,,,,27.31,,,,,13.13,,19.62,,13.64,,,13.46,
2020-KW23,,,,,,13.12,,13.67,,,,,,,,,13.46,
2020-KW24,,,,,,,13.51,,,,,,,,,,,
2020-KW27,,,,,13.66,13.12,,,,,,,,,,,,
2020-KW28,19.09,,,,,,,,,,,,,,,,,
2020-KW29,,,,,13.66,13.12,13.51,,,,,,,13.64,,22.68,,
2020-KW30,19.09,,,,,13.12,,13.67,,,,,,,,,,
2020-KW32,,,,17.12,13.66,13.12,,,,13.13,,,,,,,,
2020-KW33,,,,,95.6,52.47,13.51,27.35,,,,9.81,,,,,,
2020-KW34,19.09,19.49,78.97,34.24,40.97,39.35,40.54,27.35,41.52,13.13,,,,,,45.35,,
2020-KW35,,38.97,19.74,17.12,,26.24,27.03,68.37,41.52,13.13,,,,,,,,
2020-KW36,,19.49,,17.12,40.97,13.12,13.51,13.67,13.84,13.13,10.61,9.81,22.32,,,,,
2020-KW37,,,,34.24,27.31,26.24,,,,13.13,31.82,19.62,11.16,13.64,,22.68,,
2020-KW38,38.18,,,,27.31,13.12,27.03,27.35,,,31.82,9.81,22.32,,84.02,,26.91,
2020-KW39,,19.49,,17.12,,13.12,13.51,,,13.13,10.61,,22.32,13.64,,22.68,26.91,
2020-KW40,19.09,38.97,,,27.31,,40.54,41.02,13.84,,21.22,,,13.64,16.8,,,
2020-KW41,,,19.74,85.6,109.26,39.35,13.51,13.67,13.84,78.79,31.82,,11.16,13.64,33.61,22.68,53.82,
2020-KW42,38.18,,19.74,136.96,109.26,91.83,40.54,95.72,27.68,39.4,84.86,9.81,11.16,,16.8,,26.91,
2020-KW43,76.37,19.49,,188.32,27.31,144.3,67.57,13.67,13.84,210.11,127.29,68.68,33.49,27.27,16.8,45.35,,
2020-KW44,,97.43,138.2,136.96,314.12,209.89,94.59,123.07,138.39,157.58,116.69,147.17,55.81,68.18,67.22,45.35,53.82,
2020-KW45,38.18,77.94,138.2,308.17,245.83,183.65,175.68,123.07,193.74,223.24,201.55,166.8,111.62,109.1,50.41,204.08,255.65,
2020-KW46,57.27,97.43,78.97,102.72,122.92,78.71,148.65,150.42,166.07,210.11,148.51,147.17,100.46,109.1,50.41,158.73,188.37,
2020-KW47,76.37,19.49,78.97,102.72,232.18,118.06,148.65,109.39,179.91,144.45,106.08,88.3,111.62,109.1,16.8,45.35,107.64,
2020-KW48,57.27,253.31,59.23,188.32,177.55,170.54,162.16,123.07,138.39,170.72,190.94,166.8,189.75,190.92,117.63,68.03,296.02,
2020-KW49,38.18,77.94,138.2,273.93,273.15,209.89,175.68,164.09,193.74,105.06,190.94,98.12,122.78,109.1,84.02,204.08,484.39,
2020-KW50,76.37,77.94,157.95,342.41,368.75,236.13,243.24,246.14,235.26,302.04,339.45,264.91,167.43,163.64,201.65,136.05,538.21,
2020-KW51,95.46,136.4,315.89,273.93,505.33,393.55,378.38,259.81,345.97,433.36,243.98,313.97,267.89,286.38,285.67,317.46,551.67,
2020-KW52,114.55,58.46,138.2,188.32,300.46,327.95,297.3,150.42,221.42,210.11,137.9,147.17,245.56,204.55,218.45,226.76,309.47,
2020-KW53,133.64,175.37,256.66,342.41,491.67,629.67,459.46,355.53,332.13,328.3,243.98,382.65,279.05,136.37,268.86,272.11,847.69,
2021-KW01,152.73,175.37,296.15,325.29,396.07,459.14,297.3,396.55,207.58,262.64,307.63,186.42,357.18,177.28,184.84,249.43,457.48,
2021-KW02,19.09,77.94,59.23,222.56,232.18,183.65,148.65,205.11,235.26,157.58,74.25,147.17,178.59,109.1,117.63,136.05,322.93,
2021-KW03,19.09,97.43,138.2,222.56,273.15,223.01,162.16,191.44,235.26,302.04,212.16,274.73,111.62,109.1,134.43,113.38,282.56,
2021-KW04,76.37,155.88,98.72,102.72,286.81,183.65,162.16,177.77,221.42,170.72,148.51,107.93,78.13,54.55,117.63,68.03,148.01,
2021-KW05,57.27,58.46,39.49,51.36,109.26,131.18,121.62,191.44,152.23,91.92,106.08,117.74,78.13,40.91,33.61,22.68,40.37,
2021-KW06,57.27,38.97,78.97,34.24,81.94,144.3,54.05,95.72,124.55,78.79,127.29,147.17,89.3,40.91,50.41,68.03,40.37,
2021-KW07,76.37,58.46,,136.96,27.31,39.35,108.11,164.09,110.71,118.19,95.47,98.12,44.65,95.46,67.22,,40.37,
2021-KW08,19.09,116.91,39.49,102.72,122.92,52.47,40.54,13.67,41.52,118.19,84.86,107.93,55.81,27.27,,,53.82,
2021-KW09,19.09,116.91,78.97,239.68,218.52,196.77,175.68,109.39,110.71,157.58,137.9,117.74,89.3,109.1,33.61,,40.37,
2021-KW10,38.18,97.43,39.49,85.6,163.89,144.3,135.14,150.42,83.03,78.79,127.29,166.8,66.97,54.55,33.61,45.35,67.28,
2021-KW11,38.18,19.49,157.95,171.2,81.94,223.01,175.68,95.72,152.23,131.32,137.9,117.74,122.78,95.46,33.61,113.38,26.91,
2021-KW12,133.64,194.86,197.43,342.41,218.52,301.72,324.32,177.77,221.42,183.85,350.06,225.67,212.08,136.37,151.24,90.7,94.19,
2021-KW13,114.55,97.43,157.95,496.49,300.46,367.31,297.3,123.07,207.58,210.11,212.16,215.86,178.59,40.91,33.61,90.7,40.37,
2021-KW14,114.55,175.37,473.84,564.97,491.67,341.07,351.35,300.83,318.3,249.51,222.76,156.99,133.94,190.92,100.82,113.38,40.37,
2021-KW15,210.0,331.25,138.2,890.26,396.07,314.84,324.32,205.11,345.97,275.77,254.59,215.86,212.08,109.1,67.22,136.05,67.28,
