# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-01-26 07:48:02
# API-Download für Covid19-Inzidenzen in LK Dillingen a.d.Donau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,20.37,18.55,,32.57,17.19,17.01,16.35,38.01,12.18,42.01,,,28.53,31.91,
2020-KW13,,,,,18.55,70.53,65.15,34.37,,49.04,88.69,36.55,42.01,,,57.06,,
2020-KW14,40.87,,44.27,61.12,37.1,52.9,65.15,17.19,17.01,65.38,50.68,85.27,28.0,35.21,43.54,28.53,31.91,
2020-KW15,,22.01,22.13,,55.65,35.27,48.86,34.37,34.02,49.04,50.68,48.73,70.01,17.6,130.61,256.78,350.99,
2020-KW16,,,22.13,20.37,74.2,52.9,48.86,68.74,17.01,16.35,38.01,48.73,14.0,35.21,,,175.49,
2020-KW17,,,,20.37,18.55,17.63,48.86,17.19,17.01,49.04,25.34,,14.0,52.81,65.3,57.06,95.72,
2020-KW18,,,,,,,,,51.03,,25.34,24.36,14.0,35.21,21.77,85.59,63.82,
2020-KW19,,,,,18.55,17.63,32.57,,,,,24.36,,,21.77,,31.91,
2020-KW20,,,,,,,,,,16.35,,48.73,,,,,,
2020-KW21,,,22.13,,,,,,17.01,,,,28.0,17.6,21.77,,15.95,
2020-KW22,,,,,,,,,,,,,,,21.77,,,
2020-KW27,,,,,,,,,17.01,,,,,,,,15.95,
2020-KW28,,,,20.37,,,,,,,,,,,,,,
2020-KW30,20.44,,,,18.55,17.63,,17.19,,32.69,,,,,,,,
2020-KW31,20.44,,,,18.55,,,,17.01,16.35,,,,,21.77,,,
2020-KW32,20.44,,,,18.55,,,17.19,17.01,,25.34,,,,,,,
2020-KW33,,,22.13,,55.65,,,,,32.69,,,,,,,,
2020-KW34,,,,61.12,37.1,35.27,32.57,51.56,17.01,49.04,12.67,,,,,28.53,,
2020-KW35,20.44,,44.27,101.87,55.65,88.17,81.43,51.56,17.01,,,12.18,14.0,,,,15.95,
2020-KW36,20.44,44.02,22.13,20.37,37.1,35.27,16.29,34.37,17.01,81.73,,12.18,42.01,,,,,
2020-KW37,,,22.13,20.37,,,,,17.01,,,,,,,,,
2020-KW38,,,22.13,20.37,,,16.29,17.19,,32.69,,,,17.6,21.77,,,
2020-KW39,,,,,18.55,17.63,,,17.01,,,24.36,,,21.77,,,
2020-KW40,,,,81.5,18.55,35.27,,,,16.35,12.67,12.18,,17.6,,,,
2020-KW41,,,,20.37,55.65,,16.29,,,49.04,25.34,,,,,,,
2020-KW42,20.44,,22.13,81.5,37.1,17.63,48.86,51.56,34.02,16.35,25.34,85.27,,,,,,
2020-KW43,20.44,88.05,22.13,81.5,185.49,35.27,16.29,137.48,136.08,98.07,76.02,48.73,42.01,,21.77,28.53,47.86,
2020-KW44,20.44,44.02,132.8,142.62,222.59,317.4,162.87,51.56,102.06,277.87,215.38,134.0,196.02,35.21,108.84,57.06,79.77,
2020-KW45,40.87,66.04,154.94,163.0,500.83,141.07,195.44,223.41,153.09,277.87,316.74,182.73,140.02,193.63,65.3,57.06,63.82,
2020-KW46,102.19,132.07,110.67,224.12,315.34,282.14,293.16,206.22,221.13,179.8,215.38,158.36,154.02,193.63,21.77,228.25,95.72,
2020-KW47,61.31,176.1,132.8,122.25,296.79,282.14,114.01,137.48,34.02,294.21,164.7,170.54,70.01,105.62,217.68,142.65,143.59,
2020-KW48,20.44,176.1,243.47,305.62,241.14,246.87,114.01,154.67,238.14,196.14,139.36,97.45,224.03,88.01,43.54,114.12,478.62,
2020-KW49,122.62,88.05,132.8,122.25,204.04,176.34,146.58,103.11,136.08,130.76,228.05,146.18,140.02,123.22,65.3,57.06,239.31,
2020-KW50,81.75,154.08,154.94,264.87,370.99,105.8,211.73,120.3,102.06,179.8,215.38,170.54,126.02,88.01,108.84,57.06,207.4,
2020-KW51,61.31,154.08,132.8,203.75,166.94,211.6,179.15,154.67,204.12,179.8,202.71,280.18,140.02,105.62,87.07,57.06,143.59,
2020-KW52,81.75,88.05,132.8,20.37,166.94,158.7,130.29,137.48,153.09,49.04,76.02,97.45,112.01,52.81,87.07,85.59,287.17,
2020-KW53,,66.04,88.53,122.25,111.3,105.8,179.15,103.11,187.11,212.49,114.03,134.0,70.01,88.01,43.54,28.53,79.77,
2021-KW01,40.87,110.06,132.8,285.25,166.94,246.87,162.87,189.04,153.09,212.49,126.69,182.73,140.02,123.22,108.84,28.53,111.68,
2021-KW02,20.44,66.04,132.8,101.87,259.69,141.07,162.87,154.67,119.07,81.73,139.36,109.64,28.0,88.01,108.84,171.18,111.68,
2021-KW03,40.87,88.05,44.27,61.12,148.4,35.27,97.72,85.93,170.1,32.69,101.36,24.36,14.0,52.81,21.77,28.53,15.95,
2021-KW04,20.44,22.01,22.13,40.75,111.3,193.97,32.57,85.93,51.03,49.04,76.02,36.55,84.01,52.81,21.77,,,
2021-KW05,122.62,66.04,22.13,142.62,166.94,246.87,211.73,154.67,119.07,81.73,50.68,73.09,42.01,88.01,21.77,57.06,31.91,
2021-KW06,40.87,44.02,44.27,,55.65,52.9,48.86,85.93,,98.07,12.67,12.18,28.0,35.21,,28.53,,
2021-KW07,,,,,,,32.57,34.37,34.02,49.04,,36.55,,52.81,21.77,28.53,63.82,
2021-KW08,,22.01,44.27,20.37,18.55,70.53,65.15,34.37,34.02,,,12.18,28.0,,43.54,85.59,47.86,
2021-KW09,,,22.13,61.12,74.2,17.63,,,34.02,32.69,38.01,48.73,14.0,17.6,,,47.86,
2021-KW10,20.44,22.01,44.27,61.12,74.2,70.53,,51.56,68.04,65.38,63.35,60.91,84.01,17.6,21.77,,15.95,
2021-KW11,40.87,,22.13,40.75,18.55,17.63,65.15,85.93,102.06,16.35,25.34,48.73,28.0,35.21,43.54,85.59,,
2021-KW12,81.75,132.07,221.34,61.12,241.14,52.9,65.15,206.22,136.08,147.11,50.68,12.18,56.01,35.21,43.54,28.53,15.95,
2021-KW13,,66.04,66.4,122.25,148.4,123.44,130.29,34.37,153.09,81.73,63.35,73.09,56.01,35.21,87.07,28.53,15.95,
