# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-07-13 08:45:55
# API-Download für Covid19-Inzidenzen in LK Dingolfing-Landau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW07,,,,,,,,,16.14,,,,,,,,,
2020-KW11,,,,43.59,,,,15.59,16.14,31.84,65.2,,,,,65.25,,
2020-KW12,,,45.9,21.79,37.56,16.54,44.08,31.18,16.14,47.76,26.08,36.92,40.26,,,,34.23,
2020-KW13,,,68.85,43.59,18.78,33.07,14.69,93.53,32.27,127.37,117.36,86.15,120.79,17.63,65.33,,17.12,
2020-KW14,20.11,,,43.59,93.9,33.07,29.39,31.18,32.27,,52.16,61.53,67.11,35.26,108.89,163.13,34.23,
2020-KW15,,,,,37.56,49.61,29.39,15.59,16.14,47.76,13.04,61.53,53.68,,43.55,65.25,17.12,
2020-KW16,,,,21.79,18.78,,,15.59,,15.92,26.08,12.31,13.42,,21.78,,51.35,
2020-KW17,,,,43.59,18.78,,,,,,13.04,49.23,13.42,,,32.63,34.23,
2020-KW18,,,,,,,,,,15.92,26.08,,,,43.55,,17.12,
2020-KW19,,,,,37.56,,,,,15.92,13.04,,,,,,17.12,
2020-KW20,,,,,,16.54,,,,,39.12,12.31,,,,,,
2020-KW22,,,,,18.78,33.07,,,,15.92,,,13.42,,,,34.23,
2020-KW23,,,,,,,,15.59,,,13.04,,,,21.78,32.63,,
2020-KW24,,,,,,16.54,14.69,,,,,,,,,,,
2020-KW25,20.11,,,,,16.54,,,,,,,,,,,,
2020-KW26,,,,21.79,18.78,,,,,,26.08,,13.42,,,,,
2020-KW27,40.22,,,65.38,169.01,66.15,73.46,15.59,32.27,,,,,,,,,
2020-KW28,40.22,22.53,,21.79,,33.07,,15.59,,31.84,13.04,,,,,,17.12,
2020-KW29,20.11,,,65.38,75.12,16.54,14.69,15.59,16.14,15.92,13.04,12.31,,,,,,
