# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-18 05:48:50
# API-Download für Covid19-Inzidenzen in LK Donau-Ries, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,16.31,,14.22,,,,,,22.37,,,,,,,,
2020-KW12,,,,,13.15,,11.85,,12.03,55.93,18.1,18.0,21.9,,17.88,,35.86,
2020-KW13,,32.61,47.42,28.45,39.44,63.31,35.55,83.49,72.16,55.93,63.34,45.01,32.84,26.6,35.77,72.25,35.86,
2020-KW14,15.63,16.31,15.81,28.45,144.6,63.31,94.79,35.78,120.26,55.93,117.63,126.02,65.69,79.81,53.65,36.13,406.36,
2020-KW15,,,15.81,71.11,65.73,25.32,23.7,59.64,,33.56,54.29,27.01,54.74,53.21,17.88,36.13,59.76,
2020-KW16,15.63,,15.81,,13.15,,59.24,11.93,12.03,55.93,18.1,54.01,32.84,,,36.13,47.81,
2020-KW17,,,,14.22,13.15,12.66,,,12.03,11.19,18.1,63.01,10.95,39.9,17.88,54.19,155.37,
2020-KW18,15.63,,,,39.44,,,23.85,,,,9.0,,,17.88,,11.95,
2020-KW19,,,,,13.15,,,11.93,,,9.05,9.0,,,,,,
2020-KW20,,,,,13.15,12.66,,,,,9.05,,10.95,,17.88,,,
2020-KW21,,,,,,,,,12.03,,,,,,,18.06,11.95,
2020-KW22,,,,,,,11.85,11.93,,,,9.0,10.95,,,,23.9,
2020-KW26,,,,,,,,,,11.19,,,,,,,,
2020-KW27,,,,,,,,11.93,,11.19,9.05,,,,,,,
2020-KW28,,,,14.22,,,,,,,,,,,,,,
2020-KW29,15.63,,15.81,,,25.32,,11.93,12.03,,,,,,,,,
2020-KW30,15.63,,,,,25.32,,35.78,12.03,,,,10.95,,,,,
2020-KW31,,,,14.22,,,,,,,,,,,,,,
2020-KW32,,,,14.22,26.29,,,,24.05,,,,,,,,,
2020-KW33,31.25,,,,,12.66,,,,,9.05,,,,,,,
2020-KW34,,,,56.89,13.15,25.32,,11.93,24.05,22.37,,,21.9,,,,11.95,
2020-KW35,,,,28.45,,12.66,11.85,,,,,,,,,,,
2020-KW36,,,15.81,14.22,39.44,25.32,11.85,23.85,,11.19,,9.0,,,,,,
2020-KW37,31.25,48.92,31.61,42.67,39.44,50.65,35.55,35.78,36.08,22.37,,9.0,,,,,,
2020-KW38,,16.31,,,,37.98,23.7,,12.03,33.56,9.05,9.0,,,,,11.95,
2020-KW39,,,,14.22,,50.65,,23.85,,33.56,18.1,18.0,21.9,,17.88,,71.71,
