# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-09-03 08:56:34
# API-Download für Covid19-Inzidenzen in LK Eichstätt, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,10.92,,,9.35,,,,,,
2020-KW12,13.1,13.47,,43.69,,12.94,22.62,32.37,32.75,70.81,,37.42,,,,,12.87,
2020-KW13,13.1,,,43.69,39.73,,56.54,32.37,65.5,70.81,40.82,56.12,20.83,13.62,17.06,25.27,38.6,
2020-KW14,,,29.56,14.56,26.49,38.82,22.62,32.37,43.67,82.61,30.62,121.6,62.5,54.47,51.18,75.81,38.6,
2020-KW15,13.1,,,43.69,66.22,25.88,33.93,32.37,32.75,82.61,102.05,65.48,52.08,13.62,17.06,75.81,77.2,
2020-KW16,,13.47,14.78,29.12,26.49,25.88,45.23,53.95,10.92,59.01,51.03,37.42,20.83,13.62,17.06,,77.2,
2020-KW17,13.1,,14.78,,79.46,,22.62,,32.75,23.6,20.41,28.06,,27.23,,25.27,38.6,
2020-KW18,,,,,13.24,38.82,11.31,,,,10.21,9.35,10.42,13.62,,,51.46,
2020-KW19,13.1,,,,,12.94,,21.58,10.92,,,28.06,,,17.06,25.27,12.87,
2020-KW20,,,,,,,,,,,10.21,,,,,,,
2020-KW21,,,,,,12.94,,,,,,,,,,25.27,25.73,
2020-KW22,,,,,,,,10.79,,11.8,10.21,,,,,,,
2020-KW23,,,,,,,,,21.83,,,,,,,,,
2020-KW24,,,,,26.49,,,10.79,10.92,,20.41,,,,17.06,,12.87,
2020-KW25,,,,14.56,,,,,,,,9.35,,,,,,
2020-KW26,,,14.78,,,,,,,,,9.35,,,,,,
2020-KW30,,,,43.69,,,,,21.83,11.8,20.41,,,,17.06,,,
2020-KW31,,,,,,12.94,,,,,,,,,,,,
2020-KW32,,,,,,12.94,,,,,,,,,,,,
