# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-08-06 09:06:35
# API-Download für Covid19-Inzidenzen in LK Erding, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,13.88,14.8,28.19,37.72,11.89,11.05,10.76,10.33,31.67,,16.37,10.2,,,,13.25,
2020-KW12,,,14.8,42.28,138.3,107.05,110.5,107.64,113.6,73.9,86.73,73.65,40.8,41.46,50.75,,52.99,
2020-KW13,,13.88,,84.56,188.58,154.63,154.7,107.64,185.9,179.47,234.17,155.49,152.99,55.28,101.5,233.41,119.23,
2020-KW14,,55.5,44.41,42.28,201.16,190.32,110.5,75.35,61.97,105.57,138.77,90.02,40.8,41.46,50.75,93.37,92.74,
2020-KW15,,13.88,,14.09,113.15,83.26,55.25,96.88,113.6,42.23,78.06,65.47,71.39,69.09,101.5,46.68,79.49,
2020-KW16,13.82,13.88,29.61,56.37,37.72,83.26,22.1,43.06,20.66,,17.35,24.55,20.4,13.82,33.83,,26.5,
2020-KW17,13.82,,,14.09,37.72,23.79,22.1,,20.66,63.34,17.35,,,27.64,16.92,23.34,13.25,
2020-KW18,,,14.8,28.19,50.29,,22.1,21.53,20.66,,8.67,16.37,10.2,27.64,,,,
2020-KW19,,,,14.09,37.72,23.79,11.05,21.53,,10.56,,32.74,,,,23.34,,
2020-KW20,,,,,12.57,11.89,11.05,,,,,,,13.82,,,13.25,
2020-KW21,,,,14.09,12.57,11.89,,,,,,,,27.64,,,,
2020-KW22,13.82,,,,,11.89,,,,10.56,,,,,,,,
2020-KW23,,,,,12.57,,,,,,,,,,,,,
2020-KW25,,13.88,29.61,42.28,12.57,,11.05,32.29,10.33,10.56,,,,,,,,
2020-KW26,13.82,27.75,14.8,,,,,10.76,,10.56,,,,,,,,
2020-KW27,13.82,13.88,,,,23.79,11.05,32.29,30.98,10.56,,,,,16.92,,,
2020-KW28,27.64,27.75,29.61,56.37,12.57,,33.15,21.53,20.66,10.56,,,10.2,,16.92,,,
2020-KW29,,13.88,,14.09,12.57,11.89,11.05,10.76,10.33,,,,10.2,13.82,,,,
2020-KW30,,,,,25.14,11.89,22.1,,,,8.67,8.18,,,,,,
2020-KW31,13.82,13.88,,,25.14,,,21.53,10.33,42.23,17.35,8.18,,,,,,
2020-KW32,,,29.61,14.09,62.86,23.79,,,20.66,10.56,26.02,8.18,,,,,,
2020-KW33,,13.88,,56.37,50.29,11.89,11.05,21.53,,31.67,,16.37,,13.82,,,13.25,
2020-KW34,,,29.61,42.28,50.29,11.89,33.15,,20.66,31.67,8.67,,,,,,,
2020-KW35,27.64,13.88,14.8,42.28,25.14,23.79,33.15,43.06,10.33,21.11,,8.18,,,,,,
2020-KW36,,,,28.19,88.01,35.68,11.05,10.76,10.33,10.56,17.35,,,,,,,
2020-KW37,27.64,13.88,,,,23.79,11.05,10.76,20.66,21.11,8.67,,,,,,,
2020-KW38,41.46,13.88,,56.37,50.29,35.68,11.05,32.29,20.66,31.67,,,,13.82,50.75,,,
2020-KW39,,27.75,14.8,14.09,25.14,11.89,,10.76,30.98,52.78,17.35,,10.2,,,,,
2020-KW40,,,14.8,42.28,37.72,11.89,22.1,10.76,,10.56,8.67,,10.2,,,,13.25,
2020-KW41,,,14.8,14.09,,71.37,99.45,21.53,41.31,10.56,8.67,16.37,10.2,13.82,,,,
2020-KW42,13.82,27.75,14.8,84.56,25.14,71.37,55.25,43.06,20.66,31.67,26.02,24.55,,13.82,16.92,,,
2020-KW43,,13.88,14.8,126.84,88.01,59.47,55.25,64.58,82.62,73.9,95.4,81.84,71.39,13.82,33.83,70.02,26.5,
