# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-12-02 07:46:36
# API-Download für Covid19-Inzidenzen in LK Forchheim, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,17.5,,,,,,,13.74,,,,9.42,10.6,,,,,
2020-KW12,,,,54.72,16.9,16.41,14.16,13.74,27.36,29.02,,18.85,42.4,,33.96,,12.82,
2020-KW13,,17.84,38.43,127.69,84.52,32.83,99.15,68.71,54.72,43.53,75.59,65.96,21.2,13.97,50.95,,25.65,
2020-KW14,,,38.43,18.24,101.43,65.65,70.82,54.97,54.72,72.55,97.19,84.81,53.01,41.92,67.93,24.99,12.82,
2020-KW15,,17.84,,54.72,16.9,49.24,42.49,,13.68,14.51,43.19,18.85,21.2,27.95,,99.96,38.47,
2020-KW16,,,,,50.71,32.83,14.16,13.74,,29.02,43.19,47.12,,,,,12.82,
2020-KW17,,,,,,,,,,,,,,,,,12.82,
2020-KW18,,,,,,,14.16,,,,10.8,,,,,,,
2020-KW19,,17.84,19.21,,,,,,,,,9.42,10.6,,,,,
2020-KW20,,,,,,,,,27.36,,,,,,,,,
2020-KW21,,,,,,,,,,,,9.42,,,,,,
2020-KW22,,,,,,,,,,,10.8,,10.6,,,,,
2020-KW26,17.5,,,,,,,,,,,,,,,,,
2020-KW27,,,,,,16.41,,,,,,,,,,,,
2020-KW31,17.5,,,,16.9,,28.33,,,,10.8,,,,,,,
2020-KW32,,17.84,38.43,,33.81,,,,54.72,29.02,10.8,,,,16.98,,,
2020-KW33,17.5,,,18.24,16.9,,14.16,27.48,13.68,14.51,10.8,9.42,,,,,,
2020-KW34,,17.84,,18.24,,,14.16,,,,,9.42,,,,,,
2020-KW35,,,19.21,18.24,118.33,49.24,14.16,27.48,13.68,,21.6,,,13.97,,,,
2020-KW36,,,,,33.81,16.41,42.49,13.74,27.36,,,,,,,,,
2020-KW37,,,19.21,36.48,16.9,,,13.74,27.36,,21.6,,,,,,25.65,
2020-KW38,,,,,33.81,49.24,14.16,,,,10.8,,10.6,,,,,
2020-KW39,17.5,,19.21,,,,28.33,13.74,,,,9.42,,,,,,
2020-KW40,,17.84,,,33.81,,,13.74,,,10.8,18.85,10.6,,,,,
2020-KW41,,,,18.24,16.9,65.65,28.33,13.74,13.68,14.51,21.6,9.42,21.2,,33.96,,,
2020-KW42,,,,18.24,33.81,82.07,28.33,,,29.02,53.99,65.96,,,16.98,,,
2020-KW43,,17.84,153.72,36.48,101.43,114.89,14.16,41.23,136.81,101.57,86.39,18.85,42.4,13.97,33.96,99.96,,
2020-KW44,17.5,71.37,326.65,182.42,101.43,98.48,141.65,178.65,123.13,72.55,129.58,47.12,84.81,69.87,101.89,49.98,,
2020-KW45,52.5,35.69,249.79,145.93,118.33,164.13,155.81,82.45,177.85,261.17,151.18,122.5,159.02,83.84,50.95,49.98,115.4,
2020-KW46,35.0,71.37,211.36,109.45,236.66,164.13,155.81,137.42,177.85,174.11,97.19,122.5,95.41,153.71,118.87,49.98,192.34,
2020-KW47,105.0,89.22,249.79,200.66,236.66,213.37,70.82,137.42,136.81,188.62,205.18,56.54,95.41,111.79,135.85,74.97,141.05,
2020-KW48,157.5,89.22,134.5,145.93,236.66,196.96,240.8,164.9,218.9,130.59,118.79,207.31,137.81,69.87,33.96,74.97,192.34,
2020-KW49,105.0,89.22,115.29,328.35,135.23,311.85,184.14,206.13,273.62,130.59,140.38,169.62,159.02,97.82,67.93,99.96,102.58,
2020-KW50,122.5,107.06,192.15,255.38,456.42,246.2,141.65,261.1,259.94,348.23,140.38,197.89,201.42,195.63,84.91,199.92,538.55,
2020-KW51,52.5,160.59,249.79,255.38,287.37,196.96,269.13,274.84,232.58,304.7,237.57,320.39,180.22,97.82,135.85,199.92,423.15,
2020-KW52,122.5,71.37,211.36,255.38,321.18,196.96,297.46,123.68,232.58,246.66,205.18,273.28,148.42,125.76,152.84,99.96,448.79,
2020-KW53,122.5,107.06,76.86,145.93,253.56,131.31,226.64,151.16,205.22,246.66,215.97,207.31,74.21,69.87,101.89,249.9,153.87,
2021-KW01,35.0,35.69,134.5,218.9,202.85,180.54,226.64,151.16,177.85,217.64,291.57,113.08,159.02,167.68,220.76,124.95,294.92,
2021-KW02,17.5,142.75,76.86,237.14,202.85,213.37,155.81,151.16,164.17,159.61,194.38,179.04,201.42,69.87,50.95,149.94,205.16,
2021-KW03,,53.53,57.64,145.93,135.23,180.54,56.66,109.94,164.17,116.08,118.79,65.96,53.01,97.82,67.93,49.98,38.47,
