# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-09-11 08:42:56
# API-Download für Covid19-Inzidenzen in LK Freyung-Grafenau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,23.45,22.7,,44.26,22.76,,,,,,,,,
2020-KW12,,,,,,22.7,22.23,,22.76,,64.44,42.37,29.32,17.72,,,37.94,
2020-KW13,29.12,61.08,,,117.23,90.8,88.92,88.52,45.53,82.34,64.44,141.23,131.93,70.9,45.55,183.37,113.81,
2020-KW14,58.24,30.54,,,23.45,45.4,,66.39,45.53,,16.11,70.62,58.64,17.72,22.78,110.02,56.91,
2020-KW15,,,,27.31,23.45,,,22.13,68.29,61.75,32.22,28.25,58.64,,68.33,,113.81,
2020-KW16,,,,27.31,,22.7,,,22.76,61.75,64.44,28.25,29.32,17.72,,73.35,37.94,
2020-KW17,29.12,30.54,,27.31,,45.4,22.23,22.13,,,,42.37,29.32,,45.55,,18.97,
2020-KW18,,,,,46.89,90.8,22.23,,,,,14.12,14.66,,,,18.97,
2020-KW19,,,,,,,44.46,,,20.58,,,,17.72,,,,
2020-KW20,,30.54,,,,22.7,,,,,,,,,,,,
2020-KW21,,,,,,,,,22.76,,,,,,,,,
2020-KW22,,,,,,,,,,,,28.25,,,,,,
2020-KW25,,,,,,,,,,,,,14.66,,,,,
2020-KW26,,,,,,,,,,,16.11,,,,,,,
2020-KW33,,,,,,,22.23,,,,,,,,,,,
2020-KW34,,,,,,,,,,,,14.12,,,,,,
2020-KW35,58.24,,,27.31,,,,22.13,,,,,,,,,,
2020-KW36,,,,,,22.7,,,22.76,,,14.12,,,,,,
2020-KW37,,,,81.93,23.45,,,22.13,22.76,20.58,32.22,,,,,,,
2020-KW38,58.24,,,54.62,70.34,68.1,22.23,44.26,,20.58,,,,,,,,
2020-KW39,58.24,,,,23.45,,,22.13,22.76,,32.22,14.12,14.66,35.45,,,,
2020-KW40,,,32.12,81.93,23.45,45.4,22.23,,22.76,,,,14.66,,,,,
2020-KW41,,,,27.31,,,,,,,64.44,,14.66,,22.78,,94.85,
2020-KW42,29.12,,,191.18,23.45,22.7,66.69,44.26,68.29,41.17,48.33,28.25,43.98,35.45,22.78,,56.91,
2020-KW43,29.12,,32.12,109.24,46.89,90.8,66.69,22.13,68.29,123.51,144.99,14.12,14.66,17.72,22.78,,18.97,
2020-KW44,58.24,91.62,192.69,327.73,211.01,226.99,222.3,44.26,182.12,185.26,128.88,127.11,58.64,106.35,113.88,146.69,94.85,
2020-KW45,203.84,458.12,449.62,163.87,328.23,295.09,222.3,177.03,182.12,349.94,193.32,183.6,146.59,106.35,68.33,183.37,56.91,
2020-KW46,320.33,580.29,481.73,518.91,562.69,590.17,444.59,265.55,455.3,658.71,418.87,423.7,249.2,159.52,159.44,183.37,284.54,
2020-KW47,232.96,122.17,96.35,409.67,375.12,567.47,489.05,486.83,204.88,514.62,370.53,310.71,293.18,177.25,227.76,146.69,284.54,
2020-KW48,291.21,213.79,160.58,710.09,257.9,612.87,377.9,331.93,318.71,391.11,402.75,381.33,219.88,177.25,136.66,146.69,227.63,
2020-KW49,203.84,152.71,321.16,436.98,398.57,295.09,377.9,575.35,432.53,370.52,467.2,353.08,395.79,194.97,387.2,513.43,493.19,
2020-KW50,145.6,152.71,385.39,245.8,375.12,499.38,377.9,464.7,387.0,247.02,241.65,225.97,293.18,283.6,182.21,366.74,265.57,
2020-KW51,232.96,366.5,321.16,436.98,445.46,340.48,422.36,442.58,569.12,391.11,306.09,395.45,278.52,230.42,204.99,256.72,455.26,
2020-KW52,116.48,152.71,385.39,327.73,375.12,249.69,333.44,309.8,341.47,411.69,225.54,310.71,263.86,265.87,204.99,293.39,512.16,
2020-KW53,58.24,152.71,160.58,355.05,422.02,431.28,355.67,243.42,364.24,391.11,370.53,282.47,278.52,212.7,159.44,183.37,360.41,
2021-KW01,29.12,,224.81,163.87,398.57,226.99,133.38,177.03,273.18,288.18,225.54,211.85,131.93,248.15,296.09,220.04,322.47,
