# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-12-06 07:44:36
# API-Download für Covid19-Inzidenzen in LK Fulda, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,15.14,14.41,7.08,14.99,23.28,60.55,23.37,26.86,12.54,,,,5.98,
2020-KW12,9.37,,,,68.15,21.62,42.48,44.97,7.76,22.71,40.89,26.86,31.36,,,,,
2020-KW13,,,,26.7,15.14,79.28,49.56,29.98,7.76,75.69,46.73,42.97,31.36,22.77,18.63,38.06,23.9,
2020-KW14,9.37,,,17.8,30.29,50.45,28.32,22.48,23.28,15.14,35.05,26.86,43.91,37.95,37.26,50.75,77.69,
2020-KW15,9.37,,9.86,44.51,37.86,28.83,7.08,,15.52,52.98,35.05,10.74,18.82,,18.63,38.06,23.9,
2020-KW16,,19.08,,,15.14,36.04,14.16,22.48,23.28,7.57,5.84,5.37,6.27,,,25.37,5.98,
2020-KW17,,,,,,,14.16,7.49,,7.57,,16.11,,,9.32,,,
2020-KW18,,,,,,,,,,,,,,,9.32,,11.95,
2020-KW19,9.37,,,,,,7.08,14.99,7.76,,,,,,,,,
2020-KW20,,9.54,,8.9,,,,14.99,,7.57,5.84,5.37,6.27,7.59,,,,
2020-KW21,,,,,7.57,,,7.49,,,,5.37,,,,,,
2020-KW22,,9.54,9.86,8.9,7.57,,14.16,,7.76,22.71,11.68,10.74,,,,,5.98,
2020-KW23,46.85,19.08,9.86,,30.29,21.62,7.08,14.99,7.76,22.71,11.68,5.37,18.82,,,,,
2020-KW24,9.37,,,,22.72,7.21,7.08,,7.76,,,5.37,12.54,7.59,,,,
2020-KW25,,9.54,,,15.14,21.62,7.08,,,7.57,5.84,5.37,6.27,,,,,
2020-KW26,9.37,,,,15.14,,7.08,7.49,,7.57,,,,,,,,
2020-KW27,,,,,22.72,14.41,28.32,7.49,7.76,,,,,,,,,
2020-KW28,18.74,9.54,,8.9,7.57,,7.08,7.49,,,,,,,,,,
2020-KW29,,,,8.9,15.14,14.41,14.16,7.49,,7.57,5.84,5.37,,7.59,,,,
2020-KW30,,,,,22.72,7.21,,,,,,,,,,,5.98,
2020-KW31,,9.54,,,15.14,,7.08,7.49,,7.57,,,,,,,,
2020-KW32,18.74,28.61,,,15.14,,21.24,29.98,7.76,15.14,,5.37,,,18.63,,,
2020-KW33,,19.08,49.28,35.61,22.72,14.41,,7.49,38.79,15.14,5.84,5.37,,,,,,
2020-KW34,9.37,,39.42,,30.29,,,7.49,7.76,15.14,,,,,18.63,,,
2020-KW35,,9.54,,8.9,22.72,,21.24,,7.76,7.57,5.84,,6.27,,,,,
2020-KW36,,28.61,9.86,,22.72,14.41,,7.49,7.76,37.84,11.68,5.37,,15.18,9.32,12.69,17.93,
2020-KW37,,9.54,19.71,,53.01,14.41,7.08,14.99,7.76,15.14,5.84,10.74,6.27,7.59,9.32,12.69,,
2020-KW38,9.37,,9.86,35.61,15.14,21.62,14.16,7.49,,7.57,11.68,16.11,18.82,7.59,,12.69,,
2020-KW39,18.74,,19.71,8.9,30.29,7.21,,7.49,15.52,15.14,,16.11,6.27,7.59,,12.69,11.95,
2020-KW40,9.37,9.54,39.42,53.41,30.29,7.21,7.08,7.49,23.28,22.71,11.68,5.37,,,9.32,,,
2020-KW41,,9.54,,8.9,,21.62,21.24,,7.76,7.57,,,18.82,15.18,9.32,25.37,,
2020-KW42,28.11,19.08,19.71,17.8,45.43,7.21,35.4,67.45,15.52,7.57,23.37,37.6,12.54,22.77,18.63,,5.98,
2020-KW43,65.59,95.38,98.56,124.62,90.87,158.56,134.52,74.95,139.66,98.39,75.94,112.8,43.91,45.54,55.89,12.69,59.76,
2020-KW44,65.59,162.15,206.98,258.14,249.89,136.94,155.76,112.42,85.35,98.39,110.99,112.8,125.45,113.85,55.89,50.75,41.83,
2020-KW45,56.22,66.77,49.28,142.42,204.45,86.49,177.0,142.4,124.14,75.69,122.68,69.83,119.18,83.49,37.26,25.37,35.86,
2020-KW46,93.7,114.46,118.27,133.52,159.02,115.32,169.92,172.38,139.66,136.24,81.79,134.29,75.27,106.26,121.1,63.44,161.36,
2020-KW47,74.96,66.77,108.42,160.22,212.02,93.69,198.23,157.39,217.25,166.51,192.78,155.77,156.81,91.08,93.16,177.62,245.02,
2020-KW48,121.81,257.53,88.7,258.14,151.45,165.77,141.6,134.91,186.21,211.92,151.89,102.06,43.91,144.21,158.37,88.81,77.69,
2020-KW49,121.81,143.07,226.69,204.73,189.31,172.97,191.15,209.85,240.52,151.37,146.05,193.38,125.45,129.03,83.84,76.12,388.45,
2020-KW50,140.55,219.37,305.54,373.85,363.47,230.63,297.35,202.36,248.28,370.87,286.25,177.26,175.63,136.62,74.52,88.81,239.05,
2020-KW51,140.55,200.3,236.55,347.15,530.06,331.53,261.95,202.36,287.07,295.18,350.51,225.6,250.9,159.38,158.37,177.62,310.76,
2020-KW52,93.7,123.99,167.55,160.22,310.46,309.91,261.95,217.35,217.25,264.9,280.41,204.12,181.9,106.26,65.21,304.49,519.93,
2020-KW53,131.18,152.61,118.27,311.54,249.89,273.87,283.19,194.86,232.76,295.18,210.3,236.35,213.26,83.49,102.47,164.93,286.86,
2021-KW01,234.25,181.22,197.12,400.56,469.48,569.37,375.23,299.79,349.14,378.43,327.14,263.21,269.72,235.28,158.37,241.06,764.96,
