# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-16 22:14:33
# API-Download für Covid19-Inzidenzen in LK Fürth, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,13.56,,,9.76,,,,,,,
2020-KW11,,,,,17.69,,,,,13.24,,,,,,,,
2020-KW12,16.98,,,,53.06,34.36,14.97,27.12,13.81,66.22,97.6,39.67,72.14,28.26,33.39,,,
2020-KW13,,18.48,,75.59,70.75,17.18,74.83,67.81,96.66,66.22,58.56,109.09,36.07,84.79,83.47,221.47,532.43,
2020-KW14,50.93,55.45,,113.38,194.55,85.91,89.79,67.81,82.85,92.7,156.16,89.26,180.35,42.4,100.17,136.29,810.75,
2020-KW15,16.98,36.97,58.92,,70.75,51.55,29.93,40.68,,39.73,39.04,89.26,48.09,84.79,50.08,34.07,84.7,
2020-KW16,,,,56.69,,34.36,29.93,27.12,27.62,13.24,48.8,19.84,,28.26,16.69,102.21,133.11,
2020-KW17,,,,,,17.18,14.97,,,,9.76,29.75,48.09,28.26,16.69,51.11,145.21,
2020-KW18,,,,,,,,13.56,,,29.28,39.67,12.02,,,,24.2,
2020-KW19,,,19.64,,17.69,,,,13.81,13.24,9.76,9.92,12.02,,,17.04,12.1,
2020-KW20,,,,,,,14.97,13.56,,13.24,,,,,,,,
2020-KW21,,,,,17.69,,,,,,,,,,,,,
2020-KW22,,,,,,17.18,,,,,,,,,,,,
2020-KW25,,,,,,,,,,,,,,14.13,16.69,,,
2020-KW26,,,,,,,14.97,13.56,,,,,,,,,,
2020-KW27,16.98,,,,,,,,,,,,,,,,,
2020-KW28,,,,,,,,,,,,,24.05,,,,,
2020-KW29,16.98,,,,,17.18,,27.12,13.81,,9.76,,,,,,,
2020-KW30,16.98,18.48,19.64,,,17.18,14.97,27.12,,,,9.92,,,,,,
2020-KW31,16.98,,,18.9,17.69,,,,,,,,12.02,,,,,
2020-KW32,,,,,,,29.93,13.56,,,,9.92,,,,,,
2020-KW33,,,,,,,,,13.81,13.24,,,,,,,,
2020-KW34,,,,18.9,53.06,,14.97,,13.81,,,9.92,12.02,14.13,,,,
2020-KW35,,18.48,,18.9,35.37,,,,,13.24,9.76,9.92,,,,,,
2020-KW36,16.98,,,,106.12,17.18,14.97,27.12,,13.24,19.52,9.92,,,16.69,,,
2020-KW37,,,,18.9,17.69,,14.97,,,26.49,19.52,19.84,12.02,14.13,,,,
2020-KW38,,,,37.79,,34.36,,40.68,13.81,13.24,19.52,,12.02,,,17.04,,
2020-KW39,16.98,,,,17.69,51.55,29.93,,,39.73,19.52,19.84,12.02,,16.69,,12.1,
2020-KW40,,36.97,,,35.37,68.73,44.9,27.12,,26.49,,,,,,,,
2020-KW41,16.98,18.48,,56.69,106.12,85.91,,81.37,13.81,39.73,29.28,19.84,,,,,,
2020-KW42,16.98,73.94,19.64,37.79,106.12,34.36,44.9,40.68,55.23,13.24,19.52,,36.07,28.26,16.69,17.04,36.3,
2020-KW43,50.93,36.97,39.28,94.48,282.99,240.55,299.31,108.49,138.08,52.97,97.6,99.18,48.09,14.13,50.08,68.14,96.81,
