# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-25 05:45:53
# API-Download für Covid19-Inzidenzen in LK Garmisch-Partenkirchen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,36.42,26.49,,17.38,,,,,
2020-KW12,25.35,,,24.83,105.42,58.47,59.41,80.63,20.4,91.04,92.73,40.74,17.38,39.22,41.79,19.41,27.57,
2020-KW13,25.35,27.75,55.37,99.33,21.08,58.47,19.8,60.47,81.6,54.62,92.73,108.64,69.53,78.45,41.79,174.66,82.71,
2020-KW14,25.35,,,24.83,21.08,77.96,39.6,100.79,61.2,72.83,92.73,67.9,86.91,78.45,20.89,155.25,358.42,
2020-KW15,,27.75,,,21.08,58.47,19.8,,20.4,,79.48,40.74,17.38,39.22,,,68.93,
2020-KW16,50.71,,,24.83,,77.96,39.6,20.16,61.2,54.62,92.73,27.16,17.38,19.61,,38.81,27.57,
2020-KW17,50.71,,,,42.17,,59.41,,20.4,18.21,39.74,13.58,34.76,,20.89,,27.57,
2020-KW18,,,,,,,39.6,,,,13.25,,,19.61,20.89,19.41,,
2020-KW19,,,,,63.25,58.47,79.21,60.47,20.4,,,,,,,,,
2020-KW20,25.35,27.75,,,21.08,38.98,19.8,,,,13.25,,52.15,,,19.41,,
2020-KW22,,,,,,,,,,,,,,,,,13.79,
2020-KW23,,,,,,,,,,,,13.58,,,,,,
2020-KW28,,,,,,,,,,,,13.58,,,20.89,,,
2020-KW29,,,,,21.08,,,,,,,,,,,,13.79,
2020-KW30,,,,,,,,20.16,,,13.25,,,,,,,
2020-KW31,,,,,,,,20.16,,18.21,13.25,,,,,,13.79,
2020-KW32,,,,,21.08,,,,,,,,,,,,,
2020-KW33,,27.75,55.37,,63.25,,,,20.4,,,,,,20.89,,,
2020-KW34,,27.75,,24.83,21.08,,39.6,,,,,,,,,,,
2020-KW35,,27.75,55.37,24.83,21.08,38.98,,40.31,,54.62,,,,19.61,,,,
2020-KW36,25.35,55.49,,74.5,,19.49,19.8,40.31,,54.62,13.25,,17.38,,,,,
2020-KW37,25.35,83.24,27.69,,421.67,175.4,19.8,80.63,40.8,54.62,39.74,,,,20.89,,13.79,
2020-KW38,76.06,,,,147.59,19.49,79.21,,61.2,54.62,,,17.38,,,,13.79,
2020-KW39,,,27.69,24.83,21.08,38.98,19.8,,,18.21,13.25,,,,,,,
2020-KW40,,,,24.83,42.17,38.98,59.41,,,18.21,,13.58,,19.61,,19.41,,
2020-KW41,,,,24.83,,38.98,,,,18.21,26.49,,,,,,,
2020-KW42,,,,24.83,42.17,58.47,39.6,80.63,102.0,,,27.16,,,20.89,,,
2020-KW43,,,55.37,24.83,105.42,136.43,79.21,80.63,40.8,36.42,119.22,27.16,69.53,39.22,41.79,19.41,27.57,
2020-KW44,76.06,83.24,138.43,74.5,337.34,311.83,178.22,100.79,142.8,109.25,158.96,244.43,104.29,117.67,62.68,19.41,41.36,
2020-KW45,25.35,110.99,83.06,173.83,189.75,311.83,277.23,161.26,306.0,72.83,132.47,149.38,156.44,137.28,20.89,19.41,55.14,
2020-KW46,152.13,83.24,193.8,198.66,126.5,155.92,237.62,262.04,122.4,236.71,158.96,149.38,139.06,98.06,104.47,58.22,96.5,
2020-KW47,101.42,110.99,276.85,124.16,168.67,58.47,138.61,181.42,81.6,145.67,132.47,95.06,104.29,117.67,20.89,97.03,41.36,
2020-KW48,76.06,83.24,110.74,99.33,84.33,155.92,158.42,302.36,122.4,145.67,132.47,135.8,52.15,19.61,41.79,97.03,303.28,
2020-KW49,50.71,27.75,83.06,273.16,231.92,175.4,158.42,141.1,102.0,145.67,238.44,162.95,208.59,58.84,,135.84,220.57,
2020-KW50,152.13,138.73,193.8,124.16,295.17,331.32,356.44,201.57,224.4,364.17,370.91,230.85,156.44,,83.58,116.44,110.28,
2020-KW51,126.77,110.99,249.17,198.66,295.17,272.85,257.43,181.42,204.0,218.5,225.2,325.91,225.97,39.22,146.26,135.84,234.35,
2020-KW52,76.06,138.73,249.17,124.16,274.09,292.34,198.02,120.94,244.8,182.08,198.7,217.27,173.82,98.06,167.15,38.81,110.28,
2020-KW53,76.06,166.48,193.8,99.33,295.17,253.36,99.01,141.1,122.4,218.5,105.97,258.01,295.5,39.22,20.89,58.22,193.0,
2021-KW01,202.84,55.49,110.74,148.99,210.84,136.43,237.62,141.1,81.6,127.46,158.96,135.8,208.59,117.67,188.05,97.03,55.14,
2021-KW02,76.06,83.24,83.06,74.5,126.5,116.94,99.01,120.94,61.2,109.25,225.2,135.8,86.91,58.84,146.26,97.03,385.99,
2021-KW03,50.71,83.24,83.06,,126.5,253.36,297.03,60.47,61.2,91.04,158.96,244.43,69.53,58.84,20.89,97.03,179.21,
2021-KW04,50.71,55.49,55.37,49.66,168.67,58.47,39.6,120.94,81.6,91.04,79.48,122.22,34.76,58.84,62.68,116.44,165.43,
2021-KW05,25.35,110.99,55.37,49.66,21.08,77.96,118.81,80.63,81.6,54.62,172.21,122.22,104.29,78.45,83.58,38.81,82.71,
2021-KW06,101.42,55.49,,24.83,,97.45,59.41,141.1,40.8,18.21,52.99,40.74,34.76,98.06,,58.22,68.93,
2021-KW07,101.42,27.75,27.69,74.5,42.17,116.94,39.6,120.94,20.4,36.42,39.74,13.58,34.76,19.61,41.79,,41.36,
2021-KW08,25.35,27.75,,74.5,126.5,116.94,138.61,20.16,61.2,36.42,39.74,54.32,17.38,,,19.41,41.36,
2021-KW09,50.71,83.24,27.69,99.33,21.08,116.94,59.41,100.79,40.8,36.42,26.49,54.32,,,,,13.79,
2021-KW10,126.77,83.24,,74.5,63.25,77.96,59.41,181.42,40.8,54.62,66.23,67.9,86.91,,41.79,,41.36,
2021-KW11,202.84,138.73,166.11,99.33,168.67,292.34,99.01,120.94,61.2,127.46,119.22,203.69,86.91,39.22,41.79,19.41,68.93,
2021-KW12,101.42,83.24,83.06,223.49,189.75,136.43,158.42,100.79,224.4,109.25,105.97,67.9,86.91,117.67,104.47,19.41,27.57,
2021-KW13,152.13,,166.11,273.16,295.17,175.4,99.01,100.79,102.0,273.12,158.96,95.06,52.15,19.61,20.89,116.44,179.21,
2021-KW14,25.35,110.99,193.8,620.81,295.17,136.43,59.41,181.42,122.4,218.5,198.7,122.22,104.29,78.45,20.89,19.41,96.5,
2021-KW15,76.06,138.73,221.48,322.82,210.84,77.96,158.42,181.42,163.2,145.67,132.47,122.22,86.91,78.45,62.68,19.41,55.14,
2021-KW16,50.71,83.24,138.43,49.66,126.5,175.4,138.61,60.47,244.8,91.04,92.73,95.06,69.53,58.84,41.79,58.22,41.36,
2021-KW17,101.42,55.49,83.06,74.5,189.75,233.87,138.61,100.79,61.2,109.25,172.21,95.06,86.91,58.84,62.68,19.41,27.57,
2021-KW18,126.77,27.75,27.69,49.66,231.92,272.85,178.22,100.79,61.2,72.83,79.48,95.06,139.06,19.61,20.89,38.81,41.36,
2021-KW19,25.35,27.75,110.74,49.66,63.25,136.43,138.61,40.31,122.4,18.21,66.23,40.74,34.76,39.22,41.79,19.41,27.57,
2021-KW20,76.06,27.75,83.06,49.66,84.33,77.96,19.8,20.16,40.8,54.62,39.74,13.58,52.15,19.61,,19.41,41.36,
2021-KW21,25.35,,83.06,198.66,42.17,77.96,39.6,60.47,81.6,36.42,52.99,27.16,121.68,,,,,
2021-KW22,,55.49,83.06,198.66,42.17,58.47,,40.31,102.0,54.62,26.49,13.58,34.76,19.61,20.89,38.81,,
2021-KW23,,,55.37,74.5,42.17,19.49,,,20.4,18.21,26.49,,,,20.89,,,
2021-KW24,,27.75,55.37,74.5,21.08,19.49,,40.31,20.4,54.62,13.25,13.58,,,,,,
2021-KW25,,,,,,,,,20.4,,,,17.38,,,19.41,,
2021-KW26,25.35,,,,,38.98,,,,,,,,,,19.41,,
2021-KW27,,,,24.83,21.08,,,,,,,13.58,,,,,,
2021-KW28,,,,74.5,,,,,20.4,18.21,13.25,,,,,,,
2021-KW29,,,,24.83,42.17,,,20.16,20.4,18.21,,,,,,,,
2021-KW30,,,,,21.08,19.49,,,,,,,,,,,,
2021-KW31,,,,,,38.98,,,,,26.49,13.58,,,,,,
2021-KW32,,,55.37,24.83,63.25,38.98,99.01,,,36.42,26.49,,34.76,,,,13.79,
2021-KW33,,55.49,,124.16,63.25,,19.8,20.16,20.4,18.21,26.49,40.74,,19.61,,,13.79,
