# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-04-03 08:43:05
# API-Download für Covid19-Inzidenzen in LK Germersheim, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,12.51,,,,,,,,,
2020-KW11,,,,16.44,14.8,,,,12.51,12.56,19.51,8.99,10.03,,,,,
2020-KW12,15.46,,,,14.8,14.13,24.32,36.37,37.53,25.13,29.27,17.97,10.03,12.54,16.11,,12.07,
2020-KW13,,,16.77,16.44,,28.27,48.63,24.25,37.53,12.56,58.54,53.91,20.06,25.08,16.11,,12.07,
2020-KW14,,,,16.44,59.2,28.27,12.16,,25.02,75.38,48.78,53.91,20.06,37.61,16.11,,12.07,
2020-KW15,,,16.77,,14.8,,12.16,24.25,37.53,12.56,,44.93,,12.54,16.11,22.77,12.07,
2020-KW16,,,,16.44,,,,,12.51,,,26.96,20.06,12.54,,,60.33,
2020-KW17,,,,16.44,,,,,12.51,,,,20.06,,,,36.2,
2020-KW18,,,,,,,,,,,19.51,,,,,,,
2020-KW19,,,,16.44,,14.13,,,,,,,,,,,,
2020-KW20,,,,16.44,,,,,,,9.76,,,,,,,
2020-KW21,,,,16.44,,,12.16,12.12,12.51,,9.76,,,,,,,
2020-KW25,,,,,,,,,,,,,,,,22.77,,
2020-KW26,46.37,16.07,,,59.2,28.27,24.32,,,,,17.97,,,,,,
2020-KW27,61.83,64.26,50.32,131.49,59.2,28.27,,,,12.56,,,,12.54,,,,
2020-KW28,15.46,,,16.44,29.6,,,,12.51,25.13,,,30.09,,,,,
2020-KW29,,,16.77,,,,,,,,9.76,,,,,,,
2020-KW30,,,,,,,,,,,9.76,,,,,,,
2020-KW32,15.46,16.07,33.55,,14.8,28.27,12.16,,37.53,,9.76,,,,,,,
2020-KW33,,,,32.87,44.4,14.13,12.16,24.25,12.51,12.56,,,,,,,,
2020-KW34,30.91,32.13,67.09,32.87,103.61,28.27,36.48,72.74,37.53,37.69,,17.97,,,,,,
2020-KW35,,,50.32,,133.21,42.4,24.32,,25.02,12.56,19.51,,,,,,,
2020-KW36,15.46,16.07,,16.44,29.6,14.13,24.32,24.25,12.51,,19.51,,,12.54,32.21,,,
2020-KW37,,,,,14.8,14.13,,24.25,37.53,,,8.99,,,,,,
2020-KW38,,32.13,,,74.0,84.81,24.32,60.62,50.03,62.82,19.51,,,,,,,
2020-KW39,,,,16.44,14.8,56.54,24.32,12.12,25.02,,19.51,26.96,10.03,,,,12.07,
2020-KW40,,16.07,,82.18,103.61,56.54,,24.25,12.51,25.13,9.76,,,,,,12.07,
2020-KW41,,,33.55,32.87,14.8,42.4,24.32,12.12,12.51,25.13,39.03,26.96,30.09,37.61,16.11,22.77,108.59,
2020-KW42,15.46,,33.55,32.87,103.61,28.27,24.32,36.37,12.51,50.25,39.03,,10.03,25.08,32.21,,48.26,
2020-KW43,46.37,80.33,,49.31,177.61,70.67,24.32,157.61,75.05,100.51,58.54,80.87,30.09,75.23,80.53,,36.2,
2020-KW44,92.74,112.46,167.73,246.55,118.41,367.51,109.43,218.23,175.12,150.76,185.38,143.76,160.5,125.38,16.11,91.07,313.71,
2020-KW45,123.65,80.33,150.96,230.11,384.82,240.29,231.01,133.36,100.07,301.52,156.11,161.73,160.5,150.45,80.53,182.15,108.59,
2020-KW46,15.46,80.33,100.64,279.42,207.21,212.02,145.9,242.47,212.64,213.58,126.84,134.78,90.28,87.76,80.53,45.54,205.12,
2020-KW47,77.28,208.86,201.27,197.24,251.62,212.02,255.33,242.47,175.12,238.7,214.65,98.84,120.37,175.53,32.21,159.38,446.43,
2020-KW48,77.28,144.59,167.73,230.11,266.42,127.21,109.43,121.24,175.12,125.63,136.59,161.73,110.34,87.76,64.43,113.84,361.97,
2020-KW49,108.2,48.2,100.64,147.93,266.42,183.75,170.22,121.24,200.13,175.89,165.86,98.84,130.4,62.69,96.64,91.07,84.46,
2020-KW50,46.37,64.26,117.41,213.68,251.62,268.56,218.85,181.85,175.12,188.45,243.92,80.87,120.37,87.76,96.64,136.61,494.69,
2020-KW51,61.83,64.26,117.41,164.37,281.22,254.43,182.38,206.1,187.63,175.89,214.65,206.66,150.47,37.61,96.64,45.54,205.12,
2020-KW52,,48.2,67.09,98.62,340.42,169.62,133.74,169.73,187.63,125.63,156.11,107.82,160.5,112.84,64.43,68.31,84.46,
2020-KW53,30.91,,134.18,115.06,162.81,127.21,145.9,133.36,175.12,113.07,185.38,107.82,70.22,62.69,128.85,68.31,132.72,
2021-KW01,30.91,80.33,16.77,180.8,133.21,141.35,194.54,157.61,150.1,100.51,165.86,125.79,150.47,188.06,32.21,113.84,301.64,
2021-KW02,123.65,32.13,67.09,49.31,44.4,84.81,158.06,84.87,150.1,75.38,117.08,62.9,120.37,75.23,64.43,68.31,168.92,
2021-KW03,,32.13,117.41,49.31,29.6,113.08,121.59,145.48,112.58,100.51,107.32,98.84,70.22,75.23,128.85,68.31,84.46,
2021-KW04,61.83,32.13,83.86,82.18,103.61,155.48,145.9,72.74,75.05,100.51,39.03,98.84,20.06,37.61,16.11,68.31,36.2,
2021-KW05,30.91,48.2,16.77,49.31,59.2,98.94,48.63,84.87,62.54,75.38,58.54,143.76,60.19,,,,60.33,
2021-KW06,61.83,64.26,33.55,147.93,192.41,141.35,12.16,48.49,125.08,50.25,39.03,53.91,20.06,37.61,48.32,68.31,108.59,
2021-KW07,92.74,80.33,167.73,131.49,192.41,183.75,158.06,96.99,150.1,201.01,136.59,179.71,120.37,75.23,16.11,68.31,36.2,
2021-KW08,77.28,80.33,67.09,98.62,133.21,226.16,109.43,36.37,87.56,150.76,78.05,170.72,140.44,112.84,48.32,91.07,60.33,
2021-KW09,92.74,96.4,150.96,65.75,222.01,98.94,121.59,109.11,175.12,276.39,156.11,125.79,90.28,100.3,64.43,68.31,108.59,
2021-KW10,15.46,16.07,16.77,147.93,118.41,183.75,109.43,145.48,75.05,100.51,87.81,98.84,130.4,62.69,80.53,45.54,168.92,
2021-KW11,170.02,64.26,67.09,197.24,103.61,183.75,133.74,121.24,87.56,87.94,195.13,161.73,100.31,112.84,80.53,68.31,132.72,
2021-KW12,185.48,208.86,117.41,180.8,148.01,212.02,145.9,181.85,175.12,163.32,165.86,206.66,190.59,75.23,112.75,91.07,108.59,
2021-KW13,185.48,64.26,218.05,394.48,192.41,84.81,182.38,169.73,112.58,213.58,224.4,179.71,130.4,125.38,144.96,227.69,96.53,
2021-KW14,185.48,208.86,251.59,295.86,162.81,197.89,182.38,145.48,200.13,175.89,243.92,134.78,210.65,87.76,161.07,45.54,72.39,
2021-KW15,123.65,160.66,201.27,328.73,162.81,197.89,158.06,133.36,237.66,188.45,146.35,134.78,30.09,87.76,80.53,113.84,96.53,
2021-KW16,154.57,240.99,318.69,131.49,162.81,212.02,194.54,254.6,162.61,201.01,97.57,170.72,90.28,100.3,48.32,91.07,36.2,
2021-KW17,61.83,208.86,218.05,147.93,74.0,226.16,255.33,157.61,175.12,175.89,107.32,71.88,50.16,75.23,32.21,22.77,48.26,
2021-KW18,,96.4,184.5,98.62,118.41,70.67,158.06,133.36,125.08,50.25,126.84,107.82,60.19,25.08,48.32,,36.2,
2021-KW19,46.37,144.59,33.55,49.31,222.01,70.67,109.43,96.99,100.07,100.51,78.05,71.88,60.19,37.61,32.21,91.07,,
2021-KW20,30.91,16.07,50.32,32.87,59.2,56.54,24.32,24.25,12.51,37.69,29.27,53.91,,,,,,
2021-KW21,,48.2,33.55,32.87,44.4,28.27,,24.25,,25.13,48.78,17.97,10.03,12.54,,,,
2021-KW22,,32.13,67.09,32.87,29.6,42.4,24.32,36.37,25.02,50.25,39.03,17.97,20.06,,,,,
2021-KW23,46.37,48.2,33.55,32.87,,,36.48,48.49,37.53,12.56,9.76,8.99,10.03,,16.11,,,
2021-KW24,30.91,16.07,16.77,,14.8,14.13,,24.25,12.51,25.13,,,,,,,,
2021-KW25,15.46,32.13,,,,,12.16,12.12,12.51,,9.76,8.99,,,,,,
2021-KW26,,16.07,,,,,12.16,,25.02,12.56,,8.99,,,,,,
2021-KW27,15.46,16.07,,16.44,14.8,,,12.12,,,9.76,8.99,,25.08,,,,
2021-KW28,15.46,,,,59.2,,,12.12,37.53,12.56,19.51,,,,,,,
2021-KW29,,,,98.62,44.4,56.54,24.32,,25.02,50.25,19.51,17.97,20.06,12.54,,,12.07,
2021-KW30,,48.2,67.09,213.68,29.6,28.27,12.16,12.12,87.56,50.25,19.51,8.99,20.06,12.54,,,,
2021-KW31,,,50.32,65.75,103.61,84.81,12.16,,25.02,25.13,9.76,,20.06,12.54,32.21,,,
2021-KW32,61.83,80.33,33.55,32.87,177.61,113.08,85.11,84.87,50.03,,29.27,26.96,10.03,12.54,,,,
2021-KW33,139.11,80.33,201.27,164.37,162.81,197.89,170.22,96.99,87.56,87.94,58.54,8.99,40.12,25.08,,,,
2021-KW34,139.11,176.73,285.14,262.98,192.41,98.94,145.9,96.99,150.1,87.94,107.32,89.85,50.16,37.61,16.11,22.77,12.07,
2021-KW35,200.94,337.39,452.87,295.86,236.81,183.75,182.38,206.1,187.63,238.7,78.05,44.93,20.06,12.54,16.11,,,
2021-KW36,108.2,208.86,285.14,98.62,59.2,141.35,85.11,145.48,175.12,113.07,78.05,80.87,40.12,37.61,80.53,22.77,12.07,
2021-KW37,247.31,273.12,251.59,147.93,148.01,155.48,145.9,109.11,62.54,100.51,9.76,71.88,,50.15,16.11,,24.13,
2021-KW38,77.28,112.46,234.82,131.49,162.81,84.81,36.48,36.37,87.56,25.13,48.78,26.96,,25.08,32.21,,12.07,
2021-KW39,77.28,64.26,184.5,230.11,88.81,113.08,72.95,84.87,50.03,87.94,39.03,17.97,40.12,25.08,,,,
2021-KW40,30.91,64.26,234.82,147.93,103.61,70.67,97.27,96.99,150.1,113.07,87.81,71.88,80.25,50.15,48.32,45.54,36.2,
2021-KW41,77.28,96.4,134.18,180.8,236.81,240.29,291.81,169.73,225.15,163.32,185.38,125.79,10.03,62.69,48.32,22.77,36.2,
2021-KW42,200.94,240.99,318.69,180.8,281.22,197.89,267.49,218.23,187.63,201.01,175.62,161.73,110.34,62.69,112.75,159.38,144.79,
2021-KW43,139.11,273.12,285.14,328.73,192.41,296.83,231.01,206.1,200.13,188.45,156.11,98.84,90.28,125.38,48.32,68.31,120.66,
2021-KW44,154.57,305.25,452.87,328.73,251.62,381.64,303.96,181.85,200.13,326.65,243.92,152.75,160.5,100.3,80.53,91.07,120.66,
2021-KW45,386.42,610.51,855.42,608.15,355.22,282.7,255.33,339.46,400.27,402.03,390.27,278.54,180.56,200.6,257.7,159.38,156.85,
2021-KW46,494.62,963.96,989.6,575.28,458.83,593.67,510.66,921.4,650.43,603.04,439.05,431.29,381.18,313.44,434.88,273.22,482.63,
2021-KW47,386.42,980.02,1056.69,591.72,458.83,565.4,522.82,691.05,675.45,640.73,487.84,449.26,391.21,413.74,289.92,432.6,434.36,
2021-KW48,463.7,1397.74,1140.56,904.01,725.25,735.02,863.26,1103.25,925.62,791.49,673.21,539.12,471.46,463.89,418.77,455.37,337.84,
2021-KW49,571.9,1221.01,939.28,657.46,518.03,522.99,644.4,751.67,612.91,728.67,448.81,377.38,391.21,288.37,257.7,250.46,337.84,
2021-KW50,448.25,835.43,888.96,608.15,399.63,339.24,559.29,618.31,550.37,263.83,458.57,377.38,270.84,175.53,177.17,295.99,470.56,
2021-KW51,293.68,465.91,452.87,328.73,281.22,353.37,328.28,351.59,387.76,263.83,273.19,242.6,160.5,87.76,80.53,204.92,277.51,
2021-KW52,231.85,305.25,335.46,246.55,296.02,424.05,340.44,254.6,287.69,326.65,204.89,269.56,140.44,162.99,32.21,182.15,144.79,
2022-KW01,262.76,417.72,670.92,525.97,532.83,508.86,559.29,448.58,400.27,326.65,302.46,260.57,210.65,112.84,112.75,68.31,108.59,
2022-KW02,324.59,706.9,972.83,591.72,710.44,735.02,765.99,412.2,437.79,414.59,263.43,233.62,260.81,125.38,96.64,45.54,120.66,
2022-KW03,525.53,1445.94,1190.88,986.19,1110.07,749.15,911.89,1151.75,1038.19,778.93,487.84,233.62,250.78,125.38,112.75,136.61,72.39,
2022-KW04,1004.69,2602.69,2113.38,1232.74,1524.5,1554.84,1519.82,1636.69,1375.92,1093.01,809.81,682.88,471.46,351.05,241.6,182.15,217.18,
2022-KW05,1035.6,2715.15,2868.17,2596.98,1909.32,2374.67,2176.38,2412.61,2138.93,1520.16,1034.21,907.51,722.24,426.28,289.92,364.3,506.76,
2022-KW06,1252.0,3004.34,3471.99,2810.65,1820.51,2007.16,2079.11,1976.16,2289.03,1696.05,1063.48,1006.35,712.21,476.43,450.98,204.92,530.89,
2022-KW07,1112.89,2859.74,3170.08,2761.34,2234.94,1781.0,2091.27,2085.27,1888.76,1871.94,1375.7,1078.23,742.3,488.97,402.66,387.07,241.31,
2022-KW08,1143.8,2201.04,2465.62,2087.44,2294.14,1837.54,1957.53,2048.9,2138.93,1834.25,1414.73,916.5,762.36,463.89,434.88,204.92,277.51,
2022-KW09,1298.37,2297.43,1861.79,2005.26,1805.71,1667.92,1775.15,2170.14,1676.12,1708.61,1248.86,1069.25,722.24,514.04,660.37,341.53,337.84,
2022-KW10,911.95,2329.57,2784.3,2481.92,3063.79,2162.65,1994.0,2400.48,2101.4,1884.5,1765.97,1608.36,1474.57,1015.55,901.96,591.99,977.32,
2022-KW11,1267.45,3470.25,3237.17,3583.17,2767.77,2162.65,2370.92,2873.31,2801.87,2173.46,1912.32,1832.99,1584.91,1003.01,869.75,637.52,1158.3,
2022-KW12,2148.49,3566.65,3572.63,3221.56,2649.37,2530.15,2881.58,3067.29,2964.48,2550.36,2400.16,2372.11,1976.13,1328.99,1111.35,842.44,1061.78,
2022-KW13,1282.91,3020.4,2599.8,2991.45,2042.53,2176.78,2273.65,2412.61,2289.03,1947.32,1785.48,1563.44,1394.32,1078.23,1288.52,546.45,736.0,
2022-KW14,958.32,2409.9,1777.93,2153.19,1539.3,1540.71,1580.61,1576.08,1651.1,1733.74,1229.35,1141.13,993.08,965.4,612.05,546.45,494.69,
2022-KW15,633.73,1879.72,1928.88,1610.78,1376.49,1413.49,1300.96,1297.23,1250.83,1344.28,1278.13,916.5,802.49,664.49,740.9,523.68,651.54,
2022-KW16,633.73,1028.22,1224.42,1462.85,1613.3,1568.98,1483.34,1660.94,1488.49,1432.22,1414.73,1204.03,1043.23,752.26,579.83,591.99,663.61,
2022-KW17,556.44,1204.95,1274.74,1758.71,1065.67,1173.2,1228.01,1079.01,1313.38,841.74,1024.46,772.73,732.27,677.03,370.45,250.46,555.02,
2022-KW18,370.96,610.51,603.82,591.72,799.25,565.4,680.88,751.67,775.52,540.22,526.86,503.17,391.21,275.83,177.17,273.22,349.9,
2022-KW19,170.02,594.44,436.1,394.48,473.63,480.59,510.66,509.19,525.35,603.04,429.3,332.45,290.9,175.53,273.81,159.38,144.79,
2022-KW20,61.83,160.66,385.78,476.66,458.83,409.91,303.96,400.08,337.73,188.45,321.97,296.51,341.06,175.53,96.64,136.61,120.66,
2022-KW21,92.74,64.26,285.14,279.42,133.21,268.56,340.44,339.46,137.59,125.63,107.32,170.72,160.5,162.99,80.53,113.84,36.2,
2022-KW22,61.83,80.33,436.1,246.55,325.62,240.29,413.39,230.35,212.64,326.65,321.97,170.72,190.59,125.38,96.64,136.61,84.46,
2022-KW23,108.2,144.59,301.91,394.48,399.63,593.67,486.34,193.98,325.22,276.39,468.32,395.35,140.44,175.53,289.92,113.84,144.79,
2022-KW24,77.28,208.86,369.0,460.22,488.43,579.53,705.2,533.44,550.37,502.53,321.97,476.22,310.96,288.37,322.13,204.92,180.98,
2022-KW25,247.31,289.19,436.1,936.88,917.66,1258.01,984.84,642.55,825.55,640.73,624.43,593.03,481.49,225.68,225.49,273.22,205.12,
2022-KW26,185.48,321.32,603.82,772.52,532.83,1017.72,778.15,824.41,700.47,703.55,604.92,646.94,621.93,313.44,289.92,91.07,180.98,
2022-KW27,170.02,240.99,452.87,591.72,592.04,664.34,680.88,788.04,587.89,728.67,673.21,673.89,551.71,501.5,225.49,159.38,410.23,
2022-KW28,185.48,321.32,838.64,805.39,1139.67,932.91,936.21,763.79,1213.31,1093.01,897.62,898.53,732.27,288.37,370.45,273.22,253.38,
2022-KW29,200.94,385.58,637.37,871.14,976.86,1102.53,1033.48,1066.88,1113.24,829.18,965.92,808.67,662.05,514.04,418.77,227.69,241.31,
2022-KW30,401.88,353.45,536.73,641.03,814.05,876.37,741.67,1030.51,712.98,766.36,722.0,790.7,621.93,514.04,402.66,318.76,325.77,
2022-KW31,108.2,273.12,251.59,295.86,532.83,565.4,607.93,509.19,687.96,439.72,487.84,359.41,391.21,238.21,354.34,227.69,156.85,
2022-KW32,154.57,128.53,201.27,262.98,296.02,565.4,364.76,327.34,512.84,590.48,400.03,359.41,250.78,351.05,273.81,182.15,193.05,
2022-KW33,77.28,144.59,184.5,131.49,414.43,296.83,389.07,327.34,250.17,477.41,409.78,404.34,270.84,213.14,128.85,182.15,132.72,
2022-KW34,77.28,144.59,150.96,131.49,310.82,325.1,291.81,387.96,312.71,276.39,331.73,269.56,331.03,100.3,209.38,182.15,193.05,
2022-KW35,92.74,176.73,100.64,131.49,355.22,197.89,231.01,375.83,362.74,251.27,351.24,251.59,170.53,275.83,209.38,136.61,120.66,
2022-KW36,30.91,160.66,150.96,180.8,355.22,339.24,462.02,303.09,337.73,288.96,253.68,368.4,331.03,162.99,161.07,182.15,168.92,
2022-KW37,139.11,192.79,301.91,115.06,192.41,268.56,364.76,266.72,262.68,414.59,253.68,242.6,250.78,175.53,112.75,22.77,120.66,
2022-KW38,216.39,257.06,201.27,279.42,281.22,353.37,547.13,654.68,425.28,489.97,419.54,539.12,501.55,325.98,257.7,295.99,132.72,
2022-KW39,123.65,192.79,452.87,345.17,384.82,494.72,583.61,775.91,813.04,515.1,702.48,853.6,892.77,739.72,740.9,660.29,398.17,
2022-KW40,170.02,321.32,436.1,575.28,769.65,763.29,924.05,666.8,800.53,829.18,975.67,970.41,1013.14,902.71,1063.03,569.22,699.81,
2022-KW41,108.2,289.19,234.82,378.04,754.85,848.1,814.62,581.94,888.09,678.42,936.65,943.45,1083.36,689.57,757.01,705.83,555.02,
