# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-05-18 07:02:06
# API-Download für Covid19-Inzidenzen in LK Gießen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,,5.05,4.85,,,,,,
2020-KW10,,,,,,4.56,,,,,,,11.5,,,,,
2020-KW11,,,,,4.26,,,6.08,13.61,6.4,,9.69,,6.69,8.93,,,
2020-KW12,,,8.8,22.74,17.04,18.26,42.05,36.48,34.01,44.77,15.15,19.38,11.5,6.69,,,,
2020-KW13,7.76,,,,21.3,27.39,31.54,18.24,27.21,31.98,55.54,14.54,45.99,40.16,8.93,,6.18,
2020-KW14,,,17.6,30.31,12.78,4.56,26.28,18.24,20.41,25.59,35.35,14.54,28.74,20.08,17.85,,12.37,
2020-KW15,,8.82,8.8,7.58,,18.26,5.26,6.08,13.61,6.4,5.05,4.85,,,8.93,,6.18,
2020-KW16,,8.82,,7.58,8.52,9.13,,12.16,13.61,,5.05,4.85,,,,,,
2020-KW17,15.53,,,,4.26,22.82,5.26,,,12.79,5.05,14.54,11.5,6.69,,,,
2020-KW18,15.53,,,,,4.56,5.26,12.16,,,5.05,9.69,5.75,6.69,8.93,,6.18,
2020-KW19,7.76,,,,8.52,,,,13.61,6.4,5.05,,,,8.93,,,
2020-KW20,,,,,8.52,4.56,,,6.8,,,,,,,,,
2020-KW21,,,,,,,,6.08,,,,4.85,,,,,,
2020-KW22,,,8.8,7.58,,,,,6.8,,,,5.75,6.69,,,,
2020-KW23,,,,,,,,,,,,4.85,,,,,,
2020-KW24,,,,,,,,,,6.4,,,,,,,,
2020-KW26,,,,,4.26,,,,,6.4,,,,,,,,
2020-KW27,,,,7.58,12.78,13.69,,,6.8,,5.05,4.85,5.75,,,,,
2020-KW28,,,,,4.26,4.56,,,,,,,,,,,,
2020-KW29,,,,7.58,4.26,9.13,,,,,,,,,,,,
2020-KW30,,,,7.58,4.26,4.56,,6.08,,,5.05,4.85,,,,,,
2020-KW31,,17.65,,,4.26,13.69,,18.24,,,,,5.75,,,,6.18,
2020-KW32,,,8.8,7.58,17.04,9.13,10.51,6.08,,,10.1,,,,,,6.18,
2020-KW33,,,8.8,,29.82,4.56,,6.08,13.61,,10.1,9.69,,,,9.45,,
2020-KW34,7.76,26.47,8.8,15.16,34.08,4.56,5.26,6.08,13.61,25.59,10.1,14.54,17.25,6.69,,,,
2020-KW35,7.76,8.82,,30.31,17.04,18.26,26.28,6.08,,,,,11.5,,,,,
2020-KW36,7.76,8.82,17.6,15.16,17.04,9.13,5.26,6.08,6.8,,15.15,19.38,,6.69,8.93,,,
2020-KW37,,,52.79,22.74,17.04,18.26,21.03,12.16,13.61,,5.05,14.54,5.75,20.08,,,,
2020-KW38,,,61.59,22.74,4.26,,5.26,6.08,13.61,6.4,10.1,,17.25,,,18.91,6.18,
2020-KW39,,,,7.58,,4.56,10.51,12.16,6.8,12.79,5.05,9.69,5.75,,,,,
2020-KW40,23.29,17.65,17.6,15.16,8.52,27.39,31.54,12.16,13.61,31.98,45.45,14.54,17.25,,8.93,9.45,6.18,
2020-KW41,15.53,8.82,8.8,22.74,29.82,45.65,15.77,24.32,27.21,31.98,30.3,48.45,28.74,,,,6.18,
2020-KW42,46.58,70.59,26.39,7.58,72.42,63.91,115.64,91.19,74.83,70.36,65.64,58.15,23.0,46.85,17.85,,6.18,
2020-KW43,85.39,114.71,175.96,143.99,191.71,178.03,147.18,103.35,74.83,115.13,95.94,72.68,45.99,80.32,26.78,18.91,12.37,
2020-KW44,46.58,97.06,184.76,197.04,221.53,237.38,231.29,182.38,170.07,230.27,191.88,125.98,126.47,80.32,71.41,66.18,49.48,
2020-KW45,77.63,141.18,281.54,325.88,268.39,287.59,283.85,243.18,278.91,179.1,207.03,169.59,183.96,194.11,80.34,47.27,30.92,
2020-KW46,62.1,97.06,369.52,378.93,302.48,292.16,236.54,237.1,244.9,198.29,196.93,188.97,91.98,66.93,35.7,28.36,74.22,
2020-KW47,46.58,52.94,131.97,159.15,272.65,209.99,257.57,206.7,217.69,249.46,176.73,121.14,120.72,100.4,35.7,113.45,383.45,
2020-KW48,46.58,88.24,61.59,227.36,178.93,191.73,199.75,176.3,170.07,127.93,151.48,125.98,103.48,73.63,124.97,151.27,426.74,
2020-KW49,46.58,114.71,52.79,90.94,195.97,141.51,199.75,200.62,231.29,140.72,207.03,130.83,137.97,107.1,62.48,66.18,327.79,
2020-KW50,139.73,141.18,131.97,166.73,234.31,319.55,220.77,383.0,285.71,275.04,302.97,198.66,235.7,140.56,205.3,151.27,692.68,
2020-KW51,69.86,97.06,228.75,189.47,298.21,333.24,262.83,249.26,299.32,243.06,237.33,310.11,339.18,227.58,214.23,283.63,544.25,
2020-KW52,15.53,35.3,52.79,159.15,191.71,237.38,268.08,139.83,251.7,179.1,237.33,276.19,224.2,160.64,187.45,264.73,550.44,
2020-KW53,38.81,61.77,79.18,204.62,217.27,283.03,268.08,237.1,224.49,319.82,272.67,314.95,241.45,180.72,187.45,293.09,773.08,
2021-KW01,62.1,35.3,158.37,295.57,195.97,283.03,241.8,218.86,285.71,313.42,277.72,266.5,252.95,180.72,232.08,151.27,451.48,
2021-KW02,38.81,70.59,61.59,166.73,153.37,182.6,157.7,206.7,210.88,172.7,126.24,140.52,149.47,147.26,160.67,56.73,284.5,
2021-KW03,23.29,44.12,26.39,159.15,93.72,95.86,110.39,97.27,102.04,95.94,95.94,130.83,97.73,40.16,62.48,113.45,154.62,
2021-KW04,7.76,35.3,70.39,53.05,85.2,73.04,99.87,79.03,88.44,89.55,60.59,92.06,80.48,66.93,80.34,56.73,142.25,
2021-KW05,23.29,26.47,61.59,75.79,110.77,73.04,99.87,109.43,95.24,89.55,90.89,87.22,109.23,53.55,44.63,18.91,68.03,
2021-KW06,23.29,,8.8,37.89,59.64,36.52,57.82,60.79,34.01,51.17,55.54,43.61,68.99,6.69,26.78,37.82,68.03,
2021-KW07,7.76,17.65,43.99,75.79,42.6,50.21,63.08,42.56,108.84,63.96,50.49,72.68,57.49,20.08,8.93,56.73,37.11,
2021-KW08,100.92,61.77,43.99,37.89,72.42,104.99,68.33,36.48,54.42,31.98,60.59,62.99,51.74,33.47,26.78,,37.11,
2021-KW09,54.34,61.77,52.79,136.42,89.46,86.73,99.87,79.03,74.83,76.76,80.79,48.45,103.48,73.63,26.78,18.91,37.11,
2021-KW10,93.15,97.06,79.18,106.1,132.07,150.64,110.39,133.75,170.07,134.32,126.24,101.75,45.99,60.24,26.78,18.91,55.66,
2021-KW11,178.54,176.48,131.97,174.31,174.67,159.77,273.34,200.62,183.67,243.06,171.68,222.89,155.22,100.4,53.56,56.73,98.95,
2021-KW12,155.26,291.19,299.14,424.4,268.39,237.38,325.9,267.49,333.33,281.44,257.52,193.82,166.71,167.34,160.67,85.09,129.88,
2021-KW13,100.92,132.36,193.56,287.99,157.63,164.34,210.26,224.94,176.87,172.7,181.78,145.36,109.23,87.01,53.56,47.27,80.4,
2021-KW14,100.92,247.07,158.37,318.3,281.17,401.72,352.19,279.65,265.31,326.21,196.93,198.66,143.72,87.01,98.19,75.64,80.4,
2021-KW15,116.44,255.89,193.56,272.83,230.05,273.9,394.24,291.81,319.73,223.87,176.73,203.51,172.46,100.4,116.04,85.09,86.59,
2021-KW16,170.78,264.71,263.95,424.4,345.08,301.29,420.52,291.81,299.32,319.82,217.13,184.13,189.71,153.95,142.82,37.82,55.66,
2021-KW17,240.65,158.83,237.55,341.04,161.89,173.47,252.31,231.02,224.49,179.1,146.44,174.44,137.97,133.87,133.89,85.09,55.66,
