# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-01-29 07:51:17
# API-Download für Covid19-Inzidenzen in LK Goslar, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,13.39,,,,,,8.53,,32.04,23.73,,,
2020-KW12,,,,,14.22,,40.81,,14.02,40.53,9.64,25.58,9.33,,11.86,,,
2020-KW13,,,,17.23,14.22,,,43.15,14.02,40.53,57.85,25.58,37.31,21.36,,44.68,23.32,
2020-KW14,,,,,28.45,26.77,,14.38,14.02,27.02,48.21,34.11,37.31,10.68,59.32,29.79,31.09,
2020-KW15,,,,,14.22,40.16,27.21,14.38,14.02,40.53,19.28,25.58,18.65,21.36,11.86,29.79,23.32,
2020-KW16,,,,,,26.77,40.81,,,13.51,38.57,8.53,37.31,10.68,23.73,,69.96,
2020-KW17,,19.81,19.21,,,40.16,95.23,71.92,70.08,67.55,19.28,17.05,18.65,21.36,23.73,14.89,38.86,
2020-KW18,,,,,,26.77,27.21,,14.02,13.51,48.21,17.05,9.33,21.36,23.73,29.79,46.64,
2020-KW19,40.97,19.81,19.21,,28.45,26.77,40.81,,,40.53,9.64,17.05,9.33,,,44.68,23.32,
2020-KW20,,,,,,,,14.38,,13.51,9.64,8.53,9.33,10.68,,14.89,15.55,
2020-KW21,,,,,,13.39,,,,,9.64,8.53,9.33,,11.86,29.79,7.77,
2020-KW22,,,,17.23,,,,,14.02,,,,9.33,,,,7.77,
2020-KW23,,,,,,13.39,,,,,,,9.33,10.68,,,,
2020-KW25,,,,,,,,,,13.51,,17.05,,,,,,
2020-KW27,20.48,,,,,,13.6,,,,,,,,,,7.77,
2020-KW29,,,,,,26.77,,,,,,,,,,,,
2020-KW31,,,,,14.22,80.32,27.21,14.38,,,,,,,,,,
2020-KW33,,,,,14.22,,,,,,,,,,,,,
2020-KW34,,19.81,,,,,13.6,14.38,,,,,,10.68,,,,
2020-KW35,,,,,14.22,,13.6,,14.02,,,,,,,,,
2020-KW36,,,19.21,17.23,,,,,14.02,13.51,,8.53,,,,,,
2020-KW37,,,,,,,,,,,,8.53,,,,14.89,23.32,
