# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-03-13 07:46:59
# API-Download für Covid19-Inzidenzen in LK Gotha, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,18.25,,,,,,,,,,,,,
2020-KW12,,,,,,,12.77,11.45,,,19.73,17.12,,,12.99,15.89,,
2020-KW13,,,17.04,,,21.51,12.77,11.45,23.6,12.75,9.87,8.56,8.95,9.97,,31.79,,
2020-KW14,,,,,18.25,,12.77,34.34,23.6,,39.46,8.56,,9.97,,,9.11,
2020-KW15,,,,17.77,73.01,86.05,38.31,34.34,23.6,38.24,29.6,25.68,8.95,9.97,38.96,,54.67,
2020-KW16,,16.4,,88.86,73.01,86.05,25.54,45.79,23.6,38.24,19.73,59.92,8.95,9.97,25.97,31.79,127.57,
2020-KW17,18.25,,,17.77,109.52,150.58,51.08,45.79,59.01,76.47,59.19,34.24,17.91,19.93,38.96,63.57,63.79,
2020-KW18,,,,17.77,73.01,21.51,,22.9,23.6,50.98,39.46,17.12,17.91,19.93,,79.47,200.47,
2020-KW19,,,,,36.51,64.53,12.77,22.9,11.8,25.49,,17.12,8.95,19.93,51.95,31.79,54.67,
2020-KW20,,,,,,,12.77,,,,,8.56,,,,15.89,36.45,
2020-KW21,,,,,,,12.77,11.45,,,,8.56,8.95,,12.99,,9.11,
2020-KW22,,,34.09,,,21.51,12.77,22.9,35.41,25.49,,17.12,,,,15.89,18.22,
2020-KW23,,32.81,34.09,,,,,,11.8,12.75,,,8.95,,,,9.11,
2020-KW24,,,,,,,,,,,9.87,8.56,,,,,,
2020-KW25,,,,,,,,,,,,,,,12.99,15.89,,
2020-KW26,,,,,,,,,,,,,,,,,18.22,
2020-KW27,,,,,,,,11.45,,,,,8.95,9.97,,,,
2020-KW29,,,,,,,25.54,,,,9.87,,,,,,,
2020-KW30,,,,,,,,,,12.75,,,,,,,,
2020-KW32,,,,,18.25,,25.54,,,,9.87,,,,,,,
2020-KW33,,,,,,21.51,,,,,,8.56,,,,,9.11,
2020-KW34,,,,17.77,,43.02,,,,,9.87,8.56,,,,,,
2020-KW35,,,17.04,,36.51,,,,11.8,,9.87,,,,,,,
2020-KW36,,,,17.77,18.25,,,,11.8,,,,,,,,,
2020-KW37,18.25,,,,36.51,,12.77,11.45,,12.75,,8.56,8.95,,,31.79,,
2020-KW38,,,,17.77,,64.53,,22.9,,12.75,,8.56,,,,15.89,,
2020-KW39,,16.4,,,,,,,,,19.73,25.68,8.95,,,,,
2020-KW40,,,,,,,,,,,,,,,12.99,15.89,,
2020-KW41,,,,35.55,,21.51,38.31,57.24,11.8,12.75,9.87,34.24,17.91,39.86,,15.89,27.34,
2020-KW42,,,,17.77,36.51,21.51,51.08,22.9,23.6,,39.46,17.12,26.86,29.9,25.97,,9.11,
2020-KW43,18.25,16.4,,71.09,127.78,43.02,51.08,34.34,35.41,50.98,,59.92,17.91,,38.96,15.89,9.11,
2020-KW44,,,,71.09,18.25,43.02,76.63,11.45,35.41,25.49,69.06,59.92,8.95,9.97,,47.68,45.56,
2020-KW45,,16.4,,17.77,91.27,107.56,38.31,45.79,23.6,50.98,59.19,68.48,17.91,9.97,25.97,,27.34,
2020-KW46,36.49,,34.09,53.32,182.54,21.51,102.17,45.79,70.81,114.71,78.93,94.15,44.77,49.83,38.96,111.25,191.36,
2020-KW47,109.48,16.4,85.21,142.18,73.01,64.53,140.48,125.93,129.82,127.45,108.52,136.95,71.64,19.93,38.96,31.79,109.35,
2020-KW48,18.25,98.43,51.13,71.09,127.78,107.56,153.25,114.48,47.21,76.47,118.39,51.36,44.77,29.9,,47.68,145.79,
2020-KW49,,65.62,170.43,124.41,127.78,64.53,102.17,114.48,212.43,165.69,157.85,128.39,44.77,29.9,12.99,47.68,118.46,
2020-KW50,72.99,147.64,85.21,88.86,109.52,193.6,217.1,206.06,165.22,191.18,187.45,162.63,116.41,39.86,12.99,47.68,136.68,
2020-KW51,18.25,180.45,34.09,159.95,328.57,322.67,293.73,228.96,247.84,191.18,414.36,196.87,214.91,209.27,90.91,222.5,555.84,
2020-KW52,18.25,98.43,34.09,71.09,237.3,215.12,178.79,263.3,236.03,229.42,345.3,256.78,205.95,179.37,77.92,317.86,428.27,
2020-KW53,36.49,32.81,68.17,159.95,255.55,215.12,229.88,183.16,236.03,280.4,236.78,205.43,223.86,49.83,77.92,158.93,446.5,
2021-KW01,18.25,,17.04,266.59,584.12,322.67,395.9,309.09,283.24,331.38,463.69,419.41,197.0,89.69,181.81,270.18,1002.34,
2021-KW02,91.24,32.81,85.21,408.77,474.6,623.83,395.9,354.88,483.87,522.56,414.36,547.8,259.68,169.41,181.81,381.44,446.5,
2021-KW03,91.24,16.4,,231.04,219.04,150.58,268.19,297.64,188.83,331.38,276.24,342.38,268.63,99.65,168.82,158.93,419.16,
2021-KW04,54.74,164.04,68.17,231.04,219.04,236.63,255.42,274.75,247.84,280.4,295.97,291.02,197.0,149.48,155.84,158.93,246.03,
2021-KW05,54.74,98.43,51.13,17.77,255.55,322.67,332.04,297.64,247.84,178.43,167.72,154.07,250.72,119.58,207.78,158.93,264.25,
2021-KW06,91.24,131.23,102.26,159.95,310.31,215.12,178.79,228.96,212.43,114.71,217.05,136.95,125.36,119.58,103.89,222.5,246.03,
2021-KW07,91.24,,17.04,177.73,182.54,86.05,153.25,103.03,82.61,216.67,256.51,188.31,125.36,59.79,77.92,79.47,200.47,
2021-KW08,18.25,32.81,85.21,177.73,219.04,172.09,140.48,137.37,94.41,191.18,147.99,145.51,116.41,49.83,51.95,143.04,191.36,
2021-KW09,109.48,49.21,68.17,88.86,127.78,193.6,102.17,171.72,118.02,101.96,207.18,188.31,62.68,39.86,77.92,95.36,200.47,
