# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-08-24 08:41:28
# API-Download für Covid19-Inzidenzen in LK Grafschaft Bentheim, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,12.7,,,,,,,,,,,,
2020-KW11,,,,,,,11.9,,12.65,,8.96,8.42,,,,,,
2020-KW12,,,,,,50.79,,37.2,12.65,23.67,44.82,8.42,30.73,36.48,28.69,,,
2020-KW13,,,,,79.23,25.4,23.81,12.4,25.29,35.5,71.72,25.26,40.98,72.96,86.06,60.98,53.73,
2020-KW14,14.11,,14.54,27.46,52.82,12.7,35.71,,25.29,47.33,44.82,50.51,20.49,48.64,43.03,81.31,53.73,
2020-KW15,,,,13.73,13.21,25.4,11.9,37.2,25.29,47.33,71.72,50.51,10.24,24.32,43.03,162.63,42.99,
2020-KW16,,,58.17,13.73,66.03,38.09,35.71,24.8,25.29,23.67,17.93,25.26,,24.32,,,21.49,
2020-KW17,,,,13.73,26.41,12.7,11.9,12.4,12.65,11.83,17.93,8.42,10.24,,,,10.75,
2020-KW18,,,,,,,,12.4,,,8.96,,,36.48,,,32.24,
2020-KW19,,,,,,,,12.4,,,17.93,16.84,30.73,,,,,
2020-KW20,,,,,,,,,,,,,,,,,10.75,
2020-KW21,,,,,13.21,,,,,11.83,8.96,,,,,,,
2020-KW22,,,,,13.21,,,,,,8.96,,,,,,,
2020-KW23,14.11,,29.09,,,,11.9,24.8,12.65,,,,10.24,,,,,
2020-KW24,,,,,,,,,,,,,,12.16,,,,
2020-KW28,14.11,,,,,,,12.4,,,,,,,,,,
2020-KW29,,14.74,14.54,,13.21,12.7,11.9,,12.65,,,,,,,,,
2020-KW30,,14.74,,,,,,24.8,12.65,11.83,,,,,,,,
2020-KW31,,,,,,,,,,,8.96,8.42,,,,,,
2020-KW32,,14.74,,,,12.7,11.9,,,,,,,,,,,
2020-KW33,,,,,,12.7,23.81,12.4,12.65,11.83,,,,,,,,
2020-KW34,,,,41.18,26.41,,,,12.65,,,,10.24,,,,,
2020-KW35,,,,13.73,39.62,12.7,,12.4,,,,,,,,,,
2020-KW36,,,,,,,,,,,8.96,,,,,,,
2020-KW37,,,,13.73,26.41,,11.9,12.4,12.65,,,,,,,,,
2020-KW38,14.11,,,13.73,13.21,12.7,,12.4,,,,,,,,,,
2020-KW39,,,,,13.21,,23.81,24.8,,,8.96,,,,,,,
2020-KW40,,,14.54,27.46,39.62,63.49,47.62,24.8,12.65,11.83,35.86,50.51,61.46,,,,,
2020-KW41,14.11,58.98,43.63,82.37,105.64,165.07,119.05,86.81,202.35,177.5,197.22,109.44,71.71,24.32,28.69,,32.24,
2020-KW42,56.45,,29.09,41.18,118.85,139.67,107.14,99.21,88.53,130.17,89.64,109.44,81.95,48.64,100.41,60.98,96.72,
2020-KW43,56.45,88.47,43.63,288.28,92.44,126.98,166.67,62.01,139.12,236.67,116.54,109.44,143.41,109.44,143.44,60.98,139.71,
2020-KW44,,44.23,87.26,384.38,330.13,177.77,130.95,223.23,189.71,213.0,268.93,227.3,163.9,60.8,71.72,20.33,290.16,
2020-KW45,70.56,88.47,101.8,192.19,158.46,114.28,142.86,124.02,139.12,177.5,125.5,134.7,71.71,60.8,57.37,60.98,42.99,
2020-KW46,42.33,44.23,29.09,82.37,184.87,152.37,35.71,62.01,50.59,118.33,80.68,33.67,10.24,97.28,71.72,20.33,257.92,
2020-KW47,84.67,58.98,87.26,233.37,277.31,126.98,83.33,111.61,88.53,106.5,152.39,84.19,71.71,12.16,71.72,40.66,150.45,
2020-KW48,28.22,44.23,58.17,151.01,132.05,139.67,71.43,74.41,164.41,118.33,89.64,109.44,51.22,60.8,86.06,40.66,75.23,
2020-KW49,70.56,44.23,58.17,178.46,132.05,228.56,142.86,148.82,75.88,142.0,116.54,109.44,122.93,60.8,86.06,142.3,354.64,
2020-KW50,70.56,88.47,72.71,192.19,250.9,317.44,142.86,186.02,113.82,106.5,179.29,134.7,122.93,72.96,43.03,81.31,118.21,
2020-KW51,141.11,44.23,174.51,302.01,250.9,165.07,190.48,248.03,177.06,272.17,224.11,218.88,163.9,194.56,215.15,81.31,386.88,
2020-KW52,98.78,88.47,87.26,343.19,224.49,165.07,166.67,136.42,202.35,224.83,197.22,193.63,51.22,109.44,100.41,182.95,118.21,
2020-KW53,84.67,88.47,116.34,178.46,250.9,177.77,142.86,248.03,139.12,201.17,152.39,176.79,122.93,97.28,186.47,101.64,225.68,
2021-KW01,155.22,117.96,101.8,109.82,250.9,139.67,166.67,173.62,126.47,118.33,71.72,84.19,184.39,109.44,57.37,203.28,408.37,
2021-KW02,28.22,103.21,130.89,109.82,237.69,101.58,47.62,62.01,113.82,106.5,62.75,84.19,61.46,24.32,14.34,60.98,96.72,
2021-KW03,14.11,14.74,58.17,82.37,92.44,63.49,107.14,24.8,50.59,130.17,98.61,134.7,71.71,60.8,14.34,20.33,107.47,
2021-KW04,42.33,14.74,29.09,123.55,118.85,38.09,59.52,86.81,139.12,35.5,107.57,33.67,92.19,85.12,28.69,,85.97,
2021-KW05,,29.49,72.71,82.37,158.46,63.49,71.43,62.01,88.53,94.67,98.61,117.86,30.73,24.32,28.69,121.97,53.73,
2021-KW06,98.78,117.96,58.17,96.09,105.64,126.98,71.43,124.02,50.59,71.0,62.75,58.93,61.46,36.48,,60.98,32.24,
2021-KW07,28.22,44.23,,27.46,198.08,101.58,83.33,86.81,75.88,47.33,62.75,25.26,20.49,60.8,71.72,20.33,42.99,
2021-KW08,14.11,73.72,43.63,151.01,211.28,63.49,35.71,74.41,113.82,47.33,116.54,50.51,10.24,60.8,114.75,101.64,53.73,
2021-KW09,56.45,162.19,43.63,96.09,224.49,76.19,119.05,49.61,101.18,106.5,125.5,117.86,71.71,48.64,28.69,40.66,118.21,
2021-KW10,70.56,58.98,101.8,109.82,158.46,114.28,119.05,99.21,126.47,71.0,125.5,58.93,51.22,48.64,28.69,40.66,42.99,
2021-KW11,155.22,250.66,203.6,109.82,132.05,101.58,190.48,161.22,88.53,106.5,62.75,67.35,61.46,36.48,28.69,,53.73,
2021-KW12,112.89,58.98,87.26,109.82,145.26,88.88,202.38,124.02,101.18,118.33,62.75,75.77,30.73,48.64,57.37,40.66,64.48,
