# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-09-06 09:25:49
# API-Download für Covid19-Inzidenzen in LK Haßberge, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,25.01,,,,,,58.69,14.65,,14.41,,,,,
2020-KW12,,,,75.02,,22.47,39.86,38.69,,19.56,29.29,,14.41,,,,,
2020-KW13,,,,25.01,67.43,22.47,79.71,38.69,63.4,78.25,102.52,25.79,28.82,17.97,47.04,,,
2020-KW14,,,108.05,100.03,89.91,44.94,59.78,58.04,42.27,19.56,43.94,38.68,43.23,53.91,47.04,34.71,17.71,
2020-KW15,,,,25.01,44.95,44.94,,19.35,,19.56,29.29,25.79,,17.97,47.04,,53.13,
2020-KW16,25.26,,,,,44.94,39.86,19.35,21.13,39.12,58.58,38.68,14.41,17.97,94.07,,123.98,
2020-KW17,,,,,44.95,,59.78,19.35,,39.12,14.65,,14.41,,,,,
2020-KW18,,,,25.01,44.95,22.47,,,21.13,,14.65,,,,,,35.42,
2020-KW20,,,,,22.48,,,,,,,,,,,,,
2020-KW22,,,,25.01,,22.47,19.93,,,,,,14.41,,,,,
2020-KW23,,,,,,22.47,,,,,,,,17.97,,,17.71,
2020-KW24,,,,25.01,,,,,,,,,,,,,,
2020-KW25,,,,,,22.47,19.93,,,,,,14.41,,,,,
2020-KW28,25.26,,,,,22.47,,,21.13,19.56,,12.89,14.41,,,34.71,,
2020-KW30,,52.38,,,,,,,,,,,,,,,,
2020-KW31,,,,,67.43,,,19.35,,,,,,,,,,
2020-KW32,,,,,22.48,,,,,,,,14.41,,,,,
2020-KW34,,,,,22.48,,,,,,,,,,,,,
2020-KW35,,,,,44.95,,19.93,,,,14.65,12.89,,,,,,
2020-KW36,,,54.02,25.01,,,,,42.27,,,,,,,,,
2020-KW37,,,27.01,,,,,38.69,,19.56,,,,,,,,
2020-KW38,,,,,,,,19.35,,19.56,29.29,,14.41,17.97,,,,
2020-KW39,25.26,26.19,,50.01,,,59.78,38.69,84.53,,14.65,25.79,43.23,,47.04,,35.42,
2020-KW40,,26.19,,25.01,44.95,,,,,19.56,,25.79,14.41,,23.52,,17.71,
2020-KW41,,,,,89.91,44.94,39.86,,21.13,,,25.79,28.82,,,,,
2020-KW42,,26.19,,75.02,247.25,44.94,19.93,77.38,21.13,19.56,73.23,25.79,28.82,,,,17.71,
2020-KW43,,26.19,,125.03,134.86,89.89,239.14,116.08,42.27,78.25,102.52,90.26,28.82,35.94,23.52,,70.85,
2020-KW44,,,108.05,400.1,269.72,89.89,119.57,58.04,105.66,97.81,205.04,51.58,86.46,17.97,,,,
2020-KW45,,104.77,27.01,125.03,269.72,157.3,159.43,270.85,147.93,39.12,87.87,51.58,72.05,53.91,70.56,,106.27,
2020-KW46,101.04,52.38,81.04,325.08,202.29,292.13,139.5,174.11,147.93,215.18,336.85,141.84,172.91,71.88,94.07,173.55,177.12,
2020-KW47,151.55,157.15,243.11,300.08,337.15,382.02,279.0,328.88,295.86,176.06,307.56,257.9,144.09,197.66,94.07,173.55,673.04,
2020-KW48,151.55,157.15,324.15,250.06,314.68,202.25,378.64,270.85,316.99,195.62,175.75,335.27,244.96,107.82,164.63,104.13,336.52,
2020-KW49,25.26,209.53,189.09,225.06,179.82,224.72,239.14,270.85,253.59,195.62,175.75,180.53,129.68,161.73,117.59,104.13,194.83,
2020-KW50,126.29,209.53,351.16,200.05,224.77,247.19,159.43,232.15,232.46,117.37,102.52,193.42,100.86,107.82,94.07,138.84,177.12,
2020-KW51,101.04,130.96,189.09,100.03,269.72,179.78,298.92,251.5,169.06,234.74,146.46,206.32,172.91,215.63,94.07,208.26,212.54,
2020-KW52,75.78,261.92,27.01,100.03,179.82,314.61,199.28,154.77,211.33,176.06,248.97,193.42,187.32,53.91,47.04,173.55,247.96,
2020-KW53,126.29,288.11,189.09,200.05,292.2,157.3,279.0,154.77,169.06,312.99,205.04,193.42,172.91,197.66,282.22,104.13,566.77,
2021-KW01,25.26,104.77,162.07,200.05,247.25,359.55,298.92,232.15,105.66,195.62,248.97,257.9,172.91,89.85,94.07,277.68,247.96,
2021-KW02,176.81,78.58,27.01,100.03,247.25,224.72,99.64,116.08,169.06,156.49,146.46,154.74,158.5,125.79,47.04,69.42,159.4,
2021-KW03,25.26,,54.02,,112.38,157.3,179.35,38.69,42.27,156.49,73.23,51.58,43.23,71.88,47.04,,159.4,
2021-KW04,,,27.01,150.04,112.38,157.3,99.64,38.69,105.66,97.81,73.23,77.37,57.64,161.73,23.52,34.71,17.71,
2021-KW05,,52.38,54.02,50.01,89.91,44.94,79.71,38.69,42.27,78.25,43.94,38.68,57.64,17.97,,34.71,35.42,
2021-KW06,25.26,,27.01,50.01,89.91,112.36,39.86,58.04,,19.56,87.87,38.68,57.64,,47.04,34.71,53.13,
2021-KW07,50.52,,,,,67.42,59.78,19.35,126.8,39.12,29.29,77.37,14.41,17.97,23.52,,53.13,
2021-KW08,,52.38,27.01,25.01,44.95,44.94,39.86,38.69,84.53,58.69,14.65,,43.23,,47.04,,17.71,
2021-KW09,25.26,,54.02,25.01,89.91,67.42,19.93,19.35,84.53,19.56,102.52,38.68,72.05,17.97,23.52,34.71,,
2021-KW10,75.78,26.19,27.01,125.03,112.38,44.94,,116.08,,117.37,117.16,51.58,43.23,35.94,23.52,,,
2021-KW11,202.07,261.92,135.06,175.04,134.86,134.83,199.28,96.73,147.93,215.18,73.23,64.47,43.23,71.88,164.63,69.42,,
2021-KW12,151.55,104.77,189.09,125.03,247.25,179.78,99.64,154.77,253.59,136.93,131.81,77.37,100.86,125.79,94.07,69.42,177.12,
2021-KW13,101.04,130.96,108.05,275.07,337.15,359.55,259.07,290.19,190.19,371.67,117.16,167.63,158.5,89.85,188.15,138.84,123.98,
2021-KW14,75.78,209.53,270.12,400.1,337.15,247.19,318.85,212.81,253.59,254.3,351.49,219.21,230.55,197.66,70.56,138.84,123.98,
2021-KW15,227.33,314.3,432.2,500.13,629.35,516.85,458.35,328.88,359.26,293.43,366.14,348.16,345.82,215.63,258.7,208.26,88.56,
2021-KW16,126.29,419.07,378.17,525.13,382.11,314.61,338.78,348.23,464.92,371.67,585.82,335.27,317.0,287.51,164.63,173.55,212.54,
2021-KW17,176.81,104.77,135.06,225.06,134.86,179.78,159.43,212.81,190.19,97.81,205.04,141.84,129.68,35.94,47.04,34.71,88.56,
2021-KW18,101.04,78.58,108.05,100.03,224.77,112.36,79.71,135.42,126.8,58.69,102.52,193.42,86.46,107.82,47.04,173.55,88.56,
2021-KW19,75.78,26.19,162.07,25.01,112.38,89.89,39.86,38.69,84.53,136.93,117.16,38.68,14.41,35.94,,34.71,70.85,
2021-KW20,75.78,104.77,135.06,150.04,22.48,89.89,59.78,58.04,63.4,58.69,58.58,103.16,14.41,17.97,70.56,,17.71,
2021-KW21,,52.38,27.01,25.01,22.48,22.47,39.86,38.69,42.27,58.69,,64.47,43.23,35.94,23.52,,17.71,
2021-KW22,25.26,,54.02,,22.48,,39.86,,,78.25,14.65,,14.41,17.97,,34.71,17.71,
2021-KW23,25.26,104.77,108.05,50.01,44.95,22.47,59.78,38.69,21.13,,14.65,,14.41,53.91,,,,
2021-KW24,,,27.01,,,22.47,,,,,,,14.41,17.97,,,,
2021-KW25,,,,,,,,,,,,12.89,,,,,,
2021-KW26,,,,25.01,,,,,,,,,,,,,,
2021-KW27,,,,25.01,,22.47,,,21.13,,,,,17.97,,,,
2021-KW28,,,,25.01,,22.47,39.86,38.69,,,,25.79,,,,,,
2021-KW29,,,,,44.95,,,,21.13,19.56,,,,35.94,,,,
2021-KW30,,26.19,,,224.77,22.47,,,,,,,28.82,17.97,,,,
2021-KW31,25.26,,,,22.48,22.47,,,,,,,,,,34.71,,
2021-KW32,,,,100.03,22.48,44.94,39.86,,42.27,19.56,,,,,,,,
2021-KW33,25.26,,54.02,50.01,67.43,112.36,59.78,58.04,105.66,,,,14.41,,,,,
2021-KW34,126.29,26.19,,100.03,134.86,44.94,79.71,38.69,63.4,,14.65,25.79,28.82,,70.56,34.71,,
2021-KW35,353.62,157.15,27.01,125.03,89.91,67.42,79.71,193.46,147.93,39.12,,12.89,14.41,17.97,,,17.71,
2021-KW36,50.52,157.15,216.1,75.02,157.34,134.83,,77.38,126.8,78.25,,12.89,43.23,17.97,,34.71,53.13,
2021-KW37,176.81,130.96,270.12,25.01,67.43,44.94,159.43,116.08,126.8,39.12,58.58,38.68,14.41,17.97,23.52,69.42,,
2021-KW38,75.78,78.58,27.01,75.02,112.38,134.83,19.93,58.04,,78.25,,64.47,43.23,,94.07,,88.56,
2021-KW39,50.52,26.19,81.04,25.01,112.38,134.83,59.78,19.35,169.06,58.69,58.58,38.68,,17.97,117.59,,35.42,
2021-KW40,50.52,52.38,,25.01,112.38,67.42,39.86,58.04,63.4,,29.29,,43.23,,23.52,,,
2021-KW41,50.52,209.53,162.07,150.04,67.43,89.89,79.71,116.08,126.8,156.49,43.94,25.79,57.64,17.97,,,17.71,
2021-KW42,75.78,366.68,513.24,350.09,112.38,134.83,179.35,174.11,274.73,58.69,117.16,90.26,57.64,35.94,23.52,34.71,35.42,
2021-KW43,151.55,497.64,459.21,600.15,179.82,269.66,298.92,232.15,338.12,312.99,175.75,128.95,216.14,143.76,188.15,,53.13,
2021-KW44,75.78,366.68,567.26,350.09,247.25,292.13,338.78,406.27,359.26,508.61,263.62,154.74,230.55,233.6,211.67,208.26,123.98,
2021-KW45,252.59,864.33,999.46,650.16,629.35,337.08,577.92,561.04,591.72,802.03,541.89,425.53,360.23,287.51,611.48,416.52,336.52,
2021-KW46,328.37,995.29,1134.52,825.21,516.97,674.16,697.49,754.5,929.84,665.1,556.53,515.8,547.55,305.48,446.85,555.36,318.81,
2021-KW47,530.44,916.71,1134.52,625.16,1056.42,921.35,697.49,967.31,1310.23,762.91,644.41,528.69,662.82,664.87,823.14,520.65,425.08,
2021-KW48,429.4,1257.2,1566.72,950.24,719.26,764.04,836.99,812.54,1267.96,762.91,644.41,760.8,547.55,646.9,399.81,277.68,283.39,
2021-KW49,429.4,628.6,864.4,650.16,674.31,674.16,757.27,696.46,718.51,684.66,497.95,438.43,374.64,539.08,446.85,312.39,265.67,
2021-KW50,479.92,733.37,513.24,525.13,337.15,471.91,378.64,483.65,401.52,293.43,410.08,219.21,288.18,125.79,235.18,69.42,159.4,
2021-KW51,303.11,890.52,459.21,225.06,337.15,269.66,498.21,444.96,422.65,156.49,117.16,167.63,144.09,71.88,94.07,69.42,106.27,
2021-KW52,303.11,392.88,378.17,75.02,247.25,314.61,418.49,386.92,274.73,215.18,190.39,180.53,86.46,,70.56,,35.42,
2022-KW01,151.55,628.6,324.15,425.11,561.92,404.49,298.92,386.92,338.12,215.18,263.62,193.42,72.05,107.82,23.52,34.71,35.42,
2022-KW02,303.11,523.83,594.27,1250.31,1123.85,876.4,717.42,386.92,443.79,430.36,366.14,167.63,158.5,53.91,23.52,34.71,17.71,
2022-KW03,1995.45,2645.36,1188.55,1175.29,1416.05,1056.18,1474.69,1450.96,1563.82,645.54,717.63,464.22,374.64,179.69,188.15,138.84,88.56,
2022-KW04,1540.79,4269.25,3727.71,1400.35,1663.3,1955.06,2032.68,2398.92,1986.48,1330.2,688.34,722.11,605.19,431.27,282.22,138.84,123.98,
2022-KW05,1768.12,4085.91,4403.03,2675.67,2405.03,2067.42,2630.53,2959.95,2852.92,1545.38,1362.04,902.64,806.92,664.87,352.78,312.39,230.25,
2022-KW06,1793.38,3378.73,3241.49,3250.81,2517.42,2337.08,2610.6,3037.34,2535.93,1643.19,1640.3,1263.7,1051.87,754.72,517.4,520.65,425.08,
2022-KW07,1818.64,4478.78,3349.54,3550.89,2472.47,2764.04,2770.03,2940.61,2852.92,1682.32,1537.79,1237.91,1368.88,1168.01,799.62,763.62,549.06,
2022-KW08,1591.31,3064.43,3916.8,3075.77,2787.14,3258.43,2630.53,2940.61,2176.67,2269.17,1479.2,1444.23,1167.15,1024.26,682.03,798.33,531.35,
2022-KW09,2020.71,2907.28,2620.21,3000.75,3281.64,3393.26,3188.52,2998.65,2916.31,2621.28,2592.27,1895.55,1786.74,970.35,1034.81,659.49,584.48,
2022-KW10,2298.56,4793.09,5024.31,5651.41,4450.44,4471.91,3866.08,3269.49,4184.28,3032.08,2855.89,2488.72,2002.88,1275.83,1411.1,1561.96,3028.69,
2022-KW11,2450.11,4714.51,5159.37,5951.49,4989.89,4359.55,4264.65,4256.14,4015.22,3579.81,3163.44,2707.93,2319.88,1796.95,1411.1,1214.86,1611.76,
2022-KW12,3031.07,6102.67,4997.3,4251.06,3551.36,3955.06,3726.58,4198.1,3698.22,3638.5,3031.63,2682.14,2103.75,1689.13,1740.36,1492.54,1523.2,
2022-KW13,1212.43,3038.24,3430.58,3050.76,2427.51,2337.08,2849.74,2650.42,2493.66,2014.87,1537.79,1611.86,1268.01,1042.23,1081.84,694.2,832.45,
2022-KW14,959.84,1650.08,2404.11,1950.49,1550.91,1820.22,1833.4,1895.92,1923.08,1760.56,1625.66,1495.81,1340.06,700.81,776.11,312.39,673.04,
2022-KW15,656.73,1204.82,1188.55,1100.28,1303.66,1505.62,916.7,1373.57,1437.02,1154.15,1171.65,915.54,590.78,736.75,682.03,520.65,478.21,
2022-KW16,732.51,838.14,1161.53,900.23,1730.73,1348.31,1275.41,1160.77,1944.21,1369.33,1186.29,1005.8,936.6,539.08,729.07,485.94,726.18,
2022-KW17,454.66,1257.2,1296.6,1550.39,786.69,1123.6,1175.77,967.31,1289.1,880.28,1083.77,915.54,893.37,539.08,446.85,485.94,425.08,
2022-KW18,303.11,366.68,621.29,750.19,606.88,359.55,697.49,735.15,528.32,684.66,776.22,709.22,590.78,413.3,423.33,312.39,265.67,
2022-KW19,429.4,497.64,243.11,775.19,854.12,629.21,657.63,870.57,528.32,567.29,541.89,541.59,446.69,305.48,352.78,277.68,673.04,
2022-KW20,176.81,209.53,378.17,475.12,382.11,404.49,318.85,406.27,549.45,312.99,410.08,451.32,302.59,251.57,188.15,312.39,230.25,
2022-KW21,101.04,157.15,324.15,300.08,427.06,337.08,358.71,328.88,422.65,273.87,307.56,283.69,144.09,215.63,188.15,208.26,212.54,
2022-KW22,151.55,157.15,135.06,500.13,606.88,674.16,697.49,406.27,253.59,430.36,336.85,296.58,244.96,179.69,211.67,104.13,35.42,
2022-KW23,,52.38,81.04,325.08,629.35,606.74,398.57,251.5,316.99,352.11,322.2,335.27,389.05,233.6,188.15,34.71,106.27,
2022-KW24,50.52,78.58,135.06,375.09,584.4,1011.24,538.06,406.27,443.79,293.43,454.01,528.69,331.41,251.57,94.07,173.55,141.69,
