# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-09-17 08:59:19
# API-Download für Covid19-Inzidenzen in LK Heidenheim, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,13.81,,47.3,59.06,24.17,,10.38,9.4,10.14,,,,9.8,
2020-KW12,15.57,46.23,31.29,,27.62,64.89,70.95,35.44,24.17,37.44,31.14,37.59,10.14,50.55,,40.01,9.8,
2020-KW13,31.14,,,14.89,110.5,51.91,59.13,47.25,60.42,37.44,20.76,37.59,70.98,75.82,75.33,60.02,48.99,
2020-KW14,46.71,15.41,15.65,59.55,110.5,77.86,35.48,106.31,36.25,49.92,93.41,84.57,40.56,37.91,45.2,120.03,303.76,
2020-KW15,62.28,15.41,15.65,29.78,110.5,77.86,70.95,59.06,60.42,62.4,31.14,84.57,30.42,50.55,45.2,60.02,127.38,
2020-KW16,15.57,,,29.78,69.06,51.91,59.13,59.06,72.51,99.84,83.03,84.57,40.56,37.91,45.2,80.02,156.78,
2020-KW17,15.57,15.41,,29.78,,,35.48,11.81,12.08,24.96,20.76,9.4,,25.27,,40.01,19.6,
2020-KW18,93.42,46.23,78.24,,165.75,116.8,141.9,23.63,72.51,49.92,31.14,9.4,,,,,29.4,
2020-KW19,15.57,,,14.89,,12.98,47.3,11.81,12.08,,20.76,9.4,20.28,12.64,,20.01,,
2020-KW20,,,,,,,,11.81,,,,,,,,,39.19,
2020-KW21,,,,,13.81,,,,,,10.38,,,,,,9.8,
2020-KW22,,,,,,,,,,,10.38,,,,,,9.8,
2020-KW23,,,,,,12.98,,,,,,9.4,,,,,9.8,
2020-KW26,,,,,,12.98,,,,12.48,10.38,,,12.64,,,,
2020-KW29,,,,14.89,,,11.83,,,,20.76,9.4,,,,,,
2020-KW30,,,78.24,29.78,,,23.65,,12.08,49.92,,,,,,,,
2020-KW31,,,15.65,,13.81,,,11.81,,24.96,,,,,,,,
2020-KW32,,,,14.89,,,,,,,,,,,,,,
2020-KW33,,,,14.89,,,,,24.17,,10.38,,,,,,,
2020-KW34,,,,,41.44,12.98,47.3,23.63,12.08,,20.76,,,12.64,,,,
