# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-21 05:48:37
# API-Download für Covid19-Inzidenzen in LK Herford, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,,6.97,9.04,,,
2020-KW11,,8.73,,,,14.81,6.95,40.96,6.94,18.48,28.38,4.7,,6.97,,,,
2020-KW12,,8.73,16.81,15.46,75.55,44.42,34.74,,27.78,12.32,99.33,56.39,11.25,20.92,9.04,,5.2,
2020-KW13,,,,23.18,15.11,37.02,34.74,20.48,20.83,36.95,28.38,23.5,22.5,20.92,9.04,8.92,5.2,
2020-KW14,,8.73,25.21,15.46,60.44,44.42,41.69,40.96,62.5,67.75,37.84,37.59,22.5,20.92,54.23,26.77,51.97,
2020-KW15,,,,15.46,15.11,22.21,20.84,20.48,13.89,18.48,14.19,23.5,33.75,20.92,18.08,26.77,31.18,
2020-KW16,,,,7.73,15.11,7.4,6.95,,6.94,12.32,14.19,4.7,11.25,6.97,,,10.39,
2020-KW17,,,,15.46,22.67,7.4,13.9,,6.94,12.32,,4.7,5.62,6.97,9.04,,5.2,
2020-KW18,,8.73,8.4,7.73,,,6.95,,,18.48,,,,,,,5.2,
2020-KW19,,,,,,,,,,,9.46,4.7,,,,,,
2020-KW20,,,,7.73,,,,,,,,,,,,8.92,,
2020-KW21,,,,,,,,,,,,,5.62,,,,,
2020-KW23,,,,,,,,6.83,6.94,,,,,,,,,
2020-KW24,,17.47,,,,,,20.48,,,,,,,,,,
2020-KW25,8.46,,,23.18,37.78,14.81,27.79,13.65,,,,4.7,,,,,10.39,
2020-KW26,,,,7.73,30.22,22.21,6.95,6.83,,12.32,4.73,9.4,,6.97,,8.92,10.39,
2020-KW27,,8.73,8.4,15.46,15.11,,13.9,,,6.16,4.73,9.4,,20.92,,,,
2020-KW28,,,,,15.11,7.4,,,,6.16,,,,,,,5.2,
2020-KW29,,,,,15.11,,,,,,4.73,,,,9.04,,,
2020-KW30,8.46,8.73,,,37.78,7.4,13.9,,13.89,12.32,,,,6.97,,,,
2020-KW31,8.46,,8.4,23.18,22.67,7.4,6.95,20.48,6.94,24.64,,,5.62,13.95,,,,
2020-KW32,,17.47,8.4,46.37,45.33,14.81,,13.65,13.89,18.48,14.19,,,6.97,18.08,,5.2,
2020-KW33,33.85,26.2,50.42,38.64,45.33,59.23,20.84,20.48,55.55,18.48,14.19,,,6.97,,17.85,,
2020-KW34,,,,7.73,45.33,,13.9,6.83,20.83,12.32,,4.7,,13.95,9.04,8.92,,
2020-KW35,,,,,7.56,,20.84,,,24.64,4.73,4.7,,,,,,
2020-KW36,,,,,15.11,7.4,,,,6.16,4.73,4.7,5.62,6.97,,,,
2020-KW37,,,,7.73,22.67,22.21,6.95,,6.94,6.16,14.19,,,6.97,,,,
2020-KW38,8.46,17.47,,23.18,37.78,37.02,,20.48,6.94,30.79,18.92,9.4,,,9.04,8.92,,
2020-KW39,25.39,17.47,8.4,7.73,22.67,7.4,13.9,13.65,41.66,36.95,9.46,9.4,,20.92,18.08,,,
2020-KW40,,8.73,8.4,30.91,,7.4,13.9,,,6.16,,4.7,11.25,6.97,,8.92,20.79,
2020-KW41,,43.67,42.02,85.01,52.89,37.02,13.9,47.78,48.61,61.59,28.38,14.1,22.5,41.85,,,5.2,
2020-KW42,16.92,,42.02,30.91,68.0,59.23,27.79,20.48,34.72,61.59,9.46,32.89,28.12,13.95,18.08,53.55,15.59,
2020-KW43,25.39,69.88,109.25,216.38,241.76,192.49,97.28,122.87,173.6,240.19,104.06,103.38,129.37,48.82,36.15,17.85,25.99,
2020-KW44,93.08,183.42,168.08,463.68,370.2,407.2,291.83,266.21,201.37,203.24,212.85,239.66,185.61,83.69,126.54,71.4,119.54,
2020-KW45,84.62,183.42,210.1,363.21,309.76,310.95,215.4,211.6,305.53,320.26,160.82,140.98,179.99,146.46,135.57,89.25,254.66,
2020-KW46,50.77,104.81,142.87,270.48,211.54,192.49,208.45,225.26,194.43,178.6,179.74,136.28,118.12,139.49,108.46,53.55,98.75,
2020-KW47,67.69,113.55,92.44,170.02,234.21,170.28,187.6,218.43,166.66,190.92,165.55,192.67,196.86,62.77,90.38,80.32,57.17,
2020-KW48,33.85,78.61,92.44,92.74,203.99,207.3,138.97,184.3,124.99,221.72,165.55,117.48,123.74,118.57,81.34,62.47,62.37,
2020-KW49,84.62,52.41,117.66,185.47,294.65,222.11,166.76,252.56,263.87,221.72,165.55,155.08,129.37,76.72,36.15,53.55,155.92,
2020-KW50,59.23,61.14,134.47,255.02,271.99,310.95,326.57,238.91,229.15,166.29,217.58,216.17,174.36,76.72,45.19,35.7,114.34,
2020-KW51,16.92,69.88,67.23,309.12,438.2,310.95,222.35,320.82,215.26,295.62,241.23,230.26,213.74,195.29,81.34,107.1,145.52,
2020-KW52,42.31,61.14,67.23,208.66,249.32,296.14,250.14,218.43,243.04,246.35,189.2,192.67,179.99,83.69,90.38,133.87,358.61,
2020-KW53,59.23,43.67,84.04,154.56,226.65,214.7,229.29,177.47,194.43,203.24,170.28,183.27,151.86,111.59,90.38,89.25,218.28,
2021-KW01,16.92,69.88,92.44,247.3,347.54,244.32,250.14,218.43,131.94,178.6,179.74,169.17,151.86,90.67,90.38,151.72,389.79,
2021-KW02,33.85,8.73,50.42,131.38,188.88,111.05,166.76,129.69,131.94,129.33,132.44,103.38,123.74,48.82,81.34,107.1,233.88,
2021-KW03,25.39,34.94,92.44,123.65,158.66,111.05,222.35,129.69,131.94,117.02,175.01,122.18,39.37,62.77,90.38,35.7,98.75,
2021-KW04,33.85,8.73,16.81,85.01,98.22,88.84,118.12,102.39,83.33,135.49,89.87,61.09,84.37,34.87,63.27,53.55,213.09,
2021-KW05,33.85,61.14,50.42,69.55,113.33,96.25,104.22,109.22,62.5,117.02,85.14,108.08,78.74,34.87,27.11,8.92,88.35,
2021-KW06,50.77,43.67,8.4,30.91,15.11,51.82,55.59,68.26,69.44,67.75,14.19,51.69,33.75,13.95,54.23,,36.38,
2021-KW07,33.85,34.94,8.4,15.46,60.44,59.23,104.22,61.43,69.44,61.59,52.03,75.19,56.25,90.67,36.15,17.85,67.56,
2021-KW08,25.39,26.2,33.62,61.82,90.66,103.65,125.07,116.04,69.44,61.59,99.33,75.19,56.25,20.92,9.04,8.92,57.17,
2021-KW09,33.85,69.88,58.83,108.19,105.77,125.86,104.22,88.74,55.55,110.86,47.3,46.99,50.62,27.9,9.04,35.7,25.99,
2021-KW10,101.54,113.55,75.64,146.83,158.66,177.69,83.38,122.87,104.16,129.33,113.52,126.88,84.37,55.8,108.46,8.92,77.96,
2021-KW11,76.16,139.75,176.49,139.1,211.54,207.3,159.81,184.3,187.49,110.86,118.25,136.28,112.49,76.72,45.19,44.62,62.37,
2021-KW12,101.54,165.95,218.51,131.38,203.99,207.3,145.91,273.04,166.66,184.76,170.28,150.38,112.49,34.87,63.27,35.7,57.17,
2021-KW13,50.77,113.55,109.25,200.93,173.77,199.9,215.4,197.95,131.94,129.33,89.87,103.38,78.74,62.77,27.11,44.62,36.38,
2021-KW14,110.0,218.36,210.1,224.11,256.88,207.3,298.78,150.17,159.71,135.49,108.79,108.08,67.5,76.72,81.34,35.7,36.38,
2021-KW15,110.0,183.42,151.27,216.38,264.43,281.34,194.55,177.47,131.94,178.6,170.28,103.38,129.37,55.8,45.19,53.55,41.58,
2021-KW16,186.16,279.5,369.78,340.03,332.43,236.91,222.35,232.08,284.7,215.56,132.44,103.38,106.87,111.59,135.57,53.55,20.79,
2021-KW17,228.47,244.56,193.29,239.57,219.1,244.32,257.09,211.6,236.09,160.13,151.36,131.58,101.24,55.8,81.34,53.55,31.18,
2021-KW18,126.93,218.36,168.08,216.38,105.77,177.69,215.4,197.95,173.6,104.7,94.6,150.38,118.12,104.62,45.19,35.7,41.58,
2021-KW19,118.46,104.81,75.64,100.46,143.55,125.86,138.97,95.56,55.55,80.06,75.68,79.89,84.37,48.82,9.04,26.77,140.33,
2021-KW20,42.31,96.08,67.23,46.37,60.44,37.02,48.64,88.74,62.5,18.48,18.92,23.5,11.25,27.9,18.08,8.92,31.18,
2021-KW21,50.77,26.2,33.62,54.1,30.22,37.02,34.74,20.48,34.72,12.32,9.46,9.4,,13.95,36.15,8.92,10.39,
2021-KW22,33.85,17.47,16.81,54.1,22.67,14.81,41.69,34.13,62.5,12.32,4.73,14.1,,13.95,,,,
2021-KW23,8.46,26.2,8.4,,15.11,14.81,6.95,6.83,,6.16,9.46,,,,,8.92,,
2021-KW24,,,8.4,,7.56,,,,,6.16,,9.4,,,9.04,,,
2021-KW25,,,,,,,,,,,,,11.25,6.97,,,,
2021-KW26,,8.73,,,15.11,7.4,6.95,6.83,,,4.73,4.7,,,9.04,,,
2021-KW27,,8.73,,,,,13.9,,6.94,,,,,,,,,
2021-KW28,,,,69.55,30.22,7.4,6.95,6.83,6.94,,9.46,,5.62,,,,5.2,
2021-KW29,,,25.21,38.64,52.89,22.21,34.74,13.65,13.89,24.64,,4.7,5.62,,,8.92,,
2021-KW30,16.92,17.47,8.4,77.28,75.55,22.21,41.69,6.83,13.89,12.32,14.19,,,,9.04,17.85,,
2021-KW31,25.39,78.61,92.44,92.74,173.77,81.44,69.48,34.13,62.5,55.43,37.84,18.8,11.25,6.97,18.08,8.92,5.2,
2021-KW32,50.77,122.28,117.66,170.02,196.43,96.25,55.59,47.78,41.66,98.54,66.22,37.59,,6.97,,8.92,5.2,
2021-KW33,42.31,122.28,151.27,255.02,166.21,118.46,76.43,102.39,76.38,36.95,18.92,18.8,39.37,48.82,9.04,,15.59,
